Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.12,6.14
01-Jul-20,12:30:00 AM,6.06,6.08
01-Jul-20,1:00:00 AM,5.99,6.00
01-Jul-20,1:30:00 AM,6.35,6.38
01-Jul-20,2:00:00 AM,6.27,6.29
01-Jul-20,2:30:00 AM,6.08,6.10
01-Jul-20,3:00:00 AM,6.05,6.06
01-Jul-20,3:30:00 AM,5.93,5.94
01-Jul-20,4:00:00 AM,5.81,5.83
01-Jul-20,4:30:00 AM,6.20,6.23
01-Jul-20,5:00:00 AM,7.13,7.18
01-Jul-20,5:30:00 AM,7.69,7.79
01-Jul-20,6:00:00 AM,9.09,9.26
01-Jul-20,6:30:00 AM,10.54,10.72
01-Jul-20,7:00:00 AM,11.33,11.58
01-Jul-20,7:30:00 AM,11.62,11.90
01-Jul-20,8:00:00 AM,11.85,12.15
01-Jul-20,8:30:00 AM,11.38,11.70
01-Jul-20,9:00:00 AM,11.14,11.44
01-Jul-20,9:30:00 AM,10.73,11.01
01-Jul-20,10:00:00 AM,10.44,10.75
01-Jul-20,10:30:00 AM,10.01,10.36
01-Jul-20,11:00:00 AM,10.49,10.82
01-Jul-20,11:30:00 AM,10.35,10.67
01-Jul-20,12:00:00 PM,10.03,10.32
01-Jul-20,12:30:00 PM,10.10,10.37
01-Jul-20,1:00:00 PM,10.53,10.81
01-Jul-20,1:30:00 PM,9.84,10.15
01-Jul-20,2:00:00 PM,9.72,10.02
01-Jul-20,2:30:00 PM,10.32,10.59
01-Jul-20,3:00:00 PM,10.17,10.47
01-Jul-20,3:30:00 PM,9.98,10.20
01-Jul-20,4:00:00 PM,9.40,9.57
01-Jul-20,4:30:00 PM,9.18,9.33
01-Jul-20,5:00:00 PM,8.94,9.04
01-Jul-20,5:30:00 PM,9.07,9.16
01-Jul-20,6:00:00 PM,9.08,9.15
01-Jul-20,6:30:00 PM,9.00,9.06
01-Jul-20,7:00:00 PM,8.47,8.52
01-Jul-20,7:30:00 PM,8.14,8.19
01-Jul-20,8:00:00 PM,8.27,8.33
01-Jul-20,8:30:00 PM,8.22,8.27
01-Jul-20,9:00:00 PM,7.58,7.63
01-Jul-20,9:30:00 PM,6.68,6.71
01-Jul-20,10:00:00 PM,6.50,6.53
01-Jul-20,10:30:00 PM,6.63,6.66
01-Jul-20,11:00:00 PM,6.52,6.55
01-Jul-20,11:30:00 PM,6.48,6.51
02-Jul-20,12:00:00 AM,6.29,6.31
02-Jul-20,12:30:00 AM,6.19,6.21
02-Jul-20,1:00:00 AM,6.23,6.25
