Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.01,3.08
01-Jul-20,12:30:00 AM,2.80,2.86
01-Jul-20,1:00:00 AM,2.61,2.69
01-Jul-20,1:30:00 AM,2.56,2.63
01-Jul-20,2:00:00 AM,2.54,2.62
01-Jul-20,2:30:00 AM,2.49,2.57
01-Jul-20,3:00:00 AM,2.48,2.55
01-Jul-20,3:30:00 AM,2.42,2.50
01-Jul-20,4:00:00 AM,2.54,2.62
01-Jul-20,4:30:00 AM,2.68,2.74
01-Jul-20,5:00:00 AM,2.83,2.89
01-Jul-20,5:30:00 AM,3.16,3.21
01-Jul-20,6:00:00 AM,3.59,3.62
01-Jul-20,6:30:00 AM,3.79,3.83
01-Jul-20,7:00:00 AM,4.00,4.04
01-Jul-20,7:30:00 AM,3.63,3.68
01-Jul-20,8:00:00 AM,3.15,3.19
01-Jul-20,8:30:00 AM,2.63,2.67
01-Jul-20,9:00:00 AM,2.28,2.32
01-Jul-20,9:30:00 AM,1.75,1.80
01-Jul-20,10:00:00 AM,1.36,1.42
01-Jul-20,10:30:00 AM,1.08,1.15
01-Jul-20,11:00:00 AM,0.97,1.03
01-Jul-20,11:30:00 AM,1.67,1.71
01-Jul-20,12:00:00 PM,1.35,1.37
01-Jul-20,12:30:00 PM,1.37,1.39
01-Jul-20,1:00:00 PM,1.09,1.10
01-Jul-20,1:30:00 PM,1.31,1.33
01-Jul-20,2:00:00 PM,2.61,2.63
01-Jul-20,2:30:00 PM,3.14,3.16
01-Jul-20,3:00:00 PM,3.15,3.18
01-Jul-20,3:30:00 PM,3.24,3.26
01-Jul-20,4:00:00 PM,3.44,3.47
01-Jul-20,4:30:00 PM,4.12,4.14
01-Jul-20,5:00:00 PM,4.48,4.50
01-Jul-20,5:30:00 PM,4.85,4.86
01-Jul-20,6:00:00 PM,4.93,4.94
01-Jul-20,6:30:00 PM,4.98,4.99
01-Jul-20,7:00:00 PM,4.94,4.95
01-Jul-20,7:30:00 PM,4.89,4.91
01-Jul-20,8:00:00 PM,5.00,5.02
01-Jul-20,8:30:00 PM,4.74,4.76
01-Jul-20,9:00:00 PM,4.47,4.50
01-Jul-20,9:30:00 PM,4.38,4.41
01-Jul-20,10:00:00 PM,4.22,4.26
01-Jul-20,10:30:00 PM,3.85,3.89
01-Jul-20,11:00:00 PM,3.53,3.58
