Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.46,10.54
01-Jul-20,12:30:00 AM,9.34,9.43
01-Jul-20,1:00:00 AM,8.50,8.60
01-Jul-20,1:30:00 AM,7.71,7.84
01-Jul-20,2:00:00 AM,7.31,7.44
01-Jul-20,2:30:00 AM,7.14,7.27
01-Jul-20,3:00:00 AM,7.14,7.28
01-Jul-20,3:30:00 AM,7.14,7.26
01-Jul-20,4:00:00 AM,7.55,7.66
01-Jul-20,4:30:00 AM,8.03,8.13
01-Jul-20,5:00:00 AM,9.04,9.12
01-Jul-20,5:30:00 AM,10.37,10.43
01-Jul-20,6:00:00 AM,11.74,11.79
01-Jul-20,6:30:00 AM,13.00,13.07
01-Jul-20,7:00:00 AM,13.97,14.04
01-Jul-20,7:30:00 AM,13.78,13.84
01-Jul-20,8:00:00 AM,12.11,12.17
01-Jul-20,8:30:00 AM,10.52,10.58
01-Jul-20,9:00:00 AM,7.71,7.77
01-Jul-20,9:30:00 AM,5.16,5.23
01-Jul-20,10:00:00 AM,3.49,3.57
01-Jul-20,10:30:00 AM,2.34,2.42
01-Jul-20,11:00:00 AM,2.04,2.12
01-Jul-20,11:30:00 AM,0.89,1.03
01-Jul-20,12:00:00 PM,0.90,1.05
01-Jul-20,12:30:00 PM,0.21,0.67
01-Jul-20,1:00:00 PM,0.61,0.88
01-Jul-20,1:30:00 PM,0.99,1.20
01-Jul-20,2:00:00 PM,2.39,2.48
01-Jul-20,2:30:00 PM,4.07,4.17
01-Jul-20,3:00:00 PM,9.02,9.08
01-Jul-20,3:30:00 PM,10.05,10.12
01-Jul-20,4:00:00 PM,11.66,11.72
01-Jul-20,4:30:00 PM,14.40,14.44
01-Jul-20,5:00:00 PM,16.56,16.57
01-Jul-20,5:30:00 PM,18.16,18.16
01-Jul-20,6:00:00 PM,18.47,18.47
01-Jul-20,6:30:00 PM,18.75,18.75
01-Jul-20,7:00:00 PM,18.38,18.38
01-Jul-20,7:30:00 PM,18.42,18.42
01-Jul-20,8:00:00 PM,18.49,18.50
01-Jul-20,8:30:00 PM,17.83,17.84
01-Jul-20,9:00:00 PM,16.77,16.79
01-Jul-20,9:30:00 PM,15.66,15.69
01-Jul-20,10:00:00 PM,15.35,15.38
01-Jul-20,10:30:00 PM,14.53,14.58
01-Jul-20,11:00:00 PM,14.27,14.31
01-Jul-20,11:30:00 PM,12.64,12.71
02-Jul-20,12:00:00 AM,10.78,10.86
02-Jul-20,12:30:00 AM,9.53,9.63
02-Jul-20,1:00:00 AM,8.72,8.82
02-Jul-20,1:30:00 AM,7.96,8.07
02-Jul-20,2:00:00 AM,7.48,7.60
02-Jul-20,2:30:00 AM,7.25,7.37
02-Jul-20,3:00:00 AM,7.34,7.46
02-Jul-20,3:30:00 AM,7.35,7.48
02-Jul-20,4:00:00 AM,7.64,7.76
02-Jul-20,4:30:00 AM,8.13,8.23
02-Jul-20,5:00:00 AM,9.23,9.31
02-Jul-20,5:30:00 AM,10.46,10.53
02-Jul-20,6:00:00 AM,11.96,12.01
02-Jul-20,6:30:00 AM,13.35,13.42
02-Jul-20,7:00:00 AM,14.01,14.08
02-Jul-20,7:30:00 AM,12.57,12.64
02-Jul-20,8:00:00 AM,12.06,12.12
02-Jul-20,8:30:00 AM,10.29,10.35
02-Jul-20,9:00:00 AM,8.87,8.94
02-Jul-20,9:30:00 AM,8.38,8.43
02-Jul-20,10:00:00 AM,6.24,6.31
02-Jul-20,10:30:00 AM,3.89,3.97
02-Jul-20,11:00:00 AM,2.01,2.10
02-Jul-20,11:30:00 AM,1.34,1.47
02-Jul-20,12:00:00 PM,3.21,3.29
02-Jul-20,12:30:00 PM,2.28,2.35
02-Jul-20,1:00:00 PM,2.25,2.34
02-Jul-20,1:30:00 PM,2.97,3.04
02-Jul-20,2:00:00 PM,3.42,3.49
02-Jul-20,2:30:00 PM,5.11,5.18
02-Jul-20,3:00:00 PM,6.69,6.75
02-Jul-20,3:30:00 PM,9.02,9.07
02-Jul-20,4:00:00 PM,11.68,11.72
02-Jul-20,4:30:00 PM,14.41,14.44
02-Jul-20,5:00:00 PM,16.51,16.52
02-Jul-20,5:30:00 PM,18.13,18.13
02-Jul-20,6:00:00 PM,18.19,18.19
02-Jul-20,6:30:00 PM,18.24,18.24
02-Jul-20,7:00:00 PM,18.24,18.24
02-Jul-20,7:30:00 PM,18.07,18.07
02-Jul-20,8:00:00 PM,18.14,18.15
02-Jul-20,8:30:00 PM,17.45,17.46
02-Jul-20,9:00:00 PM,16.38,16.40
02-Jul-20,9:30:00 PM,15.38,15.41
02-Jul-20,10:00:00 PM,15.35,15.38
02-Jul-20,10:30:00 PM,14.72,14.76
02-Jul-20,11:00:00 PM,14.22,14.26
02-Jul-20,11:30:00 PM,12.70,12.76
03-Jul-20,12:00:00 AM,10.77,10.85
03-Jul-20,12:30:00 AM,9.65,9.74
03-Jul-20,1:00:00 AM,8.66,8.76
03-Jul-20,1:30:00 AM,7.94,8.05
03-Jul-20,2:00:00 AM,7.55,7.67
03-Jul-20,2:30:00 AM,7.27,7.40
03-Jul-20,3:00:00 AM,7.30,7.42
03-Jul-20,3:30:00 AM,7.31,7.43
03-Jul-20,4:00:00 AM,7.56,7.68
03-Jul-20,4:30:00 AM,8.05,8.15
03-Jul-20,5:00:00 AM,9.00,9.09
03-Jul-20,5:30:00 AM,10.10,10.17
03-Jul-20,6:00:00 AM,11.54,11.58
03-Jul-20,6:30:00 AM,12.73,12.80
03-Jul-20,7:00:00 AM,13.78,13.84
03-Jul-20,7:30:00 AM,12.98,13.04
03-Jul-20,8:00:00 AM,11.20,11.24
03-Jul-20,8:30:00 AM,8.91,8.96
03-Jul-20,9:00:00 AM,6.92,6.97
03-Jul-20,9:30:00 AM,5.16,5.21
03-Jul-20,10:00:00 AM,3.55,3.61
03-Jul-20,10:30:00 AM,2.26,2.34
03-Jul-20,11:00:00 AM,1.26,1.36
03-Jul-20,11:30:00 AM,0.51,0.71
03-Jul-20,12:00:00 PM,0.23,0.51
03-Jul-20,12:30:00 PM,0.24,0.54
03-Jul-20,1:00:00 PM,0.82,0.95
03-Jul-20,1:30:00 PM,1.74,1.82
03-Jul-20,2:00:00 PM,2.90,2.99
03-Jul-20,2:30:00 PM,4.38,4.45
03-Jul-20,3:00:00 PM,6.46,6.52
03-Jul-20,3:30:00 PM,8.69,8.74
03-Jul-20,4:00:00 PM,11.23,11.28
03-Jul-20,4:30:00 PM,13.58,13.62
03-Jul-20,5:00:00 PM,15.55,15.56
03-Jul-20,5:30:00 PM,16.64,16.64
03-Jul-20,6:00:00 PM,16.59,16.59
03-Jul-20,6:30:00 PM,16.91,16.91
03-Jul-20,7:00:00 PM,16.59,16.60
03-Jul-20,7:30:00 PM,16.50,16.51
03-Jul-20,8:00:00 PM,16.39,16.40
03-Jul-20,8:30:00 PM,15.85,15.86
03-Jul-20,9:00:00 PM,14.87,14.89
03-Jul-20,9:30:00 PM,14.13,14.16
03-Jul-20,10:00:00 PM,14.31,14.33
03-Jul-20,10:30:00 PM,13.95,13.99
03-Jul-20,11:00:00 PM,13.62,13.66
03-Jul-20,11:30:00 PM,12.12,12.17
04-Jul-20,12:00:00 AM,10.20,10.27
04-Jul-20,12:30:00 AM,9.22,9.29
04-Jul-20,1:00:00 AM,8.06,8.16
04-Jul-20,1:30:00 AM,7.49,7.59
04-Jul-20,2:00:00 AM,7.16,7.28
04-Jul-20,2:30:00 AM,7.08,7.20
04-Jul-20,3:00:00 AM,7.14,7.25
04-Jul-20,3:30:00 AM,7.08,7.19
04-Jul-20,4:00:00 AM,7.03,7.15
04-Jul-20,4:30:00 AM,7.36,7.46
04-Jul-20,5:00:00 AM,7.65,7.75
04-Jul-20,5:30:00 AM,8.18,8.28
04-Jul-20,6:00:00 AM,9.17,9.24
04-Jul-20,6:30:00 AM,10.35,10.47
04-Jul-20,7:00:00 AM,11.35,11.46
04-Jul-20,7:30:00 AM,11.01,11.09
04-Jul-20,8:00:00 AM,10.31,10.38
04-Jul-20,8:30:00 AM,9.20,9.26
04-Jul-20,9:00:00 AM,7.57,7.62
04-Jul-20,9:30:00 AM,5.92,5.98
04-Jul-20,10:00:00 AM,4.32,4.39
04-Jul-20,10:30:00 AM,3.02,3.08
04-Jul-20,11:00:00 AM,1.83,1.94
04-Jul-20,11:30:00 AM,0.94,1.12
04-Jul-20,12:00:00 PM,0.74,0.98
04-Jul-20,12:30:00 PM,0.90,1.12
04-Jul-20,1:00:00 PM,1.15,1.35
04-Jul-20,1:30:00 PM,1.97,2.12
04-Jul-20,2:00:00 PM,3.13,3.25
04-Jul-20,2:30:00 PM,4.76,4.84
04-Jul-20,3:00:00 PM,6.78,6.85
04-Jul-20,3:30:00 PM,9.09,9.16
04-Jul-20,4:00:00 PM,12.04,12.09
04-Jul-20,4:30:00 PM,15.04,15.08
04-Jul-20,5:00:00 PM,16.39,16.41
04-Jul-20,5:30:00 PM,17.65,17.65
04-Jul-20,6:00:00 PM,17.86,17.86
04-Jul-20,6:30:00 PM,18.13,18.13
04-Jul-20,7:00:00 PM,17.99,17.99
04-Jul-20,7:30:00 PM,18.19,18.19
04-Jul-20,8:00:00 PM,18.42,18.43
04-Jul-20,8:30:00 PM,17.64,17.65
04-Jul-20,9:00:00 PM,16.98,17.00
04-Jul-20,9:30:00 PM,16.19,16.21
04-Jul-20,10:00:00 PM,16.40,16.42
04-Jul-20,10:30:00 PM,15.87,15.89
04-Jul-20,11:00:00 PM,15.48,15.52
04-Jul-20,11:30:00 PM,13.99,14.04
05-Jul-20,12:00:00 AM,12.14,12.20
05-Jul-20,12:30:00 AM,10.75,10.82
05-Jul-20,1:00:00 AM,9.68,9.77
05-Jul-20,1:30:00 AM,8.95,9.06
05-Jul-20,2:00:00 AM,8.44,8.55
05-Jul-20,2:30:00 AM,8.04,8.15
05-Jul-20,3:00:00 AM,8.02,8.14
05-Jul-20,3:30:00 AM,7.86,7.98
05-Jul-20,4:00:00 AM,7.92,8.03
05-Jul-20,4:30:00 AM,8.15,8.27
05-Jul-20,5:00:00 AM,8.77,8.87
05-Jul-20,5:30:00 AM,9.36,9.44
05-Jul-20,6:00:00 AM,10.38,10.46
05-Jul-20,6:30:00 AM,11.83,11.93
05-Jul-20,7:00:00 AM,12.93,13.01
05-Jul-20,7:30:00 AM,12.82,12.89
05-Jul-20,8:00:00 AM,12.17,12.22
05-Jul-20,8:30:00 AM,10.94,10.98
05-Jul-20,9:00:00 AM,9.45,9.50
05-Jul-20,9:30:00 AM,7.56,7.61
05-Jul-20,10:00:00 AM,5.71,5.77
05-Jul-20,10:30:00 AM,4.03,4.12
05-Jul-20,11:00:00 AM,2.73,2.84
05-Jul-20,11:30:00 AM,1.76,1.91
05-Jul-20,12:00:00 PM,1.39,1.58
05-Jul-20,12:30:00 PM,3.98,4.08
05-Jul-20,1:00:00 PM,2.83,2.96
05-Jul-20,1:30:00 PM,2.54,2.68
05-Jul-20,2:00:00 PM,7.10,7.19
05-Jul-20,2:30:00 PM,7.25,7.33
05-Jul-20,3:00:00 PM,7.42,7.49
05-Jul-20,3:30:00 PM,10.32,10.38
05-Jul-20,4:00:00 PM,12.80,12.85
05-Jul-20,4:30:00 PM,16.19,16.22
05-Jul-20,5:00:00 PM,18.82,18.83
05-Jul-20,5:30:00 PM,20.70,20.70
05-Jul-20,6:00:00 PM,21.02,21.02
05-Jul-20,6:30:00 PM,21.30,21.30
05-Jul-20,7:00:00 PM,21.12,21.12
05-Jul-20,7:30:00 PM,20.97,20.97
05-Jul-20,8:00:00 PM,20.80,20.80
05-Jul-20,8:30:00 PM,19.97,19.97
05-Jul-20,9:00:00 PM,18.97,18.97
05-Jul-20,9:30:00 PM,17.47,17.49
05-Jul-20,10:00:00 PM,16.87,16.90
05-Jul-20,10:30:00 PM,15.96,15.99
05-Jul-20,11:00:00 PM,15.45,15.49
05-Jul-20,11:30:00 PM,14.01,14.05
06-Jul-20,12:00:00 AM,12.00,12.06
06-Jul-20,12:30:00 AM,10.62,10.70
