Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.63,1.67
01-Jul-20,12:30:00 AM,1.50,1.54
01-Jul-20,1:00:00 AM,1.42,1.46
01-Jul-20,1:30:00 AM,1.38,1.41
01-Jul-20,2:00:00 AM,1.37,1.41
01-Jul-20,2:30:00 AM,1.36,1.39
01-Jul-20,3:00:00 AM,1.35,1.39
01-Jul-20,3:30:00 AM,1.35,1.39
01-Jul-20,4:00:00 AM,1.37,1.41
01-Jul-20,4:30:00 AM,1.40,1.45
01-Jul-20,5:00:00 AM,1.49,1.52
01-Jul-20,5:30:00 AM,1.73,1.74
01-Jul-20,6:00:00 AM,2.05,2.06
01-Jul-20,6:30:00 AM,2.41,2.42
01-Jul-20,7:00:00 AM,2.65,2.65
01-Jul-20,7:30:00 AM,2.44,2.44
01-Jul-20,8:00:00 AM,2.08,2.08
01-Jul-20,8:30:00 AM,1.71,1.71
01-Jul-20,9:00:00 AM,1.28,1.28
01-Jul-20,9:30:00 AM,0.94,0.96
01-Jul-20,10:00:00 AM,0.61,0.63
01-Jul-20,10:30:00 AM,0.60,0.60
01-Jul-20,11:00:00 AM,0.28,0.34
01-Jul-20,11:30:00 AM,0.24,0.31
01-Jul-20,12:00:00 PM,0.47,0.50
01-Jul-20,12:30:00 PM,0.48,0.57
01-Jul-20,1:00:00 PM,0.45,0.54
01-Jul-20,1:30:00 PM,0.51,0.57
01-Jul-20,2:00:00 PM,0.71,0.75
01-Jul-20,2:30:00 PM,0.98,1.02
01-Jul-20,3:00:00 PM,1.21,1.24
01-Jul-20,3:30:00 PM,1.76,1.77
01-Jul-20,4:00:00 PM,2.11,2.11
01-Jul-20,4:30:00 PM,2.39,2.40
01-Jul-20,5:00:00 PM,2.58,2.58
01-Jul-20,5:30:00 PM,3.03,3.04
01-Jul-20,6:00:00 PM,3.11,3.11
01-Jul-20,6:30:00 PM,3.01,3.01
01-Jul-20,7:00:00 PM,2.84,2.84
01-Jul-20,7:30:00 PM,2.77,2.78
01-Jul-20,8:00:00 PM,2.75,2.76
01-Jul-20,8:30:00 PM,2.50,2.50
01-Jul-20,9:00:00 PM,2.50,2.50
01-Jul-20,9:30:00 PM,2.44,2.45
01-Jul-20,10:00:00 PM,2.39,2.40
01-Jul-20,10:30:00 PM,2.52,2.54
01-Jul-20,11:00:00 PM,2.34,2.36
01-Jul-20,11:30:00 PM,2.02,2.04
02-Jul-20,12:00:00 AM,1.71,1.75
02-Jul-20,12:30:00 AM,1.57,1.60
02-Jul-20,1:00:00 AM,1.51,1.54
02-Jul-20,1:30:00 AM,1.43,1.47
02-Jul-20,2:00:00 AM,1.37,1.41
02-Jul-20,2:30:00 AM,1.33,1.37
02-Jul-20,3:00:00 AM,1.35,1.40
02-Jul-20,3:30:00 AM,1.41,1.46
02-Jul-20,4:00:00 AM,1.40,1.46
02-Jul-20,4:30:00 AM,1.47,1.51
02-Jul-20,5:00:00 AM,1.62,1.65
02-Jul-20,5:30:00 AM,1.86,1.87
02-Jul-20,6:00:00 AM,2.19,2.20
02-Jul-20,6:30:00 AM,2.49,2.50
02-Jul-20,7:00:00 AM,2.73,2.73
02-Jul-20,7:30:00 AM,2.42,2.42
