Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.30,3.30
01-Jul-20,12:30:00 AM,3.14,3.14
01-Jul-20,1:00:00 AM,3.06,3.06
01-Jul-20,1:30:00 AM,2.93,2.93
01-Jul-20,2:00:00 AM,2.95,2.95
01-Jul-20,2:30:00 AM,2.91,2.91
01-Jul-20,3:00:00 AM,2.90,2.90
01-Jul-20,3:30:00 AM,2.86,2.86
01-Jul-20,4:00:00 AM,3.00,3.00
01-Jul-20,4:30:00 AM,3.06,3.06
01-Jul-20,5:00:00 AM,3.36,3.37
01-Jul-20,5:30:00 AM,3.67,3.67
01-Jul-20,6:00:00 AM,4.01,4.01
01-Jul-20,6:30:00 AM,4.26,4.26
01-Jul-20,7:00:00 AM,4.45,4.45
01-Jul-20,7:30:00 AM,4.28,4.29
01-Jul-20,8:00:00 AM,3.95,3.95
01-Jul-20,8:30:00 AM,3.38,3.38
01-Jul-20,9:00:00 AM,3.07,3.08
01-Jul-20,9:30:00 AM,2.62,2.63
01-Jul-20,10:00:00 AM,2.24,2.26
01-Jul-20,10:30:00 AM,2.04,2.08
01-Jul-20,11:00:00 AM,1.79,1.84
01-Jul-20,11:30:00 AM,1.64,1.69
01-Jul-20,12:00:00 PM,1.63,1.67
01-Jul-20,12:30:00 PM,1.73,1.76
01-Jul-20,1:00:00 PM,1.88,1.92
01-Jul-20,1:30:00 PM,2.07,2.10
01-Jul-20,2:00:00 PM,2.26,2.29
01-Jul-20,2:30:00 PM,2.76,2.77
01-Jul-20,3:00:00 PM,2.96,2.99
01-Jul-20,3:30:00 PM,3.13,3.16
01-Jul-20,4:00:00 PM,3.46,3.48
01-Jul-20,4:30:00 PM,4.14,4.16
01-Jul-20,5:00:00 PM,4.58,4.61
01-Jul-20,5:30:00 PM,4.71,4.75
01-Jul-20,6:00:00 PM,4.81,4.84
01-Jul-20,6:30:00 PM,4.85,4.87
01-Jul-20,7:00:00 PM,4.66,4.69
01-Jul-20,7:30:00 PM,4.68,4.71
01-Jul-20,8:00:00 PM,4.66,4.67
01-Jul-20,8:30:00 PM,4.53,4.54
01-Jul-20,9:00:00 PM,4.33,4.34
01-Jul-20,9:30:00 PM,4.07,4.08
01-Jul-20,10:00:00 PM,4.10,4.10
01-Jul-20,10:30:00 PM,4.19,4.20
01-Jul-20,11:00:00 PM,3.92,3.93
01-Jul-20,11:30:00 PM,3.59,3.59
02-Jul-20,12:00:00 AM,3.32,3.32
02-Jul-20,12:30:00 AM,3.18,3.18
02-Jul-20,1:00:00 AM,2.98,2.98
02-Jul-20,1:30:00 AM,2.80,2.80
02-Jul-20,2:00:00 AM,2.77,2.77
02-Jul-20,2:30:00 AM,2.78,2.78
02-Jul-20,3:00:00 AM,2.77,2.77
02-Jul-20,3:30:00 AM,2.80,2.80
02-Jul-20,4:00:00 AM,2.86,2.86
02-Jul-20,4:30:00 AM,3.05,3.05
02-Jul-20,5:00:00 AM,3.33,3.33
02-Jul-20,5:30:00 AM,3.60,3.60
02-Jul-20,6:00:00 AM,3.82,3.82
02-Jul-20,6:30:00 AM,4.05,4.05
02-Jul-20,7:00:00 AM,4.34,4.35
02-Jul-20,7:30:00 AM,4.34,4.35
02-Jul-20,8:00:00 AM,4.22,4.23
02-Jul-20,8:30:00 AM,3.82,3.83
02-Jul-20,9:00:00 AM,3.50,3.52
02-Jul-20,9:30:00 AM,2.70,2.73
02-Jul-20,10:00:00 AM,2.48,2.52
02-Jul-20,10:30:00 AM,2.11,2.16
02-Jul-20,11:00:00 AM,1.92,1.96
02-Jul-20,11:30:00 AM,2.00,2.03
02-Jul-20,12:00:00 PM,2.04,2.07
02-Jul-20,12:30:00 PM,1.82,1.87
02-Jul-20,1:00:00 PM,2.02,2.08
02-Jul-20,1:30:00 PM,2.43,2.46
02-Jul-20,2:00:00 PM,2.61,2.64
02-Jul-20,2:30:00 PM,2.64,2.66
02-Jul-20,3:00:00 PM,2.70,2.71
02-Jul-20,3:30:00 PM,2.97,2.98
02-Jul-20,4:00:00 PM,3.51,3.53
02-Jul-20,4:30:00 PM,3.83,3.84
02-Jul-20,5:00:00 PM,4.17,4.19
02-Jul-20,5:30:00 PM,4.52,4.55
02-Jul-20,6:00:00 PM,4.57,4.59
02-Jul-20,6:30:00 PM,4.67,4.68
02-Jul-20,7:00:00 PM,4.51,4.52
02-Jul-20,7:30:00 PM,4.44,4.45
02-Jul-20,8:00:00 PM,4.60,4.61
02-Jul-20,8:30:00 PM,4.47,4.48
02-Jul-20,9:00:00 PM,4.21,4.21
02-Jul-20,9:30:00 PM,4.12,4.12
02-Jul-20,10:00:00 PM,4.18,4.19
02-Jul-20,10:30:00 PM,4.35,4.35
02-Jul-20,11:00:00 PM,4.02,4.02
02-Jul-20,11:30:00 PM,3.58,3.58
03-Jul-20,12:00:00 AM,3.25,3.25
03-Jul-20,12:30:00 AM,3.12,3.12
03-Jul-20,1:00:00 AM,3.03,3.03
03-Jul-20,1:30:00 AM,2.93,2.93
03-Jul-20,2:00:00 AM,2.87,2.87
03-Jul-20,2:30:00 AM,2.87,2.87
03-Jul-20,3:00:00 AM,2.91,2.91
03-Jul-20,3:30:00 AM,2.92,2.92
03-Jul-20,4:00:00 AM,3.01,3.01
03-Jul-20,4:30:00 AM,3.07,3.07
03-Jul-20,5:00:00 AM,3.26,3.26
03-Jul-20,5:30:00 AM,3.56,3.56
03-Jul-20,6:00:00 AM,3.93,3.94
03-Jul-20,6:30:00 AM,4.18,4.19
03-Jul-20,7:00:00 AM,4.48,4.48
03-Jul-20,7:30:00 AM,4.54,4.54
03-Jul-20,8:00:00 AM,4.34,4.34
03-Jul-20,8:30:00 AM,3.96,3.96
03-Jul-20,9:00:00 AM,3.57,3.58
03-Jul-20,9:30:00 AM,2.97,3.00
03-Jul-20,10:00:00 AM,2.49,2.53
03-Jul-20,10:30:00 AM,2.04,2.11
03-Jul-20,11:00:00 AM,1.69,1.75
03-Jul-20,11:30:00 AM,1.65,1.73
03-Jul-20,12:00:00 PM,1.68,1.79
03-Jul-20,12:30:00 PM,1.70,1.80
03-Jul-20,1:00:00 PM,1.80,1.88
03-Jul-20,1:30:00 PM,2.15,2.20
03-Jul-20,2:00:00 PM,2.09,2.14
03-Jul-20,2:30:00 PM,2.68,2.71
03-Jul-20,3:00:00 PM,3.10,3.11
03-Jul-20,3:30:00 PM,3.18,3.20
03-Jul-20,4:00:00 PM,3.72,3.73
03-Jul-20,4:30:00 PM,3.85,3.87
03-Jul-20,5:00:00 PM,3.94,3.95
03-Jul-20,5:30:00 PM,4.08,4.10
03-Jul-20,6:00:00 PM,4.11,4.13
03-Jul-20,6:30:00 PM,4.26,4.27
03-Jul-20,7:00:00 PM,4.12,4.12
03-Jul-20,7:30:00 PM,4.13,4.14
03-Jul-20,8:00:00 PM,4.18,4.19
03-Jul-20,8:30:00 PM,4.02,4.03
03-Jul-20,9:00:00 PM,3.84,3.84
03-Jul-20,9:30:00 PM,3.68,3.68
03-Jul-20,10:00:00 PM,3.64,3.64
03-Jul-20,10:30:00 PM,3.83,3.83
03-Jul-20,11:00:00 PM,3.60,3.60
03-Jul-20,11:30:00 PM,3.20,3.20
04-Jul-20,12:00:00 AM,3.02,3.02
04-Jul-20,12:30:00 AM,2.81,2.81
04-Jul-20,1:00:00 AM,2.72,2.72
04-Jul-20,1:30:00 AM,2.61,2.61
04-Jul-20,2:00:00 AM,2.60,2.60
04-Jul-20,2:30:00 AM,2.58,2.58
04-Jul-20,3:00:00 AM,2.62,2.62
04-Jul-20,3:30:00 AM,2.61,2.61
04-Jul-20,4:00:00 AM,2.60,2.60
04-Jul-20,4:30:00 AM,2.69,2.69
04-Jul-20,5:00:00 AM,2.77,2.77
04-Jul-20,5:30:00 AM,2.93,2.93
04-Jul-20,6:00:00 AM,3.15,3.15
04-Jul-20,6:30:00 AM,3.40,3.40
04-Jul-20,7:00:00 AM,3.50,3.50
04-Jul-20,7:30:00 AM,3.31,3.31
04-Jul-20,8:00:00 AM,3.10,3.10
04-Jul-20,8:30:00 AM,2.73,2.73
04-Jul-20,9:00:00 AM,2.33,2.34
04-Jul-20,9:30:00 AM,1.97,1.97
04-Jul-20,10:00:00 AM,1.66,1.67
04-Jul-20,10:30:00 AM,1.31,1.33
04-Jul-20,11:00:00 AM,1.19,1.22
04-Jul-20,11:30:00 AM,1.17,1.20
04-Jul-20,12:00:00 PM,1.05,1.09
04-Jul-20,12:30:00 PM,1.09,1.10
04-Jul-20,1:00:00 PM,1.15,1.16
04-Jul-20,1:30:00 PM,1.26,1.27
04-Jul-20,2:00:00 PM,1.47,1.48
04-Jul-20,2:30:00 PM,1.70,1.70
04-Jul-20,3:00:00 PM,2.17,2.18
04-Jul-20,3:30:00 PM,2.63,2.64
04-Jul-20,4:00:00 PM,3.27,3.28
04-Jul-20,4:30:00 PM,3.81,3.82
04-Jul-20,5:00:00 PM,4.33,4.34
04-Jul-20,5:30:00 PM,4.64,4.65
