Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.00,0.00
01-Jul-20,12:30:00 AM,0.00,0.00
01-Jul-20,1:00:00 AM,0.00,0.00
01-Jul-20,1:30:00 AM,0.00,0.00
01-Jul-20,2:00:00 AM,0.00,0.00
01-Jul-20,2:30:00 AM,0.00,0.00
01-Jul-20,3:00:00 AM,0.00,0.00
01-Jul-20,3:30:00 AM,0.00,0.00
01-Jul-20,4:00:00 AM,0.00,0.00
01-Jul-20,4:30:00 AM,0.00,0.00
01-Jul-20,5:00:00 AM,0.00,0.00
01-Jul-20,5:30:00 AM,0.00,0.00
01-Jul-20,6:00:00 AM,0.00,0.00
01-Jul-20,6:30:00 AM,0.00,0.00
01-Jul-20,7:00:00 AM,0.00,0.00
01-Jul-20,7:30:00 AM,0.00,0.00
01-Jul-20,8:00:00 AM,0.00,0.00
01-Jul-20,8:30:00 AM,0.00,0.00
01-Jul-20,9:00:00 AM,0.00,0.00
01-Jul-20,9:30:00 AM,0.00,0.00
01-Jul-20,10:00:00 AM,0.00,0.00
01-Jul-20,10:30:00 AM,0.00,0.00
01-Jul-20,11:00:00 AM,0.00,0.00
01-Jul-20,11:30:00 AM,0.00,0.00
01-Jul-20,12:00:00 PM,0.00,0.00
01-Jul-20,12:30:00 PM,0.00,0.00
01-Jul-20,1:00:00 PM,0.00,0.00
01-Jul-20,1:30:00 PM,0.00,0.00
01-Jul-20,2:00:00 PM,0.00,0.00
01-Jul-20,2:30:00 PM,0.00,0.00
01-Jul-20,3:00:00 PM,0.00,0.00
01-Jul-20,3:30:00 PM,0.00,0.00
01-Jul-20,4:00:00 PM,0.00,0.00
01-Jul-20,4:30:00 PM,0.00,0.00
01-Jul-20,5:00:00 PM,0.00,0.00
01-Jul-20,5:30:00 PM,0.00,0.00
01-Jul-20,6:00:00 PM,0.00,0.00
01-Jul-20,6:30:00 PM,0.00,0.00
01-Jul-20,7:00:00 PM,0.00,0.00
01-Jul-20,7:30:00 PM,0.00,0.00
01-Jul-20,8:00:00 PM,0.00,0.00
01-Jul-20,8:30:00 PM,0.00,0.00
01-Jul-20,9:00:00 PM,0.00,0.00
01-Jul-20,9:30:00 PM,0.00,0.00
01-Jul-20,10:00:00 PM,0.00,0.00
01-Jul-20,10:30:00 PM,0.00,0.00
01-Jul-20,11:00:00 PM,0.00,0.00
01-Jul-20,11:30:00 PM,0.00,0.00
02-Jul-20,12:00:00 AM,0.00,0.00
02-Jul-20,12:30:00 AM,0.00,0.00
02-Jul-20,1:00:00 AM,0.00,0.00
02-Jul-20,1:30:00 AM,0.00,0.00
02-Jul-20,2:00:00 AM,0.00,0.00
02-Jul-20,2:30:00 AM,0.00,0.00
02-Jul-20,3:00:00 AM,0.00,0.00
02-Jul-20,3:30:00 AM,0.00,0.00
02-Jul-20,4:00:00 AM,0.00,0.00
02-Jul-20,4:30:00 AM,0.00,0.00
