Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,18.32,18.33
01-Jul-20,12:30:00 AM,17.01,17.02
01-Jul-20,1:00:00 AM,16.18,16.19
01-Jul-20,1:30:00 AM,15.44,15.45
01-Jul-20,2:00:00 AM,14.96,14.97
01-Jul-20,2:30:00 AM,14.88,14.90
01-Jul-20,3:00:00 AM,14.94,14.96
01-Jul-20,3:30:00 AM,15.01,15.03
01-Jul-20,4:00:00 AM,15.50,15.51
01-Jul-20,4:30:00 AM,16.19,16.19
01-Jul-20,5:00:00 AM,17.43,17.43
01-Jul-20,5:30:00 AM,18.79,18.79
01-Jul-20,6:00:00 AM,20.74,20.74
01-Jul-20,6:30:00 AM,21.64,21.64
01-Jul-20,7:00:00 AM,23.06,23.06
01-Jul-20,7:30:00 AM,23.39,23.39
01-Jul-20,8:00:00 AM,21.85,21.85
01-Jul-20,8:30:00 AM,20.30,20.31
01-Jul-20,9:00:00 AM,17.27,17.28
01-Jul-20,9:30:00 AM,15.33,15.34
01-Jul-20,10:00:00 AM,13.57,13.59
01-Jul-20,10:30:00 AM,12.47,12.50
01-Jul-20,11:00:00 AM,11.57,11.61
01-Jul-20,11:30:00 AM,10.87,10.92
01-Jul-20,12:00:00 PM,10.98,11.06
01-Jul-20,12:30:00 PM,11.68,11.74
01-Jul-20,1:00:00 PM,11.66,11.72
01-Jul-20,1:30:00 PM,12.57,12.64
01-Jul-20,2:00:00 PM,13.98,14.05
01-Jul-20,2:30:00 PM,15.59,15.63
01-Jul-20,3:00:00 PM,16.48,16.51
01-Jul-20,3:30:00 PM,19.44,19.45
01-Jul-20,4:00:00 PM,20.66,20.67
01-Jul-20,4:30:00 PM,22.39,22.39
01-Jul-20,5:00:00 PM,25.19,25.20
01-Jul-20,5:30:00 PM,26.96,26.99
01-Jul-20,6:00:00 PM,29.44,29.47
01-Jul-20,6:30:00 PM,29.47,29.49
01-Jul-20,7:00:00 PM,28.24,28.25
01-Jul-20,7:30:00 PM,28.96,28.97
01-Jul-20,8:00:00 PM,28.10,28.11
