Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,15.19,15.25
01-Jul-20,12:30:00 AM,15.95,16.04
01-Jul-20,1:00:00 AM,15.29,15.36
01-Jul-20,1:30:00 AM,14.53,14.60
01-Jul-20,2:00:00 AM,14.69,14.77
01-Jul-20,2:30:00 AM,14.23,14.30
01-Jul-20,3:00:00 AM,14.83,14.91
01-Jul-20,3:30:00 AM,15.29,15.39
01-Jul-20,4:00:00 AM,15.34,15.44
01-Jul-20,4:30:00 AM,15.76,15.97
01-Jul-20,5:00:00 AM,17.16,17.43
01-Jul-20,5:30:00 AM,18.84,19.25
01-Jul-20,6:00:00 AM,20.38,20.86
01-Jul-20,6:30:00 AM,22.11,22.66
01-Jul-20,7:00:00 AM,23.69,24.29
01-Jul-20,7:30:00 AM,23.97,24.58
01-Jul-20,8:00:00 AM,24.25,24.83
01-Jul-20,8:30:00 AM,24.25,24.83
01-Jul-20,9:00:00 AM,24.25,24.83
01-Jul-20,9:30:00 AM,24.25,24.83
01-Jul-20,10:00:00 AM,24.25,24.83
01-Jul-20,10:30:00 AM,24.25,24.83
01-Jul-20,11:00:00 AM,24.25,24.83
01-Jul-20,11:30:00 AM,24.25,24.83
01-Jul-20,12:00:00 PM,24.25,24.83
01-Jul-20,12:30:00 PM,24.25,24.83
01-Jul-20,1:00:00 PM,24.25,24.83
01-Jul-20,1:30:00 PM,24.25,24.83
01-Jul-20,2:00:00 PM,24.25,24.83
01-Jul-20,2:30:00 PM,24.25,24.83
01-Jul-20,3:00:00 PM,24.25,24.83
01-Jul-20,3:30:00 PM,24.25,24.83
01-Jul-20,4:00:00 PM,24.25,24.83
01-Jul-20,4:30:00 PM,24.25,24.83
01-Jul-20,5:00:00 PM,24.25,24.83
01-Jul-20,5:30:00 PM,24.25,24.83
01-Jul-20,6:00:00 PM,24.25,24.83
01-Jul-20,6:30:00 PM,24.25,24.83
01-Jul-20,7:00:00 PM,24.25,24.83
01-Jul-20,7:30:00 PM,24.25,24.83
01-Jul-20,8:00:00 PM,24.25,24.83
01-Jul-20,8:30:00 PM,24.25,24.83
01-Jul-20,9:00:00 PM,24.25,24.83
01-Jul-20,9:30:00 PM,24.25,24.83
01-Jul-20,10:00:00 PM,24.25,24.83
01-Jul-20,10:30:00 PM,24.25,24.83
01-Jul-20,11:00:00 PM,24.25,24.83
01-Jul-20,11:30:00 PM,24.25,24.83
02-Jul-20,12:00:00 AM,24.25,24.83
02-Jul-20,12:30:00 AM,24.25,24.83
02-Jul-20,1:00:00 AM,24.25,24.83
02-Jul-20,1:30:00 AM,24.25,24.83
02-Jul-20,2:00:00 AM,24.25,24.83
02-Jul-20,2:30:00 AM,24.25,24.83
02-Jul-20,3:00:00 AM,24.25,24.83
02-Jul-20,3:30:00 AM,24.25,24.83
02-Jul-20,4:00:00 AM,24.25,24.83
02-Jul-20,4:30:00 AM,24.25,24.83
02-Jul-20,5:00:00 AM,24.25,24.83
02-Jul-20,5:30:00 AM,24.25,24.83
02-Jul-20,6:00:00 AM,24.25,24.83
02-Jul-20,6:30:00 AM,24.25,24.83
02-Jul-20,7:00:00 AM,24.25,24.83
02-Jul-20,7:30:00 AM,24.25,24.83
02-Jul-20,8:00:00 AM,24.25,24.83
02-Jul-20,8:30:00 AM,24.25,24.83
02-Jul-20,9:00:00 AM,24.25,24.83
02-Jul-20,9:30:00 AM,24.25,24.83
02-Jul-20,10:00:00 AM,24.25,24.83
02-Jul-20,10:30:00 AM,24.25,24.83
02-Jul-20,11:00:00 AM,24.25,24.83
02-Jul-20,11:30:00 AM,24.25,24.83
02-Jul-20,12:00:00 PM,24.25,24.83
02-Jul-20,12:30:00 PM,24.25,24.83
02-Jul-20,1:00:00 PM,24.25,24.83
02-Jul-20,1:30:00 PM,24.25,24.83
02-Jul-20,2:00:00 PM,24.25,24.83
02-Jul-20,2:30:00 PM,24.25,24.83
02-Jul-20,3:00:00 PM,24.25,24.83
02-Jul-20,3:30:00 PM,24.25,24.83
02-Jul-20,4:00:00 PM,24.25,24.83
02-Jul-20,4:30:00 PM,24.25,24.83
02-Jul-20,5:00:00 PM,24.25,24.83
02-Jul-20,5:30:00 PM,24.25,24.83
02-Jul-20,6:00:00 PM,24.25,24.83
02-Jul-20,6:30:00 PM,24.25,24.83
02-Jul-20,7:00:00 PM,24.25,24.83
02-Jul-20,7:30:00 PM,24.25,24.83
02-Jul-20,8:00:00 PM,24.25,24.83
02-Jul-20,8:30:00 PM,24.25,24.83
02-Jul-20,9:00:00 PM,24.25,24.83
02-Jul-20,9:30:00 PM,24.25,24.83
02-Jul-20,10:00:00 PM,24.25,24.83
02-Jul-20,10:30:00 PM,24.25,24.83
02-Jul-20,11:00:00 PM,24.25,24.83
02-Jul-20,11:30:00 PM,24.25,24.83
03-Jul-20,12:00:00 AM,24.25,24.83
03-Jul-20,12:30:00 AM,24.25,24.83
03-Jul-20,1:00:00 AM,24.25,24.83
03-Jul-20,1:30:00 AM,24.25,24.83
03-Jul-20,2:00:00 AM,24.25,24.83
03-Jul-20,2:30:00 AM,24.25,24.83
03-Jul-20,3:00:00 AM,24.25,24.83
03-Jul-20,3:30:00 AM,24.25,24.83
03-Jul-20,4:00:00 AM,24.25,24.83
03-Jul-20,4:30:00 AM,24.25,24.83
03-Jul-20,5:00:00 AM,24.25,24.83
03-Jul-20,5:30:00 AM,24.25,24.83
03-Jul-20,6:00:00 AM,24.25,24.83
03-Jul-20,6:30:00 AM,24.25,24.83
03-Jul-20,7:00:00 AM,24.25,24.83
03-Jul-20,7:30:00 AM,24.25,24.83
03-Jul-20,8:00:00 AM,24.25,24.83
03-Jul-20,8:30:00 AM,24.25,24.83
03-Jul-20,9:00:00 AM,24.25,24.83
03-Jul-20,9:30:00 AM,24.25,24.83
03-Jul-20,10:00:00 AM,24.25,24.83
03-Jul-20,10:30:00 AM,24.25,24.83
03-Jul-20,11:00:00 AM,24.25,24.83
03-Jul-20,11:30:00 AM,24.25,24.83
03-Jul-20,12:00:00 PM,24.25,24.83
03-Jul-20,12:30:00 PM,24.25,24.83
03-Jul-20,1:00:00 PM,24.25,24.83
03-Jul-20,1:30:00 PM,24.25,24.83
03-Jul-20,2:00:00 PM,24.25,24.83
03-Jul-20,2:30:00 PM,24.25,24.83
03-Jul-20,3:00:00 PM,24.25,24.83
03-Jul-20,3:30:00 PM,24.25,24.83
03-Jul-20,4:00:00 PM,24.25,24.83
03-Jul-20,4:30:00 PM,24.25,24.83
03-Jul-20,5:00:00 PM,24.25,24.83
03-Jul-20,5:30:00 PM,24.25,24.83
03-Jul-20,6:00:00 PM,24.25,24.83
03-Jul-20,6:30:00 PM,24.25,24.83
03-Jul-20,7:00:00 PM,24.25,24.83
03-Jul-20,7:30:00 PM,24.25,24.83
03-Jul-20,8:00:00 PM,24.25,24.83
03-Jul-20,8:30:00 PM,24.25,24.83
03-Jul-20,9:00:00 PM,24.25,24.83
03-Jul-20,9:30:00 PM,24.25,24.83
03-Jul-20,10:00:00 PM,24.25,24.83
03-Jul-20,10:30:00 PM,24.25,24.83
03-Jul-20,11:00:00 PM,24.25,24.83
