Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.48,9.50
01-Jul-20,12:30:00 AM,8.81,8.83
01-Jul-20,1:00:00 AM,8.31,8.33
01-Jul-20,1:30:00 AM,7.91,7.94
01-Jul-20,2:00:00 AM,7.79,7.82
01-Jul-20,2:30:00 AM,7.73,7.75
01-Jul-20,3:00:00 AM,7.74,7.76
01-Jul-20,3:30:00 AM,7.78,7.81
01-Jul-20,4:00:00 AM,8.12,8.14
01-Jul-20,4:30:00 AM,8.42,8.45
01-Jul-20,5:00:00 AM,9.18,9.20
01-Jul-20,5:30:00 AM,9.90,9.91
01-Jul-20,6:00:00 AM,11.28,11.28
01-Jul-20,6:30:00 AM,12.56,12.56
01-Jul-20,7:00:00 AM,13.19,13.19
01-Jul-20,7:30:00 AM,12.02,12.02
01-Jul-20,8:00:00 AM,10.89,10.90
01-Jul-20,8:30:00 AM,9.18,9.20
01-Jul-20,9:00:00 AM,7.27,7.28
01-Jul-20,9:30:00 AM,5.69,5.72
01-Jul-20,10:00:00 AM,4.93,4.97
01-Jul-20,10:30:00 AM,4.20,4.25
01-Jul-20,11:00:00 AM,4.06,4.08
01-Jul-20,11:30:00 AM,5.19,5.20
01-Jul-20,12:00:00 PM,4.29,4.31
01-Jul-20,12:30:00 PM,3.96,3.98
01-Jul-20,1:00:00 PM,4.61,4.62
01-Jul-20,1:30:00 PM,8.47,8.49
01-Jul-20,2:00:00 PM,8.45,8.46
01-Jul-20,2:30:00 PM,8.75,8.75
01-Jul-20,3:00:00 PM,9.26,9.26
01-Jul-20,3:30:00 PM,9.32,9.32
01-Jul-20,4:00:00 PM,11.04,11.04
01-Jul-20,4:30:00 PM,13.04,13.04
01-Jul-20,5:00:00 PM,14.50,14.50
01-Jul-20,5:30:00 PM,15.88,15.89
01-Jul-20,6:00:00 PM,15.99,15.99
01-Jul-20,6:30:00 PM,16.28,16.28
01-Jul-20,7:00:00 PM,15.87,15.87
01-Jul-20,7:30:00 PM,15.44,15.44
01-Jul-20,8:00:00 PM,15.72,15.72
01-Jul-20,8:30:00 PM,14.96,14.96
01-Jul-20,9:00:00 PM,14.34,14.34
01-Jul-20,9:30:00 PM,13.67,13.67
01-Jul-20,10:00:00 PM,13.11,13.12
01-Jul-20,10:30:00 PM,13.08,13.08
01-Jul-20,11:00:00 PM,12.01,12.02
01-Jul-20,11:30:00 PM,10.78,10.79
02-Jul-20,12:00:00 AM,9.74,9.75
02-Jul-20,12:30:00 AM,8.99,9.01
02-Jul-20,1:00:00 AM,8.53,8.55
02-Jul-20,1:30:00 AM,8.21,8.23
02-Jul-20,2:00:00 AM,7.90,7.93
02-Jul-20,2:30:00 AM,7.81,7.84
02-Jul-20,3:00:00 AM,7.97,7.99
02-Jul-20,3:30:00 AM,7.87,7.90
02-Jul-20,4:00:00 AM,8.10,8.12
02-Jul-20,4:30:00 AM,8.50,8.53
02-Jul-20,5:00:00 AM,9.34,9.35
02-Jul-20,5:30:00 AM,10.19,10.20
02-Jul-20,6:00:00 AM,11.72,11.72
02-Jul-20,6:30:00 AM,12.65,12.65
02-Jul-20,7:00:00 AM,13.00,13.00
02-Jul-20,7:30:00 AM,11.89,11.89
02-Jul-20,8:00:00 AM,10.68,10.68
02-Jul-20,8:30:00 AM,9.52,9.53
02-Jul-20,9:00:00 AM,7.55,7.56
02-Jul-20,9:30:00 AM,7.42,7.43
02-Jul-20,10:00:00 AM,7.81,7.82
02-Jul-20,10:30:00 AM,4.99,5.02
02-Jul-20,11:00:00 AM,3.18,3.27
02-Jul-20,11:30:00 AM,2.40,2.49
02-Jul-20,12:00:00 PM,1.94,2.04
02-Jul-20,12:30:00 PM,4.17,4.24
02-Jul-20,1:00:00 PM,4.70,4.77
02-Jul-20,1:30:00 PM,4.50,4.59
02-Jul-20,2:00:00 PM,7.26,7.29
02-Jul-20,2:30:00 PM,6.71,6.73
02-Jul-20,3:00:00 PM,6.86,6.87
02-Jul-20,3:30:00 PM,8.76,8.76
02-Jul-20,4:00:00 PM,10.50,10.50
02-Jul-20,4:30:00 PM,12.53,12.53
02-Jul-20,5:00:00 PM,13.96,13.96
02-Jul-20,5:30:00 PM,14.98,14.99
02-Jul-20,6:00:00 PM,14.86,14.86
02-Jul-20,6:30:00 PM,15.03,15.03
02-Jul-20,7:00:00 PM,14.78,14.78
02-Jul-20,7:30:00 PM,14.60,14.60
02-Jul-20,8:00:00 PM,14.88,14.88
02-Jul-20,8:30:00 PM,14.27,14.27
02-Jul-20,9:00:00 PM,13.69,13.69
02-Jul-20,9:30:00 PM,13.13,13.13
02-Jul-20,10:00:00 PM,12.81,12.81
02-Jul-20,10:30:00 PM,12.74,12.75
02-Jul-20,11:00:00 PM,11.62,11.63
02-Jul-20,11:30:00 PM,10.46,10.47
03-Jul-20,12:00:00 AM,9.48,9.50
03-Jul-20,12:30:00 AM,8.87,8.89
03-Jul-20,1:00:00 AM,8.33,8.35
03-Jul-20,1:30:00 AM,8.01,8.03
03-Jul-20,2:00:00 AM,7.78,7.81
03-Jul-20,2:30:00 AM,7.70,7.72
03-Jul-20,3:00:00 AM,7.69,7.72
03-Jul-20,3:30:00 AM,7.63,7.67
03-Jul-20,4:00:00 AM,7.86,7.88
03-Jul-20,4:30:00 AM,8.33,8.35
03-Jul-20,5:00:00 AM,8.93,8.95
03-Jul-20,5:30:00 AM,10.10,10.11
03-Jul-20,6:00:00 AM,11.16,11.16
03-Jul-20,6:30:00 AM,11.89,11.90
03-Jul-20,7:00:00 AM,12.46,12.46
03-Jul-20,7:30:00 AM,11.62,11.62
03-Jul-20,8:00:00 AM,10.19,10.19
03-Jul-20,8:30:00 AM,8.54,8.54
03-Jul-20,9:00:00 AM,6.80,6.80
03-Jul-20,9:30:00 AM,5.37,5.37
03-Jul-20,10:00:00 AM,4.31,4.32
03-Jul-20,10:30:00 AM,3.14,3.16
03-Jul-20,11:00:00 AM,2.48,2.50
03-Jul-20,11:30:00 AM,2.08,2.13
03-Jul-20,12:00:00 PM,1.91,1.96
03-Jul-20,12:30:00 PM,2.12,2.17
03-Jul-20,1:00:00 PM,2.21,2.25
03-Jul-20,1:30:00 PM,2.79,2.81
03-Jul-20,2:00:00 PM,4.05,4.06
03-Jul-20,2:30:00 PM,5.13,5.13
03-Jul-20,3:00:00 PM,6.76,6.76
03-Jul-20,3:30:00 PM,8.38,8.38
03-Jul-20,4:00:00 PM,10.83,10.83
03-Jul-20,4:30:00 PM,12.22,12.22
03-Jul-20,5:00:00 PM,12.93,12.93
03-Jul-20,5:30:00 PM,13.73,13.74
03-Jul-20,6:00:00 PM,13.70,13.71
03-Jul-20,6:30:00 PM,14.02,14.02
03-Jul-20,7:00:00 PM,13.76,13.76
03-Jul-20,7:30:00 PM,13.59,13.59
03-Jul-20,8:00:00 PM,13.75,13.75
03-Jul-20,8:30:00 PM,13.21,13.21
03-Jul-20,9:00:00 PM,12.74,12.74
03-Jul-20,9:30:00 PM,12.26,12.27
03-Jul-20,10:00:00 PM,12.00,12.00
03-Jul-20,10:30:00 PM,11.97,11.98
03-Jul-20,11:00:00 PM,11.06,11.06
03-Jul-20,11:30:00 PM,9.91,9.92
04-Jul-20,12:00:00 AM,8.96,8.97
04-Jul-20,12:30:00 AM,8.25,8.27
04-Jul-20,1:00:00 AM,7.84,7.86
04-Jul-20,1:30:00 AM,7.46,7.48
04-Jul-20,2:00:00 AM,7.28,7.30
04-Jul-20,2:30:00 AM,7.19,7.21
04-Jul-20,3:00:00 AM,7.16,7.18
04-Jul-20,3:30:00 AM,7.22,7.24
04-Jul-20,4:00:00 AM,7.27,7.30
04-Jul-20,4:30:00 AM,7.55,7.57
04-Jul-20,5:00:00 AM,7.69,7.72
04-Jul-20,5:30:00 AM,8.10,8.12
04-Jul-20,6:00:00 AM,8.75,8.76
04-Jul-20,6:30:00 AM,9.26,9.29
04-Jul-20,7:00:00 AM,9.80,9.82
04-Jul-20,7:30:00 AM,9.13,9.15
04-Jul-20,8:00:00 AM,8.22,8.24
04-Jul-20,8:30:00 AM,6.88,6.89
04-Jul-20,9:00:00 AM,5.53,5.54
04-Jul-20,9:30:00 AM,4.21,4.22
04-Jul-20,10:00:00 AM,3.21,3.21
04-Jul-20,10:30:00 AM,2.10,2.11
04-Jul-20,11:00:00 AM,1.51,1.52
04-Jul-20,11:30:00 AM,1.17,1.17
04-Jul-20,12:00:00 PM,0.95,0.95
04-Jul-20,12:30:00 PM,0.92,0.92
04-Jul-20,1:00:00 PM,1.20,1.20
04-Jul-20,1:30:00 PM,1.93,1.94
04-Jul-20,2:00:00 PM,3.01,3.01
04-Jul-20,2:30:00 PM,4.42,4.42
04-Jul-20,3:00:00 PM,5.72,5.73
04-Jul-20,3:30:00 PM,7.66,7.68
04-Jul-20,4:00:00 PM,9.78,9.80
04-Jul-20,4:30:00 PM,11.95,11.96
04-Jul-20,5:00:00 PM,13.54,13.54
04-Jul-20,5:30:00 PM,14.89,14.89
04-Jul-20,6:00:00 PM,14.84,14.85
04-Jul-20,6:30:00 PM,15.03,15.03
04-Jul-20,7:00:00 PM,14.77,14.77
04-Jul-20,7:30:00 PM,14.75,14.75
04-Jul-20,8:00:00 PM,14.99,14.99
04-Jul-20,8:30:00 PM,14.21,14.21
04-Jul-20,9:00:00 PM,13.71,13.71
04-Jul-20,9:30:00 PM,13.50,13.50
04-Jul-20,10:00:00 PM,13.11,13.12
04-Jul-20,10:30:00 PM,13.28,13.28
04-Jul-20,11:00:00 PM,12.13,12.14
04-Jul-20,11:30:00 PM,10.86,10.87
05-Jul-20,12:00:00 AM,9.66,9.68
05-Jul-20,12:30:00 AM,9.00,9.02
05-Jul-20,1:00:00 AM,8.55,8.57
05-Jul-20,1:30:00 AM,8.22,8.25
05-Jul-20,2:00:00 AM,7.92,7.94
05-Jul-20,2:30:00 AM,7.78,7.81
05-Jul-20,3:00:00 AM,7.77,7.80
05-Jul-20,3:30:00 AM,7.82,7.85
05-Jul-20,4:00:00 AM,7.76,7.79
05-Jul-20,4:30:00 AM,7.98,8.00
05-Jul-20,5:00:00 AM,8.47,8.49
05-Jul-20,5:30:00 AM,8.89,8.90
05-Jul-20,6:00:00 AM,9.59,9.61
