Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.37,5.43
01-Jul-20,12:30:00 AM,5.20,5.26
01-Jul-20,1:00:00 AM,5.03,5.09
01-Jul-20,1:30:00 AM,4.96,5.02
01-Jul-20,2:00:00 AM,4.91,4.97
01-Jul-20,2:30:00 AM,4.86,4.93
01-Jul-20,3:00:00 AM,4.85,4.93
01-Jul-20,3:30:00 AM,4.89,4.96
01-Jul-20,4:00:00 AM,4.88,4.95
01-Jul-20,4:30:00 AM,5.04,5.10
01-Jul-20,5:00:00 AM,5.76,5.80
01-Jul-20,5:30:00 AM,6.19,6.22
01-Jul-20,6:00:00 AM,6.89,6.91
01-Jul-20,6:30:00 AM,7.49,7.51
01-Jul-20,7:00:00 AM,8.35,8.36
01-Jul-20,7:30:00 AM,8.78,8.78
01-Jul-20,8:00:00 AM,8.81,8.82
01-Jul-20,8:30:00 AM,8.40,8.40
01-Jul-20,9:00:00 AM,7.87,7.87
01-Jul-20,9:30:00 AM,7.52,7.52
01-Jul-20,10:00:00 AM,7.28,7.28
01-Jul-20,10:30:00 AM,6.89,6.89
01-Jul-20,11:00:00 AM,6.64,6.64
01-Jul-20,11:30:00 AM,6.52,6.52
01-Jul-20,12:00:00 PM,6.72,6.72
01-Jul-20,12:30:00 PM,7.25,7.25
01-Jul-20,1:00:00 PM,6.53,6.53
01-Jul-20,1:30:00 PM,6.99,6.99
01-Jul-20,2:00:00 PM,7.46,7.46
01-Jul-20,2:30:00 PM,7.44,7.45
01-Jul-20,3:00:00 PM,7.38,7.38
01-Jul-20,3:30:00 PM,7.41,7.41
01-Jul-20,4:00:00 PM,7.58,7.58
01-Jul-20,4:30:00 PM,8.01,8.01
01-Jul-20,5:00:00 PM,8.78,8.78
01-Jul-20,5:30:00 PM,9.74,9.74
01-Jul-20,6:00:00 PM,10.00,10.00
01-Jul-20,6:30:00 PM,9.97,9.97
01-Jul-20,7:00:00 PM,9.83,9.83
01-Jul-20,7:30:00 PM,9.56,9.57
01-Jul-20,8:00:00 PM,9.30,9.30
01-Jul-20,8:30:00 PM,8.93,8.93
01-Jul-20,9:00:00 PM,8.33,8.34
01-Jul-20,9:30:00 PM,7.73,7.75
01-Jul-20,10:00:00 PM,7.17,7.20
01-Jul-20,10:30:00 PM,6.62,6.66
01-Jul-20,11:00:00 PM,6.11,6.15
01-Jul-20,11:30:00 PM,5.78,5.83
02-Jul-20,12:00:00 AM,5.44,5.50
02-Jul-20,12:30:00 AM,5.20,5.26
02-Jul-20,1:00:00 AM,5.02,5.08
02-Jul-20,1:30:00 AM,4.93,4.99
02-Jul-20,2:00:00 AM,4.85,4.91
02-Jul-20,2:30:00 AM,4.84,4.92
02-Jul-20,3:00:00 AM,4.83,4.91
02-Jul-20,3:30:00 AM,4.87,4.94
02-Jul-20,4:00:00 AM,4.88,4.95
02-Jul-20,4:30:00 AM,5.06,5.12
02-Jul-20,5:00:00 AM,5.77,5.81
02-Jul-20,5:30:00 AM,6.24,6.27
02-Jul-20,6:00:00 AM,6.99,7.00
02-Jul-20,6:30:00 AM,7.47,7.48
02-Jul-20,7:00:00 AM,8.21,8.22
02-Jul-20,7:30:00 AM,8.57,8.57
02-Jul-20,8:00:00 AM,8.43,8.43
02-Jul-20,8:30:00 AM,8.31,8.31
02-Jul-20,9:00:00 AM,8.04,8.04
02-Jul-20,9:30:00 AM,7.54,7.54
02-Jul-20,10:00:00 AM,7.39,7.39
02-Jul-20,10:30:00 AM,7.26,7.26
02-Jul-20,11:00:00 AM,7.02,7.02
02-Jul-20,11:30:00 AM,6.73,6.73
02-Jul-20,12:00:00 PM,7.11,7.11
02-Jul-20,12:30:00 PM,6.95,6.95
02-Jul-20,1:00:00 PM,6.94,6.94
02-Jul-20,1:30:00 PM,6.70,6.70
02-Jul-20,2:00:00 PM,6.71,6.71
02-Jul-20,2:30:00 PM,7.12,7.12
02-Jul-20,3:00:00 PM,7.21,7.21
02-Jul-20,3:30:00 PM,7.45,7.45
02-Jul-20,4:00:00 PM,7.54,7.55
02-Jul-20,4:30:00 PM,8.02,8.03
02-Jul-20,5:00:00 PM,8.70,8.70
02-Jul-20,5:30:00 PM,9.64,9.64
02-Jul-20,6:00:00 PM,9.95,9.95
02-Jul-20,6:30:00 PM,9.88,9.88
02-Jul-20,7:00:00 PM,9.55,9.56
02-Jul-20,7:30:00 PM,9.38,9.38
02-Jul-20,8:00:00 PM,9.14,9.14
02-Jul-20,8:30:00 PM,8.66,8.66
02-Jul-20,9:00:00 PM,8.05,8.06
02-Jul-20,9:30:00 PM,7.56,7.58
02-Jul-20,10:00:00 PM,7.05,7.08
02-Jul-20,10:30:00 PM,6.63,6.66
02-Jul-20,11:00:00 PM,6.08,6.12
02-Jul-20,11:30:00 PM,5.71,5.75
03-Jul-20,12:00:00 AM,5.35,5.40
03-Jul-20,12:30:00 AM,5.15,5.21
03-Jul-20,1:00:00 AM,4.98,5.04
03-Jul-20,1:30:00 AM,4.92,4.98
03-Jul-20,2:00:00 AM,4.91,4.97
03-Jul-20,2:30:00 AM,4.85,4.91
03-Jul-20,3:00:00 AM,4.85,4.92
03-Jul-20,3:30:00 AM,4.89,4.95
03-Jul-20,4:00:00 AM,4.91,4.97
03-Jul-20,4:30:00 AM,5.08,5.14
03-Jul-20,5:00:00 AM,5.79,5.83
03-Jul-20,5:30:00 AM,6.13,6.16
03-Jul-20,6:00:00 AM,6.93,6.94
03-Jul-20,6:30:00 AM,7.38,7.39
03-Jul-20,7:00:00 AM,8.06,8.07
03-Jul-20,7:30:00 AM,8.41,8.42
03-Jul-20,8:00:00 AM,8.57,8.57
03-Jul-20,8:30:00 AM,8.46,8.46
03-Jul-20,9:00:00 AM,7.82,7.82
03-Jul-20,9:30:00 AM,7.43,7.43
03-Jul-20,10:00:00 AM,7.03,7.03
03-Jul-20,10:30:00 AM,6.75,6.75
03-Jul-20,11:00:00 AM,6.56,6.56
03-Jul-20,11:30:00 AM,6.52,6.52
03-Jul-20,12:00:00 PM,6.45,6.45
03-Jul-20,12:30:00 PM,6.39,6.39
03-Jul-20,1:00:00 PM,6.39,6.39
03-Jul-20,1:30:00 PM,6.58,6.58
03-Jul-20,2:00:00 PM,6.79,6.79
03-Jul-20,2:30:00 PM,7.02,7.02
03-Jul-20,3:00:00 PM,6.91,6.91
03-Jul-20,3:30:00 PM,7.34,7.34
03-Jul-20,4:00:00 PM,7.77,7.77
03-Jul-20,4:30:00 PM,7.98,7.98
03-Jul-20,5:00:00 PM,8.66,8.66
03-Jul-20,5:30:00 PM,9.28,9.28
03-Jul-20,6:00:00 PM,9.30,9.30
03-Jul-20,6:30:00 PM,9.24,9.24
03-Jul-20,7:00:00 PM,8.94,8.94
03-Jul-20,7:30:00 PM,8.78,8.79
03-Jul-20,8:00:00 PM,8.57,8.57
03-Jul-20,8:30:00 PM,8.12,8.13
03-Jul-20,9:00:00 PM,7.67,7.69
03-Jul-20,9:30:00 PM,7.31,7.33
03-Jul-20,10:00:00 PM,6.83,6.86
03-Jul-20,10:30:00 PM,6.33,6.36
03-Jul-20,11:00:00 PM,5.99,6.02
03-Jul-20,11:30:00 PM,5.72,5.76
04-Jul-20,12:00:00 AM,5.47,5.51
04-Jul-20,12:30:00 AM,5.22,5.27
04-Jul-20,1:00:00 AM,5.02,5.08
04-Jul-20,1:30:00 AM,4.93,4.99
04-Jul-20,2:00:00 AM,4.86,4.91
04-Jul-20,2:30:00 AM,4.79,4.85
04-Jul-20,3:00:00 AM,4.67,4.74
04-Jul-20,3:30:00 AM,4.75,4.81
04-Jul-20,4:00:00 AM,4.69,4.75
04-Jul-20,4:30:00 AM,4.78,4.83
04-Jul-20,5:00:00 AM,4.93,4.99
04-Jul-20,5:30:00 AM,5.09,5.14
04-Jul-20,6:00:00 AM,5.44,5.49
04-Jul-20,6:30:00 AM,5.70,5.75
04-Jul-20,7:00:00 AM,6.10,6.15
04-Jul-20,7:30:00 AM,6.24,6.29
04-Jul-20,8:00:00 AM,6.42,6.46
04-Jul-20,8:30:00 AM,6.41,6.45
04-Jul-20,9:00:00 AM,6.43,6.46
04-Jul-20,9:30:00 AM,6.09,6.12
04-Jul-20,10:00:00 AM,5.84,5.87
04-Jul-20,10:30:00 AM,5.67,5.70
04-Jul-20,11:00:00 AM,5.58,5.61
04-Jul-20,11:30:00 AM,5.56,5.58
04-Jul-20,12:00:00 PM,5.33,5.36
04-Jul-20,12:30:00 PM,5.18,5.20
04-Jul-20,1:00:00 PM,5.39,5.41
04-Jul-20,1:30:00 PM,5.30,5.33
04-Jul-20,2:00:00 PM,5.61,5.64
04-Jul-20,2:30:00 PM,5.76,5.78
04-Jul-20,3:00:00 PM,6.03,6.06
04-Jul-20,3:30:00 PM,6.43,6.45
04-Jul-20,4:00:00 PM,6.79,6.82
04-Jul-20,4:30:00 PM,7.61,7.64
04-Jul-20,5:00:00 PM,8.51,8.52
04-Jul-20,5:30:00 PM,9.58,9.58
04-Jul-20,6:00:00 PM,9.88,9.88
04-Jul-20,6:30:00 PM,9.73,9.74
04-Jul-20,7:00:00 PM,9.45,9.46
04-Jul-20,7:30:00 PM,9.37,9.38
04-Jul-20,8:00:00 PM,9.27,9.27
04-Jul-20,8:30:00 PM,8.84,8.85
04-Jul-20,9:00:00 PM,8.66,8.67
04-Jul-20,9:30:00 PM,8.15,8.16
04-Jul-20,10:00:00 PM,7.59,7.61
04-Jul-20,10:30:00 PM,7.16,7.19
04-Jul-20,11:00:00 PM,6.77,6.80
04-Jul-20,11:30:00 PM,6.40,6.44
05-Jul-20,12:00:00 AM,5.94,5.98
05-Jul-20,12:30:00 AM,5.65,5.70
05-Jul-20,1:00:00 AM,5.54,5.59
05-Jul-20,1:30:00 AM,5.46,5.51
