Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.86,8.88
01-Jul-20,12:30:00 AM,8.29,8.30
01-Jul-20,1:00:00 AM,7.81,7.82
01-Jul-20,1:30:00 AM,7.57,7.58
01-Jul-20,2:00:00 AM,7.66,7.67
01-Jul-20,2:30:00 AM,9.23,9.23
01-Jul-20,3:00:00 AM,9.06,9.06
01-Jul-20,3:30:00 AM,8.79,8.79
01-Jul-20,4:00:00 AM,10.25,10.26
01-Jul-20,4:30:00 AM,9.77,9.77
01-Jul-20,5:00:00 AM,9.63,9.63
01-Jul-20,5:30:00 AM,10.90,10.91
01-Jul-20,6:00:00 AM,13.95,14.00
01-Jul-20,6:30:00 AM,13.93,13.96
01-Jul-20,7:00:00 AM,14.17,14.20
01-Jul-20,7:30:00 AM,15.60,15.65
01-Jul-20,8:00:00 AM,16.99,17.07
01-Jul-20,8:30:00 AM,14.62,14.68
01-Jul-20,9:00:00 AM,13.44,13.49
01-Jul-20,9:30:00 AM,12.02,12.10
01-Jul-20,10:00:00 AM,11.30,11.45
01-Jul-20,10:30:00 AM,10.97,11.13
01-Jul-20,11:00:00 AM,9.00,9.14
01-Jul-20,11:30:00 AM,8.60,8.76
01-Jul-20,12:00:00 PM,8.53,8.69
01-Jul-20,12:30:00 PM,8.58,8.70
01-Jul-20,1:00:00 PM,8.92,9.01
01-Jul-20,1:30:00 PM,9.28,9.36
01-Jul-20,2:00:00 PM,9.66,9.71
01-Jul-20,2:30:00 PM,10.94,10.97
01-Jul-20,3:00:00 PM,11.11,11.13
01-Jul-20,3:30:00 PM,11.26,11.26
01-Jul-20,4:00:00 PM,12.00,12.00
01-Jul-20,4:30:00 PM,13.26,13.26
01-Jul-20,5:00:00 PM,15.23,15.24
01-Jul-20,5:30:00 PM,15.80,15.81
01-Jul-20,6:00:00 PM,15.72,15.73
01-Jul-20,6:30:00 PM,15.48,15.48
01-Jul-20,7:00:00 PM,15.12,15.12
01-Jul-20,7:30:00 PM,14.68,14.68
01-Jul-20,8:00:00 PM,14.45,14.45
01-Jul-20,8:30:00 PM,13.21,13.21
01-Jul-20,9:00:00 PM,12.08,12.08
01-Jul-20,9:30:00 PM,10.86,10.86
01-Jul-20,10:00:00 PM,9.82,9.82
01-Jul-20,10:30:00 PM,8.95,8.95
01-Jul-20,11:00:00 PM,10.85,10.85
01-Jul-20,11:30:00 PM,9.92,9.93
02-Jul-20,12:00:00 AM,8.61,8.63
02-Jul-20,12:30:00 AM,7.92,7.94
02-Jul-20,1:00:00 AM,7.35,7.37
02-Jul-20,1:30:00 AM,7.15,7.16
02-Jul-20,2:00:00 AM,7.23,7.24
02-Jul-20,2:30:00 AM,7.11,7.11
02-Jul-20,3:00:00 AM,7.22,7.23
02-Jul-20,3:30:00 AM,7.47,7.47
02-Jul-20,4:00:00 AM,7.87,7.87
02-Jul-20,4:30:00 AM,8.61,8.61
02-Jul-20,5:00:00 AM,9.63,9.63
02-Jul-20,5:30:00 AM,10.28,10.29
02-Jul-20,6:00:00 AM,11.92,11.93
02-Jul-20,6:30:00 AM,11.98,11.99
02-Jul-20,7:00:00 AM,13.02,13.04
02-Jul-20,7:30:00 AM,13.16,13.19
02-Jul-20,8:00:00 AM,14.23,14.26
02-Jul-20,8:30:00 AM,14.06,14.10
02-Jul-20,9:00:00 AM,12.29,12.34
02-Jul-20,9:30:00 AM,12.08,12.12
02-Jul-20,10:00:00 AM,10.27,10.37
02-Jul-20,10:30:00 AM,10.23,10.30
02-Jul-20,11:00:00 AM,8.91,9.02
02-Jul-20,11:30:00 AM,8.04,8.16
02-Jul-20,12:00:00 PM,7.50,7.63
02-Jul-20,12:30:00 PM,7.82,7.92
02-Jul-20,1:00:00 PM,9.36,9.43
02-Jul-20,1:30:00 PM,9.35,9.42
02-Jul-20,2:00:00 PM,10.26,10.30
02-Jul-20,2:30:00 PM,10.32,10.36
02-Jul-20,3:00:00 PM,10.35,10.37
02-Jul-20,3:30:00 PM,10.52,10.53
02-Jul-20,4:00:00 PM,11.55,11.55
02-Jul-20,4:30:00 PM,12.88,12.88
02-Jul-20,5:00:00 PM,14.17,14.18
02-Jul-20,5:30:00 PM,15.11,15.13
02-Jul-20,6:00:00 PM,14.97,14.98
02-Jul-20,6:30:00 PM,14.63,14.63
02-Jul-20,7:00:00 PM,14.64,14.64
02-Jul-20,7:30:00 PM,14.52,14.52
02-Jul-20,8:00:00 PM,14.21,14.21
02-Jul-20,8:30:00 PM,13.08,13.08
02-Jul-20,9:00:00 PM,11.94,11.94
02-Jul-20,9:30:00 PM,10.75,10.76
02-Jul-20,10:00:00 PM,9.79,9.80
02-Jul-20,10:30:00 PM,8.86,8.87
02-Jul-20,11:00:00 PM,10.78,10.79
02-Jul-20,11:30:00 PM,9.90,9.91
03-Jul-20,12:00:00 AM,8.79,8.80
03-Jul-20,12:30:00 AM,7.85,7.87
03-Jul-20,1:00:00 AM,7.32,7.34
03-Jul-20,1:30:00 AM,6.97,6.99
03-Jul-20,2:00:00 AM,6.77,6.79
03-Jul-20,2:30:00 AM,6.81,6.83
03-Jul-20,3:00:00 AM,6.97,6.98
03-Jul-20,3:30:00 AM,7.18,7.19
03-Jul-20,4:00:00 AM,7.81,7.81
03-Jul-20,4:30:00 AM,8.26,8.27
03-Jul-20,5:00:00 AM,9.15,9.15
03-Jul-20,5:30:00 AM,9.76,9.76
03-Jul-20,6:00:00 AM,11.15,11.15
03-Jul-20,6:30:00 AM,11.53,11.53
03-Jul-20,7:00:00 AM,12.15,12.15
03-Jul-20,7:30:00 AM,12.28,12.30
03-Jul-20,8:00:00 AM,13.49,13.51
03-Jul-20,8:30:00 AM,12.54,12.57
03-Jul-20,9:00:00 AM,11.40,11.44
