Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.37,5.41
01-Jul-20,12:30:00 AM,5.35,5.39
01-Jul-20,1:00:00 AM,5.21,5.25
01-Jul-20,1:30:00 AM,5.00,5.04
01-Jul-20,2:00:00 AM,4.54,4.59
01-Jul-20,2:30:00 AM,4.16,4.22
01-Jul-20,3:00:00 AM,4.12,4.19
01-Jul-20,3:30:00 AM,3.96,4.02
01-Jul-20,4:00:00 AM,4.03,4.09
01-Jul-20,4:30:00 AM,4.18,4.23
01-Jul-20,5:00:00 AM,4.49,4.55
01-Jul-20,5:30:00 AM,5.00,5.03
01-Jul-20,6:00:00 AM,5.67,5.69
01-Jul-20,6:30:00 AM,6.37,6.38
01-Jul-20,7:00:00 AM,6.97,6.98
01-Jul-20,7:30:00 AM,7.08,7.09
01-Jul-20,8:00:00 AM,6.47,6.47
01-Jul-20,8:30:00 AM,5.82,5.82
01-Jul-20,9:00:00 AM,4.54,4.54
01-Jul-20,9:30:00 AM,3.77,3.77
01-Jul-20,10:00:00 AM,3.12,3.12
01-Jul-20,10:30:00 AM,2.45,2.45
01-Jul-20,11:00:00 AM,2.15,2.15
01-Jul-20,11:30:00 AM,2.97,2.97
01-Jul-20,12:00:00 PM,3.21,3.21
01-Jul-20,12:30:00 PM,2.14,2.14
01-Jul-20,1:00:00 PM,2.30,2.30
01-Jul-20,1:30:00 PM,3.03,3.03
01-Jul-20,2:00:00 PM,2.92,2.92
01-Jul-20,2:30:00 PM,3.19,3.19
01-Jul-20,3:00:00 PM,5.13,5.13
01-Jul-20,3:30:00 PM,5.01,5.01
01-Jul-20,4:00:00 PM,5.75,5.76
01-Jul-20,4:30:00 PM,6.74,6.74
01-Jul-20,5:00:00 PM,7.25,7.25
01-Jul-20,5:30:00 PM,7.97,7.97
01-Jul-20,6:00:00 PM,8.12,8.12
01-Jul-20,6:30:00 PM,7.98,7.99
01-Jul-20,7:00:00 PM,7.63,7.64
01-Jul-20,7:30:00 PM,7.40,7.42
01-Jul-20,8:00:00 PM,7.77,7.78
01-Jul-20,8:30:00 PM,8.17,8.18
01-Jul-20,9:00:00 PM,7.75,7.76
