Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.03,2.07
01-Jul-20,12:30:00 AM,1.96,2.00
01-Jul-20,1:00:00 AM,1.86,1.90
01-Jul-20,1:30:00 AM,1.84,1.89
01-Jul-20,2:00:00 AM,1.76,1.80
01-Jul-20,2:30:00 AM,1.71,1.74
01-Jul-20,3:00:00 AM,1.78,1.81
01-Jul-20,3:30:00 AM,1.78,1.81
01-Jul-20,4:00:00 AM,1.80,1.83
01-Jul-20,4:30:00 AM,1.93,1.95
01-Jul-20,5:00:00 AM,2.05,2.09
01-Jul-20,5:30:00 AM,2.31,2.36
01-Jul-20,6:00:00 AM,2.38,2.42
01-Jul-20,6:30:00 AM,2.57,2.63
01-Jul-20,7:00:00 AM,3.23,3.32
01-Jul-20,7:30:00 AM,2.92,3.01
01-Jul-20,8:00:00 AM,2.52,2.63
01-Jul-20,8:30:00 AM,2.16,2.26
01-Jul-20,9:00:00 AM,1.88,1.98
01-Jul-20,9:30:00 AM,1.58,1.71
01-Jul-20,10:00:00 AM,1.47,1.65
01-Jul-20,10:30:00 AM,1.36,1.53
01-Jul-20,11:00:00 AM,1.17,1.36
01-Jul-20,11:30:00 AM,1.16,1.33
01-Jul-20,12:00:00 PM,1.17,1.35
01-Jul-20,12:30:00 PM,0.98,1.15
01-Jul-20,1:00:00 PM,1.03,1.17
01-Jul-20,1:30:00 PM,1.26,1.40
01-Jul-20,2:00:00 PM,1.46,1.62
01-Jul-20,2:30:00 PM,1.45,1.53
01-Jul-20,3:00:00 PM,1.29,1.33
01-Jul-20,3:30:00 PM,1.56,1.61
01-Jul-20,4:00:00 PM,1.89,1.94
01-Jul-20,4:30:00 PM,2.18,2.24
01-Jul-20,5:00:00 PM,2.43,2.48
01-Jul-20,5:30:00 PM,2.61,2.67
01-Jul-20,6:00:00 PM,2.62,2.66
01-Jul-20,6:30:00 PM,2.61,2.66
01-Jul-20,7:00:00 PM,2.52,2.55
01-Jul-20,7:30:00 PM,2.43,2.48
01-Jul-20,8:00:00 PM,2.57,2.60
01-Jul-20,8:30:00 PM,2.51,2.54
01-Jul-20,9:00:00 PM,2.43,2.46
01-Jul-20,9:30:00 PM,2.30,2.33
01-Jul-20,10:00:00 PM,2.20,2.23
01-Jul-20,10:30:00 PM,2.24,2.26
01-Jul-20,11:00:00 PM,2.10,2.11
01-Jul-20,11:30:00 PM,1.83,1.84
02-Jul-20,12:00:00 AM,1.67,1.68
02-Jul-20,12:30:00 AM,1.54,1.54
02-Jul-20,1:00:00 AM,1.54,1.55
02-Jul-20,1:30:00 AM,1.43,1.44
02-Jul-20,2:00:00 AM,1.41,1.42
02-Jul-20,2:30:00 AM,1.43,1.44
02-Jul-20,3:00:00 AM,1.46,1.46
02-Jul-20,3:30:00 AM,1.47,1.47
02-Jul-20,4:00:00 AM,1.60,1.61
02-Jul-20,4:30:00 AM,1.65,1.66
02-Jul-20,5:00:00 AM,1.80,1.81
02-Jul-20,5:30:00 AM,1.90,1.91
02-Jul-20,6:00:00 AM,2.08,2.10
02-Jul-20,6:30:00 AM,2.27,2.30
02-Jul-20,7:00:00 AM,2.83,2.90
02-Jul-20,7:30:00 AM,2.77,2.85
02-Jul-20,8:00:00 AM,2.60,2.69
02-Jul-20,8:30:00 AM,2.21,2.29
02-Jul-20,9:00:00 AM,1.35,1.42
02-Jul-20,9:30:00 AM,1.77,1.93
02-Jul-20,10:00:00 AM,1.56,1.74
02-Jul-20,10:30:00 AM,1.95,2.12
02-Jul-20,11:00:00 AM,1.33,1.52
02-Jul-20,11:30:00 AM,1.18,1.41
02-Jul-20,12:00:00 PM,1.19,1.43
02-Jul-20,12:30:00 PM,1.16,1.40
02-Jul-20,1:00:00 PM,0.81,0.93
02-Jul-20,1:30:00 PM,1.40,1.62
02-Jul-20,2:00:00 PM,1.50,1.67
02-Jul-20,2:30:00 PM,1.75,1.90
02-Jul-20,3:00:00 PM,1.93,2.05
02-Jul-20,3:30:00 PM,2.08,2.18
02-Jul-20,4:00:00 PM,1.96,2.01
02-Jul-20,4:30:00 PM,2.21,2.28
02-Jul-20,5:00:00 PM,2.43,2.50
02-Jul-20,5:30:00 PM,2.71,2.77
02-Jul-20,6:00:00 PM,2.80,2.88
02-Jul-20,6:30:00 PM,2.81,2.88
02-Jul-20,7:00:00 PM,2.72,2.78
02-Jul-20,7:30:00 PM,2.59,2.66
02-Jul-20,8:00:00 PM,2.79,2.86
02-Jul-20,8:30:00 PM,2.56,2.60
02-Jul-20,9:00:00 PM,2.43,2.48
02-Jul-20,9:30:00 PM,2.30,2.34
02-Jul-20,10:00:00 PM,2.17,2.20
02-Jul-20,10:30:00 PM,2.24,2.27
02-Jul-20,11:00:00 PM,2.10,2.14
02-Jul-20,11:30:00 PM,1.92,1.95
03-Jul-20,12:00:00 AM,1.77,1.79
03-Jul-20,12:30:00 AM,1.69,1.72
03-Jul-20,1:00:00 AM,1.60,1.62
03-Jul-20,1:30:00 AM,1.52,1.54
03-Jul-20,2:00:00 AM,1.51,1.53
03-Jul-20,2:30:00 AM,1.47,1.49
03-Jul-20,3:00:00 AM,1.49,1.50
03-Jul-20,3:30:00 AM,1.55,1.56
03-Jul-20,4:00:00 AM,1.62,1.63
03-Jul-20,4:30:00 AM,1.69,1.71
03-Jul-20,5:00:00 AM,1.87,1.91
03-Jul-20,5:30:00 AM,1.99,2.01
03-Jul-20,6:00:00 AM,2.19,2.23
03-Jul-20,6:30:00 AM,2.27,2.31
03-Jul-20,7:00:00 AM,2.77,2.82
03-Jul-20,7:30:00 AM,2.75,2.81
03-Jul-20,8:00:00 AM,2.70,2.78
03-Jul-20,8:30:00 AM,2.54,2.63
03-Jul-20,9:00:00 AM,1.61,1.63
03-Jul-20,9:30:00 AM,1.69,1.78
03-Jul-20,10:00:00 AM,1.37,1.50
03-Jul-20,10:30:00 AM,1.26,1.42
03-Jul-20,11:00:00 AM,1.12,1.28
03-Jul-20,11:30:00 AM,1.15,1.33
03-Jul-20,12:00:00 PM,1.19,1.37
03-Jul-20,12:30:00 PM,1.16,1.34
03-Jul-20,1:00:00 PM,0.67,0.82
03-Jul-20,1:30:00 PM,1.22,1.45
03-Jul-20,2:00:00 PM,1.55,1.70
03-Jul-20,2:30:00 PM,1.78,1.89
03-Jul-20,3:00:00 PM,1.81,1.89
03-Jul-20,3:30:00 PM,1.65,1.68
03-Jul-20,4:00:00 PM,1.67,1.70
03-Jul-20,4:30:00 PM,1.96,2.01
03-Jul-20,5:00:00 PM,2.26,2.31
03-Jul-20,5:30:00 PM,2.61,2.68
03-Jul-20,6:00:00 PM,2.76,2.86
03-Jul-20,6:30:00 PM,2.79,2.88
03-Jul-20,7:00:00 PM,2.65,2.73
03-Jul-20,7:30:00 PM,2.51,2.58
03-Jul-20,8:00:00 PM,2.60,2.66
03-Jul-20,8:30:00 PM,2.52,2.58
03-Jul-20,9:00:00 PM,2.40,2.46
03-Jul-20,9:30:00 PM,2.30,2.34
03-Jul-20,10:00:00 PM,2.22,2.24
03-Jul-20,10:30:00 PM,2.28,2.31
03-Jul-20,11:00:00 PM,2.10,2.13
03-Jul-20,11:30:00 PM,1.88,1.91
04-Jul-20,12:00:00 AM,1.74,1.75
04-Jul-20,12:30:00 AM,1.64,1.67
04-Jul-20,1:00:00 AM,1.56,1.58
04-Jul-20,1:30:00 AM,1.55,1.58
04-Jul-20,2:00:00 AM,1.55,1.58
04-Jul-20,2:30:00 AM,1.53,1.55
04-Jul-20,3:00:00 AM,1.49,1.51
04-Jul-20,3:30:00 AM,1.47,1.48
04-Jul-20,4:00:00 AM,1.52,1.54
04-Jul-20,4:30:00 AM,1.58,1.59
04-Jul-20,5:00:00 AM,1.76,1.77
04-Jul-20,5:30:00 AM,1.81,1.84
04-Jul-20,6:00:00 AM,1.91,1.94
04-Jul-20,6:30:00 AM,2.09,2.12
04-Jul-20,7:00:00 AM,2.07,2.09
04-Jul-20,7:30:00 AM,1.92,1.94
04-Jul-20,8:00:00 AM,1.63,1.65
04-Jul-20,8:30:00 AM,1.39,1.44
04-Jul-20,9:00:00 AM,1.15,1.20
04-Jul-20,9:30:00 AM,0.98,1.03
04-Jul-20,10:00:00 AM,0.80,0.87
04-Jul-20,10:30:00 AM,0.62,0.73
04-Jul-20,11:00:00 AM,0.55,0.64
04-Jul-20,11:30:00 AM,0.45,0.58
04-Jul-20,12:00:00 PM,0.36,0.49
04-Jul-20,12:30:00 PM,0.45,0.56
04-Jul-20,1:00:00 PM,0.45,0.57
04-Jul-20,1:30:00 PM,0.59,0.69
04-Jul-20,2:00:00 PM,0.74,0.81
04-Jul-20,2:30:00 PM,0.89,0.93
04-Jul-20,3:00:00 PM,1.13,1.17
04-Jul-20,3:30:00 PM,1.42,1.47
04-Jul-20,4:00:00 PM,1.72,1.76
04-Jul-20,4:30:00 PM,2.12,2.16
04-Jul-20,5:00:00 PM,2.41,2.44
04-Jul-20,5:30:00 PM,2.71,2.76
04-Jul-20,6:00:00 PM,2.77,2.82
04-Jul-20,6:30:00 PM,2.67,2.71
04-Jul-20,7:00:00 PM,2.60,2.65
04-Jul-20,7:30:00 PM,2.60,2.64
04-Jul-20,8:00:00 PM,2.77,2.81
04-Jul-20,8:30:00 PM,2.58,2.61
04-Jul-20,9:00:00 PM,2.41,2.43
04-Jul-20,9:30:00 PM,2.25,2.27
04-Jul-20,10:00:00 PM,2.25,2.25
04-Jul-20,10:30:00 PM,2.23,2.24
04-Jul-20,11:00:00 PM,2.13,2.14
04-Jul-20,11:30:00 PM,1.97,1.98
05-Jul-20,12:00:00 AM,1.79,1.80
05-Jul-20,12:30:00 AM,1.71,1.71
05-Jul-20,1:00:00 AM,1.67,1.68
05-Jul-20,1:30:00 AM,1.59,1.59
05-Jul-20,2:00:00 AM,1.60,1.61
05-Jul-20,2:30:00 AM,1.60,1.61
05-Jul-20,3:00:00 AM,1.60,1.60
05-Jul-20,3:30:00 AM,1.53,1.54
05-Jul-20,4:00:00 AM,1.59,1.59
05-Jul-20,4:30:00 AM,1.69,1.70
05-Jul-20,5:00:00 AM,1.77,1.79
05-Jul-20,5:30:00 AM,1.91,1.92
05-Jul-20,6:00:00 AM,2.06,2.08
05-Jul-20,6:30:00 AM,2.25,2.27
05-Jul-20,7:00:00 AM,2.36,2.39
05-Jul-20,7:30:00 AM,2.19,2.21
05-Jul-20,8:00:00 AM,1.87,1.90
05-Jul-20,8:30:00 AM,1.65,1.67
05-Jul-20,9:00:00 AM,1.35,1.37
05-Jul-20,9:30:00 AM,1.00,1.01
05-Jul-20,10:00:00 AM,0.84,0.91
05-Jul-20,10:30:00 AM,0.69,0.77
05-Jul-20,11:00:00 AM,0.57,0.67
05-Jul-20,11:30:00 AM,0.45,0.53
05-Jul-20,12:00:00 PM,0.50,0.59
05-Jul-20,12:30:00 PM,0.56,0.63
05-Jul-20,1:00:00 PM,0.44,0.53
05-Jul-20,1:30:00 PM,0.63,0.68
05-Jul-20,2:00:00 PM,0.84,0.88
05-Jul-20,2:30:00 PM,1.22,1.28
05-Jul-20,3:00:00 PM,1.50,1.55
05-Jul-20,3:30:00 PM,1.56,1.62
05-Jul-20,4:00:00 PM,1.99,2.09
05-Jul-20,4:30:00 PM,2.30,2.36
05-Jul-20,5:00:00 PM,2.70,2.76
05-Jul-20,5:30:00 PM,2.96,3.03
05-Jul-20,6:00:00 PM,3.03,3.11
05-Jul-20,6:30:00 PM,3.08,3.15
05-Jul-20,7:00:00 PM,3.03,3.09
05-Jul-20,7:30:00 PM,2.93,2.99
05-Jul-20,8:00:00 PM,3.01,3.06
05-Jul-20,8:30:00 PM,2.86,2.92
05-Jul-20,9:00:00 PM,2.69,2.73
05-Jul-20,9:30:00 PM,2.57,2.58
05-Jul-20,10:00:00 PM,2.42,2.46
05-Jul-20,10:30:00 PM,2.39,2.42
05-Jul-20,11:00:00 PM,2.29,2.32
05-Jul-20,11:30:00 PM,2.16,2.19
06-Jul-20,12:00:00 AM,2.00,2.03
06-Jul-20,12:30:00 AM,1.90,1.92
06-Jul-20,1:00:00 AM,1.85,1.87
06-Jul-20,1:30:00 AM,1.79,1.81
06-Jul-20,2:00:00 AM,1.79,1.81
06-Jul-20,2:30:00 AM,1.76,1.78
06-Jul-20,3:00:00 AM,1.73,1.75
06-Jul-20,3:30:00 AM,1.79,1.81
06-Jul-20,4:00:00 AM,1.94,1.96
06-Jul-20,4:30:00 AM,2.07,2.09
06-Jul-20,5:00:00 AM,2.25,2.28
06-Jul-20,5:30:00 AM,2.48,2.53
06-Jul-20,6:00:00 AM,2.74,2.79
06-Jul-20,6:30:00 AM,2.87,2.94
06-Jul-20,7:00:00 AM,3.43,3.54
06-Jul-20,7:30:00 AM,3.27,3.37
06-Jul-20,8:00:00 AM,2.59,2.69
06-Jul-20,8:30:00 AM,2.26,2.37
06-Jul-20,9:00:00 AM,1.42,1.50
06-Jul-20,9:30:00 AM,1.61,1.73
06-Jul-20,10:00:00 AM,1.46,1.62
06-Jul-20,10:30:00 AM,1.31,1.49
06-Jul-20,11:00:00 AM,1.20,1.35
06-Jul-20,11:30:00 AM,1.09,1.28
06-Jul-20,12:00:00 PM,1.01,1.19
06-Jul-20,12:30:00 PM,0.95,1.13
06-Jul-20,1:00:00 PM,0.55,0.67
06-Jul-20,1:30:00 PM,0.93,1.05
06-Jul-20,2:00:00 PM,1.41,1.56
06-Jul-20,2:30:00 PM,1.57,1.71
06-Jul-20,3:00:00 PM,1.90,2.04
06-Jul-20,3:30:00 PM,2.15,2.29
06-Jul-20,4:00:00 PM,2.43,2.56
06-Jul-20,4:30:00 PM,2.63,2.73
06-Jul-20,5:00:00 PM,2.54,2.58
06-Jul-20,5:30:00 PM,2.84,2.92
06-Jul-20,6:00:00 PM,2.87,2.94
06-Jul-20,6:30:00 PM,2.94,3.02
06-Jul-20,7:00:00 PM,2.98,3.06
06-Jul-20,7:30:00 PM,2.86,2.93
06-Jul-20,8:00:00 PM,2.97,3.03
06-Jul-20,8:30:00 PM,2.83,2.89
06-Jul-20,9:00:00 PM,2.74,2.80
06-Jul-20,9:30:00 PM,2.60,2.65
06-Jul-20,10:00:00 PM,2.47,2.52
06-Jul-20,10:30:00 PM,2.45,2.48
06-Jul-20,11:00:00 PM,2.23,2.26
06-Jul-20,11:30:00 PM,2.09,2.11
07-Jul-20,12:00:00 AM,1.97,2.00
07-Jul-20,12:30:00 AM,1.92,1.95
07-Jul-20,1:00:00 AM,1.75,1.77
07-Jul-20,1:30:00 AM,1.73,1.75
07-Jul-20,2:00:00 AM,1.71,1.73
07-Jul-20,2:30:00 AM,1.70,1.72
07-Jul-20,3:00:00 AM,1.71,1.73
07-Jul-20,3:30:00 AM,1.73,1.75
07-Jul-20,4:00:00 AM,1.82,1.85
07-Jul-20,4:30:00 AM,1.93,1.95
07-Jul-20,5:00:00 AM,2.18,2.22
07-Jul-20,5:30:00 AM,2.41,2.45
07-Jul-20,6:00:00 AM,2.75,2.81
07-Jul-20,6:30:00 AM,3.01,3.09
07-Jul-20,7:00:00 AM,3.49,3.57
07-Jul-20,7:30:00 AM,3.13,3.24
07-Jul-20,8:00:00 AM,2.65,2.74
07-Jul-20,8:30:00 AM,2.11,2.20
07-Jul-20,9:00:00 AM,1.34,1.39
07-Jul-20,9:30:00 AM,1.53,1.64
07-Jul-20,10:00:00 AM,1.55,1.72
07-Jul-20,10:30:00 AM,1.38,1.56
07-Jul-20,11:00:00 AM,1.12,1.31
07-Jul-20,11:30:00 AM,1.11,1.31
07-Jul-20,12:00:00 PM,0.96,1.18
07-Jul-20,12:30:00 PM,1.03,1.22
07-Jul-20,1:00:00 PM,0.46,0.54
07-Jul-20,1:30:00 PM,1.05,1.21
07-Jul-20,2:00:00 PM,1.44,1.60
07-Jul-20,2:30:00 PM,1.70,1.90
07-Jul-20,3:00:00 PM,1.95,2.12
07-Jul-20,3:30:00 PM,2.23,2.38
07-Jul-20,4:00:00 PM,2.47,2.60
07-Jul-20,4:30:00 PM,2.32,2.41
07-Jul-20,5:00:00 PM,2.34,2.40
07-Jul-20,5:30:00 PM,2.64,2.70
07-Jul-20,6:00:00 PM,2.78,2.85
07-Jul-20,6:30:00 PM,2.84,2.89
07-Jul-20,7:00:00 PM,2.73,2.78
07-Jul-20,7:30:00 PM,2.71,2.76
07-Jul-20,8:00:00 PM,2.85,2.90
07-Jul-20,8:30:00 PM,2.71,2.76
07-Jul-20,9:00:00 PM,2.67,2.71
07-Jul-20,9:30:00 PM,2.54,2.59
07-Jul-20,10:00:00 PM,2.36,2.39
07-Jul-20,10:30:00 PM,2.39,2.42
07-Jul-20,11:00:00 PM,2.25,2.28
07-Jul-20,11:30:00 PM,2.07,2.09
08-Jul-20,12:00:00 AM,1.92,1.94
08-Jul-20,12:30:00 AM,1.88,1.91
08-Jul-20,1:00:00 AM,1.80,1.83
08-Jul-20,1:30:00 AM,1.73,1.75
08-Jul-20,2:00:00 AM,1.67,1.69
08-Jul-20,2:30:00 AM,1.64,1.66
08-Jul-20,3:00:00 AM,1.68,1.70
08-Jul-20,3:30:00 AM,1.72,1.75
08-Jul-20,4:00:00 AM,1.80,1.83
08-Jul-20,4:30:00 AM,1.90,1.92
08-Jul-20,5:00:00 AM,2.13,2.16
08-Jul-20,5:30:00 AM,2.36,2.42
08-Jul-20,6:00:00 AM,2.52,2.56
08-Jul-20,6:30:00 AM,2.75,2.80
08-Jul-20,7:00:00 AM,3.05,3.13
08-Jul-20,7:30:00 AM,2.90,2.99
08-Jul-20,8:00:00 AM,2.55,2.62
08-Jul-20,8:30:00 AM,2.16,2.21
08-Jul-20,9:00:00 AM,1.28,1.31
08-Jul-20,9:30:00 AM,1.61,1.73
08-Jul-20,10:00:00 AM,1.48,1.64
08-Jul-20,10:30:00 AM,1.27,1.44
08-Jul-20,11:00:00 AM,1.22,1.44
08-Jul-20,11:30:00 AM,1.12,1.32
08-Jul-20,12:00:00 PM,1.11,1.30
08-Jul-20,12:30:00 PM,1.15,1.36
08-Jul-20,1:00:00 PM,0.71,0.84
08-Jul-20,1:30:00 PM,1.12,1.39
08-Jul-20,2:00:00 PM,1.51,1.69
08-Jul-20,2:30:00 PM,1.76,1.92
08-Jul-20,3:00:00 PM,1.93,2.10
08-Jul-20,3:30:00 PM,2.10,2.24
08-Jul-20,4:00:00 PM,2.39,2.50
08-Jul-20,4:30:00 PM,2.07,2.11
08-Jul-20,5:00:00 PM,2.43,2.49
08-Jul-20,5:30:00 PM,2.61,2.67
08-Jul-20,6:00:00 PM,2.87,2.94
08-Jul-20,6:30:00 PM,2.85,2.93
08-Jul-20,7:00:00 PM,2.71,2.78
08-Jul-20,7:30:00 PM,2.71,2.78
08-Jul-20,8:00:00 PM,2.85,2.93
08-Jul-20,8:30:00 PM,2.74,2.82
08-Jul-20,9:00:00 PM,2.53,2.59
08-Jul-20,9:30:00 PM,2.40,2.45
08-Jul-20,10:00:00 PM,2.30,2.35
08-Jul-20,10:30:00 PM,2.32,2.37
08-Jul-20,11:00:00 PM,2.15,2.19
08-Jul-20,11:30:00 PM,1.93,1.96
09-Jul-20,12:00:00 AM,1.83,1.86
09-Jul-20,12:30:00 AM,1.70,1.73
09-Jul-20,1:00:00 AM,1.60,1.63
09-Jul-20,1:30:00 AM,1.52,1.55
09-Jul-20,2:00:00 AM,1.57,1.61
09-Jul-20,2:30:00 AM,1.59,1.62
09-Jul-20,3:00:00 AM,1.54,1.57
09-Jul-20,3:30:00 AM,1.48,1.51
09-Jul-20,4:00:00 AM,1.57,1.60
09-Jul-20,4:30:00 AM,1.69,1.72
09-Jul-20,5:00:00 AM,1.71,1.74
09-Jul-20,5:30:00 AM,1.83,1.85
09-Jul-20,6:00:00 AM,1.91,1.94
09-Jul-20,6:30:00 AM,2.17,2.21
09-Jul-20,7:00:00 AM,2.81,2.89
09-Jul-20,7:30:00 AM,2.86,2.96
09-Jul-20,8:00:00 AM,2.71,2.81
09-Jul-20,8:30:00 AM,2.58,2.68
09-Jul-20,9:00:00 AM,1.70,1.75
09-Jul-20,9:30:00 AM,2.16,2.25
09-Jul-20,10:00:00 AM,2.49,2.61
09-Jul-20,10:30:00 AM,2.28,2.41
09-Jul-20,11:00:00 AM,2.14,2.27
09-Jul-20,11:30:00 AM,2.12,2.24
09-Jul-20,12:00:00 PM,1.87,2.01
09-Jul-20,12:30:00 PM,2.08,2.15
09-Jul-20,1:00:00 PM,1.95,2.02
09-Jul-20,1:30:00 PM,2.24,2.33
09-Jul-20,2:00:00 PM,2.52,2.63
09-Jul-20,2:30:00 PM,2.46,2.58
09-Jul-20,3:00:00 PM,2.56,2.65
09-Jul-20,3:30:00 PM,2.64,2.73
09-Jul-20,4:00:00 PM,2.75,2.84
09-Jul-20,4:30:00 PM,2.74,2.84
09-Jul-20,5:00:00 PM,2.45,2.50
09-Jul-20,5:30:00 PM,2.74,2.79
09-Jul-20,6:00:00 PM,2.88,2.96
09-Jul-20,6:30:00 PM,2.84,2.91
09-Jul-20,7:00:00 PM,2.76,2.83
09-Jul-20,7:30:00 PM,2.67,2.73
09-Jul-20,8:00:00 PM,2.82,2.88
09-Jul-20,8:30:00 PM,2.57,2.62
09-Jul-20,9:00:00 PM,2.49,2.53
09-Jul-20,9:30:00 PM,2.29,2.32
09-Jul-20,10:00:00 PM,2.22,2.26
09-Jul-20,10:30:00 PM,2.20,2.22
09-Jul-20,11:00:00 PM,1.99,2.02
09-Jul-20,11:30:00 PM,1.82,1.84
10-Jul-20,12:00:00 AM,1.66,1.67
10-Jul-20,12:30:00 AM,1.60,1.61
10-Jul-20,1:00:00 AM,1.56,1.58
10-Jul-20,1:30:00 AM,1.51,1.53
10-Jul-20,2:00:00 AM,1.42,1.44
10-Jul-20,2:30:00 AM,1.35,1.36
10-Jul-20,3:00:00 AM,1.35,1.37
10-Jul-20,3:30:00 AM,1.35,1.36
10-Jul-20,4:00:00 AM,1.41,1.42
10-Jul-20,4:30:00 AM,1.48,1.49
10-Jul-20,5:00:00 AM,1.62,1.64
