Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.50,6.54
01-Jul-20,12:30:00 AM,6.10,6.12
01-Jul-20,1:00:00 AM,6.19,6.23
01-Jul-20,1:30:00 AM,6.06,6.08
01-Jul-20,2:00:00 AM,5.73,5.76
01-Jul-20,2:30:00 AM,5.54,5.56
01-Jul-20,3:00:00 AM,5.48,5.51
01-Jul-20,3:30:00 AM,5.60,5.64
01-Jul-20,4:00:00 AM,5.83,5.87
01-Jul-20,4:30:00 AM,6.29,6.32
01-Jul-20,5:00:00 AM,6.44,6.47
01-Jul-20,5:30:00 AM,6.78,6.82
01-Jul-20,6:00:00 AM,7.29,7.35
01-Jul-20,6:30:00 AM,7.64,7.69
01-Jul-20,7:00:00 AM,8.01,8.08
01-Jul-20,7:30:00 AM,8.22,8.32
01-Jul-20,8:00:00 AM,7.62,7.77
01-Jul-20,8:30:00 AM,7.72,7.89
01-Jul-20,9:00:00 AM,6.79,6.96
01-Jul-20,9:30:00 AM,6.33,6.55
01-Jul-20,10:00:00 AM,5.41,5.69
01-Jul-20,10:30:00 AM,4.81,5.11
01-Jul-20,11:00:00 AM,4.76,5.06
01-Jul-20,11:30:00 AM,4.92,5.26
01-Jul-20,12:00:00 PM,5.04,5.40
01-Jul-20,12:30:00 PM,5.05,5.40
01-Jul-20,1:00:00 PM,5.21,5.53
01-Jul-20,1:30:00 PM,5.33,5.66
01-Jul-20,2:00:00 PM,5.48,5.75
01-Jul-20,2:30:00 PM,5.70,5.94
01-Jul-20,3:00:00 PM,5.98,6.14
01-Jul-20,3:30:00 PM,6.86,7.01
01-Jul-20,4:00:00 PM,7.44,7.56
01-Jul-20,4:30:00 PM,8.32,8.42
01-Jul-20,5:00:00 PM,8.87,8.98
01-Jul-20,5:30:00 PM,9.59,9.70
01-Jul-20,6:00:00 PM,9.62,9.70
01-Jul-20,6:30:00 PM,9.29,9.37
01-Jul-20,7:00:00 PM,8.81,8.88
01-Jul-20,7:30:00 PM,8.60,8.68
01-Jul-20,8:00:00 PM,8.92,8.98
01-Jul-20,8:30:00 PM,8.79,8.85
01-Jul-20,9:00:00 PM,8.09,8.14
01-Jul-20,9:30:00 PM,8.23,8.28
01-Jul-20,10:00:00 PM,7.88,7.93
01-Jul-20,10:30:00 PM,7.25,7.29
01-Jul-20,11:00:00 PM,7.14,7.19
01-Jul-20,11:30:00 PM,6.86,6.89
02-Jul-20,12:00:00 AM,6.35,6.39
02-Jul-20,12:30:00 AM,6.10,6.14
02-Jul-20,1:00:00 AM,6.30,6.34
02-Jul-20,1:30:00 AM,6.10,6.13
02-Jul-20,2:00:00 AM,5.75,5.78
02-Jul-20,2:30:00 AM,5.51,5.53
02-Jul-20,3:00:00 AM,5.56,5.59
02-Jul-20,3:30:00 AM,5.58,5.61
02-Jul-20,4:00:00 AM,5.69,5.72
02-Jul-20,4:30:00 AM,6.31,6.34
02-Jul-20,5:00:00 AM,6.74,6.78
02-Jul-20,5:30:00 AM,6.92,6.95
02-Jul-20,6:00:00 AM,7.44,7.49
02-Jul-20,6:30:00 AM,7.82,7.87
02-Jul-20,7:00:00 AM,8.00,8.08
02-Jul-20,7:30:00 AM,8.12,8.21
02-Jul-20,8:00:00 AM,7.94,8.06
02-Jul-20,8:30:00 AM,8.21,8.34
02-Jul-20,9:00:00 AM,6.94,7.12
02-Jul-20,9:30:00 AM,6.20,6.44
02-Jul-20,10:00:00 AM,5.85,6.11
02-Jul-20,10:30:00 AM,5.56,5.83
02-Jul-20,11:00:00 AM,5.23,5.55
02-Jul-20,11:30:00 AM,4.93,5.24
02-Jul-20,12:00:00 PM,4.44,4.77
02-Jul-20,12:30:00 PM,4.70,5.04
02-Jul-20,1:00:00 PM,5.42,5.70
02-Jul-20,1:30:00 PM,5.66,5.92
02-Jul-20,2:00:00 PM,5.79,6.03
02-Jul-20,2:30:00 PM,6.84,7.00
02-Jul-20,3:00:00 PM,6.32,6.51
02-Jul-20,3:30:00 PM,7.19,7.34
02-Jul-20,4:00:00 PM,7.82,7.97
02-Jul-20,4:30:00 PM,8.59,8.70
02-Jul-20,5:00:00 PM,9.04,9.15
02-Jul-20,5:30:00 PM,10.08,10.20
02-Jul-20,6:00:00 PM,10.07,10.18
02-Jul-20,6:30:00 PM,9.74,9.84
02-Jul-20,7:00:00 PM,9.58,9.69
02-Jul-20,7:30:00 PM,9.10,9.20
02-Jul-20,8:00:00 PM,9.41,9.49
02-Jul-20,8:30:00 PM,9.40,9.47
02-Jul-20,9:00:00 PM,8.84,8.91
02-Jul-20,9:30:00 PM,8.76,8.83
02-Jul-20,10:00:00 PM,8.15,8.22
02-Jul-20,10:30:00 PM,7.53,7.58
02-Jul-20,11:00:00 PM,7.47,7.53
02-Jul-20,11:30:00 PM,7.26,7.32
03-Jul-20,12:00:00 AM,6.77,6.81
03-Jul-20,12:30:00 AM,6.56,6.60
03-Jul-20,1:00:00 AM,6.54,6.58
03-Jul-20,1:30:00 AM,6.43,6.47
03-Jul-20,2:00:00 AM,6.02,6.06
03-Jul-20,2:30:00 AM,5.94,5.98
03-Jul-20,3:00:00 AM,5.90,5.95
03-Jul-20,3:30:00 AM,5.84,5.88
03-Jul-20,4:00:00 AM,6.07,6.12
03-Jul-20,4:30:00 AM,6.58,6.61
03-Jul-20,5:00:00 AM,7.05,7.10
03-Jul-20,5:30:00 AM,7.26,7.32
03-Jul-20,6:00:00 AM,7.77,7.83
03-Jul-20,6:30:00 AM,8.19,8.26
03-Jul-20,7:00:00 AM,8.43,8.52
03-Jul-20,7:30:00 AM,8.29,8.39
03-Jul-20,8:00:00 AM,7.57,7.71
03-Jul-20,8:30:00 AM,7.19,7.36
03-Jul-20,9:00:00 AM,6.54,6.74
03-Jul-20,9:30:00 AM,6.01,6.26
03-Jul-20,10:00:00 AM,5.61,5.91
03-Jul-20,10:30:00 AM,5.14,5.44
03-Jul-20,11:00:00 AM,4.80,5.13
03-Jul-20,11:30:00 AM,4.74,5.10
03-Jul-20,12:00:00 PM,4.60,4.94
03-Jul-20,12:30:00 PM,4.88,5.24
03-Jul-20,1:00:00 PM,5.11,5.51
03-Jul-20,1:30:00 PM,6.18,6.45
03-Jul-20,2:00:00 PM,6.61,6.83
03-Jul-20,2:30:00 PM,5.99,6.19
03-Jul-20,3:00:00 PM,6.27,6.48
03-Jul-20,3:30:00 PM,7.17,7.33
03-Jul-20,4:00:00 PM,7.48,7.61
03-Jul-20,4:30:00 PM,7.92,8.04
03-Jul-20,5:00:00 PM,8.07,8.15
03-Jul-20,5:30:00 PM,8.81,8.91
03-Jul-20,6:00:00 PM,8.97,9.06
03-Jul-20,6:30:00 PM,8.71,8.79
03-Jul-20,7:00:00 PM,8.44,8.52
03-Jul-20,7:30:00 PM,8.27,8.36
03-Jul-20,8:00:00 PM,8.48,8.55
03-Jul-20,8:30:00 PM,8.34,8.40
03-Jul-20,9:00:00 PM,7.95,8.00
03-Jul-20,9:30:00 PM,7.73,7.78
03-Jul-20,10:00:00 PM,7.51,7.56
03-Jul-20,10:30:00 PM,6.86,6.90
03-Jul-20,11:00:00 PM,6.76,6.80
03-Jul-20,11:30:00 PM,6.54,6.58
