Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,14.38,14.40
01-Jul-20,12:30:00 AM,14.40,14.42
01-Jul-20,1:00:00 AM,14.42,14.45
01-Jul-20,1:30:00 AM,14.44,14.47
01-Jul-20,2:00:00 AM,14.44,14.47
01-Jul-20,2:30:00 AM,14.45,14.47
01-Jul-20,3:00:00 AM,14.47,14.50
01-Jul-20,3:30:00 AM,14.44,14.46
01-Jul-20,4:00:00 AM,14.43,14.45
01-Jul-20,4:30:00 AM,14.43,14.46
01-Jul-20,5:00:00 AM,14.42,14.45
01-Jul-20,5:30:00 AM,14.43,14.46
01-Jul-20,6:00:00 AM,14.47,14.50
01-Jul-20,6:30:00 AM,14.51,14.54
01-Jul-20,7:00:00 AM,14.55,14.58
01-Jul-20,7:30:00 AM,14.58,14.62
01-Jul-20,8:00:00 AM,14.59,14.63
01-Jul-20,8:30:00 AM,14.60,14.64
01-Jul-20,9:00:00 AM,14.57,14.60
01-Jul-20,9:30:00 AM,14.67,14.72
01-Jul-20,10:00:00 AM,14.58,14.63
01-Jul-20,10:30:00 AM,14.58,14.63
01-Jul-20,11:00:00 AM,14.58,14.63
01-Jul-20,11:30:00 AM,14.57,14.62
01-Jul-20,12:00:00 PM,14.74,14.79
01-Jul-20,12:30:00 PM,14.69,14.75
01-Jul-20,1:00:00 PM,14.62,14.68
01-Jul-20,1:30:00 PM,14.60,14.66
01-Jul-20,2:00:00 PM,14.51,14.56
01-Jul-20,2:30:00 PM,14.72,14.78
01-Jul-20,3:00:00 PM,14.72,14.79
01-Jul-20,3:30:00 PM,14.73,14.81
01-Jul-20,4:00:00 PM,14.77,14.82
01-Jul-20,4:30:00 PM,15.21,15.31
01-Jul-20,5:00:00 PM,15.32,15.42
01-Jul-20,5:30:00 PM,15.28,15.37
01-Jul-20,6:00:00 PM,15.25,15.34
01-Jul-20,6:30:00 PM,15.31,15.40
01-Jul-20,7:00:00 PM,15.51,15.61
01-Jul-20,7:30:00 PM,15.49,15.59
01-Jul-20,8:00:00 PM,15.36,15.46
01-Jul-20,8:30:00 PM,15.36,15.45
01-Jul-20,9:00:00 PM,15.14,15.24
01-Jul-20,9:30:00 PM,14.06,14.19
01-Jul-20,10:00:00 PM,13.43,13.55
