Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.18,4.24
01-Jul-20,12:30:00 AM,4.26,4.34
01-Jul-20,1:00:00 AM,4.08,4.17
01-Jul-20,1:30:00 AM,4.13,4.21
01-Jul-20,2:00:00 AM,4.25,4.32
01-Jul-20,2:30:00 AM,4.39,4.46
01-Jul-20,3:00:00 AM,4.55,4.63
01-Jul-20,3:30:00 AM,4.40,4.46
01-Jul-20,4:00:00 AM,4.34,4.40
01-Jul-20,4:30:00 AM,4.33,4.39
01-Jul-20,5:00:00 AM,4.88,4.98
01-Jul-20,5:30:00 AM,5.37,5.53
01-Jul-20,6:00:00 AM,6.33,6.54
01-Jul-20,6:30:00 AM,6.51,6.75
01-Jul-20,7:00:00 AM,7.25,7.55
01-Jul-20,7:30:00 AM,7.88,8.21
01-Jul-20,8:00:00 AM,8.29,8.66
01-Jul-20,8:30:00 AM,8.73,9.15
01-Jul-20,9:00:00 AM,8.11,8.46
01-Jul-20,9:30:00 AM,7.84,8.21
01-Jul-20,10:00:00 AM,7.73,8.10
01-Jul-20,10:30:00 AM,8.01,8.41
01-Jul-20,11:00:00 AM,7.70,8.10
01-Jul-20,11:30:00 AM,7.91,8.32
01-Jul-20,12:00:00 PM,7.98,8.38
01-Jul-20,12:30:00 PM,7.81,8.20
01-Jul-20,1:00:00 PM,8.00,8.39
01-Jul-20,1:30:00 PM,8.35,8.81
01-Jul-20,2:00:00 PM,8.10,8.51
01-Jul-20,2:30:00 PM,7.80,8.11
01-Jul-20,3:00:00 PM,7.15,7.39
01-Jul-20,3:30:00 PM,6.50,6.71
01-Jul-20,4:00:00 PM,6.32,6.48
01-Jul-20,4:30:00 PM,6.08,6.24
01-Jul-20,5:00:00 PM,5.44,5.55
01-Jul-20,5:30:00 PM,5.31,5.40
01-Jul-20,6:00:00 PM,5.05,5.14
01-Jul-20,6:30:00 PM,4.86,4.94
01-Jul-20,7:00:00 PM,4.93,5.01
01-Jul-20,7:30:00 PM,5.18,5.27
01-Jul-20,8:00:00 PM,5.28,5.38
01-Jul-20,8:30:00 PM,5.31,5.42
01-Jul-20,9:00:00 PM,4.84,4.94
01-Jul-20,9:30:00 PM,4.31,4.39
01-Jul-20,10:00:00 PM,4.38,4.44
01-Jul-20,10:30:00 PM,4.49,4.54
01-Jul-20,11:00:00 PM,4.11,4.15
01-Jul-20,11:30:00 PM,4.04,4.06
02-Jul-20,12:00:00 AM,4.14,4.18
02-Jul-20,12:30:00 AM,4.16,4.21
02-Jul-20,1:00:00 AM,3.83,3.87
02-Jul-20,1:30:00 AM,4.00,4.04
02-Jul-20,2:00:00 AM,3.86,3.90
02-Jul-20,2:30:00 AM,3.81,3.83
02-Jul-20,3:00:00 AM,3.76,3.78
02-Jul-20,3:30:00 AM,3.74,3.76
02-Jul-20,4:00:00 AM,3.87,3.90
02-Jul-20,4:30:00 AM,4.11,4.14
02-Jul-20,5:00:00 AM,4.46,4.51
02-Jul-20,5:30:00 AM,5.25,5.39
02-Jul-20,6:00:00 AM,6.07,6.27
02-Jul-20,6:30:00 AM,6.43,6.66
02-Jul-20,7:00:00 AM,6.98,7.27
02-Jul-20,7:30:00 AM,7.24,7.57
02-Jul-20,8:00:00 AM,7.48,7.82
02-Jul-20,8:30:00 AM,7.41,7.75
02-Jul-20,9:00:00 AM,7.60,7.96
02-Jul-20,9:30:00 AM,7.60,7.97
02-Jul-20,10:00:00 AM,7.48,7.84
02-Jul-20,10:30:00 AM,7.76,8.11
02-Jul-20,11:00:00 AM,7.68,8.07
02-Jul-20,11:30:00 AM,7.82,8.25
02-Jul-20,12:00:00 PM,7.77,8.16
02-Jul-20,12:30:00 PM,7.71,8.09
02-Jul-20,1:00:00 PM,7.77,8.14
02-Jul-20,1:30:00 PM,7.52,7.88
02-Jul-20,2:00:00 PM,7.42,7.76
02-Jul-20,2:30:00 PM,7.36,7.66
02-Jul-20,3:00:00 PM,6.52,6.76
02-Jul-20,3:30:00 PM,6.48,6.66
02-Jul-20,4:00:00 PM,6.22,6.39
02-Jul-20,4:30:00 PM,5.92,6.04
02-Jul-20,5:00:00 PM,5.38,5.48
02-Jul-20,5:30:00 PM,5.22,5.31
02-Jul-20,6:00:00 PM,5.07,5.15
02-Jul-20,6:30:00 PM,5.01,5.09
02-Jul-20,7:00:00 PM,4.94,5.02
02-Jul-20,7:30:00 PM,4.68,4.76
02-Jul-20,8:00:00 PM,4.75,4.84
02-Jul-20,8:30:00 PM,4.51,4.58
02-Jul-20,9:00:00 PM,4.44,4.51
02-Jul-20,9:30:00 PM,4.36,4.42
02-Jul-20,10:00:00 PM,4.04,4.07
02-Jul-20,10:30:00 PM,3.87,3.89
02-Jul-20,11:00:00 PM,3.73,3.76
02-Jul-20,11:30:00 PM,3.86,3.89
03-Jul-20,12:00:00 AM,4.04,4.08
03-Jul-20,12:30:00 AM,3.79,3.83
03-Jul-20,1:00:00 AM,3.38,3.39
03-Jul-20,1:30:00 AM,3.48,3.50
03-Jul-20,2:00:00 AM,3.53,3.54
03-Jul-20,2:30:00 AM,3.39,3.40
03-Jul-20,3:00:00 AM,3.51,3.53
03-Jul-20,3:30:00 AM,3.50,3.51
03-Jul-20,4:00:00 AM,3.60,3.61
03-Jul-20,4:30:00 AM,3.72,3.73
03-Jul-20,5:00:00 AM,4.41,4.44
03-Jul-20,5:30:00 AM,4.55,4.61
03-Jul-20,6:00:00 AM,5.36,5.47
03-Jul-20,6:30:00 AM,5.93,6.08
03-Jul-20,7:00:00 AM,6.52,6.71
03-Jul-20,7:30:00 AM,6.83,7.04
03-Jul-20,8:00:00 AM,7.00,7.24
03-Jul-20,8:30:00 AM,6.90,7.13
03-Jul-20,9:00:00 AM,6.89,7.11
03-Jul-20,9:30:00 AM,6.70,6.90
03-Jul-20,10:00:00 AM,6.80,7.00
03-Jul-20,10:30:00 AM,6.61,6.82
03-Jul-20,11:00:00 AM,6.66,6.88
03-Jul-20,11:30:00 AM,6.77,7.02
03-Jul-20,12:00:00 PM,6.83,7.08
03-Jul-20,12:30:00 PM,6.78,7.03
03-Jul-20,1:00:00 PM,6.69,6.94
03-Jul-20,1:30:00 PM,6.69,6.90
03-Jul-20,2:00:00 PM,6.40,6.58
03-Jul-20,2:30:00 PM,6.04,6.19
03-Jul-20,3:00:00 PM,5.79,5.91
03-Jul-20,3:30:00 PM,5.68,5.80
03-Jul-20,4:00:00 PM,5.45,5.53
03-Jul-20,4:30:00 PM,5.01,5.07
03-Jul-20,5:00:00 PM,4.54,4.57
03-Jul-20,5:30:00 PM,4.57,4.60
03-Jul-20,6:00:00 PM,4.48,4.50
03-Jul-20,6:30:00 PM,4.17,4.19
03-Jul-20,7:00:00 PM,4.07,4.08
03-Jul-20,7:30:00 PM,4.06,4.07
03-Jul-20,8:00:00 PM,3.87,3.89
03-Jul-20,8:30:00 PM,3.85,3.87
03-Jul-20,9:00:00 PM,3.54,3.54
03-Jul-20,9:30:00 PM,3.25,3.25
03-Jul-20,10:00:00 PM,3.30,3.30
03-Jul-20,10:30:00 PM,3.12,3.12
03-Jul-20,11:00:00 PM,3.08,3.08
03-Jul-20,11:30:00 PM,2.92,2.92
04-Jul-20,12:00:00 AM,3.00,3.00
04-Jul-20,12:30:00 AM,3.11,3.12
04-Jul-20,1:00:00 AM,2.92,2.92
04-Jul-20,1:30:00 AM,2.93,2.93
04-Jul-20,2:00:00 AM,2.87,2.87
04-Jul-20,2:30:00 AM,2.90,2.90
04-Jul-20,3:00:00 AM,2.99,2.99
04-Jul-20,3:30:00 AM,2.88,2.88
04-Jul-20,4:00:00 AM,2.96,2.96
04-Jul-20,4:30:00 AM,2.90,2.90
04-Jul-20,5:00:00 AM,2.87,2.87
04-Jul-20,5:30:00 AM,3.16,3.16
04-Jul-20,6:00:00 AM,3.23,3.24
04-Jul-20,6:30:00 AM,3.05,3.05
04-Jul-20,7:00:00 AM,3.03,3.03
04-Jul-20,7:30:00 AM,2.87,2.87
04-Jul-20,8:00:00 AM,2.71,2.71
04-Jul-20,8:30:00 AM,2.73,2.73
04-Jul-20,9:00:00 AM,2.73,2.73
04-Jul-20,9:30:00 AM,2.79,2.79
04-Jul-20,10:00:00 AM,2.83,2.84
04-Jul-20,10:30:00 AM,2.86,2.86
04-Jul-20,11:00:00 AM,2.79,2.79
04-Jul-20,11:30:00 AM,2.87,2.87
04-Jul-20,12:00:00 PM,2.88,2.88
04-Jul-20,12:30:00 PM,2.82,2.82
04-Jul-20,1:00:00 PM,2.78,2.78
04-Jul-20,1:30:00 PM,2.75,2.75
04-Jul-20,2:00:00 PM,2.64,2.64
04-Jul-20,2:30:00 PM,2.62,2.62
04-Jul-20,3:00:00 PM,2.61,2.61
04-Jul-20,3:30:00 PM,2.68,2.68
04-Jul-20,4:00:00 PM,2.78,2.78
04-Jul-20,4:30:00 PM,2.71,2.71
04-Jul-20,5:00:00 PM,2.85,2.85
04-Jul-20,5:30:00 PM,2.96,2.96
04-Jul-20,6:00:00 PM,2.98,2.98
04-Jul-20,6:30:00 PM,3.03,3.03
04-Jul-20,7:00:00 PM,3.00,3.00
04-Jul-20,7:30:00 PM,2.84,2.84
04-Jul-20,8:00:00 PM,2.86,2.86
04-Jul-20,8:30:00 PM,2.87,2.87
04-Jul-20,9:00:00 PM,2.75,2.75
04-Jul-20,9:30:00 PM,2.74,2.74
04-Jul-20,10:00:00 PM,2.72,2.72
04-Jul-20,10:30:00 PM,2.83,2.83
04-Jul-20,11:00:00 PM,2.78,2.78
04-Jul-20,11:30:00 PM,2.76,2.76
05-Jul-20,12:00:00 AM,2.67,2.67
05-Jul-20,12:30:00 AM,2.67,2.67
05-Jul-20,1:00:00 AM,2.67,2.67
05-Jul-20,1:30:00 AM,2.77,2.77
05-Jul-20,2:00:00 AM,2.57,2.57
05-Jul-20,2:30:00 AM,2.58,2.58
05-Jul-20,3:00:00 AM,2.57,2.57
05-Jul-20,3:30:00 AM,2.57,2.57
05-Jul-20,4:00:00 AM,2.63,2.63
05-Jul-20,4:30:00 AM,2.67,2.67
05-Jul-20,5:00:00 AM,2.68,2.68
05-Jul-20,5:30:00 AM,2.67,2.67
05-Jul-20,6:00:00 AM,2.67,2.67
05-Jul-20,6:30:00 AM,2.56,2.56
05-Jul-20,7:00:00 AM,2.41,2.41
05-Jul-20,7:30:00 AM,2.37,2.37
05-Jul-20,8:00:00 AM,2.37,2.37
05-Jul-20,8:30:00 AM,2.48,2.48
05-Jul-20,9:00:00 AM,2.51,2.51
05-Jul-20,9:30:00 AM,2.39,2.39
05-Jul-20,10:00:00 AM,2.40,2.40
05-Jul-20,10:30:00 AM,2.46,2.46
05-Jul-20,11:00:00 AM,2.27,2.27
05-Jul-20,11:30:00 AM,2.55,2.55
05-Jul-20,12:00:00 PM,2.32,2.32
05-Jul-20,12:30:00 PM,2.49,2.49
05-Jul-20,1:00:00 PM,2.40,2.41
05-Jul-20,1:30:00 PM,2.43,2.43
05-Jul-20,2:00:00 PM,2.54,2.54
05-Jul-20,2:30:00 PM,2.42,2.42
05-Jul-20,3:00:00 PM,2.49,2.49
05-Jul-20,3:30:00 PM,2.63,2.63
05-Jul-20,4:00:00 PM,2.61,2.61
05-Jul-20,4:30:00 PM,2.72,2.72
05-Jul-20,5:00:00 PM,2.91,2.91
05-Jul-20,5:30:00 PM,3.04,3.04
05-Jul-20,6:00:00 PM,3.06,3.06
05-Jul-20,6:30:00 PM,3.05,3.05
05-Jul-20,7:00:00 PM,2.99,2.99
05-Jul-20,7:30:00 PM,3.13,3.13
05-Jul-20,8:00:00 PM,3.12,3.12
05-Jul-20,8:30:00 PM,3.03,3.03
05-Jul-20,9:00:00 PM,3.03,3.03
05-Jul-20,9:30:00 PM,2.91,2.91
05-Jul-20,10:00:00 PM,2.89,2.89
05-Jul-20,10:30:00 PM,2.82,2.82
05-Jul-20,11:00:00 PM,2.86,2.86
05-Jul-20,11:30:00 PM,2.79,2.79
06-Jul-20,12:00:00 AM,2.84,2.84
06-Jul-20,12:30:00 AM,2.89,2.89
06-Jul-20,1:00:00 AM,2.76,2.76
06-Jul-20,1:30:00 AM,2.79,2.79
06-Jul-20,2:00:00 AM,2.70,2.70
06-Jul-20,2:30:00 AM,2.93,2.93
06-Jul-20,3:00:00 AM,2.96,2.96
06-Jul-20,3:30:00 AM,2.91,2.91
06-Jul-20,4:00:00 AM,2.97,2.97
06-Jul-20,4:30:00 AM,3.24,3.24
06-Jul-20,5:00:00 AM,3.74,3.75
06-Jul-20,5:30:00 AM,4.10,4.14
06-Jul-20,6:00:00 AM,4.99,5.06
06-Jul-20,6:30:00 AM,5.36,5.46
06-Jul-20,7:00:00 AM,5.97,6.12
06-Jul-20,7:30:00 AM,6.38,6.53
06-Jul-20,8:00:00 AM,6.62,6.80
06-Jul-20,8:30:00 AM,6.69,6.88
06-Jul-20,9:00:00 AM,6.92,7.15
06-Jul-20,9:30:00 AM,6.89,7.11
06-Jul-20,10:00:00 AM,6.94,7.16
06-Jul-20,10:30:00 AM,6.85,7.11
06-Jul-20,11:00:00 AM,6.94,7.23
06-Jul-20,11:30:00 AM,7.03,7.30
06-Jul-20,12:00:00 PM,6.85,7.11
06-Jul-20,12:30:00 PM,6.74,6.98
06-Jul-20,1:00:00 PM,6.73,6.93
06-Jul-20,1:30:00 PM,6.60,6.78
06-Jul-20,2:00:00 PM,6.67,6.83
06-Jul-20,2:30:00 PM,6.21,6.33
06-Jul-20,3:00:00 PM,5.84,5.94
06-Jul-20,3:30:00 PM,5.82,5.89
06-Jul-20,4:00:00 PM,5.21,5.27
06-Jul-20,4:30:00 PM,5.05,5.08
06-Jul-20,5:00:00 PM,4.72,4.74
06-Jul-20,5:30:00 PM,4.57,4.59
06-Jul-20,6:00:00 PM,4.30,4.31
06-Jul-20,6:30:00 PM,4.12,4.13
06-Jul-20,7:00:00 PM,4.09,4.09
06-Jul-20,7:30:00 PM,3.90,3.90
06-Jul-20,8:00:00 PM,3.85,3.86
06-Jul-20,8:30:00 PM,3.82,3.83
06-Jul-20,9:00:00 PM,3.84,3.86
06-Jul-20,9:30:00 PM,3.90,3.93
06-Jul-20,10:00:00 PM,3.80,3.84
06-Jul-20,10:30:00 PM,3.78,3.82
06-Jul-20,11:00:00 PM,3.77,3.82
06-Jul-20,11:30:00 PM,3.84,3.89
07-Jul-20,12:00:00 AM,3.82,3.87
07-Jul-20,12:30:00 AM,3.96,4.03
07-Jul-20,1:00:00 AM,3.68,3.74
07-Jul-20,1:30:00 AM,3.67,3.72
07-Jul-20,2:00:00 AM,3.72,3.77
07-Jul-20,2:30:00 AM,3.69,3.74
07-Jul-20,3:00:00 AM,3.61,3.64
07-Jul-20,3:30:00 AM,3.57,3.60
07-Jul-20,4:00:00 AM,3.66,3.70
07-Jul-20,4:30:00 AM,4.14,4.21
07-Jul-20,5:00:00 AM,4.65,4.75
07-Jul-20,5:30:00 AM,5.34,5.48
07-Jul-20,6:00:00 AM,5.99,6.19
07-Jul-20,6:30:00 AM,6.45,6.66
07-Jul-20,7:00:00 AM,7.21,7.50
07-Jul-20,7:30:00 AM,7.92,8.26
07-Jul-20,8:00:00 AM,8.02,8.35
07-Jul-20,8:30:00 AM,7.83,8.16
07-Jul-20,9:00:00 AM,7.83,8.15
07-Jul-20,9:30:00 AM,7.78,8.11
07-Jul-20,10:00:00 AM,7.70,8.03
