Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.24,1.24
01-Jul-20,12:30:00 AM,1.25,1.26
01-Jul-20,1:00:00 AM,1.27,1.27
01-Jul-20,1:30:00 AM,1.26,1.27
01-Jul-20,2:00:00 AM,1.20,1.20
01-Jul-20,2:30:00 AM,1.27,1.27
01-Jul-20,3:00:00 AM,1.17,1.18
01-Jul-20,3:30:00 AM,1.16,1.17
01-Jul-20,4:00:00 AM,1.15,1.15
01-Jul-20,4:30:00 AM,1.19,1.19
01-Jul-20,5:00:00 AM,1.29,1.30
01-Jul-20,5:30:00 AM,1.42,1.43
01-Jul-20,6:00:00 AM,1.49,1.51
01-Jul-20,6:30:00 AM,1.56,1.59
01-Jul-20,7:00:00 AM,1.59,1.66
01-Jul-20,7:30:00 AM,1.69,1.77
01-Jul-20,8:00:00 AM,1.69,1.76
01-Jul-20,8:30:00 AM,1.57,1.66
01-Jul-20,9:00:00 AM,1.37,1.47
01-Jul-20,9:30:00 AM,1.24,1.34
01-Jul-20,10:00:00 AM,1.16,1.30
01-Jul-20,10:30:00 AM,1.09,1.22
01-Jul-20,11:00:00 AM,1.10,1.22
01-Jul-20,11:30:00 AM,1.12,1.25
01-Jul-20,12:00:00 PM,1.14,1.26
01-Jul-20,12:30:00 PM,0.95,1.07
01-Jul-20,1:00:00 PM,0.97,1.10
01-Jul-20,1:30:00 PM,0.99,1.11
01-Jul-20,2:00:00 PM,1.15,1.26
01-Jul-20,2:30:00 PM,1.26,1.37
01-Jul-20,3:00:00 PM,1.35,1.45
01-Jul-20,3:30:00 PM,1.56,1.65
01-Jul-20,4:00:00 PM,1.58,1.63
01-Jul-20,4:30:00 PM,1.70,1.75
01-Jul-20,5:00:00 PM,1.83,1.88
01-Jul-20,5:30:00 PM,1.93,1.97
01-Jul-20,6:00:00 PM,1.92,1.95
01-Jul-20,6:30:00 PM,1.92,1.95
01-Jul-20,7:00:00 PM,-2.33,4.36
01-Jul-20,7:30:00 PM,-22.00,31.11
01-Jul-20,8:00:00 PM,-22.00,31.11
01-Jul-20,8:30:00 PM,-22.00,31.11
01-Jul-20,9:00:00 PM,-22.00,31.11
01-Jul-20,9:30:00 PM,-22.00,31.11
01-Jul-20,10:00:00 PM,-22.00,31.11
01-Jul-20,10:30:00 PM,-22.00,31.11
01-Jul-20,11:00:00 PM,1.47,1.47
01-Jul-20,11:30:00 PM,1.47,1.48
02-Jul-20,12:00:00 AM,1.40,1.42
02-Jul-20,12:30:00 AM,1.40,1.41
02-Jul-20,1:00:00 AM,1.44,1.45
02-Jul-20,1:30:00 AM,1.40,1.42
02-Jul-20,2:00:00 AM,1.25,1.27
02-Jul-20,2:30:00 AM,1.17,1.18
02-Jul-20,3:00:00 AM,1.14,1.16
02-Jul-20,3:30:00 AM,1.19,1.22
02-Jul-20,4:00:00 AM,1.18,1.19
02-Jul-20,4:30:00 AM,1.21,1.23
02-Jul-20,5:00:00 AM,1.30,1.32
02-Jul-20,5:30:00 AM,1.49,1.52
02-Jul-20,6:00:00 AM,1.56,1.60
02-Jul-20,6:30:00 AM,1.62,1.66
02-Jul-20,7:00:00 AM,1.59,1.64
02-Jul-20,7:30:00 AM,1.57,1.63
02-Jul-20,8:00:00 AM,1.53,1.60
02-Jul-20,8:30:00 AM,1.49,1.56
02-Jul-20,9:00:00 AM,1.23,1.30
02-Jul-20,9:30:00 AM,0.95,1.04
02-Jul-20,10:00:00 AM,0.96,1.06
02-Jul-20,10:30:00 AM,0.85,1.00
02-Jul-20,11:00:00 AM,0.81,0.95
02-Jul-20,11:30:00 AM,0.72,0.87
02-Jul-20,12:00:00 PM,0.66,0.83
02-Jul-20,12:30:00 PM,0.68,0.85
02-Jul-20,1:00:00 PM,0.65,0.82
02-Jul-20,1:30:00 PM,0.84,0.97
02-Jul-20,2:00:00 PM,0.88,1.00
02-Jul-20,2:30:00 PM,0.89,1.00
02-Jul-20,3:00:00 PM,1.07,1.16
02-Jul-20,3:30:00 PM,1.08,1.14
02-Jul-20,4:00:00 PM,1.01,1.03
02-Jul-20,4:30:00 PM,1.05,1.06
02-Jul-20,5:00:00 PM,1.08,1.09
02-Jul-20,5:30:00 PM,1.21,1.22
02-Jul-20,6:00:00 PM,1.26,1.26
02-Jul-20,6:30:00 PM,1.28,1.29
02-Jul-20,7:00:00 PM,1.24,1.24
02-Jul-20,7:30:00 PM,1.20,1.21
02-Jul-20,8:00:00 PM,1.28,1.28
02-Jul-20,8:30:00 PM,1.31,1.31
02-Jul-20,9:00:00 PM,1.26,1.26
02-Jul-20,9:30:00 PM,1.30,1.30
02-Jul-20,10:00:00 PM,1.14,1.14
02-Jul-20,10:30:00 PM,1.10,1.11
02-Jul-20,11:00:00 PM,1.18,1.19
02-Jul-20,11:30:00 PM,1.00,1.00
03-Jul-20,12:00:00 AM,0.97,0.97
03-Jul-20,12:30:00 AM,1.04,1.05
03-Jul-20,1:00:00 AM,0.96,0.96
03-Jul-20,1:30:00 AM,0.90,0.90
03-Jul-20,2:00:00 AM,0.88,0.88
