Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,15.64,15.65
01-Jul-20,12:30:00 AM,14.09,14.10
01-Jul-20,1:00:00 AM,14.22,14.24
01-Jul-20,1:30:00 AM,13.71,13.72
01-Jul-20,2:00:00 AM,13.49,13.50
01-Jul-20,2:30:00 AM,13.02,13.03
01-Jul-20,3:00:00 AM,12.99,13.00
01-Jul-20,3:30:00 AM,12.94,12.96
01-Jul-20,4:00:00 AM,12.98,13.01
01-Jul-20,4:30:00 AM,13.73,13.74
01-Jul-20,5:00:00 AM,14.60,14.61
01-Jul-20,5:30:00 AM,15.38,15.39
01-Jul-20,6:00:00 AM,16.07,16.09
01-Jul-20,6:30:00 AM,17.09,17.11
01-Jul-20,7:00:00 AM,18.10,18.11
01-Jul-20,7:30:00 AM,18.65,18.66
01-Jul-20,8:00:00 AM,17.46,17.47
01-Jul-20,8:30:00 AM,15.35,15.36
01-Jul-20,9:00:00 AM,14.27,14.28
01-Jul-20,9:30:00 AM,12.82,12.83
01-Jul-20,10:00:00 AM,12.49,12.49
01-Jul-20,10:30:00 AM,11.33,11.33
01-Jul-20,11:00:00 AM,10.98,10.98
01-Jul-20,11:30:00 AM,10.52,10.52
01-Jul-20,12:00:00 PM,9.65,9.65
01-Jul-20,12:30:00 PM,9.63,9.64
01-Jul-20,1:00:00 PM,10.81,10.82
01-Jul-20,1:30:00 PM,10.73,10.74
01-Jul-20,2:00:00 PM,11.52,11.52
01-Jul-20,2:30:00 PM,12.67,12.68
01-Jul-20,3:00:00 PM,13.76,13.76
01-Jul-20,3:30:00 PM,14.54,14.54
01-Jul-20,4:00:00 PM,16.02,16.03
01-Jul-20,4:30:00 PM,18.19,18.20
01-Jul-20,5:00:00 PM,18.84,18.85
01-Jul-20,5:30:00 PM,19.55,19.55
01-Jul-20,6:00:00 PM,19.43,19.43
01-Jul-20,6:30:00 PM,20.45,20.45
01-Jul-20,7:00:00 PM,20.88,20.88
01-Jul-20,7:30:00 PM,21.23,21.23
01-Jul-20,8:00:00 PM,22.14,22.14
01-Jul-20,8:30:00 PM,21.56,21.56
01-Jul-20,9:00:00 PM,20.43,20.43
01-Jul-20,9:30:00 PM,20.32,20.33
01-Jul-20,10:00:00 PM,20.19,20.19
01-Jul-20,10:30:00 PM,19.46,19.46
01-Jul-20,11:00:00 PM,18.45,18.45
01-Jul-20,11:30:00 PM,17.05,17.06
02-Jul-20,12:00:00 AM,15.76,15.77
02-Jul-20,12:30:00 AM,14.32,14.34
02-Jul-20,1:00:00 AM,13.63,13.65
02-Jul-20,1:30:00 AM,13.35,13.37
02-Jul-20,2:00:00 AM,13.27,13.29
02-Jul-20,2:30:00 AM,12.84,12.86
02-Jul-20,3:00:00 AM,12.63,12.65
02-Jul-20,3:30:00 AM,13.14,13.15
02-Jul-20,4:00:00 AM,13.49,13.51
02-Jul-20,4:30:00 AM,13.29,13.31
02-Jul-20,5:00:00 AM,13.91,13.93
02-Jul-20,5:30:00 AM,14.77,14.78
02-Jul-20,6:00:00 AM,15.83,15.84
02-Jul-20,6:30:00 AM,17.03,17.04
02-Jul-20,7:00:00 AM,16.47,16.49
02-Jul-20,7:30:00 AM,16.66,16.68
02-Jul-20,8:00:00 AM,16.80,16.81
02-Jul-20,8:30:00 AM,15.92,15.94
02-Jul-20,9:00:00 AM,15.09,15.10
02-Jul-20,9:30:00 AM,13.27,13.29
02-Jul-20,10:00:00 AM,11.79,11.80
02-Jul-20,10:30:00 AM,10.45,10.46
02-Jul-20,11:00:00 AM,10.20,10.21
02-Jul-20,11:30:00 AM,10.39,10.39
02-Jul-20,12:00:00 PM,10.90,10.90
02-Jul-20,12:30:00 PM,9.84,9.84
02-Jul-20,1:00:00 PM,10.85,10.85
02-Jul-20,1:30:00 PM,11.24,11.24
02-Jul-20,2:00:00 PM,12.45,12.45
02-Jul-20,2:30:00 PM,12.41,12.41
02-Jul-20,3:00:00 PM,14.03,14.03
02-Jul-20,3:30:00 PM,15.11,15.12
02-Jul-20,4:00:00 PM,16.32,16.32
02-Jul-20,4:30:00 PM,18.24,18.25
02-Jul-20,5:00:00 PM,19.49,19.49
02-Jul-20,5:30:00 PM,19.83,19.83
02-Jul-20,6:00:00 PM,19.51,19.51
02-Jul-20,6:30:00 PM,20.60,20.60
02-Jul-20,7:00:00 PM,20.80,20.80
02-Jul-20,7:30:00 PM,20.43,20.43
02-Jul-20,8:00:00 PM,21.42,21.42
02-Jul-20,8:30:00 PM,20.68,20.68
02-Jul-20,9:00:00 PM,19.71,19.72
02-Jul-20,9:30:00 PM,20.20,20.20
02-Jul-20,10:00:00 PM,20.00,20.00
02-Jul-20,10:30:00 PM,18.16,18.17
02-Jul-20,11:00:00 PM,17.76,17.76
02-Jul-20,11:30:00 PM,16.84,16.84
03-Jul-20,12:00:00 AM,14.93,14.95
03-Jul-20,12:30:00 AM,14.33,14.34
03-Jul-20,1:00:00 AM,13.73,13.74
03-Jul-20,1:30:00 AM,13.59,13.60
03-Jul-20,2:00:00 AM,12.92,12.94
03-Jul-20,2:30:00 AM,12.76,12.77
03-Jul-20,3:00:00 AM,13.02,13.02
03-Jul-20,3:30:00 AM,12.49,12.51
03-Jul-20,4:00:00 AM,12.95,12.97
03-Jul-20,4:30:00 AM,13.27,13.29
03-Jul-20,5:00:00 AM,13.73,13.75
03-Jul-20,5:30:00 AM,14.97,14.97
03-Jul-20,6:00:00 AM,15.14,15.15
03-Jul-20,6:30:00 AM,15.91,15.93
03-Jul-20,7:00:00 AM,16.57,16.59
03-Jul-20,7:30:00 AM,16.41,16.43
03-Jul-20,8:00:00 AM,15.39,15.41
03-Jul-20,8:30:00 AM,14.83,14.84
03-Jul-20,9:00:00 AM,13.55,13.56
03-Jul-20,9:30:00 AM,12.01,12.02
03-Jul-20,10:00:00 AM,11.47,11.47
03-Jul-20,10:30:00 AM,10.54,10.54
03-Jul-20,11:00:00 AM,10.09,10.09
03-Jul-20,11:30:00 AM,9.81,9.81
03-Jul-20,12:00:00 PM,10.13,10.13
03-Jul-20,12:30:00 PM,10.02,10.02
03-Jul-20,1:00:00 PM,10.51,10.51
03-Jul-20,1:30:00 PM,10.73,10.73
03-Jul-20,2:00:00 PM,11.18,11.18
03-Jul-20,2:30:00 PM,11.92,11.92
