Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.08,6.20
01-Jul-20,12:30:00 AM,5.73,5.87
01-Jul-20,1:00:00 AM,5.49,5.64
01-Jul-20,1:30:00 AM,5.37,5.52
01-Jul-20,2:00:00 AM,5.21,5.37
01-Jul-20,2:30:00 AM,5.15,5.31
01-Jul-20,3:00:00 AM,5.21,5.37
01-Jul-20,3:30:00 AM,5.26,5.42
01-Jul-20,4:00:00 AM,5.40,5.55
01-Jul-20,4:30:00 AM,5.40,5.55
01-Jul-20,5:00:00 AM,5.78,5.93
01-Jul-20,5:30:00 AM,6.16,6.29
01-Jul-20,6:00:00 AM,6.88,6.98
01-Jul-20,6:30:00 AM,7.39,7.48
01-Jul-20,7:00:00 AM,8.29,8.36
01-Jul-20,7:30:00 AM,8.85,8.90
01-Jul-20,8:00:00 AM,8.98,9.02
01-Jul-20,8:30:00 AM,8.92,8.95
01-Jul-20,9:00:00 AM,8.69,8.72
01-Jul-20,9:30:00 AM,8.47,8.50
01-Jul-20,10:00:00 AM,8.00,8.03
01-Jul-20,10:30:00 AM,7.80,7.83
01-Jul-20,11:00:00 AM,7.37,7.39
01-Jul-20,11:30:00 AM,7.25,7.28
01-Jul-20,12:00:00 PM,7.46,7.49
01-Jul-20,12:30:00 PM,7.69,7.71
01-Jul-20,1:00:00 PM,7.62,7.65
01-Jul-20,1:30:00 PM,8.25,8.28
01-Jul-20,2:00:00 PM,7.90,7.92
01-Jul-20,2:30:00 PM,8.06,8.08
01-Jul-20,3:00:00 PM,8.08,8.11
01-Jul-20,3:30:00 PM,8.34,8.38
01-Jul-20,4:00:00 PM,8.41,8.44
01-Jul-20,4:30:00 PM,8.58,8.63
01-Jul-20,5:00:00 PM,9.07,9.10
01-Jul-20,5:30:00 PM,9.58,9.61
01-Jul-20,6:00:00 PM,9.63,9.66
01-Jul-20,6:30:00 PM,9.73,9.77
01-Jul-20,7:00:00 PM,9.83,9.86
01-Jul-20,7:30:00 PM,9.60,9.63
01-Jul-20,8:00:00 PM,9.65,9.69
