Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.80,1.83
01-Jul-20,12:30:00 AM,1.68,1.71
01-Jul-20,1:00:00 AM,1.64,1.67
01-Jul-20,1:30:00 AM,1.57,1.61
01-Jul-20,2:00:00 AM,1.55,1.58
01-Jul-20,2:30:00 AM,1.50,1.52
01-Jul-20,3:00:00 AM,1.48,1.50
01-Jul-20,3:30:00 AM,1.53,1.55
01-Jul-20,4:00:00 AM,1.63,1.66
01-Jul-20,4:30:00 AM,1.71,1.73
01-Jul-20,5:00:00 AM,2.05,2.06
01-Jul-20,5:30:00 AM,2.35,2.36
01-Jul-20,6:00:00 AM,3.25,3.26
01-Jul-20,6:30:00 AM,3.39,3.40
01-Jul-20,7:00:00 AM,3.76,3.76
01-Jul-20,7:30:00 AM,3.91,3.91
01-Jul-20,8:00:00 AM,3.62,3.62
01-Jul-20,8:30:00 AM,3.36,3.36
01-Jul-20,9:00:00 AM,2.73,2.73
01-Jul-20,9:30:00 AM,2.52,2.52
01-Jul-20,10:00:00 AM,1.87,1.87
01-Jul-20,10:30:00 AM,1.75,1.76
01-Jul-20,11:00:00 AM,2.02,2.03
01-Jul-20,11:30:00 AM,1.99,2.01
01-Jul-20,12:00:00 PM,2.02,2.03
01-Jul-20,12:30:00 PM,2.14,2.16
01-Jul-20,1:00:00 PM,2.43,2.43
01-Jul-20,1:30:00 PM,2.43,2.43
01-Jul-20,2:00:00 PM,2.49,2.50
01-Jul-20,2:30:00 PM,2.60,2.60
01-Jul-20,3:00:00 PM,2.93,2.93
01-Jul-20,3:30:00 PM,3.17,3.17
01-Jul-20,4:00:00 PM,3.25,3.25
01-Jul-20,4:30:00 PM,2.46,2.46
01-Jul-20,5:00:00 PM,2.74,2.74
01-Jul-20,5:30:00 PM,3.04,3.05
01-Jul-20,6:00:00 PM,3.11,3.12
01-Jul-20,6:30:00 PM,3.04,3.05
01-Jul-20,7:00:00 PM,2.94,2.96
01-Jul-20,7:30:00 PM,2.89,2.93
01-Jul-20,8:00:00 PM,2.79,2.82
01-Jul-20,8:30:00 PM,2.76,2.79
01-Jul-20,9:00:00 PM,2.70,2.72
01-Jul-20,9:30:00 PM,2.54,2.56
01-Jul-20,10:00:00 PM,2.41,2.45
01-Jul-20,10:30:00 PM,2.38,2.42
01-Jul-20,11:00:00 PM,2.14,2.17
01-Jul-20,11:30:00 PM,1.92,1.94
02-Jul-20,12:00:00 AM,1.79,1.81
02-Jul-20,12:30:00 AM,1.71,1.73
02-Jul-20,1:00:00 AM,1.67,1.69
02-Jul-20,1:30:00 AM,1.60,1.63
02-Jul-20,2:00:00 AM,1.70,1.73
02-Jul-20,2:30:00 AM,1.71,1.74
