Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,4.60,4.66
01-Jul-20,12:30:00 AM,4.38,4.43
01-Jul-20,1:00:00 AM,4.35,4.41
01-Jul-20,1:30:00 AM,4.18,4.24
01-Jul-20,2:00:00 AM,4.22,4.28
01-Jul-20,2:30:00 AM,4.12,4.17
01-Jul-20,3:00:00 AM,4.10,4.16
01-Jul-20,3:30:00 AM,4.04,4.10
01-Jul-20,4:00:00 AM,4.21,4.27
01-Jul-20,4:30:00 AM,4.32,4.37
01-Jul-20,5:00:00 AM,4.72,4.77
01-Jul-20,5:30:00 AM,4.86,4.92
01-Jul-20,6:00:00 AM,5.37,5.43
01-Jul-20,6:30:00 AM,5.69,5.74
01-Jul-20,7:00:00 AM,5.90,5.96
01-Jul-20,7:30:00 AM,5.78,5.84
01-Jul-20,8:00:00 AM,5.18,5.26
01-Jul-20,8:30:00 AM,4.21,4.30
01-Jul-20,9:00:00 AM,3.57,3.70
01-Jul-20,9:30:00 AM,2.93,3.11
01-Jul-20,10:00:00 AM,2.37,2.58
01-Jul-20,10:30:00 AM,2.01,2.27
01-Jul-20,11:00:00 AM,1.92,2.21
01-Jul-20,11:30:00 AM,1.91,2.22
01-Jul-20,12:00:00 PM,1.80,2.11
01-Jul-20,12:30:00 PM,1.79,2.07
01-Jul-20,1:00:00 PM,2.28,2.51
01-Jul-20,1:30:00 PM,2.57,2.78
01-Jul-20,2:00:00 PM,2.92,3.10
01-Jul-20,2:30:00 PM,3.16,3.35
01-Jul-20,3:00:00 PM,3.50,3.68
01-Jul-20,3:30:00 PM,4.14,4.30
01-Jul-20,4:00:00 PM,5.00,5.12
01-Jul-20,4:30:00 PM,5.74,5.85
01-Jul-20,5:00:00 PM,6.40,6.50
01-Jul-20,5:30:00 PM,7.06,7.17
01-Jul-20,6:00:00 PM,7.23,7.34
01-Jul-20,6:30:00 PM,7.16,7.26
01-Jul-20,7:00:00 PM,6.93,7.03
01-Jul-20,7:30:00 PM,6.67,6.77
01-Jul-20,8:00:00 PM,6.60,6.71
01-Jul-20,8:30:00 PM,6.33,6.42
01-Jul-20,9:00:00 PM,6.10,6.18
01-Jul-20,9:30:00 PM,5.71,5.78
01-Jul-20,10:00:00 PM,5.31,5.38
01-Jul-20,10:30:00 PM,5.00,5.07
01-Jul-20,11:00:00 PM,4.91,4.97
01-Jul-20,11:30:00 PM,4.70,4.76
02-Jul-20,12:00:00 AM,4.33,4.39
02-Jul-20,12:30:00 AM,4.21,4.26
02-Jul-20,1:00:00 AM,4.18,4.24
02-Jul-20,1:30:00 AM,4.14,4.20
02-Jul-20,2:00:00 AM,4.09,4.15
02-Jul-20,2:30:00 AM,4.03,4.08
02-Jul-20,3:00:00 AM,4.00,4.05
02-Jul-20,3:30:00 AM,3.97,4.02
02-Jul-20,4:00:00 AM,4.06,4.11
02-Jul-20,4:30:00 AM,4.37,4.42
02-Jul-20,5:00:00 AM,4.63,4.68
02-Jul-20,5:30:00 AM,4.91,4.97
02-Jul-20,6:00:00 AM,5.32,5.37
02-Jul-20,6:30:00 AM,5.66,5.70
02-Jul-20,7:00:00 AM,5.84,5.90
02-Jul-20,7:30:00 AM,5.79,5.85
02-Jul-20,8:00:00 AM,5.73,5.82
02-Jul-20,8:30:00 AM,5.34,5.42
02-Jul-20,9:00:00 AM,4.41,4.52
02-Jul-20,9:30:00 AM,3.19,3.36
02-Jul-20,10:00:00 AM,2.66,2.87
02-Jul-20,10:30:00 AM,2.84,3.02
02-Jul-20,11:00:00 AM,2.22,2.45
02-Jul-20,11:30:00 AM,1.91,2.19
02-Jul-20,12:00:00 PM,1.72,2.05
02-Jul-20,12:30:00 PM,1.88,2.18
02-Jul-20,1:00:00 PM,2.11,2.37
02-Jul-20,1:30:00 PM,2.52,2.72
02-Jul-20,2:00:00 PM,2.80,2.97
02-Jul-20,2:30:00 PM,2.88,3.04
02-Jul-20,3:00:00 PM,3.20,3.33
02-Jul-20,3:30:00 PM,3.80,3.91
02-Jul-20,4:00:00 PM,4.47,4.55
02-Jul-20,4:30:00 PM,5.36,5.45
02-Jul-20,5:00:00 PM,6.17,6.26
02-Jul-20,5:30:00 PM,6.71,6.81
02-Jul-20,6:00:00 PM,6.99,7.07
02-Jul-20,6:30:00 PM,6.88,6.97
02-Jul-20,7:00:00 PM,6.65,6.73
02-Jul-20,7:30:00 PM,6.37,6.45
02-Jul-20,8:00:00 PM,6.27,6.34
02-Jul-20,8:30:00 PM,6.17,6.23
02-Jul-20,9:00:00 PM,6.07,6.13
02-Jul-20,9:30:00 PM,5.64,5.69
02-Jul-20,10:00:00 PM,5.28,5.33
02-Jul-20,10:30:00 PM,4.80,4.84
02-Jul-20,11:00:00 PM,4.79,4.83
02-Jul-20,11:30:00 PM,4.57,4.61
03-Jul-20,12:00:00 AM,4.33,4.37
03-Jul-20,12:30:00 AM,4.18,4.22
03-Jul-20,1:00:00 AM,4.15,4.19
03-Jul-20,1:30:00 AM,4.03,4.07
03-Jul-20,2:00:00 AM,3.90,3.94
03-Jul-20,2:30:00 AM,3.87,3.91
03-Jul-20,3:00:00 AM,3.83,3.87
03-Jul-20,3:30:00 AM,3.86,3.89
03-Jul-20,4:00:00 AM,4.04,4.08
03-Jul-20,4:30:00 AM,4.24,4.29
