Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,2.87,2.87
01-Jul-20,12:30:00 AM,2.79,2.79
01-Jul-20,1:00:00 AM,2.75,2.75
01-Jul-20,1:30:00 AM,2.67,2.67
01-Jul-20,2:00:00 AM,2.58,2.58
01-Jul-20,2:30:00 AM,2.53,2.53
01-Jul-20,3:00:00 AM,2.52,2.52
01-Jul-20,3:30:00 AM,2.45,2.45
01-Jul-20,4:00:00 AM,2.59,2.59
01-Jul-20,4:30:00 AM,2.72,2.72
01-Jul-20,5:00:00 AM,2.84,2.84
01-Jul-20,5:30:00 AM,3.13,3.13
01-Jul-20,6:00:00 AM,3.38,3.38
01-Jul-20,6:30:00 AM,3.52,3.52
01-Jul-20,7:00:00 AM,3.28,3.28
01-Jul-20,7:30:00 AM,2.76,2.76
01-Jul-20,8:00:00 AM,2.29,2.29
01-Jul-20,8:30:00 AM,1.70,1.70
01-Jul-20,9:00:00 AM,0.96,0.97
01-Jul-20,9:30:00 AM,0.37,0.40
01-Jul-20,10:00:00 AM,-0.11,0.20
01-Jul-20,10:30:00 AM,-0.61,0.63
01-Jul-20,11:00:00 AM,-0.84,0.86
01-Jul-20,11:30:00 AM,-0.80,0.83
01-Jul-20,12:00:00 PM,-0.94,0.98
01-Jul-20,12:30:00 PM,-0.94,0.98
01-Jul-20,1:00:00 PM,-0.82,0.86
01-Jul-20,1:30:00 PM,-0.41,0.47
01-Jul-20,2:00:00 PM,-0.04,0.20
01-Jul-20,2:30:00 PM,0.45,0.47
01-Jul-20,3:00:00 PM,1.07,1.07
01-Jul-20,3:30:00 PM,1.73,1.74
01-Jul-20,4:00:00 PM,2.38,2.38
01-Jul-20,4:30:00 PM,3.19,3.19
01-Jul-20,5:00:00 PM,3.85,3.85
01-Jul-20,5:30:00 PM,4.37,4.37
01-Jul-20,6:00:00 PM,4.56,4.56
01-Jul-20,6:30:00 PM,4.42,4.43
01-Jul-20,7:00:00 PM,4.34,4.35
01-Jul-20,7:30:00 PM,4.21,4.21
01-Jul-20,8:00:00 PM,4.19,4.19
01-Jul-20,8:30:00 PM,4.16,4.16
01-Jul-20,9:00:00 PM,4.02,4.02
01-Jul-20,9:30:00 PM,3.84,3.84
01-Jul-20,10:00:00 PM,3.52,3.52
01-Jul-20,10:30:00 PM,3.12,3.12
01-Jul-20,11:00:00 PM,2.99,2.99
01-Jul-20,11:30:00 PM,2.91,2.91
02-Jul-20,12:00:00 AM,2.71,2.72
02-Jul-20,12:30:00 AM,2.58,2.58
02-Jul-20,1:00:00 AM,2.52,2.52
02-Jul-20,1:30:00 AM,2.52,2.52
02-Jul-20,2:00:00 AM,2.44,2.44
02-Jul-20,2:30:00 AM,2.33,2.34
02-Jul-20,3:00:00 AM,2.36,2.36
02-Jul-20,3:30:00 AM,2.35,2.35
02-Jul-20,4:00:00 AM,2.44,2.44
02-Jul-20,4:30:00 AM,2.66,2.66
02-Jul-20,5:00:00 AM,2.85,2.85
02-Jul-20,5:30:00 AM,3.05,3.05
02-Jul-20,6:00:00 AM,3.33,3.33
02-Jul-20,6:30:00 AM,3.69,3.69
02-Jul-20,7:00:00 AM,3.67,3.67
02-Jul-20,7:30:00 AM,3.24,3.24
02-Jul-20,8:00:00 AM,2.87,2.87
02-Jul-20,8:30:00 AM,2.79,2.79
02-Jul-20,9:00:00 AM,2.10,2.10
02-Jul-20,9:30:00 AM,1.02,1.02
02-Jul-20,10:00:00 AM,0.55,0.56
02-Jul-20,10:30:00 AM,-0.15,0.28
02-Jul-20,11:00:00 AM,-0.01,0.22
02-Jul-20,11:30:00 AM,-0.65,0.71
02-Jul-20,12:00:00 PM,-0.50,0.57
02-Jul-20,12:30:00 PM,-0.91,0.97
02-Jul-20,1:00:00 PM,-0.24,0.34
02-Jul-20,1:30:00 PM,-0.04,0.18
02-Jul-20,2:00:00 PM,0.04,0.18
02-Jul-20,2:30:00 PM,0.48,0.50
02-Jul-20,3:00:00 PM,1.11,1.12
02-Jul-20,3:30:00 PM,1.82,1.82
02-Jul-20,4:00:00 PM,2.45,2.45
02-Jul-20,4:30:00 PM,3.15,3.15
02-Jul-20,5:00:00 PM,3.79,3.79
02-Jul-20,5:30:00 PM,4.35,4.35
02-Jul-20,6:00:00 PM,4.54,4.54
02-Jul-20,6:30:00 PM,4.51,4.52
02-Jul-20,7:00:00 PM,4.37,4.37
02-Jul-20,7:30:00 PM,4.26,4.26
02-Jul-20,8:00:00 PM,4.26,4.26
02-Jul-20,8:30:00 PM,4.25,4.25
02-Jul-20,9:00:00 PM,4.05,4.05
02-Jul-20,9:30:00 PM,3.91,3.91
02-Jul-20,10:00:00 PM,3.67,3.67
02-Jul-20,10:30:00 PM,3.24,3.24
02-Jul-20,11:00:00 PM,3.03,3.03
