Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.80,7.90
01-Jul-20,12:30:00 AM,7.18,7.30
01-Jul-20,1:00:00 AM,6.79,6.92
01-Jul-20,1:30:00 AM,6.44,6.58
01-Jul-20,2:00:00 AM,6.18,6.32
01-Jul-20,2:30:00 AM,6.15,6.30
01-Jul-20,3:00:00 AM,6.17,6.31
01-Jul-20,3:30:00 AM,6.19,6.34
01-Jul-20,4:00:00 AM,6.36,6.50
01-Jul-20,4:30:00 AM,6.67,6.80
01-Jul-20,5:00:00 AM,7.39,7.49
01-Jul-20,5:30:00 AM,8.29,8.37
01-Jul-20,6:00:00 AM,9.45,9.50
01-Jul-20,6:30:00 AM,10.69,10.75
01-Jul-20,7:00:00 AM,11.42,11.48
01-Jul-20,7:30:00 AM,10.88,10.92
01-Jul-20,8:00:00 AM,9.57,9.61
01-Jul-20,8:30:00 AM,8.72,8.76
01-Jul-20,9:00:00 AM,7.51,7.56
01-Jul-20,9:30:00 AM,5.06,5.15
01-Jul-20,10:00:00 AM,3.71,3.83
01-Jul-20,10:30:00 AM,2.72,2.85
01-Jul-20,11:00:00 AM,2.10,2.28
01-Jul-20,11:30:00 AM,1.81,2.04
01-Jul-20,12:00:00 PM,1.20,1.52
01-Jul-20,12:30:00 PM,1.28,1.57
01-Jul-20,1:00:00 PM,1.75,1.99
01-Jul-20,1:30:00 PM,2.19,2.41
01-Jul-20,2:00:00 PM,2.99,3.15
01-Jul-20,2:30:00 PM,4.71,4.85
01-Jul-20,3:00:00 PM,8.07,8.16
01-Jul-20,3:30:00 PM,8.88,8.96
01-Jul-20,4:00:00 PM,9.35,9.43
01-Jul-20,4:30:00 PM,11.45,11.50
01-Jul-20,5:00:00 PM,13.12,13.14
01-Jul-20,5:30:00 PM,14.63,14.64
01-Jul-20,6:00:00 PM,15.20,15.20
01-Jul-20,6:30:00 PM,15.90,15.90
01-Jul-20,7:00:00 PM,15.59,15.59
01-Jul-20,7:30:00 PM,15.76,15.76
01-Jul-20,8:00:00 PM,15.66,15.66
01-Jul-20,8:30:00 PM,14.77,14.78
01-Jul-20,9:00:00 PM,13.42,13.44
01-Jul-20,9:30:00 PM,12.75,12.78
01-Jul-20,10:00:00 PM,12.21,12.24
01-Jul-20,10:30:00 PM,11.60,11.64
01-Jul-20,11:00:00 PM,10.29,10.35
01-Jul-20,11:30:00 PM,8.92,8.99
02-Jul-20,12:00:00 AM,8.07,8.16
02-Jul-20,12:30:00 AM,7.40,7.52
02-Jul-20,1:00:00 AM,6.95,7.08
02-Jul-20,1:30:00 AM,6.64,6.77
02-Jul-20,2:00:00 AM,6.42,6.56
02-Jul-20,2:30:00 AM,6.36,6.51
02-Jul-20,3:00:00 AM,6.41,6.56
02-Jul-20,3:30:00 AM,6.37,6.52
02-Jul-20,4:00:00 AM,6.53,6.66
02-Jul-20,4:30:00 AM,6.96,7.08
02-Jul-20,5:00:00 AM,7.82,7.91
02-Jul-20,5:30:00 AM,8.79,8.86
02-Jul-20,6:00:00 AM,10.23,10.26
02-Jul-20,6:30:00 AM,11.40,11.44
02-Jul-20,7:00:00 AM,11.75,11.80
02-Jul-20,7:30:00 AM,11.18,11.22
02-Jul-20,8:00:00 AM,10.16,10.20
02-Jul-20,8:30:00 AM,9.06,9.11
02-Jul-20,9:00:00 AM,7.64,7.70
02-Jul-20,9:30:00 AM,6.32,6.38
02-Jul-20,10:00:00 AM,6.02,6.09
02-Jul-20,10:30:00 AM,4.28,4.37
02-Jul-20,11:00:00 AM,3.17,3.29
02-Jul-20,11:30:00 AM,2.48,2.66
02-Jul-20,12:00:00 PM,3.87,4.01
02-Jul-20,12:30:00 PM,2.55,2.73
02-Jul-20,1:00:00 PM,3.25,3.42
02-Jul-20,1:30:00 PM,3.53,3.70
02-Jul-20,2:00:00 PM,3.14,3.32
02-Jul-20,2:30:00 PM,4.52,4.65
02-Jul-20,3:00:00 PM,6.01,6.13
02-Jul-20,3:30:00 PM,7.42,7.51
02-Jul-20,4:00:00 PM,9.26,9.35
02-Jul-20,4:30:00 PM,11.29,11.35
02-Jul-20,5:00:00 PM,13.06,13.08
