Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.42,7.47
01-Jul-20,12:30:00 AM,7.45,7.55
01-Jul-20,1:00:00 AM,7.18,7.24
01-Jul-20,1:30:00 AM,7.23,7.27
01-Jul-20,2:00:00 AM,6.68,6.68
01-Jul-20,2:30:00 AM,6.75,6.77
01-Jul-20,3:00:00 AM,6.89,6.92
01-Jul-20,3:30:00 AM,6.97,7.00
01-Jul-20,4:00:00 AM,7.42,7.46
01-Jul-20,4:30:00 AM,7.73,7.80
01-Jul-20,5:00:00 AM,8.58,8.65
01-Jul-20,5:30:00 AM,8.98,9.07
01-Jul-20,6:00:00 AM,9.89,10.06
01-Jul-20,6:30:00 AM,12.22,12.68
01-Jul-20,7:00:00 AM,14.84,15.76
01-Jul-20,7:30:00 AM,14.27,15.15
01-Jul-20,8:00:00 AM,13.86,14.71
01-Jul-20,8:30:00 AM,12.76,13.66
01-Jul-20,9:00:00 AM,12.64,13.59
01-Jul-20,9:30:00 AM,11.82,12.58
01-Jul-20,10:00:00 AM,9.92,10.16
01-Jul-20,10:30:00 AM,9.93,10.20
01-Jul-20,11:00:00 AM,9.89,10.14
01-Jul-20,11:30:00 AM,9.90,10.16
01-Jul-20,12:00:00 PM,10.07,10.36
01-Jul-20,12:30:00 PM,9.94,10.29
01-Jul-20,1:00:00 PM,9.92,10.15
01-Jul-20,1:30:00 PM,9.60,9.84
01-Jul-20,2:00:00 PM,9.38,9.58
01-Jul-20,2:30:00 PM,10.20,10.45
01-Jul-20,3:00:00 PM,10.71,10.92
01-Jul-20,3:30:00 PM,9.88,10.09
01-Jul-20,4:00:00 PM,9.69,9.81
01-Jul-20,4:30:00 PM,9.56,9.67
01-Jul-20,5:00:00 PM,9.51,9.62
01-Jul-20,5:30:00 PM,9.44,9.56
01-Jul-20,6:00:00 PM,9.37,9.49
01-Jul-20,6:30:00 PM,9.26,9.42
01-Jul-20,7:00:00 PM,8.93,9.03
01-Jul-20,7:30:00 PM,8.87,8.96
01-Jul-20,8:00:00 PM,8.85,8.94
01-Jul-20,8:30:00 PM,8.60,8.69
01-Jul-20,9:00:00 PM,8.18,8.26
01-Jul-20,9:30:00 PM,8.57,8.67
01-Jul-20,10:00:00 PM,8.20,8.33
01-Jul-20,10:30:00 PM,8.17,8.26
01-Jul-20,11:00:00 PM,7.89,7.97
01-Jul-20,11:30:00 PM,7.61,7.70
02-Jul-20,12:00:00 AM,7.67,7.75
02-Jul-20,12:30:00 AM,7.52,7.60
02-Jul-20,1:00:00 AM,7.43,7.50
02-Jul-20,1:30:00 AM,7.49,7.58
02-Jul-20,2:00:00 AM,7.17,7.24
02-Jul-20,2:30:00 AM,7.11,7.17
02-Jul-20,3:00:00 AM,6.92,6.96
02-Jul-20,3:30:00 AM,7.19,7.23
02-Jul-20,4:00:00 AM,7.50,7.54
02-Jul-20,4:30:00 AM,7.97,8.02
02-Jul-20,5:00:00 AM,8.72,8.78
02-Jul-20,5:30:00 AM,9.20,9.29
02-Jul-20,6:00:00 AM,9.98,10.12
02-Jul-20,6:30:00 AM,12.00,12.52
02-Jul-20,7:00:00 AM,13.95,14.72
02-Jul-20,7:30:00 AM,13.53,14.34
02-Jul-20,8:00:00 AM,11.67,12.21
02-Jul-20,8:30:00 AM,13.62,14.41
02-Jul-20,9:00:00 AM,13.68,14.56
02-Jul-20,9:30:00 AM,12.98,13.95
02-Jul-20,10:00:00 AM,11.46,12.30
02-Jul-20,10:30:00 AM,10.55,10.89
02-Jul-20,11:00:00 AM,10.40,10.73
02-Jul-20,11:30:00 AM,10.97,11.40
02-Jul-20,12:00:00 PM,13.77,14.76
02-Jul-20,12:30:00 PM,13.01,14.10
02-Jul-20,1:00:00 PM,11.23,12.23
02-Jul-20,1:30:00 PM,9.84,10.17
02-Jul-20,2:00:00 PM,9.46,9.71
02-Jul-20,2:30:00 PM,9.35,9.55
02-Jul-20,3:00:00 PM,9.06,9.21
02-Jul-20,3:30:00 PM,8.73,8.91
02-Jul-20,4:00:00 PM,8.77,8.87
02-Jul-20,4:30:00 PM,8.61,8.66
02-Jul-20,5:00:00 PM,8.69,8.73
02-Jul-20,5:30:00 PM,8.88,8.93
02-Jul-20,6:00:00 PM,8.80,8.85
02-Jul-20,6:30:00 PM,8.29,8.35
02-Jul-20,7:00:00 PM,8.07,8.15
02-Jul-20,7:30:00 PM,7.95,8.01
02-Jul-20,8:00:00 PM,7.98,8.02
02-Jul-20,8:30:00 PM,7.83,7.88
02-Jul-20,9:00:00 PM,7.69,7.73
02-Jul-20,9:30:00 PM,7.59,7.66
02-Jul-20,10:00:00 PM,7.43,7.47
02-Jul-20,10:30:00 PM,7.15,7.18
02-Jul-20,11:00:00 PM,6.68,6.70
02-Jul-20,11:30:00 PM,6.53,6.55
03-Jul-20,12:00:00 AM,6.62,6.64
03-Jul-20,12:30:00 AM,6.36,6.37
03-Jul-20,1:00:00 AM,6.38,6.40
03-Jul-20,1:30:00 AM,6.20,6.22
03-Jul-20,2:00:00 AM,6.16,6.16
03-Jul-20,2:30:00 AM,6.17,6.18
03-Jul-20,3:00:00 AM,6.32,6.34
03-Jul-20,3:30:00 AM,6.45,6.47
03-Jul-20,4:00:00 AM,6.94,6.96
03-Jul-20,4:30:00 AM,7.38,7.40
03-Jul-20,5:00:00 AM,8.14,8.20
03-Jul-20,5:30:00 AM,8.49,8.55
03-Jul-20,6:00:00 AM,9.42,9.56
03-Jul-20,6:30:00 AM,12.26,12.97
03-Jul-20,7:00:00 AM,12.24,13.02
