Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,10.74,11.52
01-Jul-20,12:30:00 AM,10.48,11.29
01-Jul-20,1:00:00 AM,10.67,11.36
01-Jul-20,1:30:00 AM,10.28,10.97
01-Jul-20,2:00:00 AM,10.13,10.87
01-Jul-20,2:30:00 AM,9.91,10.54
01-Jul-20,3:00:00 AM,10.06,10.69
01-Jul-20,3:30:00 AM,10.24,10.89
01-Jul-20,4:00:00 AM,10.80,11.58
01-Jul-20,4:30:00 AM,11.41,12.22
01-Jul-20,5:00:00 AM,12.18,13.18
01-Jul-20,5:30:00 AM,12.89,13.92
01-Jul-20,6:00:00 AM,13.76,14.85
01-Jul-20,6:30:00 AM,14.80,16.08
01-Jul-20,7:00:00 AM,14.74,16.03
01-Jul-20,7:30:00 AM,14.89,16.28
01-Jul-20,8:00:00 AM,15.21,16.52
01-Jul-20,8:30:00 AM,14.80,16.12
01-Jul-20,9:00:00 AM,14.83,16.18
01-Jul-20,9:30:00 AM,14.51,15.95
01-Jul-20,10:00:00 AM,14.55,15.95
01-Jul-20,10:30:00 AM,12.62,13.67
01-Jul-20,11:00:00 AM,13.20,14.29
01-Jul-20,11:30:00 AM,14.17,15.70
01-Jul-20,12:00:00 PM,14.24,15.80
01-Jul-20,12:30:00 PM,15.07,16.65
01-Jul-20,1:00:00 PM,14.95,16.70
01-Jul-20,1:30:00 PM,15.17,16.84
01-Jul-20,2:00:00 PM,14.97,16.50
01-Jul-20,2:30:00 PM,14.80,16.28
01-Jul-20,3:00:00 PM,14.33,15.73
01-Jul-20,3:30:00 PM,13.91,15.35
01-Jul-20,4:00:00 PM,13.90,15.19
01-Jul-20,4:30:00 PM,13.30,14.68
01-Jul-20,5:00:00 PM,13.25,14.43
01-Jul-20,5:30:00 PM,12.91,14.01
01-Jul-20,6:00:00 PM,13.98,15.05
01-Jul-20,6:30:00 PM,13.44,14.55
01-Jul-20,7:00:00 PM,13.19,14.31
01-Jul-20,7:30:00 PM,13.24,14.30
01-Jul-20,8:00:00 PM,13.18,14.25
01-Jul-20,8:30:00 PM,13.26,14.43
01-Jul-20,9:00:00 PM,12.90,13.99
01-Jul-20,9:30:00 PM,12.83,13.99
01-Jul-20,10:00:00 PM,12.49,13.58
01-Jul-20,10:30:00 PM,12.45,13.60
01-Jul-20,11:00:00 PM,11.96,13.08
01-Jul-20,11:30:00 PM,11.26,12.27
02-Jul-20,12:00:00 AM,11.41,12.51
02-Jul-20,12:30:00 AM,11.41,12.50
02-Jul-20,1:00:00 AM,11.05,12.11
02-Jul-20,1:30:00 AM,10.61,11.62
02-Jul-20,2:00:00 AM,10.46,11.44
02-Jul-20,2:30:00 AM,10.39,11.29
02-Jul-20,3:00:00 AM,10.47,11.46
02-Jul-20,3:30:00 AM,10.68,11.64
02-Jul-20,4:00:00 AM,11.06,11.98
02-Jul-20,4:30:00 AM,11.71,12.71
02-Jul-20,5:00:00 AM,12.38,13.42
02-Jul-20,5:30:00 AM,12.61,13.69
02-Jul-20,6:00:00 AM,13.78,14.88
02-Jul-20,6:30:00 AM,14.02,15.30
02-Jul-20,7:00:00 AM,14.60,15.97
02-Jul-20,7:30:00 AM,14.80,16.14
02-Jul-20,8:00:00 AM,14.83,16.16
02-Jul-20,8:30:00 AM,14.54,15.88
02-Jul-20,9:00:00 AM,14.78,16.10
02-Jul-20,9:30:00 AM,14.48,15.91
02-Jul-20,10:00:00 AM,14.46,15.88
02-Jul-20,10:30:00 AM,14.58,16.00
02-Jul-20,11:00:00 AM,14.69,16.21
02-Jul-20,11:30:00 AM,14.70,16.35
02-Jul-20,12:00:00 PM,14.80,16.39
02-Jul-20,12:30:00 PM,14.36,15.88
02-Jul-20,1:00:00 PM,14.42,15.90
02-Jul-20,1:30:00 PM,14.82,16.35
02-Jul-20,2:00:00 PM,13.25,14.58
02-Jul-20,2:30:00 PM,13.20,14.73
02-Jul-20,3:00:00 PM,13.03,14.32
02-Jul-20,3:30:00 PM,12.53,13.77
02-Jul-20,4:00:00 PM,12.07,13.17
02-Jul-20,4:30:00 PM,11.21,12.38
02-Jul-20,5:00:00 PM,11.20,12.16
02-Jul-20,5:30:00 PM,11.22,12.11
02-Jul-20,6:00:00 PM,10.99,11.96
02-Jul-20,6:30:00 PM,10.81,11.72
02-Jul-20,7:00:00 PM,10.71,11.63
02-Jul-20,7:30:00 PM,10.61,11.44
02-Jul-20,8:00:00 PM,10.51,11.36
02-Jul-20,8:30:00 PM,10.34,11.18
02-Jul-20,9:00:00 PM,10.38,11.36
02-Jul-20,9:30:00 PM,10.12,11.24
02-Jul-20,10:00:00 PM,11.05,12.07
02-Jul-20,10:30:00 PM,11.43,12.45
02-Jul-20,11:00:00 PM,10.77,11.78
02-Jul-20,11:30:00 PM,10.50,11.42
03-Jul-20,12:00:00 AM,10.49,11.40
03-Jul-20,12:30:00 AM,9.85,10.66
03-Jul-20,1:00:00 AM,8.10,8.51
03-Jul-20,1:30:00 AM,8.14,8.64
03-Jul-20,2:00:00 AM,7.87,8.29
03-Jul-20,2:30:00 AM,7.86,8.33
03-Jul-20,3:00:00 AM,7.83,8.24
03-Jul-20,3:30:00 AM,7.73,8.17
03-Jul-20,4:00:00 AM,8.03,8.49
03-Jul-20,4:30:00 AM,8.43,9.06
03-Jul-20,5:00:00 AM,9.54,10.29
03-Jul-20,5:30:00 AM,9.95,10.61
03-Jul-20,6:00:00 AM,11.13,11.95
03-Jul-20,6:30:00 AM,13.95,15.23
03-Jul-20,7:00:00 AM,14.54,15.90
03-Jul-20,7:30:00 AM,14.71,16.23
03-Jul-20,8:00:00 AM,14.41,15.79
03-Jul-20,8:30:00 AM,14.51,15.99
03-Jul-20,9:00:00 AM,14.65,16.11
03-Jul-20,9:30:00 AM,14.12,15.65
03-Jul-20,10:00:00 AM,14.21,15.78
03-Jul-20,10:30:00 AM,14.15,15.70
03-Jul-20,11:00:00 AM,14.04,15.55
03-Jul-20,11:30:00 AM,14.05,15.64
03-Jul-20,12:00:00 PM,13.28,14.66
03-Jul-20,12:30:00 PM,12.86,14.22
03-Jul-20,1:00:00 PM,13.38,14.75
03-Jul-20,1:30:00 PM,13.17,14.45
03-Jul-20,2:00:00 PM,12.82,14.16
03-Jul-20,2:30:00 PM,12.83,14.10
03-Jul-20,3:00:00 PM,12.60,13.82
03-Jul-20,3:30:00 PM,12.32,13.50
03-Jul-20,4:00:00 PM,12.59,13.63
03-Jul-20,4:30:00 PM,11.60,12.76
03-Jul-20,5:00:00 PM,11.03,12.03
03-Jul-20,5:30:00 PM,11.11,12.06
03-Jul-20,6:00:00 PM,10.81,11.86
03-Jul-20,6:30:00 PM,10.89,11.90
03-Jul-20,7:00:00 PM,10.41,11.34
03-Jul-20,7:30:00 PM,10.33,11.33
03-Jul-20,8:00:00 PM,10.34,11.32
03-Jul-20,8:30:00 PM,10.21,11.13
03-Jul-20,9:00:00 PM,9.86,10.72
03-Jul-20,9:30:00 PM,10.00,10.99
03-Jul-20,10:00:00 PM,9.88,10.89
03-Jul-20,10:30:00 PM,9.59,10.49
03-Jul-20,11:00:00 PM,9.57,10.43
03-Jul-20,11:30:00 PM,9.39,10.23
04-Jul-20,12:00:00 AM,9.22,10.05
04-Jul-20,12:30:00 AM,9.46,10.32
04-Jul-20,1:00:00 AM,9.12,10.02
04-Jul-20,1:30:00 AM,9.30,10.15
04-Jul-20,2:00:00 AM,10.56,11.49
04-Jul-20,2:30:00 AM,10.70,11.61
04-Jul-20,3:00:00 AM,10.41,11.35
04-Jul-20,3:30:00 AM,10.63,11.59
04-Jul-20,4:00:00 AM,10.82,11.66
04-Jul-20,4:30:00 AM,10.60,11.52
04-Jul-20,5:00:00 AM,10.47,11.51
04-Jul-20,5:30:00 AM,10.62,11.46
04-Jul-20,6:00:00 AM,10.61,11.56
04-Jul-20,6:30:00 AM,10.32,11.29
04-Jul-20,7:00:00 AM,10.02,10.94
04-Jul-20,7:30:00 AM,9.89,10.76
04-Jul-20,8:00:00 AM,10.07,11.08
04-Jul-20,8:30:00 AM,9.62,10.51
04-Jul-20,9:00:00 AM,9.57,10.47
04-Jul-20,9:30:00 AM,10.04,10.82
04-Jul-20,10:00:00 AM,9.93,11.05
04-Jul-20,10:30:00 AM,9.60,10.66
04-Jul-20,11:00:00 AM,9.34,10.16
04-Jul-20,11:30:00 AM,9.38,10.14
04-Jul-20,12:00:00 PM,9.03,9.89
04-Jul-20,12:30:00 PM,9.14,10.06
04-Jul-20,1:00:00 PM,8.97,9.93
04-Jul-20,1:30:00 PM,8.79,9.71
04-Jul-20,2:00:00 PM,8.80,9.62
04-Jul-20,2:30:00 PM,9.07,9.80
04-Jul-20,3:00:00 PM,9.05,9.84
04-Jul-20,3:30:00 PM,9.11,9.88
