Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,14.08,14.09
01-Jul-20,12:30:00 AM,13.73,13.74
01-Jul-20,1:00:00 AM,13.12,13.12
01-Jul-20,1:30:00 AM,12.75,12.75
01-Jul-20,2:00:00 AM,12.37,12.38
01-Jul-20,2:30:00 AM,12.18,12.19
01-Jul-20,3:00:00 AM,12.31,12.32
01-Jul-20,3:30:00 AM,12.26,12.27
01-Jul-20,4:00:00 AM,12.41,12.41
01-Jul-20,4:30:00 AM,13.19,13.19
01-Jul-20,5:00:00 AM,14.69,14.69
01-Jul-20,5:30:00 AM,16.19,16.19
01-Jul-20,6:00:00 AM,19.02,19.06
01-Jul-20,6:30:00 AM,21.28,21.32
01-Jul-20,7:00:00 AM,23.35,23.42
01-Jul-20,7:30:00 AM,24.56,24.67
01-Jul-20,8:00:00 AM,24.78,24.93
01-Jul-20,8:30:00 AM,23.30,23.51
01-Jul-20,9:00:00 AM,20.59,20.84
01-Jul-20,9:30:00 AM,20.42,20.68
01-Jul-20,10:00:00 AM,19.88,20.18
01-Jul-20,10:30:00 AM,18.09,18.47
01-Jul-20,11:00:00 AM,17.58,17.97
01-Jul-20,11:30:00 AM,16.96,17.42
01-Jul-20,12:00:00 PM,16.62,17.04
01-Jul-20,12:30:00 PM,18.18,18.54
01-Jul-20,1:00:00 PM,19.95,20.22
01-Jul-20,1:30:00 PM,19.74,19.99
01-Jul-20,2:00:00 PM,19.14,19.41
01-Jul-20,2:30:00 PM,19.33,19.56
01-Jul-20,3:00:00 PM,20.91,21.06
01-Jul-20,3:30:00 PM,20.94,21.03
01-Jul-20,4:00:00 PM,20.77,20.81
01-Jul-20,4:30:00 PM,21.37,21.39
01-Jul-20,5:00:00 PM,22.79,22.82
01-Jul-20,5:30:00 PM,23.52,23.55
01-Jul-20,6:00:00 PM,23.62,23.64
01-Jul-20,6:30:00 PM,23.49,23.51
01-Jul-20,7:00:00 PM,23.10,23.12
01-Jul-20,7:30:00 PM,23.08,23.10
01-Jul-20,8:00:00 PM,22.73,22.75
01-Jul-20,8:30:00 PM,21.57,21.58
01-Jul-20,9:00:00 PM,20.40,20.41
01-Jul-20,9:30:00 PM,19.63,19.64
01-Jul-20,10:00:00 PM,18.73,18.73
01-Jul-20,10:30:00 PM,18.68,18.68
01-Jul-20,11:00:00 PM,17.07,17.07
01-Jul-20,11:30:00 PM,15.31,15.32
02-Jul-20,12:00:00 AM,14.08,14.09
02-Jul-20,12:30:00 AM,13.41,13.43
02-Jul-20,1:00:00 AM,12.90,12.92
02-Jul-20,1:30:00 AM,12.59,12.60
02-Jul-20,2:00:00 AM,12.17,12.19
02-Jul-20,2:30:00 AM,11.99,12.01
02-Jul-20,3:00:00 AM,12.70,12.71
02-Jul-20,3:30:00 AM,12.98,12.99
02-Jul-20,4:00:00 AM,13.43,13.43
02-Jul-20,4:30:00 AM,13.95,13.95
02-Jul-20,5:00:00 AM,15.49,15.49
02-Jul-20,5:30:00 AM,16.99,16.99
02-Jul-20,6:00:00 AM,19.79,19.83
02-Jul-20,6:30:00 AM,21.85,21.90
02-Jul-20,7:00:00 AM,23.33,23.40
02-Jul-20,7:30:00 AM,24.54,24.66
02-Jul-20,8:00:00 AM,24.16,24.32
02-Jul-20,8:30:00 AM,23.26,23.47
02-Jul-20,9:00:00 AM,22.34,22.58
02-Jul-20,9:30:00 AM,22.25,22.50
02-Jul-20,10:00:00 AM,19.79,20.16
02-Jul-20,10:30:00 AM,17.27,17.66
02-Jul-20,11:00:00 AM,19.49,19.81
02-Jul-20,11:30:00 AM,18.88,19.18
02-Jul-20,12:00:00 PM,15.38,15.76
02-Jul-20,12:30:00 PM,16.11,16.51
