Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.88,9.90
01-Jul-20,12:30:00 AM,9.22,9.24
01-Jul-20,1:00:00 AM,8.94,8.96
01-Jul-20,1:30:00 AM,8.47,8.49
01-Jul-20,2:00:00 AM,8.38,8.41
01-Jul-20,2:30:00 AM,8.36,8.39
01-Jul-20,3:00:00 AM,8.34,8.37
01-Jul-20,3:30:00 AM,8.17,8.21
01-Jul-20,4:00:00 AM,8.45,8.50
01-Jul-20,4:30:00 AM,8.78,8.81
01-Jul-20,5:00:00 AM,9.60,9.62
01-Jul-20,5:30:00 AM,10.42,10.44
01-Jul-20,6:00:00 AM,11.02,11.03
01-Jul-20,6:30:00 AM,12.14,12.16
01-Jul-20,7:00:00 AM,12.36,12.37
01-Jul-20,7:30:00 AM,11.86,11.87
01-Jul-20,8:00:00 AM,11.27,11.28
01-Jul-20,8:30:00 AM,10.42,10.42
01-Jul-20,9:00:00 AM,9.46,9.46
01-Jul-20,9:30:00 AM,8.68,8.68
01-Jul-20,10:00:00 AM,7.90,7.90
01-Jul-20,10:30:00 AM,8.28,8.28
01-Jul-20,11:00:00 AM,8.59,8.59
01-Jul-20,11:30:00 AM,9.48,9.48
01-Jul-20,12:00:00 PM,8.84,8.85
01-Jul-20,12:30:00 PM,7.72,7.73
01-Jul-20,1:00:00 PM,8.66,8.66
01-Jul-20,1:30:00 PM,10.99,10.99
01-Jul-20,2:00:00 PM,11.12,11.12
01-Jul-20,2:30:00 PM,11.18,11.18
01-Jul-20,3:00:00 PM,11.76,11.76
01-Jul-20,3:30:00 PM,12.06,12.06
01-Jul-20,4:00:00 PM,12.90,12.91
01-Jul-20,4:30:00 PM,14.78,14.78
01-Jul-20,5:00:00 PM,15.73,15.73
01-Jul-20,5:30:00 PM,16.50,16.50
01-Jul-20,6:00:00 PM,16.21,16.21
01-Jul-20,6:30:00 PM,16.57,16.57
01-Jul-20,7:00:00 PM,16.44,16.44
01-Jul-20,7:30:00 PM,16.33,16.33
01-Jul-20,8:00:00 PM,16.34,16.34
01-Jul-20,8:30:00 PM,15.58,15.59
01-Jul-20,9:00:00 PM,14.53,14.53
01-Jul-20,9:30:00 PM,13.66,13.66
01-Jul-20,10:00:00 PM,13.17,13.18
01-Jul-20,10:30:00 PM,13.14,13.15
01-Jul-20,11:00:00 PM,12.01,12.02
01-Jul-20,11:30:00 PM,11.08,11.09
02-Jul-20,12:00:00 AM,10.12,10.14
02-Jul-20,12:30:00 AM,9.39,9.41
02-Jul-20,1:00:00 AM,9.14,9.16
02-Jul-20,1:30:00 AM,8.68,8.70
02-Jul-20,2:00:00 AM,8.51,8.53
02-Jul-20,2:30:00 AM,8.47,8.49
02-Jul-20,3:00:00 AM,8.47,8.50
02-Jul-20,3:30:00 AM,8.50,8.52
02-Jul-20,4:00:00 AM,8.75,8.77
02-Jul-20,4:30:00 AM,9.09,9.10
02-Jul-20,5:00:00 AM,9.93,9.94
02-Jul-20,5:30:00 AM,10.71,10.71
02-Jul-20,6:00:00 AM,11.70,11.70
02-Jul-20,6:30:00 AM,12.48,12.49
02-Jul-20,7:00:00 AM,12.81,12.82
02-Jul-20,7:30:00 AM,12.34,12.35
02-Jul-20,8:00:00 AM,11.92,11.92
02-Jul-20,8:30:00 AM,10.92,10.92
02-Jul-20,9:00:00 AM,9.82,9.83
02-Jul-20,9:30:00 AM,10.50,10.50
02-Jul-20,10:00:00 AM,10.47,10.47
02-Jul-20,10:30:00 AM,8.48,8.48
02-Jul-20,11:00:00 AM,7.43,7.44
02-Jul-20,11:30:00 AM,7.02,7.03
02-Jul-20,12:00:00 PM,6.92,6.94
02-Jul-20,12:30:00 PM,8.43,8.45
02-Jul-20,1:00:00 PM,8.96,8.96
02-Jul-20,1:30:00 PM,8.95,8.96
02-Jul-20,2:00:00 PM,10.79,10.79
02-Jul-20,2:30:00 PM,9.87,9.88
02-Jul-20,3:00:00 PM,11.06,11.06
02-Jul-20,3:30:00 PM,12.25,12.25
02-Jul-20,4:00:00 PM,13.41,13.41
02-Jul-20,4:30:00 PM,14.90,14.90
02-Jul-20,5:00:00 PM,15.43,15.43
02-Jul-20,5:30:00 PM,16.29,16.29
02-Jul-20,6:00:00 PM,16.86,16.87
02-Jul-20,6:30:00 PM,16.81,16.81
02-Jul-20,7:00:00 PM,16.35,16.35
02-Jul-20,7:30:00 PM,16.46,16.47
02-Jul-20,8:00:00 PM,16.48,16.48
02-Jul-20,8:30:00 PM,15.65,15.65
02-Jul-20,9:00:00 PM,14.50,14.50
02-Jul-20,9:30:00 PM,13.58,13.58
02-Jul-20,10:00:00 PM,12.92,12.92
02-Jul-20,10:30:00 PM,13.08,13.08
02-Jul-20,11:00:00 PM,11.94,11.95
02-Jul-20,11:30:00 PM,10.80,10.81
03-Jul-20,12:00:00 AM,9.84,9.86
03-Jul-20,12:30:00 AM,9.16,9.18
03-Jul-20,1:00:00 AM,9.04,9.06
03-Jul-20,1:30:00 AM,8.51,8.53
03-Jul-20,2:00:00 AM,8.36,8.38
03-Jul-20,2:30:00 AM,8.39,8.41
03-Jul-20,3:00:00 AM,8.36,8.38
03-Jul-20,3:30:00 AM,8.47,8.49
03-Jul-20,4:00:00 AM,8.65,8.67
03-Jul-20,4:30:00 AM,9.02,9.04
03-Jul-20,5:00:00 AM,9.78,9.80
03-Jul-20,5:30:00 AM,10.62,10.63
03-Jul-20,6:00:00 AM,11.48,11.49
03-Jul-20,6:30:00 AM,12.34,12.35
03-Jul-20,7:00:00 AM,12.85,12.86
03-Jul-20,7:30:00 AM,12.53,12.53
03-Jul-20,8:00:00 AM,12.01,12.02
03-Jul-20,8:30:00 AM,11.09,11.09
03-Jul-20,9:00:00 AM,10.05,10.05
03-Jul-20,9:30:00 AM,9.13,9.13
03-Jul-20,10:00:00 AM,8.43,8.44
03-Jul-20,10:30:00 AM,7.96,7.97
03-Jul-20,11:00:00 AM,7.64,7.66
03-Jul-20,11:30:00 AM,7.63,7.65
03-Jul-20,12:00:00 PM,7.77,7.81
03-Jul-20,12:30:00 PM,7.92,7.96
03-Jul-20,1:00:00 PM,7.95,7.98
03-Jul-20,1:30:00 PM,8.73,8.76
03-Jul-20,2:00:00 PM,9.55,9.57
03-Jul-20,2:30:00 PM,10.11,10.12
03-Jul-20,3:00:00 PM,11.11,11.12
03-Jul-20,3:30:00 PM,11.93,11.93
03-Jul-20,4:00:00 PM,13.53,13.54
03-Jul-20,4:30:00 PM,14.64,14.64
03-Jul-20,5:00:00 PM,14.79,14.79
