Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,0.07,0.07
01-Jul-20,12:30:00 AM,0.07,0.07
01-Jul-20,1:00:00 AM,0.07,0.07
01-Jul-20,1:30:00 AM,0.07,0.07
01-Jul-20,2:00:00 AM,0.07,0.07
01-Jul-20,2:30:00 AM,0.07,0.07
01-Jul-20,3:00:00 AM,0.06,0.07
01-Jul-20,3:30:00 AM,0.07,0.07
01-Jul-20,4:00:00 AM,0.07,0.07
01-Jul-20,4:30:00 AM,0.07,0.07
01-Jul-20,5:00:00 AM,0.07,0.07
01-Jul-20,5:30:00 AM,0.08,0.08
01-Jul-20,6:00:00 AM,0.12,0.12
01-Jul-20,6:30:00 AM,0.14,0.15
01-Jul-20,7:00:00 AM,0.16,0.16
01-Jul-20,7:30:00 AM,0.15,0.15
01-Jul-20,8:00:00 AM,0.14,0.14
01-Jul-20,8:30:00 AM,0.62,0.63
01-Jul-20,9:00:00 AM,2.04,2.08
01-Jul-20,9:30:00 AM,2.44,2.49
01-Jul-20,10:00:00 AM,2.41,2.46
01-Jul-20,10:30:00 AM,2.42,2.47
01-Jul-20,11:00:00 AM,2.41,2.46
01-Jul-20,11:30:00 AM,2.41,2.46
01-Jul-20,12:00:00 PM,2.41,2.46
01-Jul-20,12:30:00 PM,2.42,2.47
01-Jul-20,1:00:00 PM,2.42,2.47
01-Jul-20,1:30:00 PM,2.43,2.47
01-Jul-20,2:00:00 PM,2.44,2.49
01-Jul-20,2:30:00 PM,2.44,2.48
01-Jul-20,3:00:00 PM,2.45,2.49
01-Jul-20,3:30:00 PM,2.45,2.50
01-Jul-20,4:00:00 PM,2.47,2.51
01-Jul-20,4:30:00 PM,2.47,2.52
01-Jul-20,5:00:00 PM,2.45,2.50
01-Jul-20,5:30:00 PM,2.45,2.50
01-Jul-20,6:00:00 PM,2.46,2.50
01-Jul-20,6:30:00 PM,2.45,2.50
01-Jul-20,7:00:00 PM,2.45,2.49
01-Jul-20,7:30:00 PM,2.45,2.50
01-Jul-20,8:00:00 PM,2.45,2.50
01-Jul-20,8:30:00 PM,2.45,2.50
01-Jul-20,9:00:00 PM,2.43,2.48
01-Jul-20,9:30:00 PM,2.43,2.48
01-Jul-20,10:00:00 PM,2.42,2.47
01-Jul-20,10:30:00 PM,2.43,2.48
01-Jul-20,11:00:00 PM,2.42,2.47
01-Jul-20,11:30:00 PM,2.44,2.48
02-Jul-20,12:00:00 AM,2.44,2.48
02-Jul-20,12:30:00 AM,2.43,2.47
02-Jul-20,1:00:00 AM,2.42,2.47
02-Jul-20,1:30:00 AM,2.42,2.47
02-Jul-20,2:00:00 AM,2.42,2.47
02-Jul-20,2:30:00 AM,2.42,2.47
02-Jul-20,3:00:00 AM,2.42,2.46
02-Jul-20,3:30:00 AM,2.42,2.47
02-Jul-20,4:00:00 AM,2.43,2.48
02-Jul-20,4:30:00 AM,2.42,2.47
02-Jul-20,5:00:00 AM,2.44,2.48
02-Jul-20,5:30:00 AM,2.43,2.48
02-Jul-20,6:00:00 AM,2.49,2.53
02-Jul-20,6:30:00 AM,2.49,2.53
02-Jul-20,7:00:00 AM,2.51,2.56
02-Jul-20,7:30:00 AM,2.49,2.54
02-Jul-20,8:00:00 AM,2.49,2.54
02-Jul-20,8:30:00 AM,2.46,2.51
02-Jul-20,9:00:00 AM,2.46,2.51
02-Jul-20,9:30:00 AM,2.46,2.50
02-Jul-20,10:00:00 AM,2.43,2.48
02-Jul-20,10:30:00 AM,2.41,2.46
02-Jul-20,11:00:00 AM,2.43,2.48
02-Jul-20,11:30:00 AM,2.41,2.46
02-Jul-20,12:00:00 PM,2.41,2.46
02-Jul-20,12:30:00 PM,2.44,2.49
02-Jul-20,1:00:00 PM,2.42,2.47
02-Jul-20,1:30:00 PM,2.42,2.47
02-Jul-20,2:00:00 PM,2.44,2.49
02-Jul-20,2:30:00 PM,2.45,2.49
02-Jul-20,3:00:00 PM,2.47,2.52
02-Jul-20,3:30:00 PM,2.46,2.51
02-Jul-20,4:00:00 PM,2.43,2.47
02-Jul-20,4:30:00 PM,2.46,2.51
02-Jul-20,5:00:00 PM,2.51,2.55
02-Jul-20,5:30:00 PM,2.51,2.56
02-Jul-20,6:00:00 PM,2.52,2.57
02-Jul-20,6:30:00 PM,2.51,2.56
02-Jul-20,7:00:00 PM,2.46,2.51
02-Jul-20,7:30:00 PM,2.46,2.50
02-Jul-20,8:00:00 PM,2.46,2.50
