Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.95,10.10
01-Jul-20,12:30:00 AM,9.18,9.35
01-Jul-20,1:00:00 AM,8.61,8.79
01-Jul-20,1:30:00 AM,8.33,8.53
01-Jul-20,2:00:00 AM,8.08,8.28
01-Jul-20,2:30:00 AM,7.87,8.09
01-Jul-20,3:00:00 AM,7.91,8.12
01-Jul-20,3:30:00 AM,8.21,8.41
01-Jul-20,4:00:00 AM,8.62,8.79
01-Jul-20,4:30:00 AM,9.27,9.41
01-Jul-20,5:00:00 AM,10.36,10.47
01-Jul-20,5:30:00 AM,11.40,11.48
01-Jul-20,6:00:00 AM,12.51,12.57
01-Jul-20,6:30:00 AM,13.49,13.54
01-Jul-20,7:00:00 AM,13.98,14.03
01-Jul-20,7:30:00 AM,13.89,13.94
01-Jul-20,8:00:00 AM,12.54,12.60
01-Jul-20,8:30:00 AM,8.51,8.59
01-Jul-20,9:00:00 AM,4.82,4.95
01-Jul-20,9:30:00 AM,2.26,2.51
01-Jul-20,10:00:00 AM,0.47,1.03
01-Jul-20,10:30:00 AM,-0.99,1.27
01-Jul-20,11:00:00 AM,-1.95,2.09
01-Jul-20,11:30:00 AM,-2.33,2.45
01-Jul-20,12:00:00 PM,-2.02,2.16
01-Jul-20,12:30:00 PM,-1.45,1.68
01-Jul-20,1:00:00 PM,-0.59,1.12
01-Jul-20,1:30:00 PM,2.06,2.35
01-Jul-20,2:00:00 PM,3.33,3.57
01-Jul-20,2:30:00 PM,5.21,5.39
01-Jul-20,3:00:00 PM,6.74,6.90
01-Jul-20,3:30:00 PM,8.77,8.89
01-Jul-20,4:00:00 PM,10.09,10.21
01-Jul-20,4:30:00 PM,11.89,11.98
01-Jul-20,5:00:00 PM,14.47,14.51
01-Jul-20,5:30:00 PM,16.68,16.69
01-Jul-20,6:00:00 PM,17.26,17.27
01-Jul-20,6:30:00 PM,17.21,17.23
01-Jul-20,7:00:00 PM,16.93,16.94
01-Jul-20,7:30:00 PM,16.59,16.61
01-Jul-20,8:00:00 PM,16.50,16.53
01-Jul-20,8:30:00 PM,15.93,15.96
01-Jul-20,9:00:00 PM,15.14,15.18
01-Jul-20,9:30:00 PM,14.11,14.16
01-Jul-20,10:00:00 PM,13.43,13.50
01-Jul-20,10:30:00 PM,13.34,13.42
01-Jul-20,11:00:00 PM,12.39,12.49
01-Jul-20,11:30:00 PM,11.12,11.25
02-Jul-20,12:00:00 AM,10.03,10.17
02-Jul-20,12:30:00 AM,9.13,9.30
02-Jul-20,1:00:00 AM,8.66,8.85
02-Jul-20,1:30:00 AM,8.20,8.41
02-Jul-20,2:00:00 AM,8.24,8.44
02-Jul-20,2:30:00 AM,8.07,8.28
02-Jul-20,3:00:00 AM,8.08,8.29
02-Jul-20,3:30:00 AM,8.14,8.34
02-Jul-20,4:00:00 AM,8.51,8.69
02-Jul-20,4:30:00 AM,9.12,9.27
02-Jul-20,5:00:00 AM,10.03,10.15
02-Jul-20,5:30:00 AM,10.93,11.03
02-Jul-20,6:00:00 AM,11.89,11.96
02-Jul-20,6:30:00 AM,12.76,12.83
02-Jul-20,7:00:00 AM,12.17,12.25
02-Jul-20,7:30:00 AM,11.46,11.54
02-Jul-20,8:00:00 AM,10.78,10.87
02-Jul-20,8:30:00 AM,8.56,8.66
02-Jul-20,9:00:00 AM,4.48,4.65
02-Jul-20,9:30:00 AM,2.15,2.42
02-Jul-20,10:00:00 AM,0.37,1.00
02-Jul-20,10:30:00 AM,-1.29,1.49
02-Jul-20,11:00:00 AM,1.34,1.67
02-Jul-20,11:30:00 AM,-0.74,1.10
02-Jul-20,12:00:00 PM,-2.13,2.24
02-Jul-20,12:30:00 PM,-3.00,3.08
02-Jul-20,1:00:00 PM,-1.43,1.68
02-Jul-20,1:30:00 PM,-0.73,1.18
02-Jul-20,2:00:00 PM,1.37,1.79
02-Jul-20,2:30:00 PM,2.29,2.59
02-Jul-20,3:00:00 PM,4.60,4.79
02-Jul-20,3:30:00 PM,6.82,6.97
02-Jul-20,4:00:00 PM,9.15,9.26
02-Jul-20,4:30:00 PM,11.43,11.52
02-Jul-20,5:00:00 PM,13.70,13.75
02-Jul-20,5:30:00 PM,15.46,15.48
02-Jul-20,6:00:00 PM,16.12,16.14
02-Jul-20,6:30:00 PM,16.24,16.26
02-Jul-20,7:00:00 PM,15.85,15.88
02-Jul-20,7:30:00 PM,15.53,15.57
02-Jul-20,8:00:00 PM,15.36,15.40
02-Jul-20,8:30:00 PM,14.80,14.85
02-Jul-20,9:00:00 PM,14.14,14.20
02-Jul-20,9:30:00 PM,13.32,13.39
02-Jul-20,10:00:00 PM,12.89,12.97
02-Jul-20,10:30:00 PM,12.92,13.01
02-Jul-20,11:00:00 PM,11.95,12.05
02-Jul-20,11:30:00 PM,10.64,10.77
03-Jul-20,12:00:00 AM,9.59,9.75
03-Jul-20,12:30:00 AM,8.88,9.07
03-Jul-20,1:00:00 AM,8.47,8.66
03-Jul-20,1:30:00 AM,8.01,8.23
03-Jul-20,2:00:00 AM,7.96,8.17
03-Jul-20,2:30:00 AM,7.79,8.01
03-Jul-20,3:00:00 AM,7.81,8.01
03-Jul-20,3:30:00 AM,7.85,8.06
03-Jul-20,4:00:00 AM,8.28,8.46
03-Jul-20,4:30:00 AM,8.67,8.83
03-Jul-20,5:00:00 AM,9.54,9.67
03-Jul-20,5:30:00 AM,10.38,10.49
03-Jul-20,6:00:00 AM,11.35,11.43
03-Jul-20,6:30:00 AM,12.35,12.42
03-Jul-20,7:00:00 AM,12.61,12.68
03-Jul-20,7:30:00 AM,11.50,11.57
03-Jul-20,8:00:00 AM,10.11,10.20
03-Jul-20,8:30:00 AM,8.01,8.12
03-Jul-20,9:00:00 AM,5.63,5.76
03-Jul-20,9:30:00 AM,2.61,2.84
03-Jul-20,10:00:00 AM,0.42,1.03
03-Jul-20,10:30:00 AM,-1.06,1.34
03-Jul-20,11:00:00 AM,-1.95,2.07
03-Jul-20,11:30:00 AM,-2.73,2.81
03-Jul-20,12:00:00 PM,-2.76,2.82
03-Jul-20,12:30:00 PM,-2.53,2.61
