Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.47,8.47
01-Jul-20,12:30:00 AM,8.49,8.49
01-Jul-20,1:00:00 AM,8.55,8.56
01-Jul-20,1:30:00 AM,8.41,8.42
01-Jul-20,2:00:00 AM,8.34,8.35
01-Jul-20,2:30:00 AM,8.57,8.58
01-Jul-20,3:00:00 AM,8.74,8.75
01-Jul-20,3:30:00 AM,8.67,8.68
01-Jul-20,4:00:00 AM,8.98,8.99
01-Jul-20,4:30:00 AM,9.43,9.44
01-Jul-20,5:00:00 AM,9.81,9.82
01-Jul-20,5:30:00 AM,10.19,10.21
01-Jul-20,6:00:00 AM,11.86,11.89
01-Jul-20,6:30:00 AM,12.95,12.98
01-Jul-20,7:00:00 AM,13.94,13.99
01-Jul-20,7:30:00 AM,14.58,14.64
01-Jul-20,8:00:00 AM,14.67,14.75
01-Jul-20,8:30:00 AM,14.01,14.10
01-Jul-20,9:00:00 AM,13.41,13.50
01-Jul-20,9:30:00 AM,12.93,13.03
01-Jul-20,10:00:00 AM,12.98,13.09
01-Jul-20,10:30:00 AM,12.51,12.63
01-Jul-20,11:00:00 AM,12.09,12.21
01-Jul-20,11:30:00 AM,11.86,11.99
01-Jul-20,12:00:00 PM,12.09,12.22
01-Jul-20,12:30:00 PM,12.17,12.33
01-Jul-20,1:00:00 PM,11.87,12.01
01-Jul-20,1:30:00 PM,11.64,11.78
01-Jul-20,2:00:00 PM,12.13,12.27
01-Jul-20,2:30:00 PM,12.59,12.72
01-Jul-20,3:00:00 PM,12.42,12.55
01-Jul-20,3:30:00 PM,12.62,12.73
01-Jul-20,4:00:00 PM,12.86,12.95
01-Jul-20,4:30:00 PM,12.83,12.91
01-Jul-20,5:00:00 PM,12.71,12.78
01-Jul-20,5:30:00 PM,12.55,12.62
01-Jul-20,6:00:00 PM,12.01,12.06
01-Jul-20,6:30:00 PM,12.21,12.26
01-Jul-20,7:00:00 PM,11.85,11.89
01-Jul-20,7:30:00 PM,11.77,11.81
01-Jul-20,8:00:00 PM,11.70,11.73
01-Jul-20,8:30:00 PM,11.50,11.53
01-Jul-20,9:00:00 PM,10.61,10.63
01-Jul-20,9:30:00 PM,10.23,10.25
01-Jul-20,10:00:00 PM,9.98,10.00
01-Jul-20,10:30:00 PM,9.90,9.92
01-Jul-20,11:00:00 PM,9.17,9.18
01-Jul-20,11:30:00 PM,8.89,8.90
02-Jul-20,12:00:00 AM,8.65,8.66
02-Jul-20,12:30:00 AM,8.48,8.49
02-Jul-20,1:00:00 AM,8.43,8.44
02-Jul-20,1:30:00 AM,8.22,8.23
02-Jul-20,2:00:00 AM,8.11,8.11
02-Jul-20,2:30:00 AM,8.02,8.03
02-Jul-20,3:00:00 AM,8.28,8.29
02-Jul-20,3:30:00 AM,8.41,8.42
02-Jul-20,4:00:00 AM,8.77,8.78
02-Jul-20,4:30:00 AM,8.97,8.97
02-Jul-20,5:00:00 AM,9.72,9.73
02-Jul-20,5:30:00 AM,9.99,10.01
02-Jul-20,6:00:00 AM,11.93,11.96
02-Jul-20,6:30:00 AM,12.92,12.96
02-Jul-20,7:00:00 AM,13.59,13.64
02-Jul-20,7:30:00 AM,14.08,14.14
02-Jul-20,8:00:00 AM,14.88,14.97
02-Jul-20,8:30:00 AM,15.31,15.43
02-Jul-20,9:00:00 AM,14.27,14.36
02-Jul-20,9:30:00 AM,13.50,13.60
02-Jul-20,10:00:00 AM,12.96,13.08
02-Jul-20,10:30:00 AM,12.44,12.55
02-Jul-20,11:00:00 AM,12.36,12.46
02-Jul-20,11:30:00 AM,11.74,11.86
02-Jul-20,12:00:00 PM,12.09,12.21
02-Jul-20,12:30:00 PM,11.90,12.03
02-Jul-20,1:00:00 PM,11.92,12.06
02-Jul-20,1:30:00 PM,11.88,12.03
02-Jul-20,2:00:00 PM,12.32,12.46
02-Jul-20,2:30:00 PM,12.34,12.49
02-Jul-20,3:00:00 PM,12.26,12.38
02-Jul-20,3:30:00 PM,12.70,12.83
02-Jul-20,4:00:00 PM,12.92,13.03
02-Jul-20,4:30:00 PM,12.66,12.75
02-Jul-20,5:00:00 PM,12.79,12.86
02-Jul-20,5:30:00 PM,12.40,12.47
02-Jul-20,6:00:00 PM,11.99,12.04
02-Jul-20,6:30:00 PM,12.22,12.27
02-Jul-20,7:00:00 PM,11.58,11.63
02-Jul-20,7:30:00 PM,11.62,11.66
02-Jul-20,8:00:00 PM,11.41,11.44
02-Jul-20,8:30:00 PM,10.86,10.90
02-Jul-20,9:00:00 PM,10.46,10.49
02-Jul-20,9:30:00 PM,9.94,9.95
02-Jul-20,10:00:00 PM,9.90,9.92
02-Jul-20,10:30:00 PM,9.29,9.30
02-Jul-20,11:00:00 PM,8.73,8.74
02-Jul-20,11:30:00 PM,8.32,8.33
03-Jul-20,12:00:00 AM,8.38,8.39
03-Jul-20,12:30:00 AM,8.40,8.41
03-Jul-20,1:00:00 AM,8.30,8.31
