Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,13.00,13.14
01-Jul-20,12:30:00 AM,11.71,11.87
01-Jul-20,1:00:00 AM,10.95,11.11
01-Jul-20,1:30:00 AM,10.21,10.40
01-Jul-20,2:00:00 AM,9.86,10.06
01-Jul-20,2:30:00 AM,9.75,9.95
01-Jul-20,3:00:00 AM,9.78,9.99
01-Jul-20,3:30:00 AM,9.83,10.03
01-Jul-20,4:00:00 AM,10.38,10.55
01-Jul-20,4:30:00 AM,10.77,10.93
01-Jul-20,5:00:00 AM,11.67,11.82
01-Jul-20,5:30:00 AM,13.00,13.11
01-Jul-20,6:00:00 AM,14.48,14.57
01-Jul-20,6:30:00 AM,15.54,15.65
01-Jul-20,7:00:00 AM,15.88,16.00
01-Jul-20,7:30:00 AM,14.54,14.66
01-Jul-20,8:00:00 AM,13.08,13.19
01-Jul-20,8:30:00 AM,11.10,11.20
01-Jul-20,9:00:00 AM,9.14,9.23
01-Jul-20,9:30:00 AM,7.30,7.40
01-Jul-20,10:00:00 AM,5.75,5.87
01-Jul-20,10:30:00 AM,4.65,4.77
01-Jul-20,11:00:00 AM,4.78,4.89
01-Jul-20,11:30:00 AM,5.01,5.12
01-Jul-20,12:00:00 PM,4.29,4.40
01-Jul-20,12:30:00 PM,3.72,3.81
01-Jul-20,1:00:00 PM,4.01,4.12
01-Jul-20,1:30:00 PM,4.75,4.85
01-Jul-20,2:00:00 PM,7.08,7.16
01-Jul-20,2:30:00 PM,11.43,11.52
01-Jul-20,3:00:00 PM,12.68,12.77
01-Jul-20,3:30:00 PM,13.10,13.19
01-Jul-20,4:00:00 PM,14.10,14.19
01-Jul-20,4:30:00 PM,16.54,16.62
01-Jul-20,5:00:00 PM,18.90,18.94
01-Jul-20,5:30:00 PM,20.68,20.70
01-Jul-20,6:00:00 PM,21.07,21.09
01-Jul-20,6:30:00 PM,21.42,21.44
01-Jul-20,7:00:00 PM,21.14,21.16
01-Jul-20,7:30:00 PM,21.07,21.09
01-Jul-20,8:00:00 PM,21.45,21.48
01-Jul-20,8:30:00 PM,19.71,19.75
01-Jul-20,9:00:00 PM,18.67,18.72
01-Jul-20,9:30:00 PM,18.54,18.60
01-Jul-20,10:00:00 PM,18.51,18.57
01-Jul-20,10:30:00 PM,17.28,17.35
01-Jul-20,11:00:00 PM,16.40,16.48
01-Jul-20,11:30:00 PM,14.94,15.05
02-Jul-20,12:00:00 AM,13.04,13.17
02-Jul-20,12:30:00 AM,11.74,11.90
02-Jul-20,1:00:00 AM,10.98,11.14
02-Jul-20,1:30:00 AM,10.27,10.46
02-Jul-20,2:00:00 AM,10.03,10.24
02-Jul-20,2:30:00 AM,10.00,10.19
02-Jul-20,3:00:00 AM,10.21,10.39
02-Jul-20,3:30:00 AM,10.36,10.55
02-Jul-20,4:00:00 AM,10.71,10.88
02-Jul-20,4:30:00 AM,11.18,11.35
02-Jul-20,5:00:00 AM,12.05,12.19
02-Jul-20,5:30:00 AM,13.20,13.31
02-Jul-20,6:00:00 AM,14.68,14.77
02-Jul-20,6:30:00 AM,15.84,15.96
02-Jul-20,7:00:00 AM,16.34,16.45
02-Jul-20,7:30:00 AM,14.89,15.00
02-Jul-20,8:00:00 AM,12.88,12.98
02-Jul-20,8:30:00 AM,11.09,11.19
02-Jul-20,9:00:00 AM,9.80,9.91
02-Jul-20,9:30:00 AM,9.54,9.65
02-Jul-20,10:00:00 AM,6.39,6.51
02-Jul-20,10:30:00 AM,7.39,7.49
02-Jul-20,11:00:00 AM,3.78,3.90
02-Jul-20,11:30:00 AM,7.70,7.79
02-Jul-20,12:00:00 PM,6.98,7.08
02-Jul-20,12:30:00 PM,8.76,8.87
02-Jul-20,1:00:00 PM,9.62,9.73
02-Jul-20,1:30:00 PM,5.43,5.54
02-Jul-20,2:00:00 PM,5.73,5.84
02-Jul-20,2:30:00 PM,7.62,7.71
02-Jul-20,3:00:00 PM,9.10,9.20
02-Jul-20,3:30:00 PM,11.41,11.50
02-Jul-20,4:00:00 PM,14.03,14.11
02-Jul-20,4:30:00 PM,16.97,17.04
02-Jul-20,5:00:00 PM,19.12,19.15
02-Jul-20,5:30:00 PM,20.53,20.54
02-Jul-20,6:00:00 PM,20.89,20.90
02-Jul-20,6:30:00 PM,21.31,21.32
02-Jul-20,7:00:00 PM,20.94,20.96
02-Jul-20,7:30:00 PM,21.07,21.09
02-Jul-20,8:00:00 PM,21.01,21.03
02-Jul-20,8:30:00 PM,19.48,19.52
02-Jul-20,9:00:00 PM,18.73,18.78
02-Jul-20,9:30:00 PM,18.57,18.63
02-Jul-20,10:00:00 PM,18.56,18.62
02-Jul-20,10:30:00 PM,17.16,17.23
02-Jul-20,11:00:00 PM,16.57,16.65
02-Jul-20,11:30:00 PM,15.21,15.32
03-Jul-20,12:00:00 AM,13.21,13.34
03-Jul-20,12:30:00 AM,11.92,12.07
03-Jul-20,1:00:00 AM,11.05,11.21
03-Jul-20,1:30:00 AM,10.40,10.58
03-Jul-20,2:00:00 AM,10.31,10.48
03-Jul-20,2:30:00 AM,9.95,10.13
03-Jul-20,3:00:00 AM,9.94,10.12
03-Jul-20,3:30:00 AM,10.15,10.32
03-Jul-20,4:00:00 AM,10.54,10.70
03-Jul-20,4:30:00 AM,10.95,11.10
03-Jul-20,5:00:00 AM,11.78,11.92
03-Jul-20,5:30:00 AM,13.20,13.31
03-Jul-20,6:00:00 AM,14.55,14.64
03-Jul-20,6:30:00 AM,15.73,15.84
03-Jul-20,7:00:00 AM,16.33,16.45
03-Jul-20,7:30:00 AM,15.13,15.24
03-Jul-20,8:00:00 AM,13.43,13.54
03-Jul-20,8:30:00 AM,11.23,11.32
03-Jul-20,9:00:00 AM,9.59,9.68
03-Jul-20,9:30:00 AM,7.88,7.95
03-Jul-20,10:00:00 AM,6.04,6.14
03-Jul-20,10:30:00 AM,4.90,5.00
03-Jul-20,11:00:00 AM,4.15,4.26
03-Jul-20,11:30:00 AM,3.89,3.98
03-Jul-20,12:00:00 PM,3.71,3.79
03-Jul-20,12:30:00 PM,3.98,4.05
03-Jul-20,1:00:00 PM,4.46,4.54
03-Jul-20,1:30:00 PM,5.08,5.17
03-Jul-20,2:00:00 PM,6.20,6.28
03-Jul-20,2:30:00 PM,7.90,7.96
03-Jul-20,3:00:00 PM,9.36,9.44
03-Jul-20,3:30:00 PM,11.55,11.62
03-Jul-20,4:00:00 PM,14.42,14.48
03-Jul-20,4:30:00 PM,16.47,16.54
03-Jul-20,5:00:00 PM,17.81,17.85
03-Jul-20,5:30:00 PM,19.05,19.07
03-Jul-20,6:00:00 PM,18.93,18.95
03-Jul-20,6:30:00 PM,19.32,19.34
03-Jul-20,7:00:00 PM,19.13,19.16
03-Jul-20,7:30:00 PM,19.01,19.03
03-Jul-20,8:00:00 PM,19.08,19.11
03-Jul-20,8:30:00 PM,17.88,17.91
03-Jul-20,9:00:00 PM,17.07,17.12
03-Jul-20,9:30:00 PM,16.95,17.01
03-Jul-20,10:00:00 PM,17.37,17.43
03-Jul-20,10:30:00 PM,16.37,16.44
03-Jul-20,11:00:00 PM,15.77,15.84
03-Jul-20,11:30:00 PM,14.30,14.40
04-Jul-20,12:00:00 AM,12.75,12.87
04-Jul-20,12:30:00 AM,11.47,11.60
04-Jul-20,1:00:00 AM,10.53,10.68
04-Jul-20,1:30:00 AM,9.94,10.11
04-Jul-20,2:00:00 AM,9.52,9.70
04-Jul-20,2:30:00 AM,9.65,9.82
04-Jul-20,3:00:00 AM,9.71,9.88
04-Jul-20,3:30:00 AM,9.62,9.80
04-Jul-20,4:00:00 AM,9.79,9.95
04-Jul-20,4:30:00 AM,9.98,10.16
04-Jul-20,5:00:00 AM,10.46,10.61
04-Jul-20,5:30:00 AM,11.06,11.20
04-Jul-20,6:00:00 AM,11.89,12.03
04-Jul-20,6:30:00 AM,12.41,12.60
04-Jul-20,7:00:00 AM,12.84,13.04
04-Jul-20,7:30:00 AM,12.23,12.41
04-Jul-20,8:00:00 AM,11.24,11.38
04-Jul-20,8:30:00 AM,10.05,10.18
04-Jul-20,9:00:00 AM,8.50,8.64
04-Jul-20,9:30:00 AM,7.15,7.27
04-Jul-20,10:00:00 AM,5.63,5.76
04-Jul-20,10:30:00 AM,4.51,4.65
04-Jul-20,11:00:00 AM,3.74,3.90
04-Jul-20,11:30:00 AM,3.34,3.50
04-Jul-20,12:00:00 PM,3.09,3.26
04-Jul-20,12:30:00 PM,3.26,3.45
04-Jul-20,1:00:00 PM,3.68,3.87
04-Jul-20,1:30:00 PM,4.34,4.52
04-Jul-20,2:00:00 PM,5.61,5.77
04-Jul-20,2:30:00 PM,7.14,7.28
04-Jul-20,3:00:00 PM,8.97,9.11
04-Jul-20,3:30:00 PM,11.37,11.49
04-Jul-20,4:00:00 PM,13.87,13.98
04-Jul-20,4:30:00 PM,16.92,17.01
04-Jul-20,5:00:00 PM,18.92,18.98
04-Jul-20,5:30:00 PM,20.64,20.66
04-Jul-20,6:00:00 PM,20.65,20.67
04-Jul-20,6:30:00 PM,21.12,21.15
04-Jul-20,7:00:00 PM,20.78,20.80
04-Jul-20,7:30:00 PM,20.85,20.88
04-Jul-20,8:00:00 PM,20.99,21.02
04-Jul-20,8:30:00 PM,19.88,19.92
04-Jul-20,9:00:00 PM,19.25,19.30
04-Jul-20,9:30:00 PM,19.18,19.23
04-Jul-20,10:00:00 PM,19.25,19.31
04-Jul-20,10:30:00 PM,18.15,18.23
04-Jul-20,11:00:00 PM,17.46,17.54
04-Jul-20,11:30:00 PM,16.09,16.19
05-Jul-20,12:00:00 AM,14.13,14.25
05-Jul-20,12:30:00 AM,12.82,12.97
05-Jul-20,1:00:00 AM,11.76,11.93
05-Jul-20,1:30:00 AM,11.10,11.28
05-Jul-20,2:00:00 AM,10.87,11.05
05-Jul-20,2:30:00 AM,10.66,10.84
05-Jul-20,3:00:00 AM,10.49,10.68
05-Jul-20,3:30:00 AM,10.46,10.64
05-Jul-20,4:00:00 AM,10.81,10.98
05-Jul-20,4:30:00 AM,11.04,11.21
05-Jul-20,5:00:00 AM,11.54,11.70
05-Jul-20,5:30:00 AM,12.07,12.22
05-Jul-20,6:00:00 AM,13.10,13.23
05-Jul-20,6:30:00 AM,13.84,14.00
05-Jul-20,7:00:00 AM,14.67,14.84
05-Jul-20,7:30:00 AM,14.31,14.46
05-Jul-20,8:00:00 AM,13.42,13.55
05-Jul-20,8:30:00 AM,12.20,12.32
05-Jul-20,9:00:00 AM,10.68,10.79
05-Jul-20,9:30:00 AM,9.01,9.12
05-Jul-20,10:00:00 AM,7.14,7.28
05-Jul-20,10:30:00 AM,5.70,5.87
05-Jul-20,11:00:00 AM,4.62,4.79
05-Jul-20,11:30:00 AM,4.21,4.38
05-Jul-20,12:00:00 PM,3.98,4.16
05-Jul-20,12:30:00 PM,3.86,4.04
05-Jul-20,1:00:00 PM,6.73,6.88
