Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.51,6.06
01-Jul-20,12:30:00 AM,5.38,5.94
01-Jul-20,1:00:00 AM,5.48,6.03
01-Jul-20,1:30:00 AM,5.28,5.85
01-Jul-20,2:00:00 AM,5.00,5.61
01-Jul-20,2:30:00 AM,4.82,5.44
01-Jul-20,3:00:00 AM,4.65,5.29
01-Jul-20,3:30:00 AM,4.66,5.29
01-Jul-20,4:00:00 AM,4.79,5.39
01-Jul-20,4:30:00 AM,5.02,5.59
01-Jul-20,5:00:00 AM,5.61,6.10
01-Jul-20,5:30:00 AM,6.34,6.76
01-Jul-20,6:00:00 AM,7.11,7.49
01-Jul-20,6:30:00 AM,7.89,8.26
01-Jul-20,7:00:00 AM,8.47,8.81
01-Jul-20,7:30:00 AM,8.65,8.98
01-Jul-20,8:00:00 AM,8.36,8.69
01-Jul-20,8:30:00 AM,5.58,6.05
01-Jul-20,9:00:00 AM,3.53,4.18
01-Jul-20,9:30:00 AM,2.16,3.13
01-Jul-20,10:00:00 AM,1.23,2.57
01-Jul-20,10:30:00 AM,0.65,2.25
01-Jul-20,11:00:00 AM,0.09,2.19
01-Jul-20,11:30:00 AM,-0.16,2.19
01-Jul-20,12:00:00 PM,-0.13,2.18
01-Jul-20,12:30:00 PM,-0.09,2.22
01-Jul-20,1:00:00 PM,0.39,2.26
01-Jul-20,1:30:00 PM,2.33,3.30
01-Jul-20,2:00:00 PM,2.12,3.17
01-Jul-20,2:30:00 PM,2.74,3.64
01-Jul-20,3:00:00 PM,3.00,3.87
01-Jul-20,3:30:00 PM,3.94,4.67
01-Jul-20,4:00:00 PM,4.87,5.49
01-Jul-20,4:30:00 PM,6.43,6.95
01-Jul-20,5:00:00 PM,7.76,8.18
01-Jul-20,5:30:00 PM,9.02,9.33
01-Jul-20,6:00:00 PM,9.40,9.69
01-Jul-20,6:30:00 PM,9.33,9.63
01-Jul-20,7:00:00 PM,8.99,9.31
01-Jul-20,7:30:00 PM,8.72,9.06
01-Jul-20,8:00:00 PM,8.83,9.16
01-Jul-20,8:30:00 PM,8.83,9.15
01-Jul-20,9:00:00 PM,8.20,8.55
01-Jul-20,9:30:00 PM,7.86,8.23
01-Jul-20,10:00:00 PM,7.14,7.55
01-Jul-20,10:30:00 PM,6.41,6.87
01-Jul-20,11:00:00 PM,6.12,6.60
01-Jul-20,11:30:00 PM,5.96,6.46
02-Jul-20,12:00:00 AM,5.51,6.05
02-Jul-20,12:30:00 AM,5.29,5.85
02-Jul-20,1:00:00 AM,5.37,5.92
02-Jul-20,1:30:00 AM,5.23,5.80
02-Jul-20,2:00:00 AM,4.94,5.55
02-Jul-20,2:30:00 AM,4.60,5.24
02-Jul-20,3:00:00 AM,4.53,5.18
02-Jul-20,3:30:00 AM,4.48,5.13
02-Jul-20,4:00:00 AM,4.55,5.18
02-Jul-20,4:30:00 AM,4.81,5.41
02-Jul-20,5:00:00 AM,5.18,5.72
02-Jul-20,5:30:00 AM,5.83,6.30
02-Jul-20,6:00:00 AM,6.49,6.91
02-Jul-20,6:30:00 AM,6.87,7.31
02-Jul-20,7:00:00 AM,6.83,7.27
02-Jul-20,7:30:00 AM,6.64,7.08
02-Jul-20,8:00:00 AM,6.85,7.26
02-Jul-20,8:30:00 AM,5.98,6.44
02-Jul-20,9:00:00 AM,4.37,5.00
02-Jul-20,9:30:00 AM,2.65,3.57
02-Jul-20,10:00:00 AM,0.92,2.44
02-Jul-20,10:30:00 AM,0.52,2.29
02-Jul-20,11:00:00 AM,1.59,2.77
02-Jul-20,11:30:00 AM,0.91,2.45
02-Jul-20,12:00:00 PM,0.26,2.28
02-Jul-20,12:30:00 PM,-0.76,2.31
02-Jul-20,1:00:00 PM,-0.27,2.22
02-Jul-20,1:30:00 PM,-0.01,2.19
02-Jul-20,2:00:00 PM,1.19,2.57
02-Jul-20,2:30:00 PM,1.39,2.72
02-Jul-20,3:00:00 PM,2.46,3.43
02-Jul-20,3:30:00 PM,3.69,4.45
02-Jul-20,4:00:00 PM,4.87,5.49
02-Jul-20,4:30:00 PM,6.09,6.62
02-Jul-20,5:00:00 PM,7.30,7.76
02-Jul-20,5:30:00 PM,8.44,8.77
02-Jul-20,6:00:00 PM,8.83,9.14
02-Jul-20,6:30:00 PM,8.63,8.97
02-Jul-20,7:00:00 PM,8.48,8.82
