Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.35,5.40
01-Jul-20,12:30:00 AM,4.85,4.87
01-Jul-20,1:00:00 AM,4.57,4.58
01-Jul-20,1:30:00 AM,4.69,4.70
01-Jul-20,2:00:00 AM,4.49,4.50
01-Jul-20,2:30:00 AM,4.47,4.47
01-Jul-20,3:00:00 AM,5.15,5.15
01-Jul-20,3:30:00 AM,4.42,4.42
01-Jul-20,4:00:00 AM,4.83,4.84
01-Jul-20,4:30:00 AM,5.49,5.51
01-Jul-20,5:00:00 AM,5.62,5.66
01-Jul-20,5:30:00 AM,6.20,6.26
01-Jul-20,6:00:00 AM,6.54,6.64
01-Jul-20,6:30:00 AM,6.75,6.84
01-Jul-20,7:00:00 AM,6.91,7.00
01-Jul-20,7:30:00 AM,7.04,7.12
01-Jul-20,8:00:00 AM,6.80,6.90
01-Jul-20,8:30:00 AM,7.23,7.39
01-Jul-20,9:00:00 AM,6.29,6.44
01-Jul-20,9:30:00 AM,5.80,5.95
01-Jul-20,10:00:00 AM,6.06,6.21
01-Jul-20,10:30:00 AM,5.89,6.00
01-Jul-20,11:00:00 AM,5.58,5.68
01-Jul-20,11:30:00 AM,6.88,7.06
01-Jul-20,12:00:00 PM,6.42,6.55
01-Jul-20,12:30:00 PM,6.26,6.39
01-Jul-20,1:00:00 PM,6.67,6.84
01-Jul-20,1:30:00 PM,6.70,6.88
01-Jul-20,2:00:00 PM,6.80,6.95
01-Jul-20,2:30:00 PM,6.41,6.52
01-Jul-20,3:00:00 PM,5.63,5.71
01-Jul-20,3:30:00 PM,5.42,5.47
01-Jul-20,4:00:00 PM,5.92,5.99
01-Jul-20,4:30:00 PM,6.72,6.81
01-Jul-20,5:00:00 PM,6.59,6.67
01-Jul-20,5:30:00 PM,6.41,6.48
01-Jul-20,6:00:00 PM,6.78,6.85
01-Jul-20,6:30:00 PM,6.43,6.49
01-Jul-20,7:00:00 PM,6.14,6.19
01-Jul-20,7:30:00 PM,6.18,6.25
01-Jul-20,8:00:00 PM,5.58,5.65
01-Jul-20,8:30:00 PM,6.01,6.12
01-Jul-20,9:00:00 PM,5.64,5.73
01-Jul-20,9:30:00 PM,5.55,5.61
