Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.39,1.43
01-Jul-20,12:30:00 AM,1.28,1.32
01-Jul-20,1:00:00 AM,1.19,1.23
01-Jul-20,1:30:00 AM,1.16,1.20
01-Jul-20,2:00:00 AM,1.12,1.17
01-Jul-20,2:30:00 AM,1.10,1.15
01-Jul-20,3:00:00 AM,1.09,1.14
01-Jul-20,3:30:00 AM,1.14,1.19
01-Jul-20,4:00:00 AM,1.18,1.22
01-Jul-20,4:30:00 AM,1.30,1.34
01-Jul-20,5:00:00 AM,1.42,1.44
01-Jul-20,5:30:00 AM,1.52,1.54
01-Jul-20,6:00:00 AM,1.72,1.73
01-Jul-20,6:30:00 AM,2.01,2.01
01-Jul-20,7:00:00 AM,2.18,2.19
01-Jul-20,7:30:00 AM,2.08,2.08
01-Jul-20,8:00:00 AM,1.95,1.95
01-Jul-20,8:30:00 AM,1.54,1.55
01-Jul-20,9:00:00 AM,1.04,1.06
01-Jul-20,9:30:00 AM,0.65,0.67
01-Jul-20,10:00:00 AM,0.41,0.46
01-Jul-20,10:30:00 AM,0.19,0.31
01-Jul-20,11:00:00 AM,0.00,0.23
01-Jul-20,11:30:00 AM,-0.06,0.24
01-Jul-20,12:00:00 PM,0.03,0.23
01-Jul-20,12:30:00 PM,0.23,0.30
01-Jul-20,1:00:00 PM,0.70,0.72
01-Jul-20,1:30:00 PM,1.03,1.04
01-Jul-20,2:00:00 PM,1.00,1.01
01-Jul-20,2:30:00 PM,1.13,1.13
01-Jul-20,3:00:00 PM,1.28,1.28
01-Jul-20,3:30:00 PM,1.55,1.55
01-Jul-20,4:00:00 PM,1.51,1.51
01-Jul-20,4:30:00 PM,1.83,1.85
01-Jul-20,5:00:00 PM,2.15,2.16
01-Jul-20,5:30:00 PM,2.50,2.50
01-Jul-20,6:00:00 PM,2.63,2.64
01-Jul-20,6:30:00 PM,2.63,2.63
01-Jul-20,7:00:00 PM,2.51,2.52
01-Jul-20,7:30:00 PM,2.46,2.47
01-Jul-20,8:00:00 PM,2.40,2.41
01-Jul-20,8:30:00 PM,2.26,2.27
01-Jul-20,9:00:00 PM,-3.73,6.52
01-Jul-20,9:30:00 PM,-16.92,23.94
01-Jul-20,10:00:00 PM,-14.13,20.22
01-Jul-20,10:30:00 PM,1.87,1.90
01-Jul-20,11:00:00 PM,1.73,1.76
01-Jul-20,11:30:00 PM,1.58,1.60
02-Jul-20,12:00:00 AM,1.39,1.43
02-Jul-20,12:30:00 AM,1.30,1.33
02-Jul-20,1:00:00 AM,1.24,1.28
02-Jul-20,1:30:00 AM,1.16,1.20
02-Jul-20,2:00:00 AM,1.19,1.23
02-Jul-20,2:30:00 AM,1.14,1.19
02-Jul-20,3:00:00 AM,1.15,1.19
02-Jul-20,3:30:00 AM,1.16,1.21
02-Jul-20,4:00:00 AM,1.16,1.21
02-Jul-20,4:30:00 AM,1.28,1.32
02-Jul-20,5:00:00 AM,1.43,1.46
02-Jul-20,5:30:00 AM,1.62,1.64
02-Jul-20,6:00:00 AM,1.70,1.72
02-Jul-20,6:30:00 AM,1.83,1.84
02-Jul-20,7:00:00 AM,-4.67,7.52
02-Jul-20,7:30:00 AM,-17.00,24.04
02-Jul-20,8:00:00 AM,-10.23,14.86
02-Jul-20,8:30:00 AM,1.67,1.68
02-Jul-20,9:00:00 AM,1.05,1.07
02-Jul-20,9:30:00 AM,1.15,1.16
02-Jul-20,10:00:00 AM,0.53,0.59
02-Jul-20,10:30:00 AM,0.24,0.34
02-Jul-20,11:00:00 AM,0.53,0.58
02-Jul-20,11:30:00 AM,-0.07,0.30
02-Jul-20,12:00:00 PM,-0.12,0.29
02-Jul-20,12:30:00 PM,0.08,0.26
02-Jul-20,1:00:00 PM,0.16,0.30
02-Jul-20,1:30:00 PM,0.49,0.54
02-Jul-20,2:00:00 PM,0.56,0.59
02-Jul-20,2:30:00 PM,0.75,0.76
02-Jul-20,3:00:00 PM,0.94,0.94
02-Jul-20,3:30:00 PM,1.17,1.18
02-Jul-20,4:00:00 PM,1.42,1.43
02-Jul-20,4:30:00 PM,1.68,1.69
02-Jul-20,5:00:00 PM,2.01,2.02
02-Jul-20,5:30:00 PM,2.32,2.33
02-Jul-20,6:00:00 PM,2.52,2.53
02-Jul-20,6:30:00 PM,2.50,2.51
02-Jul-20,7:00:00 PM,2.50,2.51
02-Jul-20,7:30:00 PM,2.47,2.48
02-Jul-20,8:00:00 PM,2.40,2.41
02-Jul-20,8:30:00 PM,2.27,2.28
02-Jul-20,9:00:00 PM,2.16,2.17
02-Jul-20,9:30:00 PM,1.95,1.97
02-Jul-20,10:00:00 PM,1.91,1.92
02-Jul-20,10:30:00 PM,1.87,1.88
02-Jul-20,11:00:00 PM,1.75,1.77
02-Jul-20,11:30:00 PM,1.62,1.64
03-Jul-20,12:00:00 AM,1.44,1.47
03-Jul-20,12:30:00 AM,1.36,1.39
03-Jul-20,1:00:00 AM,1.29,1.32
03-Jul-20,1:30:00 AM,1.21,1.24
03-Jul-20,2:00:00 AM,1.15,1.19
03-Jul-20,2:30:00 AM,1.16,1.19
03-Jul-20,3:00:00 AM,1.17,1.21
03-Jul-20,3:30:00 AM,1.10,1.17
03-Jul-20,4:00:00 AM,-8.27,12.22
03-Jul-20,4:30:00 AM,-2.70,4.79
03-Jul-20,5:00:00 AM,-5.77,8.94
03-Jul-20,5:30:00 AM,-16.62,23.52
03-Jul-20,6:00:00 AM,-17.00,24.04
03-Jul-20,6:30:00 AM,-16.94,23.96
03-Jul-20,7:00:00 AM,-16.21,22.99
03-Jul-20,7:30:00 AM,-16.89,23.90
03-Jul-20,8:00:00 AM,-15.11,21.48
03-Jul-20,8:30:00 AM,-2.23,3.94
03-Jul-20,9:00:00 AM,0.82,0.83
03-Jul-20,9:30:00 AM,0.38,0.40
03-Jul-20,10:00:00 AM,0.10,0.13
03-Jul-20,10:30:00 AM,0.10,0.11
03-Jul-20,11:00:00 AM,0.00,0.03
03-Jul-20,11:30:00 AM,-0.01,0.02
03-Jul-20,12:00:00 PM,-0.08,0.09
03-Jul-20,12:30:00 PM,-0.01,0.04
03-Jul-20,1:00:00 PM,0.05,0.08
03-Jul-20,1:30:00 PM,0.21,0.22
03-Jul-20,2:00:00 PM,0.50,0.51
03-Jul-20,2:30:00 PM,0.76,0.77
03-Jul-20,3:00:00 PM,1.33,1.34
03-Jul-20,3:30:00 PM,1.76,1.77
03-Jul-20,4:00:00 PM,1.57,1.58
03-Jul-20,4:30:00 PM,1.76,1.77
03-Jul-20,5:00:00 PM,2.03,2.04
03-Jul-20,5:30:00 PM,2.34,2.35
03-Jul-20,6:00:00 PM,2.46,2.47
03-Jul-20,6:30:00 PM,2.36,2.37
03-Jul-20,7:00:00 PM,2.33,2.34
03-Jul-20,7:30:00 PM,2.31,2.32
03-Jul-20,8:00:00 PM,2.26,2.27
03-Jul-20,8:30:00 PM,2.11,2.13
03-Jul-20,9:00:00 PM,1.99,2.01
03-Jul-20,9:30:00 PM,1.88,1.90
03-Jul-20,10:00:00 PM,1.85,1.87
03-Jul-20,10:30:00 PM,1.85,1.87
03-Jul-20,11:00:00 PM,1.72,1.74
03-Jul-20,11:30:00 PM,1.58,1.61
04-Jul-20,12:00:00 AM,1.42,1.45
04-Jul-20,12:30:00 AM,1.31,1.34
04-Jul-20,1:00:00 AM,1.24,1.27
04-Jul-20,1:30:00 AM,1.18,1.21
04-Jul-20,2:00:00 AM,1.17,1.21
04-Jul-20,2:30:00 AM,1.15,1.18
04-Jul-20,3:00:00 AM,1.13,1.17
04-Jul-20,3:30:00 AM,1.19,1.22
04-Jul-20,4:00:00 AM,1.17,1.20
04-Jul-20,4:30:00 AM,1.24,1.27
04-Jul-20,5:00:00 AM,1.31,1.34
04-Jul-20,5:30:00 AM,1.46,1.49
04-Jul-20,6:00:00 AM,1.51,1.54
04-Jul-20,6:30:00 AM,1.67,1.69
04-Jul-20,7:00:00 AM,1.74,1.76
04-Jul-20,7:30:00 AM,1.60,1.61
04-Jul-20,8:00:00 AM,1.36,1.37
04-Jul-20,8:30:00 AM,1.04,1.06
04-Jul-20,9:00:00 AM,0.78,0.79
04-Jul-20,9:30:00 AM,0.48,0.49
04-Jul-20,10:00:00 AM,0.19,0.21
04-Jul-20,10:30:00 AM,-0.02,0.07
04-Jul-20,11:00:00 AM,-0.15,0.16
04-Jul-20,11:30:00 AM,-0.20,0.21
04-Jul-20,12:00:00 PM,-0.18,0.19
04-Jul-20,12:30:00 PM,-0.17,0.18
04-Jul-20,1:00:00 PM,-0.15,0.19
04-Jul-20,1:30:00 PM,0.03,0.13
04-Jul-20,2:00:00 PM,0.25,0.30
04-Jul-20,2:30:00 PM,0.58,0.60
04-Jul-20,3:00:00 PM,0.90,0.92
04-Jul-20,3:30:00 PM,1.26,1.28
04-Jul-20,4:00:00 PM,1.60,1.62
04-Jul-20,4:30:00 PM,1.93,1.95
04-Jul-20,5:00:00 PM,2.28,2.29
04-Jul-20,5:30:00 PM,2.56,2.56
04-Jul-20,6:00:00 PM,2.69,2.69
04-Jul-20,6:30:00 PM,2.55,2.56
04-Jul-20,7:00:00 PM,2.43,2.43
04-Jul-20,7:30:00 PM,2.46,2.46
04-Jul-20,8:00:00 PM,2.50,2.51
04-Jul-20,8:30:00 PM,2.37,2.38
04-Jul-20,9:00:00 PM,2.31,2.32
04-Jul-20,9:30:00 PM,2.26,2.27
04-Jul-20,10:00:00 PM,2.19,2.20
04-Jul-20,10:30:00 PM,2.19,2.20
04-Jul-20,11:00:00 PM,2.07,2.09
04-Jul-20,11:30:00 PM,1.90,1.92
05-Jul-20,12:00:00 AM,1.73,1.75
05-Jul-20,12:30:00 AM,1.62,1.64
05-Jul-20,1:00:00 AM,1.49,1.52
05-Jul-20,1:30:00 AM,1.43,1.46
05-Jul-20,2:00:00 AM,1.40,1.43
05-Jul-20,2:30:00 AM,1.42,1.45
05-Jul-20,3:00:00 AM,1.41,1.45
05-Jul-20,3:30:00 AM,1.41,1.44
05-Jul-20,4:00:00 AM,1.46,1.49
05-Jul-20,4:30:00 AM,1.53,1.55
05-Jul-20,5:00:00 AM,1.65,1.67
05-Jul-20,5:30:00 AM,1.75,1.77
05-Jul-20,6:00:00 AM,1.94,1.95
05-Jul-20,6:30:00 AM,2.17,2.18
05-Jul-20,7:00:00 AM,2.33,2.34
05-Jul-20,7:30:00 AM,2.29,2.30
05-Jul-20,8:00:00 AM,2.12,2.12
05-Jul-20,8:30:00 AM,1.80,1.81
05-Jul-20,9:00:00 AM,1.32,1.32
05-Jul-20,9:30:00 AM,0.95,0.95
05-Jul-20,10:00:00 AM,0.56,0.57
05-Jul-20,10:30:00 AM,0.22,0.24
05-Jul-20,11:00:00 AM,-0.02,0.09
05-Jul-20,11:30:00 AM,-0.09,0.13
05-Jul-20,12:00:00 PM,-0.13,0.16
05-Jul-20,12:30:00 PM,0.12,0.18
05-Jul-20,1:00:00 PM,0.01,0.12
05-Jul-20,1:30:00 PM,0.16,0.21
05-Jul-20,2:00:00 PM,0.67,0.69
05-Jul-20,2:30:00 PM,1.08,1.10
05-Jul-20,3:00:00 PM,1.28,1.30
05-Jul-20,3:30:00 PM,1.59,1.60
05-Jul-20,4:00:00 PM,1.86,1.87
05-Jul-20,4:30:00 PM,2.25,2.25
05-Jul-20,5:00:00 PM,2.71,2.72
05-Jul-20,5:30:00 PM,3.07,3.07
05-Jul-20,6:00:00 PM,3.18,3.18
05-Jul-20,6:30:00 PM,3.12,3.13
05-Jul-20,7:00:00 PM,3.07,3.07
05-Jul-20,7:30:00 PM,2.94,2.94
05-Jul-20,8:00:00 PM,2.82,2.83
05-Jul-20,8:30:00 PM,2.67,2.67
05-Jul-20,9:00:00 PM,2.54,2.55
05-Jul-20,9:30:00 PM,2.37,2.38
05-Jul-20,10:00:00 PM,2.28,2.30
05-Jul-20,10:30:00 PM,2.18,2.20
05-Jul-20,11:00:00 PM,2.08,2.09
05-Jul-20,11:30:00 PM,1.91,1.93
06-Jul-20,12:00:00 AM,1.73,1.75
06-Jul-20,12:30:00 AM,1.58,1.60
06-Jul-20,1:00:00 AM,1.54,1.57
06-Jul-20,1:30:00 AM,1.47,1.50
06-Jul-20,2:00:00 AM,1.44,1.47
06-Jul-20,2:30:00 AM,1.44,1.47
06-Jul-20,3:00:00 AM,1.47,1.50
06-Jul-20,3:30:00 AM,1.51,1.54
06-Jul-20,4:00:00 AM,1.57,1.60
06-Jul-20,4:30:00 AM,1.67,1.69
06-Jul-20,5:00:00 AM,1.85,1.87
06-Jul-20,5:30:00 AM,2.07,2.08
06-Jul-20,6:00:00 AM,2.23,2.24
06-Jul-20,6:30:00 AM,2.44,2.44
06-Jul-20,7:00:00 AM,2.62,2.62
06-Jul-20,7:30:00 AM,2.75,2.76
06-Jul-20,8:00:00 AM,2.51,2.53
06-Jul-20,8:30:00 AM,1.92,1.93
06-Jul-20,9:00:00 AM,1.42,1.44
06-Jul-20,9:30:00 AM,0.91,0.94
06-Jul-20,10:00:00 AM,0.48,0.52
06-Jul-20,10:30:00 AM,0.22,0.31
06-Jul-20,11:00:00 AM,0.08,0.27
06-Jul-20,11:30:00 AM,0.03,0.28
06-Jul-20,12:00:00 PM,0.01,0.24
06-Jul-20,12:30:00 PM,0.34,0.41
06-Jul-20,1:00:00 PM,0.92,0.95
06-Jul-20,1:30:00 PM,0.93,0.96
06-Jul-20,2:00:00 PM,1.14,1.17
06-Jul-20,2:30:00 PM,1.18,1.21
06-Jul-20,3:00:00 PM,1.45,1.46
06-Jul-20,3:30:00 PM,1.68,1.68
06-Jul-20,4:00:00 PM,1.78,1.78
06-Jul-20,4:30:00 PM,1.91,1.92
06-Jul-20,5:00:00 PM,2.35,2.36
06-Jul-20,5:30:00 PM,2.74,2.74
06-Jul-20,6:00:00 PM,3.03,3.03
06-Jul-20,6:30:00 PM,2.99,3.00
06-Jul-20,7:00:00 PM,2.82,2.83
06-Jul-20,7:30:00 PM,2.80,2.80
06-Jul-20,8:00:00 PM,2.75,2.76
06-Jul-20,8:30:00 PM,2.58,2.58
06-Jul-20,9:00:00 PM,2.50,2.50
06-Jul-20,9:30:00 PM,2.27,2.28
06-Jul-20,10:00:00 PM,2.19,2.21
06-Jul-20,10:30:00 PM,2.09,2.10
06-Jul-20,11:00:00 PM,1.98,2.00
06-Jul-20,11:30:00 PM,1.85,1.87
07-Jul-20,12:00:00 AM,1.70,1.73
07-Jul-20,12:30:00 AM,1.54,1.57
07-Jul-20,1:00:00 AM,1.51,1.53
07-Jul-20,1:30:00 AM,1.45,1.47
07-Jul-20,2:00:00 AM,1.40,1.43
07-Jul-20,2:30:00 AM,1.38,1.41
07-Jul-20,3:00:00 AM,1.40,1.43
07-Jul-20,3:30:00 AM,1.44,1.46
07-Jul-20,4:00:00 AM,1.54,1.56
07-Jul-20,4:30:00 AM,1.65,1.67
07-Jul-20,5:00:00 AM,1.86,1.88
07-Jul-20,5:30:00 AM,2.01,2.02
07-Jul-20,6:00:00 AM,2.16,2.17
07-Jul-20,6:30:00 AM,2.59,2.59
07-Jul-20,7:00:00 AM,2.83,2.84
07-Jul-20,7:30:00 AM,2.85,2.87
07-Jul-20,8:00:00 AM,2.51,2.52
07-Jul-20,8:30:00 AM,1.97,1.99
07-Jul-20,9:00:00 AM,1.49,1.51
07-Jul-20,9:30:00 AM,1.07,1.10
07-Jul-20,10:00:00 AM,0.82,0.87
07-Jul-20,10:30:00 AM,0.59,0.67
07-Jul-20,11:00:00 AM,0.43,0.54
07-Jul-20,11:30:00 AM,0.37,0.49
07-Jul-20,12:00:00 PM,0.32,0.45
07-Jul-20,12:30:00 PM,0.73,0.77
07-Jul-20,1:00:00 PM,0.91,0.94
07-Jul-20,1:30:00 PM,0.71,0.77
07-Jul-20,2:00:00 PM,0.82,0.86
07-Jul-20,2:30:00 PM,1.14,1.16
07-Jul-20,3:00:00 PM,1.66,1.67
07-Jul-20,3:30:00 PM,2.04,2.05
07-Jul-20,4:00:00 PM,1.93,1.93
07-Jul-20,4:30:00 PM,1.94,1.95
07-Jul-20,5:00:00 PM,2.32,2.33
07-Jul-20,5:30:00 PM,2.65,2.66
07-Jul-20,6:00:00 PM,2.78,2.78
07-Jul-20,6:30:00 PM,2.74,2.75
07-Jul-20,7:00:00 PM,2.69,2.70
07-Jul-20,7:30:00 PM,2.72,2.73
07-Jul-20,8:00:00 PM,2.65,2.66
07-Jul-20,8:30:00 PM,2.42,2.43
07-Jul-20,9:00:00 PM,2.32,2.32
07-Jul-20,9:30:00 PM,2.17,2.19
07-Jul-20,10:00:00 PM,2.08,2.09
07-Jul-20,10:30:00 PM,1.98,2.00
07-Jul-20,11:00:00 PM,1.85,1.87
07-Jul-20,11:30:00 PM,1.69,1.71
08-Jul-20,12:00:00 AM,1.55,1.58
08-Jul-20,12:30:00 AM,1.44,1.46
08-Jul-20,1:00:00 AM,1.37,1.40
08-Jul-20,1:30:00 AM,1.31,1.34
08-Jul-20,2:00:00 AM,1.29,1.32
08-Jul-20,2:30:00 AM,1.30,1.33
08-Jul-20,3:00:00 AM,1.29,1.32
08-Jul-20,3:30:00 AM,1.32,1.36
08-Jul-20,4:00:00 AM,1.38,1.41
08-Jul-20,4:30:00 AM,1.48,1.51
08-Jul-20,5:00:00 AM,1.66,1.67
08-Jul-20,5:30:00 AM,1.88,1.89
08-Jul-20,6:00:00 AM,2.03,2.04
08-Jul-20,6:30:00 AM,2.20,2.21
08-Jul-20,7:00:00 AM,2.29,2.30
08-Jul-20,7:30:00 AM,2.28,2.29
08-Jul-20,8:00:00 AM,1.89,1.90
08-Jul-20,8:30:00 AM,1.57,1.59
08-Jul-20,9:00:00 AM,1.38,1.41
08-Jul-20,9:30:00 AM,0.97,1.01
08-Jul-20,10:00:00 AM,0.69,0.76
08-Jul-20,10:30:00 AM,0.48,0.58
08-Jul-20,11:00:00 AM,0.34,0.48
08-Jul-20,11:30:00 AM,0.29,0.45
08-Jul-20,12:00:00 PM,0.26,0.44
08-Jul-20,12:30:00 PM,0.30,0.44
08-Jul-20,1:00:00 PM,0.40,0.51
08-Jul-20,1:30:00 PM,0.51,0.59
08-Jul-20,2:00:00 PM,0.72,0.77
08-Jul-20,2:30:00 PM,1.00,1.03
08-Jul-20,3:00:00 PM,1.31,1.33
08-Jul-20,3:30:00 PM,1.63,1.64
08-Jul-20,4:00:00 PM,1.61,1.61
08-Jul-20,4:30:00 PM,1.60,1.62
08-Jul-20,5:00:00 PM,1.97,1.98
08-Jul-20,5:30:00 PM,2.36,2.37
08-Jul-20,6:00:00 PM,2.50,2.51
08-Jul-20,6:30:00 PM,2.55,2.55
08-Jul-20,7:00:00 PM,2.44,2.44
08-Jul-20,7:30:00 PM,2.39,2.40
08-Jul-20,8:00:00 PM,2.31,2.32
08-Jul-20,8:30:00 PM,2.16,2.18
08-Jul-20,9:00:00 PM,2.04,2.06
08-Jul-20,9:30:00 PM,1.92,1.94
08-Jul-20,10:00:00 PM,1.81,1.83
08-Jul-20,10:30:00 PM,1.80,1.82
08-Jul-20,11:00:00 PM,1.65,1.68
08-Jul-20,11:30:00 PM,1.51,1.54
09-Jul-20,12:00:00 AM,1.36,1.39
09-Jul-20,12:30:00 AM,1.26,1.30
09-Jul-20,1:00:00 AM,1.21,1.24
09-Jul-20,1:30:00 AM,1.15,1.19
09-Jul-20,2:00:00 AM,1.13,1.16
09-Jul-20,2:30:00 AM,1.16,1.19
09-Jul-20,3:00:00 AM,1.16,1.19
09-Jul-20,3:30:00 AM,1.19,1.22
09-Jul-20,4:00:00 AM,1.22,1.25
09-Jul-20,4:30:00 AM,1.30,1.32
09-Jul-20,5:00:00 AM,1.41,1.43
09-Jul-20,5:30:00 AM,1.49,1.51
09-Jul-20,6:00:00 AM,1.53,1.55
09-Jul-20,6:30:00 AM,1.64,1.66
09-Jul-20,7:00:00 AM,1.98,1.98
09-Jul-20,7:30:00 AM,1.90,1.90
09-Jul-20,8:00:00 AM,1.84,1.84
09-Jul-20,8:30:00 AM,1.50,1.51
09-Jul-20,9:00:00 AM,1.32,1.32
09-Jul-20,9:30:00 AM,1.17,1.18
09-Jul-20,10:00:00 AM,1.00,1.02
09-Jul-20,10:30:00 AM,0.76,0.78
09-Jul-20,11:00:00 AM,0.90,0.92
09-Jul-20,11:30:00 AM,0.17,0.30
09-Jul-20,12:00:00 PM,0.27,0.36
09-Jul-20,12:30:00 PM,0.96,0.98
09-Jul-20,1:00:00 PM,0.73,0.76
09-Jul-20,1:30:00 PM,0.67,0.69
09-Jul-20,2:00:00 PM,1.27,1.27
09-Jul-20,2:30:00 PM,1.35,1.36
09-Jul-20,3:00:00 PM,1.42,1.43
09-Jul-20,3:30:00 PM,1.44,1.44
09-Jul-20,4:00:00 PM,1.56,1.57
09-Jul-20,4:30:00 PM,1.86,1.87
09-Jul-20,5:00:00 PM,2.18,2.19
09-Jul-20,5:30:00 PM,2.38,2.39
09-Jul-20,6:00:00 PM,2.47,2.48
09-Jul-20,6:30:00 PM,2.57,2.57
09-Jul-20,7:00:00 PM,2.47,2.47
09-Jul-20,7:30:00 PM,2.36,2.37
09-Jul-20,8:00:00 PM,2.30,2.31
09-Jul-20,8:30:00 PM,2.12,2.14
09-Jul-20,9:00:00 PM,2.06,2.07
09-Jul-20,9:30:00 PM,1.88,1.90
09-Jul-20,10:00:00 PM,1.83,1.85
09-Jul-20,10:30:00 PM,1.79,1.82
09-Jul-20,11:00:00 PM,1.64,1.67
09-Jul-20,11:30:00 PM,1.49,1.51
10-Jul-20,12:00:00 AM,1.32,1.36
