Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.58,1.69
01-Jul-20,12:30:00 AM,1.54,1.66
01-Jul-20,1:00:00 AM,1.60,1.70
01-Jul-20,1:30:00 AM,1.57,1.68
01-Jul-20,2:00:00 AM,1.45,1.56
01-Jul-20,2:30:00 AM,1.35,1.47
01-Jul-20,3:00:00 AM,1.35,1.45
01-Jul-20,3:30:00 AM,1.37,1.47
01-Jul-20,4:00:00 AM,1.39,1.49
01-Jul-20,4:30:00 AM,1.40,1.50
01-Jul-20,5:00:00 AM,1.47,1.58
01-Jul-20,5:30:00 AM,1.56,1.68
01-Jul-20,6:00:00 AM,1.61,1.73
01-Jul-20,6:30:00 AM,1.85,1.98
01-Jul-20,7:00:00 AM,2.70,2.75
01-Jul-20,7:30:00 AM,2.77,2.77
01-Jul-20,8:00:00 AM,2.57,2.57
01-Jul-20,8:30:00 AM,2.53,2.53
01-Jul-20,9:00:00 AM,2.13,2.13
01-Jul-20,9:30:00 AM,1.97,1.97
01-Jul-20,10:00:00 AM,1.70,1.71
01-Jul-20,10:30:00 AM,1.51,1.52
01-Jul-20,11:00:00 AM,1.44,1.44
01-Jul-20,11:30:00 AM,1.37,1.37
01-Jul-20,12:00:00 PM,1.27,1.27
01-Jul-20,12:30:00 PM,1.24,1.24
01-Jul-20,1:00:00 PM,1.33,1.33
01-Jul-20,1:30:00 PM,1.58,1.58
01-Jul-20,2:00:00 PM,1.84,1.84
01-Jul-20,2:30:00 PM,1.99,1.99
01-Jul-20,3:00:00 PM,2.39,2.40
01-Jul-20,3:30:00 PM,2.38,2.39
01-Jul-20,4:00:00 PM,2.57,2.58
01-Jul-20,4:30:00 PM,2.73,2.74
01-Jul-20,5:00:00 PM,2.94,2.94
01-Jul-20,5:30:00 PM,3.17,3.17
01-Jul-20,6:00:00 PM,3.28,3.28
01-Jul-20,6:30:00 PM,3.21,3.21
01-Jul-20,7:00:00 PM,3.02,3.02
01-Jul-20,7:30:00 PM,2.96,2.96
01-Jul-20,8:00:00 PM,2.85,2.85
01-Jul-20,8:30:00 PM,2.70,2.70
01-Jul-20,9:00:00 PM,2.57,2.57
01-Jul-20,9:30:00 PM,2.47,2.48
01-Jul-20,10:00:00 PM,2.31,2.32
01-Jul-20,10:30:00 PM,2.13,2.15
01-Jul-20,11:00:00 PM,2.09,2.10
01-Jul-20,11:30:00 PM,2.09,2.10
02-Jul-20,12:00:00 AM,2.03,2.14
02-Jul-20,12:30:00 AM,2.00,2.10
02-Jul-20,1:00:00 AM,2.03,2.14
02-Jul-20,1:30:00 AM,1.96,2.06
02-Jul-20,2:00:00 AM,1.83,1.93
02-Jul-20,2:30:00 AM,1.74,1.85
02-Jul-20,3:00:00 AM,1.74,1.85
02-Jul-20,3:30:00 AM,1.71,1.81
02-Jul-20,4:00:00 AM,1.81,1.91
02-Jul-20,4:30:00 AM,1.83,1.92
02-Jul-20,5:00:00 AM,1.91,2.00
02-Jul-20,5:30:00 AM,2.03,2.13
02-Jul-20,6:00:00 AM,2.22,2.32
02-Jul-20,6:30:00 AM,2.64,2.78
02-Jul-20,7:00:00 AM,2.75,2.90
02-Jul-20,7:30:00 AM,2.89,3.06
02-Jul-20,8:00:00 AM,2.65,2.75
