Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.24,3.24
01-Jul-20,12:30:00 AM,3.01,3.01
01-Jul-20,1:00:00 AM,2.89,2.89
01-Jul-20,1:30:00 AM,2.76,2.76
01-Jul-20,2:00:00 AM,2.77,2.77
01-Jul-20,2:30:00 AM,2.74,2.74
01-Jul-20,3:00:00 AM,2.79,2.79
01-Jul-20,3:30:00 AM,2.86,2.86
01-Jul-20,4:00:00 AM,2.88,2.88
01-Jul-20,4:30:00 AM,2.96,2.96
01-Jul-20,5:00:00 AM,3.09,3.09
01-Jul-20,5:30:00 AM,3.19,3.19
01-Jul-20,6:00:00 AM,3.47,3.47
01-Jul-20,6:30:00 AM,3.85,3.85
01-Jul-20,7:00:00 AM,4.15,4.15
01-Jul-20,7:30:00 AM,3.70,3.71
01-Jul-20,8:00:00 AM,3.42,3.42
01-Jul-20,8:30:00 AM,2.85,2.85
01-Jul-20,9:00:00 AM,2.21,2.23
01-Jul-20,9:30:00 AM,1.65,1.70
01-Jul-20,10:00:00 AM,1.19,1.25
01-Jul-20,10:30:00 AM,0.99,1.07
01-Jul-20,11:00:00 AM,0.64,0.77
01-Jul-20,11:30:00 AM,0.60,0.77
01-Jul-20,12:00:00 PM,1.02,1.11
01-Jul-20,12:30:00 PM,0.95,1.04
01-Jul-20,1:00:00 PM,1.70,1.75
01-Jul-20,1:30:00 PM,1.59,1.63
01-Jul-20,2:00:00 PM,1.40,1.44
01-Jul-20,2:30:00 PM,1.92,1.95
01-Jul-20,3:00:00 PM,2.50,2.51
01-Jul-20,3:30:00 PM,2.95,2.96
01-Jul-20,4:00:00 PM,3.83,3.83
01-Jul-20,4:30:00 PM,4.75,4.76
01-Jul-20,5:00:00 PM,5.71,5.73
01-Jul-20,5:30:00 PM,6.19,6.22
01-Jul-20,6:00:00 PM,6.17,6.19
01-Jul-20,6:30:00 PM,6.22,6.24
01-Jul-20,7:00:00 PM,5.90,5.91
01-Jul-20,7:30:00 PM,5.83,5.84
01-Jul-20,8:00:00 PM,5.77,5.78
01-Jul-20,8:30:00 PM,5.41,5.42
01-Jul-20,9:00:00 PM,5.16,5.16
01-Jul-20,9:30:00 PM,4.60,4.60
01-Jul-20,10:00:00 PM,4.52,4.52
01-Jul-20,10:30:00 PM,4.59,4.59
01-Jul-20,11:00:00 PM,4.31,4.31
01-Jul-20,11:30:00 PM,3.72,3.72
02-Jul-20,12:00:00 AM,3.21,3.21
02-Jul-20,12:30:00 AM,3.06,3.06
02-Jul-20,1:00:00 AM,2.94,2.94
02-Jul-20,1:30:00 AM,2.93,2.93
02-Jul-20,2:00:00 AM,2.80,2.80
02-Jul-20,2:30:00 AM,2.68,2.68
02-Jul-20,3:00:00 AM,2.70,2.70
02-Jul-20,3:30:00 AM,2.79,2.79
02-Jul-20,4:00:00 AM,2.89,2.89
02-Jul-20,4:30:00 AM,3.00,3.00
02-Jul-20,5:00:00 AM,3.21,3.21
02-Jul-20,5:30:00 AM,3.46,3.46
02-Jul-20,6:00:00 AM,3.86,3.86
02-Jul-20,6:30:00 AM,4.23,4.23
02-Jul-20,7:00:00 AM,4.34,4.34
02-Jul-20,7:30:00 AM,4.09,4.09
02-Jul-20,8:00:00 AM,3.52,3.53
02-Jul-20,8:30:00 AM,2.96,2.97
02-Jul-20,9:00:00 AM,2.46,2.48
02-Jul-20,9:30:00 AM,2.13,2.16
02-Jul-20,10:00:00 AM,1.63,1.68
02-Jul-20,10:30:00 AM,1.70,1.74
02-Jul-20,11:00:00 AM,1.74,1.78
02-Jul-20,11:30:00 AM,1.06,1.14
02-Jul-20,12:00:00 PM,1.40,1.47
02-Jul-20,12:30:00 PM,1.16,1.23
02-Jul-20,1:00:00 PM,1.70,1.74
02-Jul-20,1:30:00 PM,1.92,1.97
02-Jul-20,2:00:00 PM,1.97,2.01
02-Jul-20,2:30:00 PM,2.01,2.04
02-Jul-20,3:00:00 PM,2.35,2.37
02-Jul-20,3:30:00 PM,3.01,3.02
02-Jul-20,4:00:00 PM,4.05,4.05
02-Jul-20,4:30:00 PM,4.93,4.94
02-Jul-20,5:00:00 PM,5.54,5.55
02-Jul-20,5:30:00 PM,5.95,5.98
02-Jul-20,6:00:00 PM,5.98,6.00
02-Jul-20,6:30:00 PM,6.06,6.08
02-Jul-20,7:00:00 PM,5.73,5.75
02-Jul-20,7:30:00 PM,5.80,5.81
02-Jul-20,8:00:00 PM,5.74,5.75
02-Jul-20,8:30:00 PM,5.30,5.31
02-Jul-20,9:00:00 PM,5.13,5.14
02-Jul-20,9:30:00 PM,4.63,4.63
02-Jul-20,10:00:00 PM,4.42,4.42
02-Jul-20,10:30:00 PM,4.55,4.55
02-Jul-20,11:00:00 PM,4.27,4.27
02-Jul-20,11:30:00 PM,3.74,3.74
03-Jul-20,12:00:00 AM,3.44,3.44
03-Jul-20,12:30:00 AM,3.16,3.16
03-Jul-20,1:00:00 AM,3.04,3.04
03-Jul-20,1:30:00 AM,2.95,2.95
03-Jul-20,2:00:00 AM,2.81,2.81
03-Jul-20,2:30:00 AM,2.81,2.81
03-Jul-20,3:00:00 AM,2.82,2.82
03-Jul-20,3:30:00 AM,2.87,2.87
03-Jul-20,4:00:00 AM,2.96,2.96
03-Jul-20,4:30:00 AM,3.08,3.08
03-Jul-20,5:00:00 AM,3.21,3.21
03-Jul-20,5:30:00 AM,3.52,3.52
03-Jul-20,6:00:00 AM,3.89,3.89
03-Jul-20,6:30:00 AM,4.08,4.08
03-Jul-20,7:00:00 AM,4.23,4.23
03-Jul-20,7:30:00 AM,3.95,3.95
03-Jul-20,8:00:00 AM,3.51,3.52
03-Jul-20,8:30:00 AM,2.84,2.85
03-Jul-20,9:00:00 AM,2.23,2.25
03-Jul-20,9:30:00 AM,1.65,1.69
03-Jul-20,10:00:00 AM,1.38,1.44
03-Jul-20,10:30:00 AM,0.97,1.09
03-Jul-20,11:00:00 AM,0.73,0.88
