Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.84,1.85
01-Jul-20,12:30:00 AM,1.75,1.78
01-Jul-20,1:00:00 AM,1.78,1.80
01-Jul-20,1:30:00 AM,1.75,1.78
01-Jul-20,2:00:00 AM,1.70,1.73
01-Jul-20,2:30:00 AM,1.63,1.65
01-Jul-20,3:00:00 AM,1.62,1.63
01-Jul-20,3:30:00 AM,1.57,1.57
01-Jul-20,4:00:00 AM,1.57,1.58
01-Jul-20,4:30:00 AM,1.68,1.69
01-Jul-20,5:00:00 AM,1.72,1.74
01-Jul-20,5:30:00 AM,1.83,1.85
01-Jul-20,6:00:00 AM,2.07,2.11
01-Jul-20,6:30:00 AM,2.42,2.49
01-Jul-20,7:00:00 AM,2.54,2.60
01-Jul-20,7:30:00 AM,2.40,2.45
01-Jul-20,8:00:00 AM,2.22,2.27
01-Jul-20,8:30:00 AM,2.01,2.06
01-Jul-20,9:00:00 AM,1.41,1.45
01-Jul-20,9:30:00 AM,1.26,1.36
01-Jul-20,10:00:00 AM,1.14,1.27
01-Jul-20,10:30:00 AM,0.94,1.04
01-Jul-20,11:00:00 AM,0.81,0.93
01-Jul-20,11:30:00 AM,0.79,0.91
01-Jul-20,12:00:00 PM,0.59,0.64
01-Jul-20,12:30:00 PM,0.66,0.77
01-Jul-20,1:00:00 PM,0.73,0.85
01-Jul-20,1:30:00 PM,0.83,0.95
01-Jul-20,2:00:00 PM,0.96,1.07
01-Jul-20,2:30:00 PM,1.13,1.24
01-Jul-20,3:00:00 PM,1.53,1.63
01-Jul-20,3:30:00 PM,1.68,1.73
01-Jul-20,4:00:00 PM,2.09,2.18
01-Jul-20,4:30:00 PM,2.45,2.53
01-Jul-20,5:00:00 PM,2.66,2.74
01-Jul-20,5:30:00 PM,2.76,2.81
01-Jul-20,6:00:00 PM,2.87,2.91
01-Jul-20,6:30:00 PM,2.77,2.80
01-Jul-20,7:00:00 PM,2.63,2.67
01-Jul-20,7:30:00 PM,2.53,2.58
01-Jul-20,8:00:00 PM,2.62,2.67
01-Jul-20,8:30:00 PM,2.69,2.73
01-Jul-20,9:00:00 PM,2.55,2.59
01-Jul-20,9:30:00 PM,2.47,2.52
01-Jul-20,10:00:00 PM,2.36,2.41
01-Jul-20,10:30:00 PM,2.14,2.18
01-Jul-20,11:00:00 PM,2.04,2.07
01-Jul-20,11:30:00 PM,1.99,2.02
02-Jul-20,12:00:00 AM,1.85,1.89
02-Jul-20,12:30:00 AM,1.77,1.81
02-Jul-20,1:00:00 AM,1.77,1.81
02-Jul-20,1:30:00 AM,1.75,1.78
02-Jul-20,2:00:00 AM,1.67,1.70
02-Jul-20,2:30:00 AM,1.66,1.68
02-Jul-20,3:00:00 AM,1.63,1.66
02-Jul-20,3:30:00 AM,1.59,1.62
02-Jul-20,4:00:00 AM,1.57,1.60
02-Jul-20,4:30:00 AM,1.64,1.67
02-Jul-20,5:00:00 AM,1.71,1.73
02-Jul-20,5:30:00 AM,1.86,1.89
02-Jul-20,6:00:00 AM,2.19,2.24
02-Jul-20,6:30:00 AM,2.54,2.61
02-Jul-20,7:00:00 AM,2.84,2.94
02-Jul-20,7:30:00 AM,2.73,2.84
02-Jul-20,8:00:00 AM,2.37,2.45
02-Jul-20,8:30:00 AM,1.97,2.03
02-Jul-20,9:00:00 AM,1.44,1.49
02-Jul-20,9:30:00 AM,1.44,1.53
02-Jul-20,10:00:00 AM,1.15,1.25
02-Jul-20,10:30:00 AM,0.91,1.07
02-Jul-20,11:00:00 AM,0.75,0.89
