Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.19,11.41
01-Jul-20,12:30:00 AM,10.09,10.34
01-Jul-20,1:00:00 AM,9.22,9.49
01-Jul-20,1:30:00 AM,8.61,8.88
01-Jul-20,2:00:00 AM,8.22,8.51
01-Jul-20,2:30:00 AM,8.01,8.32
01-Jul-20,3:00:00 AM,7.89,8.19
01-Jul-20,3:30:00 AM,7.87,8.17
01-Jul-20,4:00:00 AM,8.02,8.31
01-Jul-20,4:30:00 AM,8.38,8.65
01-Jul-20,5:00:00 AM,9.01,9.24
01-Jul-20,5:30:00 AM,9.95,10.14
01-Jul-20,6:00:00 AM,11.04,11.22
01-Jul-20,6:30:00 AM,12.59,12.77
01-Jul-20,7:00:00 AM,14.64,14.79
01-Jul-20,7:30:00 AM,15.75,15.86
01-Jul-20,8:00:00 AM,15.94,16.02
01-Jul-20,8:30:00 AM,15.24,15.32
01-Jul-20,9:00:00 AM,13.44,13.51
01-Jul-20,9:30:00 AM,11.41,11.48
01-Jul-20,10:00:00 AM,9.96,10.02
01-Jul-20,10:30:00 AM,9.15,9.20
01-Jul-20,11:00:00 AM,8.46,8.51
01-Jul-20,11:30:00 AM,7.57,7.64
01-Jul-20,12:00:00 PM,7.46,7.54
01-Jul-20,12:30:00 PM,7.50,7.58
01-Jul-20,1:00:00 PM,8.74,8.82
01-Jul-20,1:30:00 PM,8.99,9.08
01-Jul-20,2:00:00 PM,9.39,9.48
01-Jul-20,2:30:00 PM,10.86,10.94
01-Jul-20,3:00:00 PM,12.26,12.34
01-Jul-20,3:30:00 PM,13.52,13.62
01-Jul-20,4:00:00 PM,14.35,14.44
01-Jul-20,4:30:00 PM,15.94,16.04
01-Jul-20,5:00:00 PM,17.64,17.69
01-Jul-20,5:30:00 PM,19.05,19.08
01-Jul-20,6:00:00 PM,19.19,19.23
01-Jul-20,6:30:00 PM,19.64,19.67
01-Jul-20,7:00:00 PM,19.00,19.04
01-Jul-20,7:30:00 PM,18.81,18.86
01-Jul-20,8:00:00 PM,18.90,18.96
01-Jul-20,8:30:00 PM,17.62,17.69
01-Jul-20,9:00:00 PM,16.94,17.02
01-Jul-20,9:30:00 PM,16.11,16.20
01-Jul-20,10:00:00 PM,15.71,15.82
01-Jul-20,10:30:00 PM,16.75,16.86
01-Jul-20,11:00:00 PM,15.21,15.33
01-Jul-20,11:30:00 PM,13.14,13.29
02-Jul-20,12:00:00 AM,11.42,11.60
02-Jul-20,12:30:00 AM,10.37,10.58
02-Jul-20,1:00:00 AM,9.41,9.64
02-Jul-20,1:30:00 AM,8.71,8.96
02-Jul-20,2:00:00 AM,8.41,8.66
02-Jul-20,2:30:00 AM,8.27,8.54
02-Jul-20,3:00:00 AM,8.07,8.35
02-Jul-20,3:30:00 AM,8.07,8.35
02-Jul-20,4:00:00 AM,8.26,8.52
02-Jul-20,4:30:00 AM,8.40,8.67
02-Jul-20,5:00:00 AM,8.99,9.24
02-Jul-20,5:30:00 AM,9.85,10.07
02-Jul-20,6:00:00 AM,11.23,11.40
02-Jul-20,6:30:00 AM,12.61,12.81
02-Jul-20,7:00:00 AM,14.57,14.73
02-Jul-20,7:30:00 AM,15.36,15.46
02-Jul-20,8:00:00 AM,15.31,15.39
02-Jul-20,8:30:00 AM,15.00,15.07
02-Jul-20,9:00:00 AM,13.92,13.98
02-Jul-20,9:30:00 AM,13.32,13.38
02-Jul-20,10:00:00 AM,9.43,9.49
02-Jul-20,10:30:00 AM,9.58,9.63
02-Jul-20,11:00:00 AM,8.51,8.57
02-Jul-20,11:30:00 AM,7.75,7.81
02-Jul-20,12:00:00 PM,8.33,8.41
02-Jul-20,12:30:00 PM,8.03,8.09
02-Jul-20,1:00:00 PM,9.24,9.31
02-Jul-20,1:30:00 PM,8.79,8.86
02-Jul-20,2:00:00 PM,9.03,9.10
02-Jul-20,2:30:00 PM,9.93,10.01
02-Jul-20,3:00:00 PM,10.99,11.07
02-Jul-20,3:30:00 PM,12.41,12.49
02-Jul-20,4:00:00 PM,13.90,13.99
02-Jul-20,4:30:00 PM,15.46,15.55
02-Jul-20,5:00:00 PM,16.94,17.00
02-Jul-20,5:30:00 PM,18.10,18.13
02-Jul-20,6:00:00 PM,18.38,18.42
02-Jul-20,6:30:00 PM,18.57,18.62
02-Jul-20,7:00:00 PM,18.20,18.26
02-Jul-20,7:30:00 PM,18.32,18.38
02-Jul-20,8:00:00 PM,18.38,18.45
02-Jul-20,8:30:00 PM,16.99,17.08
02-Jul-20,9:00:00 PM,16.29,16.40
02-Jul-20,9:30:00 PM,15.79,15.91
02-Jul-20,10:00:00 PM,15.58,15.70
02-Jul-20,10:30:00 PM,16.59,16.70
02-Jul-20,11:00:00 PM,14.90,15.04
02-Jul-20,11:30:00 PM,12.74,12.91
03-Jul-20,12:00:00 AM,11.20,11.40
03-Jul-20,12:30:00 AM,10.08,10.30
03-Jul-20,1:00:00 AM,9.20,9.45
03-Jul-20,1:30:00 AM,8.67,8.92
03-Jul-20,2:00:00 AM,8.27,8.55
03-Jul-20,2:30:00 AM,8.17,8.45
03-Jul-20,3:00:00 AM,8.05,8.34
03-Jul-20,3:30:00 AM,7.98,8.26
03-Jul-20,4:00:00 AM,8.00,8.31
03-Jul-20,4:30:00 AM,8.39,8.67
03-Jul-20,5:00:00 AM,8.95,9.20
03-Jul-20,5:30:00 AM,9.85,10.07
03-Jul-20,6:00:00 AM,11.13,11.31
03-Jul-20,6:30:00 AM,12.66,12.86
03-Jul-20,7:00:00 AM,14.38,14.54
03-Jul-20,7:30:00 AM,15.63,15.73
03-Jul-20,8:00:00 AM,14.60,14.68
03-Jul-20,8:30:00 AM,13.31,13.38
03-Jul-20,9:00:00 AM,12.29,12.35
03-Jul-20,9:30:00 AM,10.79,10.85
03-Jul-20,10:00:00 AM,9.77,9.83
03-Jul-20,10:30:00 AM,8.95,9.00
03-Jul-20,11:00:00 AM,8.31,8.36
03-Jul-20,11:30:00 AM,7.84,7.89
03-Jul-20,12:00:00 PM,7.55,7.61
03-Jul-20,12:30:00 PM,7.52,7.58
03-Jul-20,1:00:00 PM,7.70,7.76
03-Jul-20,1:30:00 PM,8.32,8.38
03-Jul-20,2:00:00 PM,8.95,9.01
03-Jul-20,2:30:00 PM,9.68,9.75
03-Jul-20,3:00:00 PM,10.84,10.91
03-Jul-20,3:30:00 PM,12.09,12.17
03-Jul-20,4:00:00 PM,13.77,13.85
03-Jul-20,4:30:00 PM,14.90,15.00
03-Jul-20,5:00:00 PM,15.99,16.06
03-Jul-20,5:30:00 PM,16.81,16.85
03-Jul-20,6:00:00 PM,16.66,16.71
03-Jul-20,6:30:00 PM,16.98,17.04
03-Jul-20,7:00:00 PM,16.57,16.64
03-Jul-20,7:30:00 PM,16.56,16.64
03-Jul-20,8:00:00 PM,16.54,16.62
03-Jul-20,8:30:00 PM,15.56,15.65
03-Jul-20,9:00:00 PM,15.17,15.28
03-Jul-20,9:30:00 PM,14.71,14.84
03-Jul-20,10:00:00 PM,14.69,14.82
03-Jul-20,10:30:00 PM,15.96,16.09
03-Jul-20,11:00:00 PM,14.50,14.65
03-Jul-20,11:30:00 PM,12.57,12.75
04-Jul-20,12:00:00 AM,10.91,11.13
04-Jul-20,12:30:00 AM,10.05,10.27
04-Jul-20,1:00:00 AM,9.30,9.54
04-Jul-20,1:30:00 AM,8.73,8.97
04-Jul-20,2:00:00 AM,8.25,8.51
04-Jul-20,2:30:00 AM,8.07,8.34
04-Jul-20,3:00:00 AM,7.94,8.22
04-Jul-20,3:30:00 AM,7.97,8.23
04-Jul-20,4:00:00 AM,7.82,8.11
04-Jul-20,4:30:00 AM,8.03,8.30
04-Jul-20,5:00:00 AM,8.38,8.63
04-Jul-20,5:30:00 AM,8.77,9.00
04-Jul-20,6:00:00 AM,9.40,9.63
04-Jul-20,6:30:00 AM,10.13,10.41
04-Jul-20,7:00:00 AM,11.47,11.72
04-Jul-20,7:30:00 AM,11.73,11.94
04-Jul-20,8:00:00 AM,11.71,11.88
04-Jul-20,8:30:00 AM,11.27,11.43
04-Jul-20,9:00:00 AM,10.78,10.94
04-Jul-20,9:30:00 AM,9.93,10.08
04-Jul-20,10:00:00 AM,9.03,9.17
04-Jul-20,10:30:00 AM,8.18,8.33
04-Jul-20,11:00:00 AM,7.39,7.54
04-Jul-20,11:30:00 AM,6.96,7.12
04-Jul-20,12:00:00 PM,6.59,6.77
04-Jul-20,12:30:00 PM,6.49,6.68
04-Jul-20,1:00:00 PM,6.59,6.79
04-Jul-20,1:30:00 PM,6.95,7.15
04-Jul-20,2:00:00 PM,7.50,7.69
04-Jul-20,2:30:00 PM,8.45,8.63
04-Jul-20,3:00:00 PM,9.76,9.93
04-Jul-20,3:30:00 PM,11.13,11.31
04-Jul-20,4:00:00 PM,12.64,12.81
