Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,21.27,21.27
01-Jul-20,12:30:00 AM,20.92,20.93
01-Jul-20,1:00:00 AM,20.58,20.58
01-Jul-20,1:30:00 AM,19.99,20.00
01-Jul-20,2:00:00 AM,19.93,19.95
01-Jul-20,2:30:00 AM,19.63,19.64
01-Jul-20,3:00:00 AM,19.63,19.63
01-Jul-20,3:30:00 AM,19.65,19.66
01-Jul-20,4:00:00 AM,19.76,19.77
01-Jul-20,4:30:00 AM,19.82,19.83
01-Jul-20,5:00:00 AM,20.83,20.84
01-Jul-20,5:30:00 AM,22.65,22.66
01-Jul-20,6:00:00 AM,25.58,25.59
01-Jul-20,6:30:00 AM,27.68,27.69
01-Jul-20,7:00:00 AM,29.91,29.92
01-Jul-20,7:30:00 AM,31.07,31.09
01-Jul-20,8:00:00 AM,32.26,32.28
01-Jul-20,8:30:00 AM,31.85,31.92
01-Jul-20,9:00:00 AM,31.80,31.85
01-Jul-20,9:30:00 AM,31.49,31.54
01-Jul-20,10:00:00 AM,31.46,31.51
01-Jul-20,10:30:00 AM,31.54,31.61
01-Jul-20,11:00:00 AM,31.63,31.69
01-Jul-20,11:30:00 AM,31.27,31.33
01-Jul-20,12:00:00 PM,31.85,31.91
01-Jul-20,12:30:00 PM,31.61,31.68
01-Jul-20,1:00:00 PM,31.60,31.65
01-Jul-20,1:30:00 PM,31.86,31.93
01-Jul-20,2:00:00 PM,31.39,31.45
01-Jul-20,2:30:00 PM,32.01,32.07
01-Jul-20,3:00:00 PM,31.85,31.92
01-Jul-20,3:30:00 PM,31.53,31.59
01-Jul-20,4:00:00 PM,31.65,31.71
01-Jul-20,4:30:00 PM,31.79,31.85
01-Jul-20,5:00:00 PM,32.72,32.79
01-Jul-20,5:30:00 PM,33.39,33.43
01-Jul-20,6:00:00 PM,32.82,32.84
01-Jul-20,6:30:00 PM,31.95,31.97
01-Jul-20,7:00:00 PM,31.40,31.41
01-Jul-20,7:30:00 PM,30.82,30.84
01-Jul-20,8:00:00 PM,30.20,30.20
01-Jul-20,8:30:00 PM,29.31,29.32
01-Jul-20,9:00:00 PM,28.16,28.16
