Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,13.13,13.20
01-Jul-20,12:30:00 AM,12.25,12.33
01-Jul-20,1:00:00 AM,11.74,11.83
01-Jul-20,1:30:00 AM,11.24,11.33
01-Jul-20,2:00:00 AM,10.81,10.90
01-Jul-20,2:30:00 AM,10.79,10.87
01-Jul-20,3:00:00 AM,10.36,10.46
01-Jul-20,3:30:00 AM,10.33,10.44
01-Jul-20,4:00:00 AM,10.53,10.62
01-Jul-20,4:30:00 AM,11.09,11.17
01-Jul-20,5:00:00 AM,12.19,12.23
01-Jul-20,5:30:00 AM,13.96,13.98
01-Jul-20,6:00:00 AM,16.03,16.04
01-Jul-20,6:30:00 AM,18.21,18.21
01-Jul-20,7:00:00 AM,20.50,20.50
01-Jul-20,7:30:00 AM,21.32,21.34
01-Jul-20,8:00:00 AM,20.04,20.06
01-Jul-20,8:30:00 AM,18.60,18.64
01-Jul-20,9:00:00 AM,16.69,16.74
01-Jul-20,9:30:00 AM,14.85,14.92
01-Jul-20,10:00:00 AM,12.65,12.73
01-Jul-20,10:30:00 AM,11.36,11.46
01-Jul-20,11:00:00 AM,11.89,11.97
01-Jul-20,11:30:00 AM,11.80,11.89
01-Jul-20,12:00:00 PM,9.96,10.06
01-Jul-20,12:30:00 PM,9.78,9.88
01-Jul-20,1:00:00 PM,9.49,9.59
01-Jul-20,1:30:00 PM,11.11,11.17
01-Jul-20,2:00:00 PM,11.59,11.65
01-Jul-20,2:30:00 PM,12.24,12.27
01-Jul-20,3:00:00 PM,13.73,13.74
01-Jul-20,3:30:00 PM,15.08,15.08
01-Jul-20,4:00:00 PM,16.41,16.41
01-Jul-20,4:30:00 PM,18.43,18.44
01-Jul-20,5:00:00 PM,20.60,20.60
01-Jul-20,5:30:00 PM,22.92,22.92
01-Jul-20,6:00:00 PM,23.46,23.46
01-Jul-20,6:30:00 PM,23.34,23.34
01-Jul-20,7:00:00 PM,22.41,22.41
01-Jul-20,7:30:00 PM,21.70,21.70
01-Jul-20,8:00:00 PM,21.29,21.29
01-Jul-20,8:30:00 PM,20.24,20.24
01-Jul-20,9:00:00 PM,19.39,19.40
01-Jul-20,9:30:00 PM,18.09,18.11
01-Jul-20,10:00:00 PM,17.49,17.51
01-Jul-20,10:30:00 PM,18.02,18.04
01-Jul-20,11:00:00 PM,16.95,16.98
01-Jul-20,11:30:00 PM,14.92,14.97
02-Jul-20,12:00:00 AM,13.42,13.48
02-Jul-20,12:30:00 AM,12.29,12.37
02-Jul-20,1:00:00 AM,11.50,11.58
02-Jul-20,1:30:00 AM,11.17,11.26
02-Jul-20,2:00:00 AM,10.73,10.83
02-Jul-20,2:30:00 AM,10.72,10.80
02-Jul-20,3:00:00 AM,10.62,10.71
02-Jul-20,3:30:00 AM,10.49,10.59
02-Jul-20,4:00:00 AM,10.80,10.89
02-Jul-20,4:30:00 AM,11.26,11.32
02-Jul-20,5:00:00 AM,12.27,12.33
02-Jul-20,5:30:00 AM,13.79,13.81
02-Jul-20,6:00:00 AM,16.09,16.09
02-Jul-20,6:30:00 AM,18.37,18.37
02-Jul-20,7:00:00 AM,20.98,20.98
02-Jul-20,7:30:00 AM,20.99,21.01
02-Jul-20,8:00:00 AM,20.11,20.14
02-Jul-20,8:30:00 AM,18.42,18.46
02-Jul-20,9:00:00 AM,16.74,16.78
02-Jul-20,9:30:00 AM,15.43,15.48
02-Jul-20,10:00:00 AM,14.07,14.14
02-Jul-20,10:30:00 AM,12.27,12.38
02-Jul-20,11:00:00 AM,13.10,13.19
02-Jul-20,11:30:00 AM,9.96,10.11
02-Jul-20,12:00:00 PM,10.06,10.19
02-Jul-20,12:30:00 PM,10.67,10.77
02-Jul-20,1:00:00 PM,12.89,12.99
02-Jul-20,1:30:00 PM,11.51,11.61
02-Jul-20,2:00:00 PM,11.68,11.75
02-Jul-20,2:30:00 PM,12.48,12.51
02-Jul-20,3:00:00 PM,13.64,13.65
02-Jul-20,3:30:00 PM,15.08,15.08
02-Jul-20,4:00:00 PM,16.27,16.28
02-Jul-20,4:30:00 PM,18.35,18.35
02-Jul-20,5:00:00 PM,20.65,20.65
02-Jul-20,5:30:00 PM,22.41,22.41
02-Jul-20,6:00:00 PM,22.63,22.63
02-Jul-20,6:30:00 PM,22.19,22.19
02-Jul-20,7:00:00 PM,21.66,21.66
02-Jul-20,7:30:00 PM,21.14,21.14
02-Jul-20,8:00:00 PM,20.77,20.77
02-Jul-20,8:30:00 PM,19.31,19.32
02-Jul-20,9:00:00 PM,18.45,18.46
02-Jul-20,9:30:00 PM,17.87,17.89
02-Jul-20,10:00:00 PM,17.43,17.46
02-Jul-20,10:30:00 PM,17.89,17.93
02-Jul-20,11:00:00 PM,16.83,16.87
02-Jul-20,11:30:00 PM,14.84,14.90
03-Jul-20,12:00:00 AM,13.09,13.17
03-Jul-20,12:30:00 AM,12.10,12.19
03-Jul-20,1:00:00 AM,11.26,11.36
03-Jul-20,1:30:00 AM,10.83,10.92
03-Jul-20,2:00:00 AM,10.59,10.68
03-Jul-20,2:30:00 AM,10.30,10.40
03-Jul-20,3:00:00 AM,10.17,10.27
03-Jul-20,3:30:00 AM,10.29,10.39
03-Jul-20,4:00:00 AM,10.62,10.71
03-Jul-20,4:30:00 AM,10.91,10.99
03-Jul-20,5:00:00 AM,12.08,12.14
03-Jul-20,5:30:00 AM,13.33,13.36
03-Jul-20,6:00:00 AM,15.55,15.55
03-Jul-20,6:30:00 AM,17.62,17.63
03-Jul-20,7:00:00 AM,19.56,19.56
03-Jul-20,7:30:00 AM,19.88,19.88
03-Jul-20,8:00:00 AM,18.95,18.96
03-Jul-20,8:30:00 AM,17.55,17.58
03-Jul-20,9:00:00 AM,15.57,15.60
03-Jul-20,9:30:00 AM,13.91,13.97
03-Jul-20,10:00:00 AM,12.13,12.20
03-Jul-20,10:30:00 AM,10.62,10.71
03-Jul-20,11:00:00 AM,9.93,10.04
03-Jul-20,11:30:00 AM,9.28,9.40
03-Jul-20,12:00:00 PM,8.77,8.85
03-Jul-20,12:30:00 PM,8.70,8.78
03-Jul-20,1:00:00 PM,8.95,9.02
03-Jul-20,1:30:00 PM,9.52,9.56
03-Jul-20,2:00:00 PM,10.37,10.39
03-Jul-20,2:30:00 PM,11.40,11.41
03-Jul-20,3:00:00 PM,12.43,12.43
03-Jul-20,3:30:00 PM,13.74,13.74
03-Jul-20,4:00:00 PM,15.35,15.36
03-Jul-20,4:30:00 PM,17.25,17.26
03-Jul-20,5:00:00 PM,18.43,18.44
03-Jul-20,5:30:00 PM,20.07,20.07
03-Jul-20,6:00:00 PM,20.56,20.56
