Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.09,6.09
01-Jul-20,12:30:00 AM,6.00,6.00
01-Jul-20,1:00:00 AM,5.95,5.95
01-Jul-20,1:30:00 AM,5.91,5.91
01-Jul-20,2:00:00 AM,5.85,5.85
01-Jul-20,2:30:00 AM,5.79,5.79
01-Jul-20,3:00:00 AM,5.72,5.72
01-Jul-20,3:30:00 AM,5.73,5.73
01-Jul-20,4:00:00 AM,5.79,5.79
01-Jul-20,4:30:00 AM,5.89,5.89
01-Jul-20,5:00:00 AM,6.54,6.54
01-Jul-20,5:30:00 AM,7.20,7.21
01-Jul-20,6:00:00 AM,8.16,8.17
01-Jul-20,6:30:00 AM,9.65,9.66
01-Jul-20,7:00:00 AM,11.68,11.74
01-Jul-20,7:30:00 AM,12.14,12.21
01-Jul-20,8:00:00 AM,12.54,12.62
01-Jul-20,8:30:00 AM,12.86,12.95
01-Jul-20,9:00:00 AM,12.98,13.08
01-Jul-20,9:30:00 AM,12.69,12.78
01-Jul-20,10:00:00 AM,12.86,12.96
01-Jul-20,10:30:00 AM,12.76,12.87
01-Jul-20,11:00:00 AM,12.84,12.95
01-Jul-20,11:30:00 AM,12.93,13.04
01-Jul-20,12:00:00 PM,13.05,13.18
01-Jul-20,12:30:00 PM,13.12,13.26
01-Jul-20,1:00:00 PM,13.22,13.36
01-Jul-20,1:30:00 PM,13.35,13.48
01-Jul-20,2:00:00 PM,13.03,13.15
01-Jul-20,2:30:00 PM,12.86,12.97
01-Jul-20,3:00:00 PM,12.40,12.49
01-Jul-20,3:30:00 PM,12.39,12.48
01-Jul-20,4:00:00 PM,12.28,12.38
01-Jul-20,4:30:00 PM,12.02,12.10
01-Jul-20,5:00:00 PM,11.72,11.78
01-Jul-20,5:30:00 PM,11.32,11.37
01-Jul-20,6:00:00 PM,9.45,9.47
01-Jul-20,6:30:00 PM,8.87,8.88
01-Jul-20,7:00:00 PM,8.43,8.44
01-Jul-20,7:30:00 PM,8.11,8.12
01-Jul-20,8:00:00 PM,7.80,7.80
01-Jul-20,8:30:00 PM,7.58,7.59
01-Jul-20,9:00:00 PM,7.40,7.40
01-Jul-20,9:30:00 PM,7.18,7.18
01-Jul-20,10:00:00 PM,6.74,6.74
01-Jul-20,10:30:00 PM,6.58,6.58
01-Jul-20,11:00:00 PM,6.40,6.40
01-Jul-20,11:30:00 PM,6.27,6.27
02-Jul-20,12:00:00 AM,6.14,6.14
02-Jul-20,12:30:00 AM,6.01,6.01
02-Jul-20,1:00:00 AM,5.91,5.91
02-Jul-20,1:30:00 AM,5.91,5.91
02-Jul-20,2:00:00 AM,5.81,5.82
02-Jul-20,2:30:00 AM,5.80,5.80
02-Jul-20,3:00:00 AM,5.70,5.70
02-Jul-20,3:30:00 AM,5.72,5.72
02-Jul-20,4:00:00 AM,5.81,5.81
02-Jul-20,4:30:00 AM,5.91,5.91
02-Jul-20,5:00:00 AM,6.53,6.53
02-Jul-20,5:30:00 AM,7.13,7.13
02-Jul-20,6:00:00 AM,8.23,8.24
02-Jul-20,6:30:00 AM,9.41,9.43
02-Jul-20,7:00:00 AM,11.50,11.55
02-Jul-20,7:30:00 AM,11.86,11.92
02-Jul-20,8:00:00 AM,12.45,12.53
02-Jul-20,8:30:00 AM,12.53,12.62
02-Jul-20,9:00:00 AM,12.72,12.83
02-Jul-20,9:30:00 AM,12.72,12.82
02-Jul-20,10:00:00 AM,12.64,12.74
02-Jul-20,10:30:00 AM,12.63,12.72
02-Jul-20,11:00:00 AM,12.73,12.82
02-Jul-20,11:30:00 AM,12.88,13.00
02-Jul-20,12:00:00 PM,12.91,13.02
02-Jul-20,12:30:00 PM,13.06,13.18
02-Jul-20,1:00:00 PM,13.12,13.23
02-Jul-20,1:30:00 PM,13.18,13.30
02-Jul-20,2:00:00 PM,12.90,13.02
02-Jul-20,2:30:00 PM,13.07,13.19
02-Jul-20,3:00:00 PM,12.95,13.07
02-Jul-20,3:30:00 PM,12.44,12.53
02-Jul-20,4:00:00 PM,12.38,12.46
02-Jul-20,4:30:00 PM,12.24,12.32
02-Jul-20,5:00:00 PM,11.85,11.93
02-Jul-20,5:30:00 PM,11.39,11.46
02-Jul-20,6:00:00 PM,9.74,9.77
02-Jul-20,6:30:00 PM,8.89,8.91
02-Jul-20,7:00:00 PM,8.52,8.53
02-Jul-20,7:30:00 PM,8.12,8.13
02-Jul-20,8:00:00 PM,7.90,7.90
02-Jul-20,8:30:00 PM,7.68,7.68
02-Jul-20,9:00:00 PM,7.42,7.42
02-Jul-20,9:30:00 PM,7.11,7.11
02-Jul-20,10:00:00 PM,6.86,6.86
02-Jul-20,10:30:00 PM,6.61,6.61
02-Jul-20,11:00:00 PM,6.49,6.49
02-Jul-20,11:30:00 PM,6.38,6.38
03-Jul-20,12:00:00 AM,6.22,6.22
03-Jul-20,12:30:00 AM,6.09,6.09
03-Jul-20,1:00:00 AM,6.00,6.00
03-Jul-20,1:30:00 AM,5.94,5.94
03-Jul-20,2:00:00 AM,5.81,5.81
03-Jul-20,2:30:00 AM,5.90,5.90
03-Jul-20,3:00:00 AM,5.80,5.80
03-Jul-20,3:30:00 AM,5.83,5.83
03-Jul-20,4:00:00 AM,5.84,5.84
03-Jul-20,4:30:00 AM,5.93,5.93
03-Jul-20,5:00:00 AM,6.61,6.61
03-Jul-20,5:30:00 AM,7.17,7.17
03-Jul-20,6:00:00 AM,8.16,8.17
03-Jul-20,6:30:00 AM,9.51,9.53
03-Jul-20,7:00:00 AM,11.32,11.37
03-Jul-20,7:30:00 AM,11.72,11.79
03-Jul-20,8:00:00 AM,12.17,12.25
03-Jul-20,8:30:00 AM,12.51,12.60
03-Jul-20,9:00:00 AM,12.54,12.64
03-Jul-20,9:30:00 AM,12.47,12.58
03-Jul-20,10:00:00 AM,12.63,12.74
03-Jul-20,10:30:00 AM,12.45,12.57
03-Jul-20,11:00:00 AM,12.70,12.83
03-Jul-20,11:30:00 AM,12.81,12.95
03-Jul-20,12:00:00 PM,12.95,13.08
03-Jul-20,12:30:00 PM,12.86,12.99
03-Jul-20,1:00:00 PM,13.24,13.38
03-Jul-20,1:30:00 PM,13.09,13.21
03-Jul-20,2:00:00 PM,12.97,13.10
03-Jul-20,2:30:00 PM,12.48,12.60
03-Jul-20,3:00:00 PM,12.49,12.60
03-Jul-20,3:30:00 PM,12.39,12.49
03-Jul-20,4:00:00 PM,12.00,12.08
03-Jul-20,4:30:00 PM,11.89,11.98
03-Jul-20,5:00:00 PM,11.54,11.61
03-Jul-20,5:30:00 PM,11.05,11.12
03-Jul-20,6:00:00 PM,9.30,9.33
03-Jul-20,6:30:00 PM,8.74,8.76
03-Jul-20,7:00:00 PM,8.32,8.33
03-Jul-20,7:30:00 PM,8.00,8.01
03-Jul-20,8:00:00 PM,7.62,7.62
03-Jul-20,8:30:00 PM,7.44,7.44
03-Jul-20,9:00:00 PM,7.17,7.17
03-Jul-20,9:30:00 PM,6.96,6.96
03-Jul-20,10:00:00 PM,6.76,6.76
03-Jul-20,10:30:00 PM,6.54,6.54
03-Jul-20,11:00:00 PM,6.32,6.32
03-Jul-20,11:30:00 PM,6.29,6.29
04-Jul-20,12:00:00 AM,6.04,6.04
04-Jul-20,12:30:00 AM,5.98,5.98
04-Jul-20,1:00:00 AM,5.98,5.98
04-Jul-20,1:30:00 AM,5.89,5.89
04-Jul-20,2:00:00 AM,5.76,5.76
04-Jul-20,2:30:00 AM,5.70,5.70
04-Jul-20,3:00:00 AM,5.59,5.59
04-Jul-20,3:30:00 AM,5.60,5.60
04-Jul-20,4:00:00 AM,5.58,5.58
04-Jul-20,4:30:00 AM,5.62,5.62
04-Jul-20,5:00:00 AM,5.74,5.74
04-Jul-20,5:30:00 AM,5.94,5.94
04-Jul-20,6:00:00 AM,6.30,6.30
04-Jul-20,6:30:00 AM,6.42,6.42
04-Jul-20,7:00:00 AM,6.64,6.64
04-Jul-20,7:30:00 AM,6.67,6.67
04-Jul-20,8:00:00 AM,6.74,6.74
04-Jul-20,8:30:00 AM,6.81,6.81
04-Jul-20,9:00:00 AM,6.97,6.97
04-Jul-20,9:30:00 AM,6.99,6.99
04-Jul-20,10:00:00 AM,7.07,7.07
04-Jul-20,10:30:00 AM,6.95,6.95
04-Jul-20,11:00:00 AM,6.89,6.90
04-Jul-20,11:30:00 AM,6.79,6.79
04-Jul-20,12:00:00 PM,7.02,7.02
04-Jul-20,12:30:00 PM,6.82,6.82
04-Jul-20,1:00:00 PM,6.88,6.89
04-Jul-20,1:30:00 PM,6.87,6.87
04-Jul-20,2:00:00 PM,6.84,6.84
04-Jul-20,2:30:00 PM,6.84,6.84
04-Jul-20,3:00:00 PM,6.78,6.78
04-Jul-20,3:30:00 PM,6.77,6.77
04-Jul-20,4:00:00 PM,6.71,6.71
04-Jul-20,4:30:00 PM,6.75,6.75
04-Jul-20,5:00:00 PM,6.98,6.98
04-Jul-20,5:30:00 PM,7.22,7.23
04-Jul-20,6:00:00 PM,7.29,7.30
04-Jul-20,6:30:00 PM,7.24,7.24
04-Jul-20,7:00:00 PM,7.18,7.18
04-Jul-20,7:30:00 PM,7.04,7.04
04-Jul-20,8:00:00 PM,6.88,6.88
04-Jul-20,8:30:00 PM,6.88,6.88
04-Jul-20,9:00:00 PM,6.80,6.80
04-Jul-20,9:30:00 PM,6.54,6.54
04-Jul-20,10:00:00 PM,6.48,6.48
04-Jul-20,10:30:00 PM,6.35,6.35
04-Jul-20,11:00:00 PM,6.30,6.30
04-Jul-20,11:30:00 PM,6.17,6.18
05-Jul-20,12:00:00 AM,6.08,6.08
05-Jul-20,12:30:00 AM,6.07,6.07
05-Jul-20,1:00:00 AM,5.95,5.95
05-Jul-20,1:30:00 AM,5.90,5.90
05-Jul-20,2:00:00 AM,5.76,5.76
05-Jul-20,2:30:00 AM,5.69,5.69
05-Jul-20,3:00:00 AM,5.74,5.74
05-Jul-20,3:30:00 AM,5.75,5.75
05-Jul-20,4:00:00 AM,5.74,5.74
05-Jul-20,4:30:00 AM,5.67,5.68
05-Jul-20,5:00:00 AM,5.82,5.82
05-Jul-20,5:30:00 AM,5.98,5.98
05-Jul-20,6:00:00 AM,6.19,6.19
05-Jul-20,6:30:00 AM,6.19,6.19
05-Jul-20,7:00:00 AM,6.43,6.43
05-Jul-20,7:30:00 AM,6.45,6.45
05-Jul-20,8:00:00 AM,6.56,6.56
05-Jul-20,8:30:00 AM,6.67,6.67
