Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.24,9.24
01-Jul-20,12:30:00 AM,8.60,8.60
01-Jul-20,1:00:00 AM,8.34,8.34
01-Jul-20,1:30:00 AM,8.09,8.09
01-Jul-20,2:00:00 AM,7.63,7.63
01-Jul-20,2:30:00 AM,8.01,8.01
01-Jul-20,3:00:00 AM,8.13,8.13
01-Jul-20,3:30:00 AM,8.06,8.06
01-Jul-20,4:00:00 AM,8.22,8.23
01-Jul-20,4:30:00 AM,8.65,8.65
01-Jul-20,5:00:00 AM,9.96,9.96
01-Jul-20,5:30:00 AM,10.70,10.71
01-Jul-20,6:00:00 AM,12.13,12.15
01-Jul-20,6:30:00 AM,13.86,13.90
01-Jul-20,7:00:00 AM,15.73,15.80
01-Jul-20,7:30:00 AM,16.07,16.16
01-Jul-20,8:00:00 AM,15.59,15.71
01-Jul-20,8:30:00 AM,14.34,14.49
01-Jul-20,9:00:00 AM,12.24,12.41
01-Jul-20,9:30:00 AM,10.84,11.04
01-Jul-20,10:00:00 AM,10.02,10.24
01-Jul-20,10:30:00 AM,9.15,9.42
01-Jul-20,11:00:00 AM,8.79,9.14
01-Jul-20,11:30:00 AM,8.84,9.18
01-Jul-20,12:00:00 PM,9.57,9.85
01-Jul-20,12:30:00 PM,9.70,10.02
01-Jul-20,1:00:00 PM,11.61,11.90
01-Jul-20,1:30:00 PM,11.89,12.20
01-Jul-20,2:00:00 PM,12.75,12.96
01-Jul-20,2:30:00 PM,12.57,12.73
01-Jul-20,3:00:00 PM,12.55,12.71
01-Jul-20,3:30:00 PM,12.61,12.74
01-Jul-20,4:00:00 PM,13.95,14.01
01-Jul-20,4:30:00 PM,14.66,14.68
01-Jul-20,5:00:00 PM,16.17,16.19
01-Jul-20,5:30:00 PM,16.93,16.96
01-Jul-20,6:00:00 PM,16.94,16.97
01-Jul-20,6:30:00 PM,16.71,16.74
01-Jul-20,7:00:00 PM,16.21,16.22
01-Jul-20,7:30:00 PM,16.38,16.39
01-Jul-20,8:00:00 PM,16.23,16.24
01-Jul-20,8:30:00 PM,15.45,15.46
01-Jul-20,9:00:00 PM,15.62,15.62
01-Jul-20,9:30:00 PM,16.61,16.61
01-Jul-20,10:00:00 PM,15.34,15.34
01-Jul-20,10:30:00 PM,12.86,12.86
01-Jul-20,11:00:00 PM,11.84,11.84
01-Jul-20,11:30:00 PM,13.27,13.27
02-Jul-20,12:00:00 AM,9.89,9.89
02-Jul-20,12:30:00 AM,9.08,9.08
02-Jul-20,1:00:00 AM,8.71,8.71
02-Jul-20,1:30:00 AM,8.38,8.38
02-Jul-20,2:00:00 AM,8.33,8.33
02-Jul-20,2:30:00 AM,8.17,8.17
02-Jul-20,3:00:00 AM,8.33,8.33
02-Jul-20,3:30:00 AM,8.18,8.18
