Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.96,5.99
01-Jul-20,12:30:00 AM,5.49,5.52
01-Jul-20,1:00:00 AM,5.23,5.26
01-Jul-20,1:30:00 AM,5.23,5.25
01-Jul-20,2:00:00 AM,5.05,5.08
01-Jul-20,2:30:00 AM,4.85,4.89
01-Jul-20,3:00:00 AM,4.89,4.93
01-Jul-20,3:30:00 AM,4.92,4.95
01-Jul-20,4:00:00 AM,5.04,5.07
01-Jul-20,4:30:00 AM,5.50,5.52
01-Jul-20,5:00:00 AM,6.21,6.22
01-Jul-20,5:30:00 AM,6.72,6.73
01-Jul-20,6:00:00 AM,7.76,7.76
01-Jul-20,6:30:00 AM,9.08,9.08
01-Jul-20,7:00:00 AM,9.72,9.73
01-Jul-20,7:30:00 AM,9.07,9.08
01-Jul-20,8:00:00 AM,8.42,8.44
01-Jul-20,8:30:00 AM,7.08,7.11
01-Jul-20,9:00:00 AM,5.58,5.60
01-Jul-20,9:30:00 AM,5.03,5.07
01-Jul-20,10:00:00 AM,4.57,4.63
01-Jul-20,10:30:00 AM,4.12,4.21
01-Jul-20,11:00:00 AM,3.98,4.05
01-Jul-20,11:30:00 AM,3.75,3.82
01-Jul-20,12:00:00 PM,3.48,3.54
01-Jul-20,12:30:00 PM,3.42,3.46
01-Jul-20,1:00:00 PM,3.49,3.54
01-Jul-20,1:30:00 PM,5.19,5.22
01-Jul-20,2:00:00 PM,6.13,6.14
01-Jul-20,2:30:00 PM,6.35,6.36
01-Jul-20,3:00:00 PM,6.36,6.38
01-Jul-20,3:30:00 PM,6.55,6.55
01-Jul-20,4:00:00 PM,7.13,7.13
01-Jul-20,4:30:00 PM,8.10,8.11
01-Jul-20,5:00:00 PM,9.19,9.19
01-Jul-20,5:30:00 PM,10.40,10.41
01-Jul-20,6:00:00 PM,10.57,10.57
01-Jul-20,6:30:00 PM,10.66,10.66
01-Jul-20,7:00:00 PM,10.25,10.25
01-Jul-20,7:30:00 PM,9.92,9.92
01-Jul-20,8:00:00 PM,9.67,9.67
01-Jul-20,8:30:00 PM,9.18,9.18
01-Jul-20,9:00:00 PM,8.63,8.63
01-Jul-20,9:30:00 PM,8.13,8.13
01-Jul-20,10:00:00 PM,7.82,7.82
01-Jul-20,10:30:00 PM,7.87,7.87
01-Jul-20,11:00:00 PM,7.22,7.22
01-Jul-20,11:30:00 PM,6.75,6.76
02-Jul-20,12:00:00 AM,6.16,6.18
02-Jul-20,12:30:00 AM,5.59,5.62
02-Jul-20,1:00:00 AM,5.37,5.40
02-Jul-20,1:30:00 AM,5.29,5.32
02-Jul-20,2:00:00 AM,5.29,5.32
02-Jul-20,2:30:00 AM,5.16,5.19
02-Jul-20,3:00:00 AM,5.19,5.21
02-Jul-20,3:30:00 AM,5.14,5.17
02-Jul-20,4:00:00 AM,5.31,5.33
02-Jul-20,4:30:00 AM,5.65,5.67
02-Jul-20,5:00:00 AM,6.06,6.07
02-Jul-20,5:30:00 AM,6.66,6.66
02-Jul-20,6:00:00 AM,7.73,7.73
02-Jul-20,6:30:00 AM,8.94,8.94
02-Jul-20,7:00:00 AM,9.46,9.46
02-Jul-20,7:30:00 AM,9.10,9.11
02-Jul-20,8:00:00 AM,8.32,8.34
02-Jul-20,8:30:00 AM,7.17,7.19
02-Jul-20,9:00:00 AM,6.22,6.24
02-Jul-20,9:30:00 AM,5.34,5.36
02-Jul-20,10:00:00 AM,4.92,4.97
02-Jul-20,10:30:00 AM,5.40,5.45
02-Jul-20,11:00:00 AM,3.81,3.93
02-Jul-20,11:30:00 AM,3.40,3.54
02-Jul-20,12:00:00 PM,3.87,3.97
02-Jul-20,12:30:00 PM,4.57,4.62
02-Jul-20,1:00:00 PM,3.86,3.94
02-Jul-20,1:30:00 PM,4.14,4.20
02-Jul-20,2:00:00 PM,5.20,5.24
02-Jul-20,2:30:00 PM,5.33,5.37
02-Jul-20,3:00:00 PM,6.25,6.27
02-Jul-20,3:30:00 PM,6.77,6.78
02-Jul-20,4:00:00 PM,7.28,7.28
02-Jul-20,4:30:00 PM,7.98,7.98
02-Jul-20,5:00:00 PM,9.08,9.08
02-Jul-20,5:30:00 PM,10.01,10.02
02-Jul-20,6:00:00 PM,10.32,10.33
02-Jul-20,6:30:00 PM,10.38,10.38
02-Jul-20,7:00:00 PM,9.86,9.86
02-Jul-20,7:30:00 PM,9.60,9.60
02-Jul-20,8:00:00 PM,9.44,9.44
02-Jul-20,8:30:00 PM,8.97,8.97
02-Jul-20,9:00:00 PM,8.55,8.55
02-Jul-20,9:30:00 PM,7.97,7.98
02-Jul-20,10:00:00 PM,7.71,7.71
02-Jul-20,10:30:00 PM,7.75,7.75
02-Jul-20,11:00:00 PM,7.12,7.13
02-Jul-20,11:30:00 PM,6.48,6.50
03-Jul-20,12:00:00 AM,5.92,5.94
03-Jul-20,12:30:00 AM,5.42,5.44
03-Jul-20,1:00:00 AM,5.20,5.22
03-Jul-20,1:30:00 AM,5.03,5.05
03-Jul-20,2:00:00 AM,4.97,4.99
03-Jul-20,2:30:00 AM,4.90,4.93
03-Jul-20,3:00:00 AM,4.90,4.92
03-Jul-20,3:30:00 AM,5.00,5.02
03-Jul-20,4:00:00 AM,5.07,5.09
03-Jul-20,4:30:00 AM,5.52,5.54
03-Jul-20,5:00:00 AM,6.13,6.14
03-Jul-20,5:30:00 AM,6.48,6.48
03-Jul-20,6:00:00 AM,7.61,7.61
03-Jul-20,6:30:00 AM,8.76,8.76
03-Jul-20,7:00:00 AM,9.31,9.31
03-Jul-20,7:30:00 AM,9.01,9.02
03-Jul-20,8:00:00 AM,8.21,8.24
