Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.09,3.20
01-Jul-20,12:30:00 AM,2.44,2.61
01-Jul-20,1:00:00 AM,1.97,2.17
01-Jul-20,1:30:00 AM,1.63,1.84
01-Jul-20,2:00:00 AM,1.39,1.62
01-Jul-20,2:30:00 AM,1.15,1.46
01-Jul-20,3:00:00 AM,1.24,1.56
01-Jul-20,3:30:00 AM,1.31,1.60
01-Jul-20,4:00:00 AM,1.36,1.64
01-Jul-20,4:30:00 AM,1.67,1.87
01-Jul-20,5:00:00 AM,2.49,2.57
01-Jul-20,5:30:00 AM,3.33,3.36
01-Jul-20,6:00:00 AM,4.42,4.42
01-Jul-20,6:30:00 AM,5.03,5.03
01-Jul-20,7:00:00 AM,5.39,5.39
01-Jul-20,7:30:00 AM,5.18,5.18
01-Jul-20,8:00:00 AM,5.09,5.09
01-Jul-20,8:30:00 AM,4.91,4.91
01-Jul-20,9:00:00 AM,3.12,3.13
01-Jul-20,9:30:00 AM,1.83,1.83
01-Jul-20,10:00:00 AM,0.96,0.96
01-Jul-20,10:30:00 AM,0.20,0.25
01-Jul-20,11:00:00 AM,-0.08,0.20
01-Jul-20,11:30:00 AM,3.43,3.44
01-Jul-20,12:00:00 PM,4.01,4.02
01-Jul-20,12:30:00 PM,0.07,0.27
01-Jul-20,1:00:00 PM,0.34,0.44
01-Jul-20,1:30:00 PM,0.92,0.95
01-Jul-20,2:00:00 PM,1.24,1.25
01-Jul-20,2:30:00 PM,1.73,1.73
01-Jul-20,3:00:00 PM,2.24,2.25
01-Jul-20,3:30:00 PM,2.94,2.95
01-Jul-20,4:00:00 PM,3.65,3.65
01-Jul-20,4:30:00 PM,4.55,4.56
01-Jul-20,5:00:00 PM,5.49,5.49
01-Jul-20,5:30:00 PM,5.93,5.94
01-Jul-20,6:00:00 PM,5.73,5.74
01-Jul-20,6:30:00 PM,5.71,5.74
01-Jul-20,7:00:00 PM,5.69,5.72
01-Jul-20,7:30:00 PM,5.54,5.59
01-Jul-20,8:00:00 PM,5.80,5.85
01-Jul-20,8:30:00 PM,5.51,5.57
01-Jul-20,9:00:00 PM,5.34,5.40
01-Jul-20,9:30:00 PM,5.42,5.49
01-Jul-20,10:00:00 PM,5.62,5.68
01-Jul-20,10:30:00 PM,4.91,4.97
01-Jul-20,11:00:00 PM,4.36,4.41
01-Jul-20,11:30:00 PM,3.82,3.87
02-Jul-20,12:00:00 AM,3.15,3.20
02-Jul-20,12:30:00 AM,2.41,2.51
02-Jul-20,1:00:00 AM,1.92,2.13
02-Jul-20,1:30:00 AM,1.54,1.78
02-Jul-20,2:00:00 AM,1.39,1.64
02-Jul-20,2:30:00 AM,1.32,1.57
02-Jul-20,3:00:00 AM,1.18,1.49
02-Jul-20,3:30:00 AM,1.27,1.55
02-Jul-20,4:00:00 AM,1.53,1.74
02-Jul-20,4:30:00 AM,1.87,1.99
02-Jul-20,5:00:00 AM,2.53,2.59
02-Jul-20,5:30:00 AM,3.55,3.56
02-Jul-20,6:00:00 AM,4.23,4.23
02-Jul-20,6:30:00 AM,5.19,5.19
02-Jul-20,7:00:00 AM,8.30,8.30
02-Jul-20,7:30:00 AM,8.71,8.72
02-Jul-20,8:00:00 AM,5.36,5.36
02-Jul-20,8:30:00 AM,3.56,3.57
02-Jul-20,9:00:00 AM,3.46,3.46
02-Jul-20,9:30:00 AM,2.84,2.84
02-Jul-20,10:00:00 AM,0.74,0.78
02-Jul-20,10:30:00 AM,0.19,0.30
02-Jul-20,11:00:00 AM,0.02,0.24
02-Jul-20,11:30:00 AM,-0.86,0.90
02-Jul-20,12:00:00 PM,0.33,0.36
02-Jul-20,12:30:00 PM,0.06,0.21
02-Jul-20,1:00:00 PM,0.40,0.44
02-Jul-20,1:30:00 PM,3.74,3.75
02-Jul-20,2:00:00 PM,0.89,0.95
02-Jul-20,2:30:00 PM,0.92,0.96
02-Jul-20,3:00:00 PM,1.36,1.37
02-Jul-20,3:30:00 PM,1.87,1.88
02-Jul-20,4:00:00 PM,3.51,3.51
02-Jul-20,4:30:00 PM,3.85,3.88
02-Jul-20,5:00:00 PM,4.47,4.50
02-Jul-20,5:30:00 PM,6.02,6.05
02-Jul-20,6:00:00 PM,6.52,6.56
02-Jul-20,6:30:00 PM,5.99,6.02
02-Jul-20,7:00:00 PM,5.48,5.50
02-Jul-20,7:30:00 PM,5.14,5.17
02-Jul-20,8:00:00 PM,5.40,5.42
02-Jul-20,8:30:00 PM,5.25,5.26
02-Jul-20,9:00:00 PM,5.20,5.22
02-Jul-20,9:30:00 PM,5.27,5.29
02-Jul-20,10:00:00 PM,5.73,5.75
02-Jul-20,10:30:00 PM,5.49,5.52
02-Jul-20,11:00:00 PM,5.43,5.47
02-Jul-20,11:30:00 PM,3.86,3.90
03-Jul-20,12:00:00 AM,2.97,3.05
03-Jul-20,12:30:00 AM,2.26,2.45
03-Jul-20,1:00:00 AM,1.92,2.13
03-Jul-20,1:30:00 AM,1.61,1.82
03-Jul-20,2:00:00 AM,1.30,1.62
03-Jul-20,2:30:00 AM,1.14,1.52
03-Jul-20,3:00:00 AM,1.18,1.49
03-Jul-20,3:30:00 AM,1.32,1.58
03-Jul-20,4:00:00 AM,2.03,2.12
03-Jul-20,4:30:00 AM,2.19,2.24
03-Jul-20,5:00:00 AM,2.10,2.22
03-Jul-20,5:30:00 AM,3.25,3.28
03-Jul-20,6:00:00 AM,3.87,3.88
03-Jul-20,6:30:00 AM,5.08,5.09
03-Jul-20,7:00:00 AM,4.57,4.57
03-Jul-20,7:30:00 AM,4.97,4.97
03-Jul-20,8:00:00 AM,4.83,4.83
03-Jul-20,8:30:00 AM,4.37,4.37
03-Jul-20,9:00:00 AM,2.49,2.49
03-Jul-20,9:30:00 AM,0.79,0.92
03-Jul-20,10:00:00 AM,0.07,0.62
03-Jul-20,10:30:00 AM,-0.44,0.72
03-Jul-20,11:00:00 AM,-1.04,1.20
03-Jul-20,11:30:00 AM,-1.11,1.26
03-Jul-20,12:00:00 PM,-0.99,1.14
03-Jul-20,12:30:00 PM,-1.06,1.21
03-Jul-20,1:00:00 PM,-0.79,0.97
03-Jul-20,1:30:00 PM,-0.90,0.91
03-Jul-20,2:00:00 PM,-0.37,0.40
03-Jul-20,2:30:00 PM,1.08,1.12
03-Jul-20,3:00:00 PM,2.21,2.21
03-Jul-20,3:30:00 PM,2.08,2.08
03-Jul-20,4:00:00 PM,3.02,3.02
03-Jul-20,4:30:00 PM,4.00,4.02
03-Jul-20,5:00:00 PM,4.63,4.65
03-Jul-20,5:30:00 PM,5.41,5.41
03-Jul-20,6:00:00 PM,5.02,5.02
03-Jul-20,6:30:00 PM,4.65,4.67
03-Jul-20,7:00:00 PM,4.64,4.66
03-Jul-20,7:30:00 PM,4.57,4.61
03-Jul-20,8:00:00 PM,4.56,4.61
03-Jul-20,8:30:00 PM,4.26,4.31
03-Jul-20,9:00:00 PM,4.10,4.18
03-Jul-20,9:30:00 PM,4.27,4.34
03-Jul-20,10:00:00 PM,4.72,4.77
03-Jul-20,10:30:00 PM,4.29,4.34
03-Jul-20,11:00:00 PM,3.98,4.02
03-Jul-20,11:30:00 PM,3.42,3.47
04-Jul-20,12:00:00 AM,2.76,2.88
04-Jul-20,12:30:00 AM,2.11,2.32
04-Jul-20,1:00:00 AM,1.52,1.78
04-Jul-20,1:30:00 AM,1.37,1.63
04-Jul-20,2:00:00 AM,1.06,1.42
04-Jul-20,2:30:00 AM,0.97,1.37
04-Jul-20,3:00:00 AM,0.89,1.31
04-Jul-20,3:30:00 AM,0.83,1.25
04-Jul-20,4:00:00 AM,0.85,1.26
04-Jul-20,4:30:00 AM,1.09,1.44
04-Jul-20,5:00:00 AM,1.66,1.82
04-Jul-20,5:30:00 AM,2.04,2.15
04-Jul-20,6:00:00 AM,2.63,2.67
04-Jul-20,6:30:00 AM,2.25,2.34
04-Jul-20,7:00:00 AM,3.01,3.04
04-Jul-20,7:30:00 AM,2.19,2.25
04-Jul-20,8:00:00 AM,1.95,1.96
04-Jul-20,8:30:00 AM,1.07,1.09
04-Jul-20,9:00:00 AM,-0.03,0.17
04-Jul-20,9:30:00 AM,-1.08,1.11
04-Jul-20,10:00:00 AM,-1.63,1.64
04-Jul-20,10:30:00 AM,-2.29,2.29
04-Jul-20,11:00:00 AM,-2.21,2.21
04-Jul-20,11:30:00 AM,-2.25,2.26
04-Jul-20,12:00:00 PM,-2.57,2.57
04-Jul-20,12:30:00 PM,-2.02,2.04
04-Jul-20,1:00:00 PM,-0.75,0.75
04-Jul-20,1:30:00 PM,-0.46,0.46
04-Jul-20,2:00:00 PM,-0.11,0.33
04-Jul-20,2:30:00 PM,0.19,0.50
04-Jul-20,3:00:00 PM,1.39,1.44
04-Jul-20,3:30:00 PM,2.40,2.48
04-Jul-20,4:00:00 PM,3.58,3.62
04-Jul-20,4:30:00 PM,4.18,4.19
04-Jul-20,5:00:00 PM,5.23,5.24
04-Jul-20,5:30:00 PM,5.38,5.38
04-Jul-20,6:00:00 PM,5.80,5.81
04-Jul-20,6:30:00 PM,5.79,5.80
04-Jul-20,7:00:00 PM,5.59,5.60
04-Jul-20,7:30:00 PM,5.55,5.55
04-Jul-20,8:00:00 PM,5.90,5.92
04-Jul-20,8:30:00 PM,5.66,5.68
04-Jul-20,9:00:00 PM,5.21,5.24
04-Jul-20,9:30:00 PM,5.37,5.41
04-Jul-20,10:00:00 PM,5.88,5.91
04-Jul-20,10:30:00 PM,5.48,5.51
04-Jul-20,11:00:00 PM,5.01,5.03
04-Jul-20,11:30:00 PM,4.60,4.64
05-Jul-20,12:00:00 AM,3.88,3.95
05-Jul-20,12:30:00 AM,3.11,3.24
05-Jul-20,1:00:00 AM,2.45,2.63
05-Jul-20,1:30:00 AM,2.04,2.22
05-Jul-20,2:00:00 AM,1.82,2.02
05-Jul-20,2:30:00 AM,1.64,1.87
05-Jul-20,3:00:00 AM,1.54,1.78
05-Jul-20,3:30:00 AM,1.58,1.79
05-Jul-20,4:00:00 AM,1.57,1.81
05-Jul-20,4:30:00 AM,1.69,1.95
05-Jul-20,5:00:00 AM,2.07,2.24
05-Jul-20,5:30:00 AM,2.56,2.66
05-Jul-20,6:00:00 AM,3.07,3.13
05-Jul-20,6:30:00 AM,3.62,3.66
05-Jul-20,7:00:00 AM,3.94,3.95
05-Jul-20,7:30:00 AM,3.34,3.35
05-Jul-20,8:00:00 AM,3.42,3.42
05-Jul-20,8:30:00 AM,2.81,2.81
05-Jul-20,9:00:00 AM,1.31,1.31
05-Jul-20,9:30:00 AM,0.34,0.37
05-Jul-20,10:00:00 AM,-0.23,0.25
05-Jul-20,10:30:00 AM,-0.39,0.51
05-Jul-20,11:00:00 AM,-1.09,1.14
05-Jul-20,11:30:00 AM,-1.96,1.98
