Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.19,9.35
01-Jul-20,12:30:00 AM,9.67,9.83
01-Jul-20,1:00:00 AM,10.18,10.32
01-Jul-20,1:30:00 AM,9.28,9.44
01-Jul-20,2:00:00 AM,8.10,8.29
01-Jul-20,2:30:00 AM,7.22,7.43
01-Jul-20,3:00:00 AM,6.58,6.81
01-Jul-20,3:30:00 AM,6.43,6.66
01-Jul-20,4:00:00 AM,6.45,6.66
01-Jul-20,4:30:00 AM,6.47,6.68
01-Jul-20,5:00:00 AM,7.06,7.24
01-Jul-20,5:30:00 AM,8.24,8.39
01-Jul-20,6:00:00 AM,9.49,9.61
01-Jul-20,6:30:00 AM,10.66,10.80
01-Jul-20,7:00:00 AM,11.58,11.70
01-Jul-20,7:30:00 AM,10.77,10.89
01-Jul-20,8:00:00 AM,9.11,9.25
01-Jul-20,8:30:00 AM,7.23,7.38
01-Jul-20,9:00:00 AM,5.42,5.59
01-Jul-20,9:30:00 AM,3.63,3.86
01-Jul-20,10:00:00 AM,2.23,2.55
01-Jul-20,10:30:00 AM,1.21,1.67
01-Jul-20,11:00:00 AM,0.47,1.20
01-Jul-20,11:30:00 AM,1.15,1.65
01-Jul-20,12:00:00 PM,1.31,1.82
01-Jul-20,12:30:00 PM,0.13,1.18
01-Jul-20,1:00:00 PM,1.54,1.99
01-Jul-20,1:30:00 PM,5.42,5.63
01-Jul-20,2:00:00 PM,6.25,6.44
01-Jul-20,2:30:00 PM,6.47,6.68
01-Jul-20,3:00:00 PM,6.11,6.33
01-Jul-20,3:30:00 PM,6.35,6.56
01-Jul-20,4:00:00 PM,8.13,8.31
01-Jul-20,4:30:00 PM,10.12,10.27
01-Jul-20,5:00:00 PM,11.30,11.39
01-Jul-20,5:30:00 PM,13.38,13.42
01-Jul-20,6:00:00 PM,13.74,13.78
01-Jul-20,6:30:00 PM,13.29,13.34
01-Jul-20,7:00:00 PM,12.48,12.54
01-Jul-20,7:30:00 PM,11.77,11.83
01-Jul-20,8:00:00 PM,13.11,13.18
01-Jul-20,8:30:00 PM,13.62,13.68
01-Jul-20,9:00:00 PM,12.19,12.27
01-Jul-20,9:30:00 PM,12.62,12.69
01-Jul-20,10:00:00 PM,11.07,11.17
01-Jul-20,10:30:00 PM,9.17,9.31
01-Jul-20,11:00:00 PM,9.63,9.76
01-Jul-20,11:30:00 PM,9.77,9.91
02-Jul-20,12:00:00 AM,9.16,9.32
02-Jul-20,12:30:00 AM,9.58,9.73
02-Jul-20,1:00:00 AM,10.09,10.24
02-Jul-20,1:30:00 AM,9.23,9.39
02-Jul-20,2:00:00 AM,8.04,8.23
02-Jul-20,2:30:00 AM,7.31,7.52
02-Jul-20,3:00:00 AM,6.78,7.00
02-Jul-20,3:30:00 AM,6.40,6.63
02-Jul-20,4:00:00 AM,6.38,6.60
02-Jul-20,4:30:00 AM,6.62,6.82
02-Jul-20,5:00:00 AM,7.26,7.45
02-Jul-20,5:30:00 AM,8.32,8.46
02-Jul-20,6:00:00 AM,9.80,9.90
02-Jul-20,6:30:00 AM,11.08,11.20
02-Jul-20,7:00:00 AM,11.45,11.58
02-Jul-20,7:30:00 AM,10.50,10.62
02-Jul-20,8:00:00 AM,8.32,8.46
02-Jul-20,8:30:00 AM,7.47,7.61
02-Jul-20,9:00:00 AM,6.57,6.71
02-Jul-20,9:30:00 AM,5.10,5.29
02-Jul-20,10:00:00 AM,3.42,3.66
02-Jul-20,10:30:00 AM,3.25,3.50
02-Jul-20,11:00:00 AM,0.71,1.33
02-Jul-20,11:30:00 AM,2.17,2.55
02-Jul-20,12:00:00 PM,2.14,2.54
02-Jul-20,12:30:00 PM,3.51,3.81
02-Jul-20,1:00:00 PM,4.34,4.57
02-Jul-20,1:30:00 PM,1.23,1.70
02-Jul-20,2:00:00 PM,2.07,2.43
02-Jul-20,2:30:00 PM,4.14,4.39
02-Jul-20,3:00:00 PM,4.92,5.16
02-Jul-20,3:30:00 PM,6.50,6.70
02-Jul-20,4:00:00 PM,8.30,8.49
02-Jul-20,4:30:00 PM,10.26,10.41
02-Jul-20,5:00:00 PM,11.04,11.14
02-Jul-20,5:30:00 PM,12.88,12.92
02-Jul-20,6:00:00 PM,13.23,13.27
02-Jul-20,6:30:00 PM,12.77,12.82
02-Jul-20,7:00:00 PM,12.08,12.14
02-Jul-20,7:30:00 PM,11.46,11.53
02-Jul-20,8:00:00 PM,12.63,12.70
02-Jul-20,8:30:00 PM,13.05,13.11
02-Jul-20,9:00:00 PM,11.81,11.90
02-Jul-20,9:30:00 PM,12.29,12.38
02-Jul-20,10:00:00 PM,10.76,10.87
02-Jul-20,10:30:00 PM,9.09,9.23
02-Jul-20,11:00:00 PM,9.46,9.61
02-Jul-20,11:30:00 PM,9.57,9.72
03-Jul-20,12:00:00 AM,9.04,9.21
03-Jul-20,12:30:00 AM,9.42,9.58
03-Jul-20,1:00:00 AM,9.87,10.03
03-Jul-20,1:30:00 AM,8.90,9.07
03-Jul-20,2:00:00 AM,7.72,7.92
03-Jul-20,2:30:00 AM,6.93,7.15
03-Jul-20,3:00:00 AM,6.51,6.75
03-Jul-20,3:30:00 AM,6.25,6.49
03-Jul-20,4:00:00 AM,6.28,6.50
03-Jul-20,4:30:00 AM,6.42,6.63
03-Jul-20,5:00:00 AM,7.00,7.19
03-Jul-20,5:30:00 AM,8.07,8.22
03-Jul-20,6:00:00 AM,9.20,9.33
03-Jul-20,6:30:00 AM,10.71,10.84
03-Jul-20,7:00:00 AM,11.37,11.51
03-Jul-20,7:30:00 AM,10.97,11.09
03-Jul-20,8:00:00 AM,9.51,9.64
03-Jul-20,8:30:00 AM,7.72,7.86
03-Jul-20,9:00:00 AM,5.79,5.96
