Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.40,8.43
01-Jul-20,12:30:00 AM,7.55,7.59
01-Jul-20,1:00:00 AM,7.05,7.09
01-Jul-20,1:30:00 AM,6.85,6.89
01-Jul-20,2:00:00 AM,6.46,6.51
01-Jul-20,2:30:00 AM,6.30,6.36
01-Jul-20,3:00:00 AM,6.26,6.32
01-Jul-20,3:30:00 AM,6.52,6.57
01-Jul-20,4:00:00 AM,7.09,7.12
01-Jul-20,4:30:00 AM,7.79,7.80
01-Jul-20,5:00:00 AM,8.60,8.61
01-Jul-20,5:30:00 AM,9.57,9.57
01-Jul-20,6:00:00 AM,11.22,11.23
01-Jul-20,6:30:00 AM,11.78,11.80
01-Jul-20,7:00:00 AM,12.92,12.97
01-Jul-20,7:30:00 AM,13.19,13.27
01-Jul-20,8:00:00 AM,12.64,12.73
01-Jul-20,8:30:00 AM,11.10,11.20
01-Jul-20,9:00:00 AM,9.64,9.72
01-Jul-20,9:30:00 AM,8.48,8.58
01-Jul-20,10:00:00 AM,8.06,8.17
01-Jul-20,10:30:00 AM,7.27,7.39
01-Jul-20,11:00:00 AM,7.20,7.29
01-Jul-20,11:30:00 AM,6.96,7.08
01-Jul-20,12:00:00 PM,7.04,7.16
01-Jul-20,12:30:00 PM,7.36,7.50
01-Jul-20,1:00:00 PM,7.13,7.24
01-Jul-20,1:30:00 PM,7.79,7.88
01-Jul-20,2:00:00 PM,8.21,8.31
01-Jul-20,2:30:00 PM,8.57,8.65
01-Jul-20,3:00:00 PM,9.59,9.65
01-Jul-20,3:30:00 PM,10.48,10.52
01-Jul-20,4:00:00 PM,10.35,10.37
01-Jul-20,4:30:00 PM,11.21,11.22
01-Jul-20,5:00:00 PM,11.33,11.34
01-Jul-20,5:30:00 PM,11.31,11.31
01-Jul-20,6:00:00 PM,11.52,11.52
01-Jul-20,6:30:00 PM,11.80,11.80
01-Jul-20,7:00:00 PM,11.72,11.73
01-Jul-20,7:30:00 PM,11.89,11.89
01-Jul-20,8:00:00 PM,11.80,11.80
01-Jul-20,8:30:00 PM,11.06,11.06
01-Jul-20,9:00:00 PM,10.54,10.55
01-Jul-20,9:30:00 PM,10.69,10.70
01-Jul-20,10:00:00 PM,10.62,10.63
01-Jul-20,10:30:00 PM,10.80,10.81
01-Jul-20,11:00:00 PM,9.73,9.74
01-Jul-20,11:30:00 PM,8.91,8.93
02-Jul-20,12:00:00 AM,8.09,8.12
02-Jul-20,12:30:00 AM,7.50,7.53
02-Jul-20,1:00:00 AM,6.91,6.94
02-Jul-20,1:30:00 AM,6.52,6.57
02-Jul-20,2:00:00 AM,6.32,6.37
02-Jul-20,2:30:00 AM,6.20,6.25
02-Jul-20,3:00:00 AM,6.25,6.30
02-Jul-20,3:30:00 AM,6.35,6.41
02-Jul-20,4:00:00 AM,6.81,6.84
02-Jul-20,4:30:00 AM,7.34,7.36
02-Jul-20,5:00:00 AM,8.35,8.36
02-Jul-20,5:30:00 AM,9.35,9.35
02-Jul-20,6:00:00 AM,11.07,11.08
02-Jul-20,6:30:00 AM,11.59,11.61
02-Jul-20,7:00:00 AM,11.93,11.97
02-Jul-20,7:30:00 AM,11.92,11.97
02-Jul-20,8:00:00 AM,12.38,12.44
02-Jul-20,8:30:00 AM,11.42,11.50
02-Jul-20,9:00:00 AM,10.95,11.04
02-Jul-20,9:30:00 AM,9.45,9.53
02-Jul-20,10:00:00 AM,8.59,8.69
02-Jul-20,10:30:00 AM,7.50,7.64
02-Jul-20,11:00:00 AM,7.25,7.37
02-Jul-20,11:30:00 AM,6.81,6.97
02-Jul-20,12:00:00 PM,7.39,7.51
02-Jul-20,12:30:00 PM,6.98,7.13
02-Jul-20,1:00:00 PM,7.47,7.60
02-Jul-20,1:30:00 PM,7.89,7.99
02-Jul-20,2:00:00 PM,7.74,7.82
02-Jul-20,2:30:00 PM,8.77,8.83
02-Jul-20,3:00:00 PM,9.16,9.21
02-Jul-20,3:30:00 PM,9.58,9.63
02-Jul-20,4:00:00 PM,10.23,10.25
02-Jul-20,4:30:00 PM,10.63,10.64
02-Jul-20,5:00:00 PM,10.78,10.79
02-Jul-20,5:30:00 PM,11.13,11.14
02-Jul-20,6:00:00 PM,10.72,10.72
02-Jul-20,6:30:00 PM,11.04,11.04
02-Jul-20,7:00:00 PM,11.09,11.09
02-Jul-20,7:30:00 PM,11.45,11.45
02-Jul-20,8:00:00 PM,11.24,11.24
02-Jul-20,8:30:00 PM,10.66,10.66
02-Jul-20,9:00:00 PM,10.18,10.19
02-Jul-20,9:30:00 PM,10.07,10.07
