Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,11.25,11.25
01-Jul-20,12:30:00 AM,11.08,11.08
01-Jul-20,1:00:00 AM,11.02,11.02
01-Jul-20,1:30:00 AM,10.99,10.99
01-Jul-20,2:00:00 AM,10.89,10.89
01-Jul-20,2:30:00 AM,10.87,10.87
01-Jul-20,3:00:00 AM,10.84,10.84
01-Jul-20,3:30:00 AM,10.93,10.93
01-Jul-20,4:00:00 AM,10.96,10.96
01-Jul-20,4:30:00 AM,11.21,11.21
01-Jul-20,5:00:00 AM,11.49,11.49
01-Jul-20,5:30:00 AM,11.81,11.81
01-Jul-20,6:00:00 AM,14.29,14.30
01-Jul-20,6:30:00 AM,16.36,16.37
01-Jul-20,7:00:00 AM,18.75,18.76
01-Jul-20,7:30:00 AM,20.00,20.03
01-Jul-20,8:00:00 AM,21.09,21.13
01-Jul-20,8:30:00 AM,21.08,21.13
01-Jul-20,9:00:00 AM,20.87,20.93
01-Jul-20,9:30:00 AM,20.77,20.83
01-Jul-20,10:00:00 AM,21.07,21.13
01-Jul-20,10:30:00 AM,21.28,21.34
01-Jul-20,11:00:00 AM,21.37,21.44
01-Jul-20,11:30:00 AM,21.48,21.55
01-Jul-20,12:00:00 PM,21.65,21.74
01-Jul-20,12:30:00 PM,21.68,21.78
01-Jul-20,1:00:00 PM,21.81,21.92
01-Jul-20,1:30:00 PM,21.76,21.87
01-Jul-20,2:00:00 PM,21.53,21.63
01-Jul-20,2:30:00 PM,21.18,21.27
01-Jul-20,3:00:00 PM,20.50,20.58
01-Jul-20,3:30:00 PM,20.50,20.59
01-Jul-20,4:00:00 PM,20.28,20.35
01-Jul-20,4:30:00 PM,20.12,20.19
01-Jul-20,5:00:00 PM,19.82,19.88
01-Jul-20,5:30:00 PM,18.74,18.80
01-Jul-20,6:00:00 PM,15.06,15.08
01-Jul-20,6:30:00 PM,14.61,14.61
01-Jul-20,7:00:00 PM,14.08,14.09
01-Jul-20,7:30:00 PM,13.72,13.72
01-Jul-20,8:00:00 PM,13.34,13.34
