Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.83,5.87
01-Jul-20,12:30:00 AM,5.50,5.54
01-Jul-20,1:00:00 AM,5.22,5.27
01-Jul-20,1:30:00 AM,5.06,5.10
01-Jul-20,2:00:00 AM,4.94,5.01
01-Jul-20,2:30:00 AM,4.89,4.96
01-Jul-20,3:00:00 AM,4.87,4.94
01-Jul-20,3:30:00 AM,4.85,4.92
01-Jul-20,4:00:00 AM,4.81,4.87
01-Jul-20,4:30:00 AM,4.99,5.06
01-Jul-20,5:00:00 AM,5.36,5.41
01-Jul-20,5:30:00 AM,5.79,5.83
01-Jul-20,6:00:00 AM,6.64,6.66
01-Jul-20,6:30:00 AM,7.57,7.60
01-Jul-20,7:00:00 AM,8.49,8.50
01-Jul-20,7:30:00 AM,9.04,9.04
01-Jul-20,8:00:00 AM,8.87,8.87
01-Jul-20,8:30:00 AM,8.34,8.34
01-Jul-20,9:00:00 AM,7.67,7.67
01-Jul-20,9:30:00 AM,7.05,7.05
01-Jul-20,10:00:00 AM,6.54,6.54
01-Jul-20,10:30:00 AM,6.18,6.18
01-Jul-20,11:00:00 AM,5.83,5.83
01-Jul-20,11:30:00 AM,5.60,5.60
01-Jul-20,12:00:00 PM,5.66,5.66
01-Jul-20,12:30:00 PM,5.88,5.89
01-Jul-20,1:00:00 PM,5.92,5.92
01-Jul-20,1:30:00 PM,6.46,6.46
01-Jul-20,2:00:00 PM,6.32,6.33
01-Jul-20,2:30:00 PM,6.09,6.09
01-Jul-20,3:00:00 PM,6.65,6.66
01-Jul-20,3:30:00 PM,6.96,6.96
01-Jul-20,4:00:00 PM,7.52,7.53
01-Jul-20,4:30:00 PM,8.25,8.26
01-Jul-20,5:00:00 PM,9.26,9.26
01-Jul-20,5:30:00 PM,10.25,10.25
01-Jul-20,6:00:00 PM,10.70,10.70
01-Jul-20,6:30:00 PM,11.14,11.14
01-Jul-20,7:00:00 PM,11.15,11.15
01-Jul-20,7:30:00 PM,10.83,10.83
01-Jul-20,8:00:00 PM,10.68,10.68
01-Jul-20,8:30:00 PM,10.09,10.09
01-Jul-20,9:00:00 PM,9.63,9.63
01-Jul-20,9:30:00 PM,9.15,9.15
01-Jul-20,10:00:00 PM,8.59,8.60
01-Jul-20,10:30:00 PM,7.78,7.80
01-Jul-20,11:00:00 PM,7.12,7.15
01-Jul-20,11:30:00 PM,6.41,6.45
02-Jul-20,12:00:00 AM,5.94,5.98
02-Jul-20,12:30:00 AM,5.53,5.60
02-Jul-20,1:00:00 AM,5.22,5.28
02-Jul-20,1:30:00 AM,5.00,5.07
02-Jul-20,2:00:00 AM,4.86,4.93
02-Jul-20,2:30:00 AM,4.81,4.88
02-Jul-20,3:00:00 AM,4.74,4.80
02-Jul-20,3:30:00 AM,4.77,4.84
02-Jul-20,4:00:00 AM,4.79,4.86
02-Jul-20,4:30:00 AM,4.89,4.93
02-Jul-20,5:00:00 AM,5.28,5.32
02-Jul-20,5:30:00 AM,5.77,5.81
02-Jul-20,6:00:00 AM,6.65,6.68
02-Jul-20,6:30:00 AM,7.33,7.35
02-Jul-20,7:00:00 AM,8.16,8.17
02-Jul-20,7:30:00 AM,8.37,8.37
02-Jul-20,8:00:00 AM,8.62,8.62
02-Jul-20,8:30:00 AM,8.20,8.20
02-Jul-20,9:00:00 AM,8.16,8.16
02-Jul-20,9:30:00 AM,7.59,7.59
02-Jul-20,10:00:00 AM,6.81,6.81
02-Jul-20,10:30:00 AM,6.37,6.37
02-Jul-20,11:00:00 AM,6.20,6.20
02-Jul-20,11:30:00 AM,5.73,5.74
02-Jul-20,12:00:00 PM,5.98,5.98
02-Jul-20,12:30:00 PM,6.15,6.16
