Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.02,8.03
01-Jul-20,12:30:00 AM,7.60,7.62
01-Jul-20,1:00:00 AM,7.25,7.27
01-Jul-20,1:30:00 AM,7.02,7.04
01-Jul-20,2:00:00 AM,6.83,6.85
01-Jul-20,2:30:00 AM,6.80,6.82
01-Jul-20,3:00:00 AM,6.97,6.99
01-Jul-20,3:30:00 AM,7.12,7.14
01-Jul-20,4:00:00 AM,7.36,7.38
01-Jul-20,4:30:00 AM,7.71,7.73
01-Jul-20,5:00:00 AM,8.52,8.53
01-Jul-20,5:30:00 AM,9.44,9.44
01-Jul-20,6:00:00 AM,10.31,10.31
01-Jul-20,6:30:00 AM,11.30,11.30
01-Jul-20,7:00:00 AM,12.42,12.42
01-Jul-20,7:30:00 AM,12.41,12.41
01-Jul-20,8:00:00 AM,11.52,11.52
01-Jul-20,8:30:00 AM,9.78,9.78
01-Jul-20,9:00:00 AM,8.29,8.29
01-Jul-20,9:30:00 AM,7.04,7.04
01-Jul-20,10:00:00 AM,6.12,6.12
01-Jul-20,10:30:00 AM,5.16,5.16
01-Jul-20,11:00:00 AM,4.83,4.83
01-Jul-20,11:30:00 AM,4.49,4.49
01-Jul-20,12:00:00 PM,4.58,4.58
01-Jul-20,12:30:00 PM,4.34,4.34
01-Jul-20,1:00:00 PM,4.39,4.39
01-Jul-20,1:30:00 PM,4.84,4.84
01-Jul-20,2:00:00 PM,5.13,5.13
01-Jul-20,2:30:00 PM,5.81,5.81
01-Jul-20,3:00:00 PM,6.72,6.72
01-Jul-20,3:30:00 PM,7.85,7.85
01-Jul-20,4:00:00 PM,9.37,9.37
01-Jul-20,4:30:00 PM,10.99,10.99
01-Jul-20,5:00:00 PM,12.41,12.41
01-Jul-20,5:30:00 PM,12.97,12.97
01-Jul-20,6:00:00 PM,13.26,13.26
01-Jul-20,6:30:00 PM,13.29,13.29
01-Jul-20,7:00:00 PM,13.04,13.04
01-Jul-20,7:30:00 PM,13.33,13.33
01-Jul-20,8:00:00 PM,13.53,13.53
01-Jul-20,8:30:00 PM,13.00,13.00
01-Jul-20,9:00:00 PM,12.02,12.02
01-Jul-20,9:30:00 PM,11.37,11.37
01-Jul-20,10:00:00 PM,10.95,10.95
01-Jul-20,10:30:00 PM,10.59,10.59
01-Jul-20,11:00:00 PM,9.53,9.54
01-Jul-20,11:30:00 PM,8.62,8.63
02-Jul-20,12:00:00 AM,7.80,7.81
02-Jul-20,12:30:00 AM,7.45,7.47
02-Jul-20,1:00:00 AM,7.08,7.10
02-Jul-20,1:30:00 AM,6.88,6.90
02-Jul-20,2:00:00 AM,6.65,6.67
02-Jul-20,2:30:00 AM,6.61,6.63
02-Jul-20,3:00:00 AM,6.75,6.77
02-Jul-20,3:30:00 AM,6.81,6.83
02-Jul-20,4:00:00 AM,7.09,7.11
02-Jul-20,4:30:00 AM,7.56,7.58
02-Jul-20,5:00:00 AM,8.18,8.18
02-Jul-20,5:30:00 AM,9.31,9.31
02-Jul-20,6:00:00 AM,10.16,10.16
02-Jul-20,6:30:00 AM,10.81,10.82
02-Jul-20,7:00:00 AM,11.22,11.22
02-Jul-20,7:30:00 AM,11.51,11.51
02-Jul-20,8:00:00 AM,11.67,11.67
02-Jul-20,8:30:00 AM,11.19,11.19
02-Jul-20,9:00:00 AM,9.94,9.94
02-Jul-20,9:30:00 AM,8.28,8.28
02-Jul-20,10:00:00 AM,6.42,6.42
02-Jul-20,10:30:00 AM,5.74,5.75
02-Jul-20,11:00:00 AM,6.04,6.04
02-Jul-20,11:30:00 AM,5.07,5.07
02-Jul-20,12:00:00 PM,5.01,5.01
02-Jul-20,12:30:00 PM,4.12,4.12
02-Jul-20,1:00:00 PM,4.27,4.27
02-Jul-20,1:30:00 PM,4.76,4.76
02-Jul-20,2:00:00 PM,5.76,5.76
02-Jul-20,2:30:00 PM,6.05,6.05
02-Jul-20,3:00:00 PM,6.92,6.92
02-Jul-20,3:30:00 PM,8.01,8.01
02-Jul-20,4:00:00 PM,9.36,9.36
02-Jul-20,4:30:00 PM,10.60,10.60
02-Jul-20,5:00:00 PM,11.91,11.91
02-Jul-20,5:30:00 PM,12.81,12.82
02-Jul-20,6:00:00 PM,13.14,13.15
02-Jul-20,6:30:00 PM,13.15,13.16
02-Jul-20,7:00:00 PM,12.99,12.99
02-Jul-20,7:30:00 PM,12.89,12.89
02-Jul-20,8:00:00 PM,13.15,13.15
02-Jul-20,8:30:00 PM,12.58,12.58
02-Jul-20,9:00:00 PM,11.69,11.69
02-Jul-20,9:30:00 PM,10.86,10.86
02-Jul-20,10:00:00 PM,10.60,10.60
02-Jul-20,10:30:00 PM,10.46,10.46
02-Jul-20,11:00:00 PM,9.44,9.44
02-Jul-20,11:30:00 PM,8.41,8.42
03-Jul-20,12:00:00 AM,7.68,7.70
03-Jul-20,12:30:00 AM,7.13,7.14
03-Jul-20,1:00:00 AM,6.80,6.81
