Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,14.24,14.25
01-Jul-20,12:30:00 AM,13.45,13.46
01-Jul-20,1:00:00 AM,12.94,12.95
01-Jul-20,1:30:00 AM,12.64,12.64
01-Jul-20,2:00:00 AM,12.41,12.42
01-Jul-20,2:30:00 AM,12.21,12.23
01-Jul-20,3:00:00 AM,12.38,12.40
01-Jul-20,3:30:00 AM,12.50,12.51
01-Jul-20,4:00:00 AM,12.81,12.81
01-Jul-20,4:30:00 AM,13.26,13.28
01-Jul-20,5:00:00 AM,14.08,14.09
01-Jul-20,5:30:00 AM,15.45,15.45
01-Jul-20,6:00:00 AM,17.17,17.17
01-Jul-20,6:30:00 AM,17.95,17.95
01-Jul-20,7:00:00 AM,18.65,18.65
01-Jul-20,7:30:00 AM,17.18,17.18
01-Jul-20,8:00:00 AM,15.85,15.85
01-Jul-20,8:30:00 AM,13.96,13.97
01-Jul-20,9:00:00 AM,12.27,12.30
01-Jul-20,9:30:00 AM,10.83,10.84
01-Jul-20,10:00:00 AM,9.47,9.49
01-Jul-20,10:30:00 AM,8.49,8.51
01-Jul-20,11:00:00 AM,8.20,8.28
01-Jul-20,11:30:00 AM,9.15,9.19
01-Jul-20,12:00:00 PM,8.33,8.35
01-Jul-20,12:30:00 PM,8.12,8.14
01-Jul-20,1:00:00 PM,9.82,9.84
01-Jul-20,1:30:00 PM,14.22,14.24
01-Jul-20,2:00:00 PM,14.68,14.68
01-Jul-20,2:30:00 PM,14.85,14.85
01-Jul-20,3:00:00 PM,14.98,14.98
01-Jul-20,3:30:00 PM,14.90,14.91
01-Jul-20,4:00:00 PM,15.70,15.70
01-Jul-20,4:30:00 PM,17.75,17.76
01-Jul-20,5:00:00 PM,19.86,19.86
01-Jul-20,5:30:00 PM,21.81,21.83
01-Jul-20,6:00:00 PM,22.30,22.31
01-Jul-20,6:30:00 PM,22.60,22.60
01-Jul-20,7:00:00 PM,22.22,22.23
01-Jul-20,7:30:00 PM,21.36,21.37
01-Jul-20,8:00:00 PM,21.20,21.20
01-Jul-20,8:30:00 PM,20.37,20.37
01-Jul-20,9:00:00 PM,19.67,19.67
01-Jul-20,9:30:00 PM,18.89,18.89
01-Jul-20,10:00:00 PM,18.26,18.27
01-Jul-20,10:30:00 PM,18.54,18.55
01-Jul-20,11:00:00 PM,17.36,17.37
01-Jul-20,11:30:00 PM,15.84,15.86
02-Jul-20,12:00:00 AM,14.43,14.46
02-Jul-20,12:30:00 AM,13.66,13.67
02-Jul-20,1:00:00 AM,13.06,13.08
02-Jul-20,1:30:00 AM,12.56,12.60
02-Jul-20,2:00:00 AM,12.42,12.45
02-Jul-20,2:30:00 AM,12.27,12.31
02-Jul-20,3:00:00 AM,12.22,12.26
02-Jul-20,3:30:00 AM,12.27,12.28
02-Jul-20,4:00:00 AM,12.29,12.32
02-Jul-20,4:30:00 AM,12.92,12.95
02-Jul-20,5:00:00 AM,14.14,14.16
02-Jul-20,5:30:00 AM,15.38,15.38
02-Jul-20,6:00:00 AM,16.84,16.84
02-Jul-20,6:30:00 AM,17.94,17.94
02-Jul-20,7:00:00 AM,18.29,18.29
02-Jul-20,7:30:00 AM,17.06,17.06
02-Jul-20,8:00:00 AM,15.11,15.11
02-Jul-20,8:30:00 AM,13.32,13.32
02-Jul-20,9:00:00 AM,13.33,13.34
02-Jul-20,9:30:00 AM,11.48,11.49
02-Jul-20,10:00:00 AM,9.64,9.66
02-Jul-20,10:30:00 AM,9.83,9.84
02-Jul-20,11:00:00 AM,7.62,7.64
02-Jul-20,11:30:00 AM,10.21,10.22
02-Jul-20,12:00:00 PM,10.01,10.04
02-Jul-20,12:30:00 PM,10.97,10.97
02-Jul-20,1:00:00 PM,11.99,12.00
02-Jul-20,1:30:00 PM,8.32,8.35
02-Jul-20,2:00:00 PM,9.25,9.29
02-Jul-20,2:30:00 PM,10.97,11.00
02-Jul-20,3:00:00 PM,12.07,12.07
02-Jul-20,3:30:00 PM,13.68,13.68
02-Jul-20,4:00:00 PM,15.61,15.61
02-Jul-20,4:30:00 PM,17.36,17.36
02-Jul-20,5:00:00 PM,18.96,18.96
02-Jul-20,5:30:00 PM,20.94,20.94
02-Jul-20,6:00:00 PM,21.32,21.32
02-Jul-20,6:30:00 PM,21.57,21.59
02-Jul-20,7:00:00 PM,20.84,20.84
02-Jul-20,7:30:00 PM,20.50,20.50
02-Jul-20,8:00:00 PM,20.38,20.38
02-Jul-20,8:30:00 PM,19.91,19.92
02-Jul-20,9:00:00 PM,19.31,19.32
02-Jul-20,9:30:00 PM,18.59,18.59
02-Jul-20,10:00:00 PM,17.84,17.84
02-Jul-20,10:30:00 PM,17.83,17.84
02-Jul-20,11:00:00 PM,16.77,16.77
02-Jul-20,11:30:00 PM,15.35,15.37
03-Jul-20,12:00:00 AM,14.19,14.22
03-Jul-20,12:30:00 AM,13.49,13.52
03-Jul-20,1:00:00 AM,12.91,12.92
03-Jul-20,1:30:00 AM,12.53,12.54
03-Jul-20,2:00:00 AM,12.39,12.42
03-Jul-20,2:30:00 AM,12.19,12.23
03-Jul-20,3:00:00 AM,12.06,12.09
03-Jul-20,3:30:00 AM,12.05,12.06
03-Jul-20,4:00:00 AM,12.63,12.64
03-Jul-20,4:30:00 AM,12.93,12.95
03-Jul-20,5:00:00 AM,13.93,13.94
03-Jul-20,5:30:00 AM,14.98,14.99
03-Jul-20,6:00:00 AM,16.20,16.20
03-Jul-20,6:30:00 AM,17.68,17.68
03-Jul-20,7:00:00 AM,18.30,18.30
03-Jul-20,7:30:00 AM,17.50,17.50
03-Jul-20,8:00:00 AM,15.88,15.88
03-Jul-20,8:30:00 AM,14.02,14.02
03-Jul-20,9:00:00 AM,12.11,12.12
03-Jul-20,9:30:00 AM,10.15,10.15
03-Jul-20,10:00:00 AM,8.78,8.78
03-Jul-20,10:30:00 AM,7.67,7.67
03-Jul-20,11:00:00 AM,7.17,7.21
03-Jul-20,11:30:00 AM,6.50,6.59
03-Jul-20,12:00:00 PM,6.68,6.71
03-Jul-20,12:30:00 PM,6.76,6.79
03-Jul-20,1:00:00 PM,7.02,7.05
03-Jul-20,1:30:00 PM,7.73,7.79
03-Jul-20,2:00:00 PM,8.53,8.55
03-Jul-20,2:30:00 PM,9.97,9.97
03-Jul-20,3:00:00 PM,11.62,11.62
03-Jul-20,3:30:00 PM,13.78,13.79
03-Jul-20,4:00:00 PM,15.92,15.92
03-Jul-20,4:30:00 PM,16.88,16.88
03-Jul-20,5:00:00 PM,18.25,18.25
03-Jul-20,5:30:00 PM,19.89,19.90
03-Jul-20,6:00:00 PM,20.12,20.13
03-Jul-20,6:30:00 PM,20.01,20.01
03-Jul-20,7:00:00 PM,19.56,19.56
03-Jul-20,7:30:00 PM,19.10,19.10
03-Jul-20,8:00:00 PM,18.90,18.90
03-Jul-20,8:30:00 PM,18.25,18.25
03-Jul-20,9:00:00 PM,17.82,17.83
03-Jul-20,9:30:00 PM,16.96,16.97
03-Jul-20,10:00:00 PM,16.81,16.81
03-Jul-20,10:30:00 PM,17.18,17.19
03-Jul-20,11:00:00 PM,16.31,16.33
03-Jul-20,11:30:00 PM,14.63,14.65
04-Jul-20,12:00:00 AM,13.46,13.48
04-Jul-20,12:30:00 AM,12.72,12.75
04-Jul-20,1:00:00 AM,12.07,12.10
04-Jul-20,1:30:00 AM,11.66,11.69
04-Jul-20,2:00:00 AM,11.35,11.38
04-Jul-20,2:30:00 AM,11.28,11.32
04-Jul-20,3:00:00 AM,11.21,11.26
04-Jul-20,3:30:00 AM,11.33,11.37
04-Jul-20,4:00:00 AM,11.38,11.42
04-Jul-20,4:30:00 AM,11.50,11.54
04-Jul-20,5:00:00 AM,11.70,11.74
04-Jul-20,5:30:00 AM,12.27,12.31
04-Jul-20,6:00:00 AM,12.89,12.92
04-Jul-20,6:30:00 AM,13.55,13.59
04-Jul-20,7:00:00 AM,13.88,13.92
04-Jul-20,7:30:00 AM,13.21,13.24
04-Jul-20,8:00:00 AM,12.19,12.21
