Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.85,7.86
01-Jul-20,12:30:00 AM,7.75,7.76
01-Jul-20,1:00:00 AM,7.63,7.64
01-Jul-20,1:30:00 AM,7.54,7.55
01-Jul-20,2:00:00 AM,7.15,7.16
01-Jul-20,2:30:00 AM,7.08,7.08
01-Jul-20,3:00:00 AM,7.25,7.26
01-Jul-20,3:30:00 AM,7.59,7.60
01-Jul-20,4:00:00 AM,7.71,7.73
01-Jul-20,4:30:00 AM,7.83,7.84
01-Jul-20,5:00:00 AM,8.09,8.11
01-Jul-20,5:30:00 AM,8.33,8.35
01-Jul-20,6:00:00 AM,9.08,9.10
01-Jul-20,6:30:00 AM,9.74,9.76
01-Jul-20,7:00:00 AM,10.74,10.76
01-Jul-20,7:30:00 AM,11.59,11.61
01-Jul-20,8:00:00 AM,11.56,11.59
01-Jul-20,8:30:00 AM,11.19,11.23
01-Jul-20,9:00:00 AM,10.90,10.94
01-Jul-20,9:30:00 AM,10.46,10.49
01-Jul-20,10:00:00 AM,10.30,10.33
01-Jul-20,10:30:00 AM,9.93,9.95
01-Jul-20,11:00:00 AM,9.72,9.75
01-Jul-20,11:30:00 AM,9.77,9.81
01-Jul-20,12:00:00 PM,8.98,9.00
01-Jul-20,12:30:00 PM,8.83,8.85
01-Jul-20,1:00:00 PM,8.31,8.33
01-Jul-20,1:30:00 PM,8.57,8.59
01-Jul-20,2:00:00 PM,8.51,8.52
01-Jul-20,2:30:00 PM,9.45,9.48
01-Jul-20,3:00:00 PM,9.74,9.78
01-Jul-20,3:30:00 PM,9.85,9.89
01-Jul-20,4:00:00 PM,10.08,10.11
01-Jul-20,4:30:00 PM,10.16,10.19
01-Jul-20,5:00:00 PM,10.36,10.40
01-Jul-20,5:30:00 PM,10.88,10.93
01-Jul-20,6:00:00 PM,10.92,10.96
01-Jul-20,6:30:00 PM,10.77,10.79
01-Jul-20,7:00:00 PM,10.65,10.66
01-Jul-20,7:30:00 PM,10.35,10.37
01-Jul-20,8:00:00 PM,10.20,10.22
01-Jul-20,8:30:00 PM,10.12,10.14
01-Jul-20,9:00:00 PM,9.56,9.57
01-Jul-20,9:30:00 PM,9.19,9.20
01-Jul-20,10:00:00 PM,8.86,8.87
01-Jul-20,10:30:00 PM,8.32,8.34
01-Jul-20,11:00:00 PM,8.08,8.10
01-Jul-20,11:30:00 PM,7.74,7.75
02-Jul-20,12:00:00 AM,7.26,7.27
02-Jul-20,12:30:00 AM,7.17,7.18
02-Jul-20,1:00:00 AM,7.17,7.17
02-Jul-20,1:30:00 AM,7.03,7.03
02-Jul-20,2:00:00 AM,7.09,7.10
02-Jul-20,2:30:00 AM,6.92,6.92
02-Jul-20,3:00:00 AM,6.86,6.86
02-Jul-20,3:30:00 AM,6.94,6.94
02-Jul-20,4:00:00 AM,6.94,6.94
02-Jul-20,4:30:00 AM,7.03,7.04
02-Jul-20,5:00:00 AM,7.34,7.34
02-Jul-20,5:30:00 AM,7.62,7.63
02-Jul-20,6:00:00 AM,8.30,8.31
02-Jul-20,6:30:00 AM,9.05,9.06
02-Jul-20,7:00:00 AM,10.01,10.03
02-Jul-20,7:30:00 AM,10.58,10.59
02-Jul-20,8:00:00 AM,10.45,10.46
02-Jul-20,8:30:00 AM,10.42,10.43
02-Jul-20,9:00:00 AM,10.25,10.26
02-Jul-20,9:30:00 AM,10.13,10.14
02-Jul-20,10:00:00 AM,9.88,9.91
02-Jul-20,10:30:00 AM,9.48,9.51
02-Jul-20,11:00:00 AM,9.18,9.21
02-Jul-20,11:30:00 AM,9.08,9.11
02-Jul-20,12:00:00 PM,9.26,9.29
02-Jul-20,12:30:00 PM,9.26,9.29
02-Jul-20,1:00:00 PM,9.00,9.03
02-Jul-20,1:30:00 PM,9.18,9.21
02-Jul-20,2:00:00 PM,9.06,9.08
02-Jul-20,2:30:00 PM,9.16,9.18
02-Jul-20,3:00:00 PM,9.30,9.33
02-Jul-20,3:30:00 PM,9.73,9.76
02-Jul-20,4:00:00 PM,10.07,10.10
02-Jul-20,4:30:00 PM,10.16,10.18
02-Jul-20,5:00:00 PM,10.03,10.05
02-Jul-20,5:30:00 PM,10.51,10.55
02-Jul-20,6:00:00 PM,10.77,10.80
02-Jul-20,6:30:00 PM,10.58,10.61
02-Jul-20,7:00:00 PM,10.42,10.44
02-Jul-20,7:30:00 PM,10.21,10.24
02-Jul-20,8:00:00 PM,10.02,10.04
