Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,15.84,15.98
01-Jul-20,12:30:00 AM,13.73,13.91
01-Jul-20,1:00:00 AM,12.43,12.63
01-Jul-20,1:30:00 AM,11.38,11.59
01-Jul-20,2:00:00 AM,10.65,10.88
01-Jul-20,2:30:00 AM,10.29,10.52
01-Jul-20,3:00:00 AM,10.12,10.37
01-Jul-20,3:30:00 AM,9.94,10.19
01-Jul-20,4:00:00 AM,9.95,10.19
01-Jul-20,4:30:00 AM,10.58,10.81
01-Jul-20,5:00:00 AM,11.57,11.76
01-Jul-20,5:30:00 AM,12.54,12.71
01-Jul-20,6:00:00 AM,14.43,14.55
01-Jul-20,6:30:00 AM,15.66,15.81
01-Jul-20,7:00:00 AM,16.77,16.92
01-Jul-20,7:30:00 AM,16.48,16.63
01-Jul-20,8:00:00 AM,14.54,14.68
01-Jul-20,8:30:00 AM,12.66,12.81
01-Jul-20,9:00:00 AM,9.08,9.26
01-Jul-20,9:30:00 AM,6.82,7.04
01-Jul-20,10:00:00 AM,4.78,5.08
01-Jul-20,10:30:00 AM,3.82,4.11
01-Jul-20,11:00:00 AM,3.00,3.32
01-Jul-20,11:30:00 AM,2.29,2.70
01-Jul-20,12:00:00 PM,2.25,2.71
01-Jul-20,12:30:00 PM,2.62,3.02
01-Jul-20,1:00:00 PM,3.03,3.40
01-Jul-20,1:30:00 PM,3.55,3.89
01-Jul-20,2:00:00 PM,4.77,5.05
01-Jul-20,2:30:00 PM,6.75,6.98
01-Jul-20,3:00:00 PM,8.03,8.24
01-Jul-20,3:30:00 PM,12.18,12.35
01-Jul-20,4:00:00 PM,12.95,13.12
01-Jul-20,4:30:00 PM,16.41,16.55
01-Jul-20,5:00:00 PM,18.32,18.39
01-Jul-20,5:30:00 PM,19.66,19.69
01-Jul-20,6:00:00 PM,19.92,19.95
01-Jul-20,6:30:00 PM,20.93,20.96
01-Jul-20,7:00:00 PM,21.00,21.04
01-Jul-20,7:30:00 PM,21.12,21.16
01-Jul-20,8:00:00 PM,21.85,21.89
01-Jul-20,8:30:00 PM,20.94,20.99
01-Jul-20,9:00:00 PM,20.55,20.63
01-Jul-20,9:30:00 PM,21.23,21.30
01-Jul-20,10:00:00 PM,22.07,22.16
01-Jul-20,10:30:00 PM,21.18,21.26
01-Jul-20,11:00:00 PM,19.84,19.94
01-Jul-20,11:30:00 PM,18.33,18.45
02-Jul-20,12:00:00 AM,15.90,16.04
02-Jul-20,12:30:00 AM,13.82,13.98
02-Jul-20,1:00:00 AM,12.31,12.50
02-Jul-20,1:30:00 AM,11.31,11.52
02-Jul-20,2:00:00 AM,10.53,10.76
02-Jul-20,2:30:00 AM,10.06,10.29
02-Jul-20,3:00:00 AM,10.05,10.27
02-Jul-20,3:30:00 AM,9.89,10.13
02-Jul-20,4:00:00 AM,9.97,10.20
02-Jul-20,4:30:00 AM,10.44,10.65
02-Jul-20,5:00:00 AM,11.33,11.52
02-Jul-20,5:30:00 AM,12.33,12.49
02-Jul-20,6:00:00 AM,14.24,14.35
02-Jul-20,6:30:00 AM,15.47,15.63
02-Jul-20,7:00:00 AM,14.94,15.11
02-Jul-20,7:30:00 AM,14.59,14.75
02-Jul-20,8:00:00 AM,15.05,15.20
02-Jul-20,8:30:00 AM,12.93,13.07
02-Jul-20,9:00:00 AM,11.78,11.94
02-Jul-20,9:30:00 AM,8.84,9.04
02-Jul-20,10:00:00 AM,6.36,6.61
02-Jul-20,10:30:00 AM,4.88,5.14
02-Jul-20,11:00:00 AM,2.47,2.88
02-Jul-20,11:30:00 AM,2.50,2.91
02-Jul-20,12:00:00 PM,3.07,3.44
02-Jul-20,12:30:00 PM,2.99,3.36
02-Jul-20,1:00:00 PM,2.53,2.93
02-Jul-20,1:30:00 PM,4.93,5.23
02-Jul-20,2:00:00 PM,4.09,4.41
