Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,16.12,16.36
01-Jul-20,12:30:00 AM,16.06,16.29
01-Jul-20,1:00:00 AM,15.90,16.15
01-Jul-20,1:30:00 AM,15.58,15.80
01-Jul-20,2:00:00 AM,15.51,15.70
01-Jul-20,2:30:00 AM,15.30,15.48
01-Jul-20,3:00:00 AM,15.59,15.77
01-Jul-20,3:30:00 AM,15.79,15.97
01-Jul-20,4:00:00 AM,16.40,16.64
01-Jul-20,4:30:00 AM,17.33,17.60
01-Jul-20,5:00:00 AM,18.04,18.32
01-Jul-20,5:30:00 AM,18.78,19.09
01-Jul-20,6:00:00 AM,19.65,20.06
01-Jul-20,6:30:00 AM,21.16,21.65
01-Jul-20,7:00:00 AM,22.07,22.53
01-Jul-20,7:30:00 AM,22.46,22.80
01-Jul-20,8:00:00 AM,21.98,22.38
01-Jul-20,8:30:00 AM,20.07,20.54
01-Jul-20,9:00:00 AM,18.59,19.02
01-Jul-20,9:30:00 AM,17.40,17.88
01-Jul-20,10:00:00 AM,17.33,17.93
01-Jul-20,10:30:00 AM,17.00,17.57
01-Jul-20,11:00:00 AM,16.62,17.29
01-Jul-20,11:30:00 AM,16.26,16.94
01-Jul-20,12:00:00 PM,16.08,16.75
01-Jul-20,12:30:00 PM,16.40,17.00
01-Jul-20,1:00:00 PM,16.86,17.42
01-Jul-20,1:30:00 PM,17.60,18.12
01-Jul-20,2:00:00 PM,17.88,18.32
01-Jul-20,2:30:00 PM,17.62,17.99
01-Jul-20,3:00:00 PM,17.28,17.57
01-Jul-20,3:30:00 PM,17.31,17.55
01-Jul-20,4:00:00 PM,17.43,17.61
01-Jul-20,4:30:00 PM,18.22,18.44
01-Jul-20,5:00:00 PM,19.37,19.62
01-Jul-20,5:30:00 PM,20.14,20.38
01-Jul-20,6:00:00 PM,20.38,20.57
01-Jul-20,6:30:00 PM,20.22,20.42
01-Jul-20,7:00:00 PM,20.13,20.31
01-Jul-20,7:30:00 PM,19.99,20.17
01-Jul-20,8:00:00 PM,19.87,20.03
01-Jul-20,8:30:00 PM,19.61,19.79
01-Jul-20,9:00:00 PM,19.54,19.72
01-Jul-20,9:30:00 PM,18.71,18.88
01-Jul-20,10:00:00 PM,17.85,18.00
01-Jul-20,10:30:00 PM,17.49,17.66
01-Jul-20,11:00:00 PM,16.84,17.02
01-Jul-20,11:30:00 PM,16.11,16.32
02-Jul-20,12:00:00 AM,15.53,15.78
02-Jul-20,12:30:00 AM,15.42,15.72
02-Jul-20,1:00:00 AM,15.02,15.19
02-Jul-20,1:30:00 AM,14.72,14.87
02-Jul-20,2:00:00 AM,14.30,14.47
02-Jul-20,2:30:00 AM,14.03,14.16
02-Jul-20,3:00:00 AM,14.28,14.44
02-Jul-20,3:30:00 AM,14.28,14.41
02-Jul-20,4:00:00 AM,14.97,15.12
02-Jul-20,4:30:00 AM,15.76,15.96
02-Jul-20,5:00:00 AM,16.76,16.95
02-Jul-20,5:30:00 AM,17.52,17.78
02-Jul-20,6:00:00 AM,18.86,19.30
02-Jul-20,6:30:00 AM,20.04,20.58
02-Jul-20,7:00:00 AM,20.33,20.76
02-Jul-20,7:30:00 AM,20.69,21.12
02-Jul-20,8:00:00 AM,20.62,21.06
02-Jul-20,8:30:00 AM,20.28,20.81
02-Jul-20,9:00:00 AM,19.81,20.41
02-Jul-20,9:30:00 AM,19.16,19.89
