Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,22.38,22.38
01-Jul-20,12:30:00 AM,22.09,22.09
01-Jul-20,1:00:00 AM,22.02,22.03
01-Jul-20,1:30:00 AM,21.97,21.97
01-Jul-20,2:00:00 AM,21.76,21.77
01-Jul-20,2:30:00 AM,21.83,21.83
01-Jul-20,3:00:00 AM,21.78,21.79
01-Jul-20,3:30:00 AM,22.05,22.05
01-Jul-20,4:00:00 AM,22.21,22.21
01-Jul-20,4:30:00 AM,22.54,22.54
01-Jul-20,5:00:00 AM,23.46,23.47
01-Jul-20,5:30:00 AM,24.72,24.73
01-Jul-20,6:00:00 AM,27.55,27.55
01-Jul-20,6:30:00 AM,30.22,30.22
01-Jul-20,7:00:00 AM,35.39,35.41
01-Jul-20,7:30:00 AM,38.80,38.84
01-Jul-20,8:00:00 AM,41.34,41.40
01-Jul-20,8:30:00 AM,42.40,42.48
01-Jul-20,9:00:00 AM,43.19,43.29
01-Jul-20,9:30:00 AM,43.39,43.49
01-Jul-20,10:00:00 AM,44.40,44.50
01-Jul-20,10:30:00 AM,44.57,44.70
01-Jul-20,11:00:00 AM,44.66,44.79
01-Jul-20,11:30:00 AM,44.80,44.94
01-Jul-20,12:00:00 PM,44.94,45.09
01-Jul-20,12:30:00 PM,45.04,45.20
01-Jul-20,1:00:00 PM,45.10,45.27
01-Jul-20,1:30:00 PM,45.03,45.21
01-Jul-20,2:00:00 PM,44.17,44.35
01-Jul-20,2:30:00 PM,43.68,43.86
01-Jul-20,3:00:00 PM,43.52,43.70
01-Jul-20,3:30:00 PM,42.91,43.07
01-Jul-20,4:00:00 PM,42.18,42.33
01-Jul-20,4:30:00 PM,41.83,41.95
01-Jul-20,5:00:00 PM,40.91,41.01
01-Jul-20,5:30:00 PM,39.08,39.17
01-Jul-20,6:00:00 PM,34.23,34.27
01-Jul-20,6:30:00 PM,32.47,32.48
01-Jul-20,7:00:00 PM,29.92,29.92
01-Jul-20,7:30:00 PM,28.81,28.81
01-Jul-20,8:00:00 PM,28.13,28.13
01-Jul-20,8:30:00 PM,27.57,27.57
01-Jul-20,9:00:00 PM,26.49,26.50
01-Jul-20,9:30:00 PM,25.74,25.74
01-Jul-20,10:00:00 PM,24.81,24.81
01-Jul-20,10:30:00 PM,23.97,23.97
01-Jul-20,11:00:00 PM,23.56,23.56
01-Jul-20,11:30:00 PM,22.91,22.92
02-Jul-20,12:00:00 AM,22.43,22.44
02-Jul-20,12:30:00 AM,22.31,22.32
02-Jul-20,1:00:00 AM,22.19,22.19
02-Jul-20,1:30:00 AM,22.08,22.08
02-Jul-20,2:00:00 AM,21.95,21.95
02-Jul-20,2:30:00 AM,21.77,21.78
02-Jul-20,3:00:00 AM,21.95,21.95
02-Jul-20,3:30:00 AM,22.17,22.17
02-Jul-20,4:00:00 AM,22.34,22.35
02-Jul-20,4:30:00 AM,22.60,22.60
02-Jul-20,5:00:00 AM,23.64,23.64
02-Jul-20,5:30:00 AM,24.88,24.88
02-Jul-20,6:00:00 AM,27.65,27.65
02-Jul-20,6:30:00 AM,30.35,30.36
02-Jul-20,7:00:00 AM,35.60,35.63
02-Jul-20,7:30:00 AM,38.16,38.20
02-Jul-20,8:00:00 AM,41.02,41.08
02-Jul-20,8:30:00 AM,41.37,41.45
02-Jul-20,9:00:00 AM,42.22,42.30
02-Jul-20,9:30:00 AM,43.13,43.22
02-Jul-20,10:00:00 AM,43.64,43.74
02-Jul-20,10:30:00 AM,44.14,44.27
02-Jul-20,11:00:00 AM,44.47,44.61
02-Jul-20,11:30:00 AM,44.60,44.74
