Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.68,8.73
01-Jul-20,12:30:00 AM,7.76,7.88
01-Jul-20,1:00:00 AM,7.29,7.32
01-Jul-20,1:30:00 AM,7.16,7.24
01-Jul-20,2:00:00 AM,6.91,6.96
01-Jul-20,2:30:00 AM,6.83,6.90
01-Jul-20,3:00:00 AM,6.55,6.57
01-Jul-20,3:30:00 AM,6.57,6.63
01-Jul-20,4:00:00 AM,6.89,6.98
01-Jul-20,4:30:00 AM,7.63,7.67
01-Jul-20,5:00:00 AM,8.27,8.35
01-Jul-20,5:30:00 AM,9.51,9.62
01-Jul-20,6:00:00 AM,11.10,11.10
01-Jul-20,6:30:00 AM,11.82,11.83
01-Jul-20,7:00:00 AM,12.68,12.72
01-Jul-20,7:30:00 AM,12.68,12.68
01-Jul-20,8:00:00 AM,11.82,11.82
01-Jul-20,8:30:00 AM,10.27,10.27
01-Jul-20,9:00:00 AM,7.82,7.82
01-Jul-20,9:30:00 AM,5.93,5.93
01-Jul-20,10:00:00 AM,4.42,4.54
01-Jul-20,10:30:00 AM,3.19,3.19
01-Jul-20,11:00:00 AM,2.38,2.38
01-Jul-20,11:30:00 AM,1.83,1.85
01-Jul-20,12:00:00 PM,2.10,2.10
01-Jul-20,12:30:00 PM,1.97,1.98
01-Jul-20,1:00:00 PM,3.22,3.23
01-Jul-20,1:30:00 PM,7.42,7.43
01-Jul-20,2:00:00 PM,6.01,6.03
01-Jul-20,2:30:00 PM,5.06,5.15
01-Jul-20,3:00:00 PM,5.97,6.05
01-Jul-20,3:30:00 PM,7.90,7.94
01-Jul-20,4:00:00 PM,9.92,10.00
01-Jul-20,4:30:00 PM,11.85,11.90
01-Jul-20,5:00:00 PM,14.02,14.04
01-Jul-20,5:30:00 PM,15.69,15.72
01-Jul-20,6:00:00 PM,15.79,15.80
01-Jul-20,6:30:00 PM,15.50,15.52
01-Jul-20,7:00:00 PM,15.00,15.02
01-Jul-20,7:30:00 PM,14.64,14.64
01-Jul-20,8:00:00 PM,14.78,14.81
01-Jul-20,8:30:00 PM,14.41,14.42
01-Jul-20,9:00:00 PM,13.86,13.87
01-Jul-20,9:30:00 PM,12.98,13.00
01-Jul-20,10:00:00 PM,13.06,13.10
01-Jul-20,10:30:00 PM,13.06,13.07
01-Jul-20,11:00:00 PM,12.17,12.21
01-Jul-20,11:30:00 PM,10.19,10.23
02-Jul-20,12:00:00 AM,9.11,9.16
02-Jul-20,12:30:00 AM,8.08,8.26
02-Jul-20,1:00:00 AM,7.67,7.81
02-Jul-20,1:30:00 AM,7.41,7.48
02-Jul-20,2:00:00 AM,7.30,7.39
02-Jul-20,2:30:00 AM,7.06,7.16
02-Jul-20,3:00:00 AM,7.15,7.20
02-Jul-20,3:30:00 AM,7.02,7.07
02-Jul-20,4:00:00 AM,7.64,7.66
02-Jul-20,4:30:00 AM,7.92,7.94
02-Jul-20,5:00:00 AM,8.98,9.06
02-Jul-20,5:30:00 AM,10.45,10.45
02-Jul-20,6:00:00 AM,11.54,11.54
02-Jul-20,6:30:00 AM,12.68,12.69
02-Jul-20,7:00:00 AM,13.14,13.17
02-Jul-20,7:30:00 AM,11.91,11.92
02-Jul-20,8:00:00 AM,12.19,12.19
02-Jul-20,8:30:00 AM,10.37,10.37
02-Jul-20,9:00:00 AM,9.39,9.40
02-Jul-20,9:30:00 AM,9.03,9.04
02-Jul-20,10:00:00 AM,5.46,5.47
02-Jul-20,10:30:00 AM,4.20,4.21
02-Jul-20,11:00:00 AM,2.81,2.88
02-Jul-20,11:30:00 AM,2.65,2.70
02-Jul-20,12:00:00 PM,3.66,3.70
02-Jul-20,12:30:00 PM,3.06,3.10
02-Jul-20,1:00:00 PM,2.66,2.77
02-Jul-20,1:30:00 PM,3.50,3.51
02-Jul-20,2:00:00 PM,3.69,3.71
02-Jul-20,2:30:00 PM,5.27,5.30
02-Jul-20,3:00:00 PM,6.89,6.91
02-Jul-20,3:30:00 PM,8.16,8.28
02-Jul-20,4:00:00 PM,9.98,10.03
02-Jul-20,4:30:00 PM,12.20,12.22
02-Jul-20,5:00:00 PM,13.73,13.74
02-Jul-20,5:30:00 PM,14.90,14.92
02-Jul-20,6:00:00 PM,15.14,15.14
02-Jul-20,6:30:00 PM,15.19,15.19
02-Jul-20,7:00:00 PM,14.75,14.76
02-Jul-20,7:30:00 PM,14.52,14.54
02-Jul-20,8:00:00 PM,14.31,14.32
02-Jul-20,8:30:00 PM,13.97,14.00
02-Jul-20,9:00:00 PM,13.60,13.62
02-Jul-20,9:30:00 PM,12.59,12.60
02-Jul-20,10:00:00 PM,12.91,12.99
02-Jul-20,10:30:00 PM,13.07,13.13
02-Jul-20,11:00:00 PM,11.56,11.61
02-Jul-20,11:30:00 PM,10.11,10.21
03-Jul-20,12:00:00 AM,9.16,9.23
03-Jul-20,12:30:00 AM,8.20,8.31
03-Jul-20,1:00:00 AM,7.58,7.67
03-Jul-20,1:30:00 AM,7.10,7.18
03-Jul-20,2:00:00 AM,7.07,7.15
03-Jul-20,2:30:00 AM,6.83,6.85
03-Jul-20,3:00:00 AM,7.06,7.11
03-Jul-20,3:30:00 AM,7.08,7.09
03-Jul-20,4:00:00 AM,7.28,7.30
03-Jul-20,4:30:00 AM,7.47,7.54
03-Jul-20,5:00:00 AM,8.59,8.63
03-Jul-20,5:30:00 AM,9.66,9.67
03-Jul-20,6:00:00 AM,10.90,10.92
03-Jul-20,6:30:00 AM,11.85,11.85
03-Jul-20,7:00:00 AM,12.67,12.70
03-Jul-20,7:30:00 AM,11.76,11.78
03-Jul-20,8:00:00 AM,10.44,10.44
03-Jul-20,8:30:00 AM,8.80,8.84
03-Jul-20,9:00:00 AM,6.92,6.92
03-Jul-20,9:30:00 AM,5.49,5.49
03-Jul-20,10:00:00 AM,4.26,4.27
03-Jul-20,10:30:00 AM,3.40,3.41
03-Jul-20,11:00:00 AM,2.24,2.26
03-Jul-20,11:30:00 AM,1.51,1.64
03-Jul-20,12:00:00 PM,1.34,1.53
03-Jul-20,12:30:00 PM,1.38,1.47
03-Jul-20,1:00:00 PM,1.58,1.58
03-Jul-20,1:30:00 PM,2.65,2.65
03-Jul-20,2:00:00 PM,3.54,3.57
03-Jul-20,2:30:00 PM,4.77,4.87
03-Jul-20,3:00:00 PM,6.67,6.72
03-Jul-20,3:30:00 PM,7.93,7.98
03-Jul-20,4:00:00 PM,9.60,9.65
03-Jul-20,4:30:00 PM,11.53,11.58
03-Jul-20,5:00:00 PM,13.06,13.12
03-Jul-20,5:30:00 PM,13.73,13.74
03-Jul-20,6:00:00 PM,13.73,13.73
03-Jul-20,6:30:00 PM,13.54,13.56
03-Jul-20,7:00:00 PM,13.32,13.35
03-Jul-20,7:30:00 PM,12.98,13.02
03-Jul-20,8:00:00 PM,13.00,13.02
03-Jul-20,8:30:00 PM,12.22,12.23
03-Jul-20,9:00:00 PM,12.03,12.04
03-Jul-20,9:30:00 PM,11.57,11.63
03-Jul-20,10:00:00 PM,11.81,11.89
03-Jul-20,10:30:00 PM,12.14,12.18
03-Jul-20,11:00:00 PM,11.06,11.08
03-Jul-20,11:30:00 PM,9.68,9.73
04-Jul-20,12:00:00 AM,8.71,8.78
04-Jul-20,12:30:00 AM,7.91,7.95
04-Jul-20,1:00:00 AM,7.39,7.44
04-Jul-20,1:30:00 AM,6.71,6.77
04-Jul-20,2:00:00 AM,6.60,6.75
04-Jul-20,2:30:00 AM,6.34,6.44
04-Jul-20,3:00:00 AM,6.50,6.64
04-Jul-20,3:30:00 AM,6.48,6.54
04-Jul-20,4:00:00 AM,6.89,6.95
04-Jul-20,4:30:00 AM,7.04,7.15
04-Jul-20,5:00:00 AM,7.67,7.76
04-Jul-20,5:30:00 AM,8.03,8.16
04-Jul-20,6:00:00 AM,8.85,8.90
04-Jul-20,6:30:00 AM,9.35,9.47
04-Jul-20,7:00:00 AM,10.03,10.10
04-Jul-20,7:30:00 AM,9.73,9.73
04-Jul-20,8:00:00 AM,8.93,8.94
04-Jul-20,8:30:00 AM,7.74,7.76
04-Jul-20,9:00:00 AM,6.40,6.40
04-Jul-20,9:30:00 AM,4.93,4.94
04-Jul-20,10:00:00 AM,3.57,3.60
04-Jul-20,10:30:00 AM,2.43,2.46
04-Jul-20,11:00:00 AM,1.53,1.87
04-Jul-20,11:30:00 AM,0.71,2.08
04-Jul-20,12:00:00 PM,0.71,1.25
04-Jul-20,12:30:00 PM,0.49,1.33
04-Jul-20,1:00:00 PM,0.87,1.29
04-Jul-20,1:30:00 PM,1.61,1.93
04-Jul-20,2:00:00 PM,2.81,3.22
04-Jul-20,2:30:00 PM,4.13,4.29
04-Jul-20,3:00:00 PM,5.66,5.77
04-Jul-20,3:30:00 PM,7.57,7.63
04-Jul-20,4:00:00 PM,9.63,9.70
04-Jul-20,4:30:00 PM,11.83,11.88
04-Jul-20,5:00:00 PM,13.85,13.93
04-Jul-20,5:30:00 PM,15.22,15.22
04-Jul-20,6:00:00 PM,14.92,14.95
04-Jul-20,6:30:00 PM,14.94,14.96
04-Jul-20,7:00:00 PM,14.51,14.54
04-Jul-20,7:30:00 PM,14.62,14.64
04-Jul-20,8:00:00 PM,14.72,14.74
04-Jul-20,8:30:00 PM,14.13,14.17
04-Jul-20,9:00:00 PM,13.65,13.66
04-Jul-20,9:30:00 PM,13.31,13.35
04-Jul-20,10:00:00 PM,13.75,13.84
04-Jul-20,10:30:00 PM,13.91,13.96
04-Jul-20,11:00:00 PM,12.94,13.05
04-Jul-20,11:30:00 PM,11.24,11.28
05-Jul-20,12:00:00 AM,10.06,10.08
05-Jul-20,12:30:00 AM,9.27,9.30
05-Jul-20,1:00:00 AM,8.72,8.74
05-Jul-20,1:30:00 AM,8.18,8.20
05-Jul-20,2:00:00 AM,7.77,7.88
05-Jul-20,2:30:00 AM,7.78,7.81
05-Jul-20,3:00:00 AM,7.66,7.67
05-Jul-20,3:30:00 AM,7.95,7.95
05-Jul-20,4:00:00 AM,8.03,8.17
05-Jul-20,4:30:00 AM,8.22,8.27
05-Jul-20,5:00:00 AM,8.30,8.32
05-Jul-20,5:30:00 AM,8.77,8.82
05-Jul-20,6:00:00 AM,9.87,9.90
05-Jul-20,6:30:00 AM,10.50,10.55
05-Jul-20,7:00:00 AM,11.73,11.79
05-Jul-20,7:30:00 AM,11.12,11.19
05-Jul-20,8:00:00 AM,10.53,10.54
05-Jul-20,8:30:00 AM,9.67,9.68
05-Jul-20,9:00:00 AM,8.35,8.37
05-Jul-20,9:30:00 AM,6.50,6.51
05-Jul-20,10:00:00 AM,5.11,5.11
05-Jul-20,10:30:00 AM,3.45,3.66
05-Jul-20,11:00:00 AM,2.17,2.43
05-Jul-20,11:30:00 AM,1.74,2.16
05-Jul-20,12:00:00 PM,0.70,0.93
05-Jul-20,12:30:00 PM,1.45,1.79
05-Jul-20,1:00:00 PM,2.18,2.46
05-Jul-20,1:30:00 PM,2.27,2.68
05-Jul-20,2:00:00 PM,5.86,5.87
05-Jul-20,2:30:00 PM,5.65,5.71
05-Jul-20,3:00:00 PM,6.38,6.56
05-Jul-20,3:30:00 PM,8.53,8.70
05-Jul-20,4:00:00 PM,10.62,10.65
05-Jul-20,4:30:00 PM,12.90,12.90
05-Jul-20,5:00:00 PM,15.37,15.42
05-Jul-20,5:30:00 PM,17.11,17.11
05-Jul-20,6:00:00 PM,17.58,17.58
05-Jul-20,6:30:00 PM,17.44,17.44
05-Jul-20,7:00:00 PM,17.16,17.16
05-Jul-20,7:30:00 PM,16.82,16.82
05-Jul-20,8:00:00 PM,17.21,17.21
05-Jul-20,8:30:00 PM,15.92,15.93
05-Jul-20,9:00:00 PM,15.07,15.08
05-Jul-20,9:30:00 PM,14.50,14.52
05-Jul-20,10:00:00 PM,14.12,14.12
05-Jul-20,10:30:00 PM,14.16,14.18
05-Jul-20,11:00:00 PM,13.02,13.05
05-Jul-20,11:30:00 PM,11.69,11.74
06-Jul-20,12:00:00 AM,10.06,10.14
06-Jul-20,12:30:00 AM,9.27,9.38
06-Jul-20,1:00:00 AM,8.63,8.71
06-Jul-20,1:30:00 AM,7.92,8.00
06-Jul-20,2:00:00 AM,8.16,8.24
06-Jul-20,2:30:00 AM,7.86,7.96
06-Jul-20,3:00:00 AM,8.11,8.18
06-Jul-20,3:30:00 AM,7.77,7.83
06-Jul-20,4:00:00 AM,8.23,8.29
06-Jul-20,4:30:00 AM,8.56,8.67
06-Jul-20,5:00:00 AM,9.69,9.71
06-Jul-20,5:30:00 AM,11.45,11.46
06-Jul-20,6:00:00 AM,12.77,12.78
06-Jul-20,6:30:00 AM,14.16,14.17
06-Jul-20,7:00:00 AM,14.98,15.00
06-Jul-20,7:30:00 AM,14.41,14.41
06-Jul-20,8:00:00 AM,12.85,12.85
06-Jul-20,8:30:00 AM,10.99,10.99
06-Jul-20,9:00:00 AM,9.46,9.46
06-Jul-20,9:30:00 AM,8.16,8.17
06-Jul-20,10:00:00 AM,8.70,8.70
06-Jul-20,10:30:00 AM,4.22,4.22
06-Jul-20,11:00:00 AM,2.88,2.88
06-Jul-20,11:30:00 AM,2.38,2.55
06-Jul-20,12:00:00 PM,2.24,2.29
06-Jul-20,12:30:00 PM,2.18,2.28
06-Jul-20,1:00:00 PM,2.58,2.64
06-Jul-20,1:30:00 PM,3.39,3.40
06-Jul-20,2:00:00 PM,4.35,4.37
06-Jul-20,2:30:00 PM,5.55,5.59
06-Jul-20,3:00:00 PM,7.02,7.04
06-Jul-20,3:30:00 PM,8.67,8.69
06-Jul-20,4:00:00 PM,10.71,10.75
06-Jul-20,4:30:00 PM,12.96,13.00
06-Jul-20,5:00:00 PM,15.14,15.16
06-Jul-20,5:30:00 PM,16.76,16.80
06-Jul-20,6:00:00 PM,17.27,17.28
06-Jul-20,6:30:00 PM,17.21,17.23
06-Jul-20,7:00:00 PM,16.69,16.73
06-Jul-20,7:30:00 PM,16.69,16.69
06-Jul-20,8:00:00 PM,16.45,16.46
06-Jul-20,8:30:00 PM,15.90,15.90
06-Jul-20,9:00:00 PM,14.54,14.54
06-Jul-20,9:30:00 PM,14.04,14.07
06-Jul-20,10:00:00 PM,13.93,13.94
06-Jul-20,10:30:00 PM,13.84,13.88
06-Jul-20,11:00:00 PM,12.45,12.47
06-Jul-20,11:30:00 PM,10.92,10.95
07-Jul-20,12:00:00 AM,9.53,9.59
07-Jul-20,12:30:00 AM,8.88,8.97
07-Jul-20,1:00:00 AM,8.23,8.35
07-Jul-20,1:30:00 AM,7.94,8.04
07-Jul-20,2:00:00 AM,7.59,7.66
07-Jul-20,2:30:00 AM,7.73,7.91
07-Jul-20,3:00:00 AM,7.62,7.73
07-Jul-20,3:30:00 AM,7.75,7.83
07-Jul-20,4:00:00 AM,8.15,8.21
07-Jul-20,4:30:00 AM,8.85,8.91
07-Jul-20,5:00:00 AM,10.02,10.04
07-Jul-20,5:30:00 AM,11.21,11.23
07-Jul-20,6:00:00 AM,13.00,13.01
07-Jul-20,6:30:00 AM,14.44,14.44
07-Jul-20,7:00:00 AM,15.24,15.24
07-Jul-20,7:30:00 AM,14.20,14.20
07-Jul-20,8:00:00 AM,12.70,12.70
07-Jul-20,8:30:00 AM,11.71,11.71
07-Jul-20,9:00:00 AM,10.00,10.00
