Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,9.05,9.10
01-Jul-20,12:30:00 AM,8.32,8.38
01-Jul-20,1:00:00 AM,7.82,7.88
01-Jul-20,1:30:00 AM,7.60,7.67
01-Jul-20,2:00:00 AM,7.26,7.33
01-Jul-20,2:30:00 AM,7.04,7.11
01-Jul-20,3:00:00 AM,7.17,7.23
01-Jul-20,3:30:00 AM,7.23,7.30
01-Jul-20,4:00:00 AM,7.57,7.63
01-Jul-20,4:30:00 AM,8.05,8.10
01-Jul-20,5:00:00 AM,8.79,8.84
01-Jul-20,5:30:00 AM,9.56,9.61
01-Jul-20,6:00:00 AM,10.58,10.60
01-Jul-20,6:30:00 AM,11.30,11.34
01-Jul-20,7:00:00 AM,11.48,11.52
01-Jul-20,7:30:00 AM,10.80,10.84
01-Jul-20,8:00:00 AM,9.79,9.82
01-Jul-20,8:30:00 AM,8.74,8.75
01-Jul-20,9:00:00 AM,8.17,8.18
01-Jul-20,9:30:00 AM,6.33,6.34
01-Jul-20,10:00:00 AM,5.26,5.26
01-Jul-20,10:30:00 AM,4.73,4.74
01-Jul-20,11:00:00 AM,4.06,4.06
01-Jul-20,11:30:00 AM,4.36,4.37
01-Jul-20,12:00:00 PM,4.59,4.60
01-Jul-20,12:30:00 PM,3.26,3.26
01-Jul-20,1:00:00 PM,3.55,3.55
01-Jul-20,1:30:00 PM,4.46,4.46
01-Jul-20,2:00:00 PM,7.25,7.27
01-Jul-20,2:30:00 PM,9.29,9.31
01-Jul-20,3:00:00 PM,8.66,8.68
01-Jul-20,3:30:00 PM,8.87,8.89
01-Jul-20,4:00:00 PM,11.06,11.09
01-Jul-20,4:30:00 PM,13.18,13.20
01-Jul-20,5:00:00 PM,14.50,14.51
01-Jul-20,5:30:00 PM,15.45,15.45
01-Jul-20,6:00:00 PM,15.51,15.52
01-Jul-20,6:30:00 PM,15.94,15.95
01-Jul-20,7:00:00 PM,15.81,15.82
01-Jul-20,7:30:00 PM,15.71,15.71
01-Jul-20,8:00:00 PM,15.59,15.61
01-Jul-20,8:30:00 PM,15.09,15.10
01-Jul-20,9:00:00 PM,14.17,14.19
01-Jul-20,9:30:00 PM,13.17,13.19
01-Jul-20,10:00:00 PM,12.58,12.61
01-Jul-20,10:30:00 PM,12.65,12.68
01-Jul-20,11:00:00 PM,11.37,11.40
01-Jul-20,11:30:00 PM,10.21,10.26
02-Jul-20,12:00:00 AM,9.19,9.23
02-Jul-20,12:30:00 AM,8.40,8.46
02-Jul-20,1:00:00 AM,7.84,7.91
02-Jul-20,1:30:00 AM,7.52,7.59
02-Jul-20,2:00:00 AM,7.34,7.41
02-Jul-20,2:30:00 AM,7.25,7.31
02-Jul-20,3:00:00 AM,7.30,7.36
02-Jul-20,3:30:00 AM,7.38,7.45
02-Jul-20,4:00:00 AM,7.74,7.80
02-Jul-20,4:30:00 AM,8.22,8.27
02-Jul-20,5:00:00 AM,9.28,9.33
02-Jul-20,5:30:00 AM,10.57,10.60
02-Jul-20,6:00:00 AM,11.39,11.41
02-Jul-20,6:30:00 AM,12.19,12.22
02-Jul-20,7:00:00 AM,12.52,12.55
02-Jul-20,7:30:00 AM,11.58,11.60
02-Jul-20,8:00:00 AM,10.22,10.23
02-Jul-20,8:30:00 AM,8.79,8.80
02-Jul-20,9:00:00 AM,7.53,7.54
02-Jul-20,9:30:00 AM,8.04,8.06
02-Jul-20,10:00:00 AM,7.24,7.25
02-Jul-20,10:30:00 AM,5.81,5.82
02-Jul-20,11:00:00 AM,4.03,4.03
02-Jul-20,11:30:00 AM,3.14,3.14
02-Jul-20,12:00:00 PM,5.29,5.30
02-Jul-20,12:30:00 PM,4.62,4.62
02-Jul-20,1:00:00 PM,7.06,7.07
02-Jul-20,1:30:00 PM,4.56,4.57
02-Jul-20,2:00:00 PM,6.82,6.83
02-Jul-20,2:30:00 PM,6.01,6.03
02-Jul-20,3:00:00 PM,7.49,7.51
02-Jul-20,3:30:00 PM,8.88,8.90
02-Jul-20,4:00:00 PM,10.79,10.82
02-Jul-20,4:30:00 PM,12.93,12.95
02-Jul-20,5:00:00 PM,14.11,14.12
02-Jul-20,5:30:00 PM,14.99,14.99
02-Jul-20,6:00:00 PM,15.18,15.19
02-Jul-20,6:30:00 PM,15.42,15.42
02-Jul-20,7:00:00 PM,15.19,15.19
02-Jul-20,7:30:00 PM,15.38,15.39
02-Jul-20,8:00:00 PM,15.25,15.26
02-Jul-20,8:30:00 PM,14.53,14.54
02-Jul-20,9:00:00 PM,13.91,13.92
02-Jul-20,9:30:00 PM,13.23,13.26
02-Jul-20,10:00:00 PM,12.56,12.59
02-Jul-20,10:30:00 PM,12.62,12.65
02-Jul-20,11:00:00 PM,11.48,11.52
02-Jul-20,11:30:00 PM,10.07,10.11
03-Jul-20,12:00:00 AM,9.01,9.07
03-Jul-20,12:30:00 AM,8.27,8.33
03-Jul-20,1:00:00 AM,7.71,7.79
03-Jul-20,1:30:00 AM,7.44,7.51
03-Jul-20,2:00:00 AM,7.22,7.30
03-Jul-20,2:30:00 AM,7.13,7.20
03-Jul-20,3:00:00 AM,7.24,7.32
03-Jul-20,3:30:00 AM,7.34,7.42
03-Jul-20,4:00:00 AM,7.55,7.63
03-Jul-20,4:30:00 AM,8.05,8.11
03-Jul-20,5:00:00 AM,9.00,9.06
03-Jul-20,5:30:00 AM,9.68,9.73
03-Jul-20,6:00:00 AM,10.44,10.47
03-Jul-20,6:30:00 AM,11.30,11.35
03-Jul-20,7:00:00 AM,11.71,11.75
03-Jul-20,7:30:00 AM,11.02,11.06
03-Jul-20,8:00:00 AM,9.84,9.87
03-Jul-20,8:30:00 AM,8.63,8.65
03-Jul-20,9:00:00 AM,7.30,7.32
03-Jul-20,9:30:00 AM,5.95,5.97
03-Jul-20,10:00:00 AM,4.92,4.94
03-Jul-20,10:30:00 AM,4.15,4.16
03-Jul-20,11:00:00 AM,3.58,3.58
03-Jul-20,11:30:00 AM,3.14,3.14
03-Jul-20,12:00:00 PM,3.09,3.10
03-Jul-20,12:30:00 PM,3.22,3.22
03-Jul-20,1:00:00 PM,3.61,3.61
03-Jul-20,1:30:00 PM,4.18,4.18
03-Jul-20,2:00:00 PM,4.94,4.95
03-Jul-20,2:30:00 PM,5.99,6.00
03-Jul-20,3:00:00 PM,7.16,7.18
03-Jul-20,3:30:00 PM,8.62,8.65
03-Jul-20,4:00:00 PM,10.69,10.72
03-Jul-20,4:30:00 PM,12.38,12.41
03-Jul-20,5:00:00 PM,13.15,13.17
03-Jul-20,5:30:00 PM,13.75,13.76
03-Jul-20,6:00:00 PM,13.79,13.79
03-Jul-20,6:30:00 PM,14.12,14.13
03-Jul-20,7:00:00 PM,13.88,13.89
03-Jul-20,7:30:00 PM,13.86,13.88
03-Jul-20,8:00:00 PM,13.79,13.80
03-Jul-20,8:30:00 PM,13.30,13.32
03-Jul-20,9:00:00 PM,12.77,12.80
03-Jul-20,9:30:00 PM,12.29,12.32
03-Jul-20,10:00:00 PM,11.81,11.84
03-Jul-20,10:30:00 PM,12.11,12.14
03-Jul-20,11:00:00 PM,10.91,10.94
03-Jul-20,11:30:00 PM,9.67,9.71
04-Jul-20,12:00:00 AM,8.53,8.58
04-Jul-20,12:30:00 AM,7.93,7.99
04-Jul-20,1:00:00 AM,7.43,7.50
04-Jul-20,1:30:00 AM,7.12,7.19
04-Jul-20,2:00:00 AM,6.85,6.92
04-Jul-20,2:30:00 AM,6.85,6.92
04-Jul-20,3:00:00 AM,6.97,7.05
04-Jul-20,3:30:00 AM,6.88,6.96
04-Jul-20,4:00:00 AM,6.98,7.05
04-Jul-20,4:30:00 AM,7.18,7.26
04-Jul-20,5:00:00 AM,7.62,7.69
04-Jul-20,5:30:00 AM,8.02,8.09
04-Jul-20,6:00:00 AM,8.43,8.50
04-Jul-20,6:30:00 AM,9.14,9.24
04-Jul-20,7:00:00 AM,9.39,9.50
04-Jul-20,7:30:00 AM,8.91,9.00
04-Jul-20,8:00:00 AM,8.17,8.25
04-Jul-20,8:30:00 AM,7.53,7.59
04-Jul-20,9:00:00 AM,6.54,6.58
04-Jul-20,9:30:00 AM,5.54,5.58
04-Jul-20,10:00:00 AM,4.58,4.62
04-Jul-20,10:30:00 AM,3.54,3.58
04-Jul-20,11:00:00 AM,2.94,2.98
04-Jul-20,11:30:00 AM,2.61,2.66
04-Jul-20,12:00:00 PM,2.57,2.62
04-Jul-20,12:30:00 PM,2.65,2.69
04-Jul-20,1:00:00 PM,2.90,2.93
04-Jul-20,1:30:00 PM,3.38,3.42
04-Jul-20,2:00:00 PM,4.33,4.37
04-Jul-20,2:30:00 PM,5.34,5.40
04-Jul-20,3:00:00 PM,6.81,6.87
04-Jul-20,3:30:00 PM,8.34,8.39
04-Jul-20,4:00:00 PM,10.42,10.46
04-Jul-20,4:30:00 PM,12.62,12.67
04-Jul-20,5:00:00 PM,14.16,14.19
04-Jul-20,5:30:00 PM,14.95,14.96
04-Jul-20,6:00:00 PM,14.87,14.87
04-Jul-20,6:30:00 PM,15.29,15.30
04-Jul-20,7:00:00 PM,14.95,14.96
04-Jul-20,7:30:00 PM,15.11,15.12
04-Jul-20,8:00:00 PM,15.10,15.11
04-Jul-20,8:30:00 PM,14.55,14.56
04-Jul-20,9:00:00 PM,13.98,13.99
04-Jul-20,9:30:00 PM,13.32,13.34
04-Jul-20,10:00:00 PM,12.99,13.01
04-Jul-20,10:30:00 PM,13.23,13.25
04-Jul-20,11:00:00 PM,12.04,12.07
04-Jul-20,11:30:00 PM,10.81,10.86
05-Jul-20,12:00:00 AM,9.65,9.70
05-Jul-20,12:30:00 AM,8.90,8.96
05-Jul-20,1:00:00 AM,8.35,8.42
05-Jul-20,1:30:00 AM,7.90,7.97
05-Jul-20,2:00:00 AM,7.60,7.67
05-Jul-20,2:30:00 AM,7.51,7.59
05-Jul-20,3:00:00 AM,7.38,7.46
05-Jul-20,3:30:00 AM,7.51,7.58
05-Jul-20,4:00:00 AM,7.74,7.81
05-Jul-20,4:30:00 AM,7.85,7.93
05-Jul-20,5:00:00 AM,8.27,8.35
05-Jul-20,5:30:00 AM,8.82,8.90
05-Jul-20,6:00:00 AM,9.31,9.37
05-Jul-20,6:30:00 AM,10.09,10.18
05-Jul-20,7:00:00 AM,10.48,10.57
05-Jul-20,7:30:00 AM,10.28,10.36
05-Jul-20,8:00:00 AM,9.91,9.96
05-Jul-20,8:30:00 AM,9.26,9.30
05-Jul-20,9:00:00 AM,8.14,8.18
05-Jul-20,9:30:00 AM,6.87,6.91
05-Jul-20,10:00:00 AM,5.77,5.82
05-Jul-20,10:30:00 AM,4.68,4.72
05-Jul-20,11:00:00 AM,3.80,3.85
05-Jul-20,11:30:00 AM,3.37,3.42
05-Jul-20,12:00:00 PM,3.06,3.12
05-Jul-20,12:30:00 PM,2.80,2.85
05-Jul-20,1:00:00 PM,3.56,3.61
05-Jul-20,1:30:00 PM,4.00,4.05
05-Jul-20,2:00:00 PM,4.25,4.30
05-Jul-20,2:30:00 PM,6.57,6.62
05-Jul-20,3:00:00 PM,7.74,7.80
05-Jul-20,3:30:00 PM,8.91,8.97
05-Jul-20,4:00:00 PM,11.00,11.06
05-Jul-20,4:30:00 PM,13.26,13.31
05-Jul-20,5:00:00 PM,15.12,15.13
05-Jul-20,5:30:00 PM,16.24,16.24
05-Jul-20,6:00:00 PM,16.40,16.40
05-Jul-20,6:30:00 PM,16.78,16.79
05-Jul-20,7:00:00 PM,16.66,16.66
05-Jul-20,7:30:00 PM,16.76,16.76
05-Jul-20,8:00:00 PM,16.56,16.57
05-Jul-20,8:30:00 PM,15.97,15.98
05-Jul-20,9:00:00 PM,15.26,15.27
05-Jul-20,9:30:00 PM,14.29,14.30
05-Jul-20,10:00:00 PM,13.50,13.52
05-Jul-20,10:30:00 PM,13.37,13.40
05-Jul-20,11:00:00 PM,12.31,12.35
05-Jul-20,11:30:00 PM,10.99,11.03
06-Jul-20,12:00:00 AM,9.82,9.88
06-Jul-20,12:30:00 AM,9.09,9.15
06-Jul-20,1:00:00 AM,8.47,8.54
06-Jul-20,1:30:00 AM,8.12,8.19
06-Jul-20,2:00:00 AM,7.76,7.84
06-Jul-20,2:30:00 AM,7.74,7.83
06-Jul-20,3:00:00 AM,7.84,7.92
06-Jul-20,3:30:00 AM,7.95,8.03
06-Jul-20,4:00:00 AM,8.21,8.29
06-Jul-20,4:30:00 AM,8.77,8.84
06-Jul-20,5:00:00 AM,9.65,9.71
06-Jul-20,5:30:00 AM,10.47,10.52
06-Jul-20,6:00:00 AM,11.68,11.71
06-Jul-20,6:30:00 AM,12.76,12.78
06-Jul-20,7:00:00 AM,13.50,13.52
06-Jul-20,7:30:00 AM,13.21,13.22
06-Jul-20,8:00:00 AM,11.34,11.36
06-Jul-20,8:30:00 AM,9.85,9.86
06-Jul-20,9:00:00 AM,8.65,8.66
06-Jul-20,9:30:00 AM,7.48,7.49
06-Jul-20,10:00:00 AM,5.83,5.84
06-Jul-20,10:30:00 AM,4.53,4.53
06-Jul-20,11:00:00 AM,4.19,4.20
06-Jul-20,11:30:00 AM,4.89,4.90
06-Jul-20,12:00:00 PM,3.10,3.11
06-Jul-20,12:30:00 PM,3.32,3.32
06-Jul-20,1:00:00 PM,3.68,3.69
06-Jul-20,1:30:00 PM,4.25,4.26
06-Jul-20,2:00:00 PM,6.08,6.10
06-Jul-20,2:30:00 PM,6.01,6.03
06-Jul-20,3:00:00 PM,7.44,7.48
06-Jul-20,3:30:00 PM,8.79,8.83
06-Jul-20,4:00:00 PM,10.70,10.74
06-Jul-20,4:30:00 PM,13.21,13.23
06-Jul-20,5:00:00 PM,14.76,14.77
06-Jul-20,5:30:00 PM,15.05,15.05
06-Jul-20,6:00:00 PM,15.15,15.15
06-Jul-20,6:30:00 PM,15.60,15.60
06-Jul-20,7:00:00 PM,15.34,15.34
06-Jul-20,7:30:00 PM,15.45,15.46
06-Jul-20,8:00:00 PM,15.37,15.37
06-Jul-20,8:30:00 PM,14.79,14.80
06-Jul-20,9:00:00 PM,14.02,14.03
06-Jul-20,9:30:00 PM,13.08,13.09
06-Jul-20,10:00:00 PM,12.34,12.36
06-Jul-20,10:30:00 PM,12.22,12.24
06-Jul-20,11:00:00 PM,10.94,10.97
06-Jul-20,11:30:00 PM,9.78,9.81
07-Jul-20,12:00:00 AM,8.75,8.79
07-Jul-20,12:30:00 AM,7.90,7.94
07-Jul-20,1:00:00 AM,7.40,7.44
07-Jul-20,1:30:00 AM,7.05,7.10
07-Jul-20,2:00:00 AM,6.79,6.84
07-Jul-20,2:30:00 AM,6.65,6.71
07-Jul-20,3:00:00 AM,6.71,6.77
07-Jul-20,3:30:00 AM,7.28,7.35
07-Jul-20,4:00:00 AM,8.11,8.18
07-Jul-20,4:30:00 AM,8.61,8.68
07-Jul-20,5:00:00 AM,9.55,9.61
07-Jul-20,5:30:00 AM,10.50,10.54
07-Jul-20,6:00:00 AM,11.64,11.67
07-Jul-20,6:30:00 AM,12.76,12.79
07-Jul-20,7:00:00 AM,13.27,13.29
07-Jul-20,7:30:00 AM,12.25,12.27
07-Jul-20,8:00:00 AM,11.09,11.11
07-Jul-20,8:30:00 AM,9.62,9.63
07-Jul-20,9:00:00 AM,7.89,7.89
07-Jul-20,9:30:00 AM,6.45,6.46
07-Jul-20,10:00:00 AM,5.32,5.32
07-Jul-20,10:30:00 AM,4.22,4.23
07-Jul-20,11:00:00 AM,3.38,3.38
07-Jul-20,11:30:00 AM,3.10,3.10
07-Jul-20,12:00:00 PM,2.91,2.92
07-Jul-20,12:30:00 PM,2.90,2.91
07-Jul-20,1:00:00 PM,3.27,3.28
07-Jul-20,1:30:00 PM,3.85,3.86
07-Jul-20,2:00:00 PM,4.69,4.70
07-Jul-20,2:30:00 PM,5.76,5.78
07-Jul-20,3:00:00 PM,7.15,7.18
07-Jul-20,3:30:00 PM,8.75,8.78
07-Jul-20,4:00:00 PM,10.76,10.79
07-Jul-20,4:30:00 PM,12.92,12.94
07-Jul-20,5:00:00 PM,14.58,14.59
07-Jul-20,5:30:00 PM,15.63,15.63
07-Jul-20,6:00:00 PM,15.62,15.63
07-Jul-20,6:30:00 PM,15.84,15.85
07-Jul-20,7:00:00 PM,15.64,15.65
07-Jul-20,7:30:00 PM,15.60,15.60
07-Jul-20,8:00:00 PM,15.52,15.53
07-Jul-20,8:30:00 PM,14.64,14.65
07-Jul-20,9:00:00 PM,14.15,14.17
07-Jul-20,9:30:00 PM,13.16,13.18
07-Jul-20,10:00:00 PM,12.52,12.55
07-Jul-20,10:30:00 PM,12.63,12.67
07-Jul-20,11:00:00 PM,11.51,11.54
07-Jul-20,11:30:00 PM,10.19,10.23
08-Jul-20,12:00:00 AM,8.98,9.04
08-Jul-20,12:30:00 AM,8.26,8.33
08-Jul-20,1:00:00 AM,7.81,7.88
08-Jul-20,1:30:00 AM,7.53,7.59
08-Jul-20,2:00:00 AM,7.32,7.40
08-Jul-20,2:30:00 AM,7.16,7.23
08-Jul-20,3:00:00 AM,7.21,7.28
08-Jul-20,3:30:00 AM,7.25,7.32
08-Jul-20,4:00:00 AM,7.67,7.74
08-Jul-20,4:30:00 AM,8.06,8.13
08-Jul-20,5:00:00 AM,9.04,9.09
08-Jul-20,5:30:00 AM,9.63,9.68
08-Jul-20,6:00:00 AM,10.54,10.57
08-Jul-20,6:30:00 AM,11.35,11.40
08-Jul-20,7:00:00 AM,12.13,12.17
08-Jul-20,7:30:00 AM,10.93,10.96
08-Jul-20,8:00:00 AM,9.68,9.70
08-Jul-20,8:30:00 AM,8.50,8.52
08-Jul-20,9:00:00 AM,7.12,7.13
08-Jul-20,9:30:00 AM,5.68,5.70
08-Jul-20,10:00:00 AM,4.56,4.57
08-Jul-20,10:30:00 AM,3.56,3.56
08-Jul-20,11:00:00 AM,3.13,3.13
08-Jul-20,11:30:00 AM,3.08,3.08
08-Jul-20,12:00:00 PM,2.88,2.89
08-Jul-20,12:30:00 PM,3.31,3.32
08-Jul-20,1:00:00 PM,3.31,3.32
08-Jul-20,1:30:00 PM,3.68,3.69
08-Jul-20,2:00:00 PM,4.05,4.05
08-Jul-20,2:30:00 PM,6.23,6.25
08-Jul-20,3:00:00 PM,7.49,7.51
08-Jul-20,3:30:00 PM,9.98,10.01
08-Jul-20,4:00:00 PM,11.03,11.06
08-Jul-20,4:30:00 PM,12.43,12.45
08-Jul-20,5:00:00 PM,14.18,14.19
08-Jul-20,5:30:00 PM,15.09,15.09
08-Jul-20,6:00:00 PM,15.12,15.12
08-Jul-20,6:30:00 PM,15.62,15.62
08-Jul-20,7:00:00 PM,15.32,15.32
08-Jul-20,7:30:00 PM,15.09,15.10
08-Jul-20,8:00:00 PM,15.16,15.17
08-Jul-20,8:30:00 PM,14.45,14.46
08-Jul-20,9:00:00 PM,13.62,13.64
08-Jul-20,9:30:00 PM,13.08,13.10
08-Jul-20,10:00:00 PM,12.36,12.39
08-Jul-20,10:30:00 PM,12.33,12.36
08-Jul-20,11:00:00 PM,11.22,11.26
08-Jul-20,11:30:00 PM,10.01,10.06
09-Jul-20,12:00:00 AM,8.94,8.99
09-Jul-20,12:30:00 AM,8.22,8.28
09-Jul-20,1:00:00 AM,7.77,7.83
09-Jul-20,1:30:00 AM,7.19,7.26
09-Jul-20,2:00:00 AM,7.12,7.19
09-Jul-20,2:30:00 AM,6.96,7.04
09-Jul-20,3:00:00 AM,7.12,7.20
09-Jul-20,3:30:00 AM,7.15,7.22
09-Jul-20,4:00:00 AM,7.37,7.43
09-Jul-20,4:30:00 AM,7.64,7.70
09-Jul-20,5:00:00 AM,8.48,8.54
09-Jul-20,5:30:00 AM,9.17,9.22
09-Jul-20,6:00:00 AM,9.89,9.92
09-Jul-20,6:30:00 AM,10.47,10.51
09-Jul-20,7:00:00 AM,11.11,11.16
09-Jul-20,7:30:00 AM,11.79,11.83
09-Jul-20,8:00:00 AM,11.96,11.99
09-Jul-20,8:30:00 AM,11.55,11.57
09-Jul-20,9:00:00 AM,9.83,9.85
09-Jul-20,9:30:00 AM,9.96,9.98
09-Jul-20,10:00:00 AM,10.30,10.32
09-Jul-20,10:30:00 AM,9.45,9.47
09-Jul-20,11:00:00 AM,8.64,8.66
09-Jul-20,11:30:00 AM,9.98,10.00
09-Jul-20,12:00:00 PM,9.17,9.19
09-Jul-20,12:30:00 PM,9.18,9.20
09-Jul-20,1:00:00 PM,8.39,8.41
09-Jul-20,1:30:00 PM,7.37,7.38
09-Jul-20,2:00:00 PM,8.64,8.66
09-Jul-20,2:30:00 PM,8.64,8.66
09-Jul-20,3:00:00 PM,9.77,9.79
09-Jul-20,3:30:00 PM,11.27,11.30
09-Jul-20,4:00:00 PM,12.63,12.66
09-Jul-20,4:30:00 PM,13.92,13.94
09-Jul-20,5:00:00 PM,15.23,15.23
09-Jul-20,5:30:00 PM,15.76,15.77
09-Jul-20,6:00:00 PM,15.88,15.88
09-Jul-20,6:30:00 PM,16.28,16.28
09-Jul-20,7:00:00 PM,15.87,15.88
09-Jul-20,7:30:00 PM,15.92,15.93
09-Jul-20,8:00:00 PM,15.79,15.79
09-Jul-20,8:30:00 PM,15.12,15.14
09-Jul-20,9:00:00 PM,14.47,14.49
09-Jul-20,9:30:00 PM,13.51,13.53
09-Jul-20,10:00:00 PM,12.70,12.73
09-Jul-20,10:30:00 PM,12.65,12.68
09-Jul-20,11:00:00 PM,11.62,11.65
09-Jul-20,11:30:00 PM,10.28,10.32
10-Jul-20,12:00:00 AM,9.10,9.16
10-Jul-20,12:30:00 AM,8.33,8.39
10-Jul-20,1:00:00 AM,7.86,7.93
10-Jul-20,1:30:00 AM,7.49,7.56
