Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,5.14,5.17
01-Jul-20,12:30:00 AM,5.20,5.22
01-Jul-20,1:00:00 AM,5.19,5.21
01-Jul-20,1:30:00 AM,5.22,5.24
01-Jul-20,2:00:00 AM,5.23,5.25
01-Jul-20,2:30:00 AM,5.17,5.20
01-Jul-20,3:00:00 AM,5.17,5.19
01-Jul-20,3:30:00 AM,5.34,5.36
01-Jul-20,4:00:00 AM,5.43,5.46
01-Jul-20,4:30:00 AM,5.71,5.75
01-Jul-20,5:00:00 AM,6.11,6.16
01-Jul-20,5:30:00 AM,6.13,6.18
01-Jul-20,6:00:00 AM,6.62,6.68
01-Jul-20,6:30:00 AM,7.09,7.17
01-Jul-20,7:00:00 AM,7.44,7.57
01-Jul-20,7:30:00 AM,7.67,7.79
01-Jul-20,8:00:00 AM,8.13,8.28
01-Jul-20,8:30:00 AM,7.94,8.10
01-Jul-20,9:00:00 AM,7.91,8.07
01-Jul-20,9:30:00 AM,7.73,7.89
01-Jul-20,10:00:00 AM,7.66,7.80
01-Jul-20,10:30:00 AM,7.77,7.93
01-Jul-20,11:00:00 AM,7.88,8.06
01-Jul-20,11:30:00 AM,8.16,8.39
01-Jul-20,12:00:00 PM,8.24,8.47
01-Jul-20,12:30:00 PM,8.29,8.53
01-Jul-20,1:00:00 PM,8.32,8.55
01-Jul-20,1:30:00 PM,8.38,8.59
01-Jul-20,2:00:00 PM,8.21,8.42
01-Jul-20,2:30:00 PM,8.13,8.31
01-Jul-20,3:00:00 PM,7.92,8.07
01-Jul-20,3:30:00 PM,7.79,7.92
01-Jul-20,4:00:00 PM,7.57,7.68
01-Jul-20,4:30:00 PM,7.25,7.35
01-Jul-20,5:00:00 PM,6.98,7.06
01-Jul-20,5:30:00 PM,6.78,6.85
01-Jul-20,6:00:00 PM,6.35,6.39
01-Jul-20,6:30:00 PM,6.13,6.17
01-Jul-20,7:00:00 PM,6.01,6.05
01-Jul-20,7:30:00 PM,5.99,6.03
01-Jul-20,8:00:00 PM,6.14,6.17
01-Jul-20,8:30:00 PM,5.97,6.00
01-Jul-20,9:00:00 PM,5.81,5.84
01-Jul-20,9:30:00 PM,5.68,5.71
01-Jul-20,10:00:00 PM,5.57,5.59
01-Jul-20,10:30:00 PM,5.47,5.49
01-Jul-20,11:00:00 PM,5.43,5.46
01-Jul-20,11:30:00 PM,5.53,5.56
02-Jul-20,12:00:00 AM,5.56,5.60
02-Jul-20,12:30:00 AM,5.41,5.45
02-Jul-20,1:00:00 AM,5.27,5.30
02-Jul-20,1:30:00 AM,5.15,5.17
02-Jul-20,2:00:00 AM,5.00,5.02
02-Jul-20,2:30:00 AM,4.96,4.98
02-Jul-20,3:00:00 AM,5.26,5.29
02-Jul-20,3:30:00 AM,5.37,5.41
02-Jul-20,4:00:00 AM,5.56,5.60
02-Jul-20,4:30:00 AM,5.68,5.72
02-Jul-20,5:00:00 AM,6.02,6.06
02-Jul-20,5:30:00 AM,6.43,6.48
02-Jul-20,6:00:00 AM,6.81,6.88
02-Jul-20,6:30:00 AM,6.98,7.07
02-Jul-20,7:00:00 AM,7.16,7.27
02-Jul-20,7:30:00 AM,7.33,7.45
02-Jul-20,8:00:00 AM,7.51,7.64
02-Jul-20,8:30:00 AM,9.08,9.36
02-Jul-20,9:00:00 AM,11.35,11.88
02-Jul-20,9:30:00 AM,11.30,11.82
02-Jul-20,10:00:00 AM,11.49,12.04
02-Jul-20,10:30:00 AM,11.66,12.26
02-Jul-20,11:00:00 AM,11.59,12.23
02-Jul-20,11:30:00 AM,11.51,12.16
02-Jul-20,12:00:00 PM,8.03,8.21
02-Jul-20,12:30:00 PM,7.83,8.00
02-Jul-20,1:00:00 PM,7.86,8.04
02-Jul-20,1:30:00 PM,7.88,8.08
02-Jul-20,2:00:00 PM,7.96,8.12
02-Jul-20,2:30:00 PM,7.97,8.14
02-Jul-20,3:00:00 PM,7.80,7.95
02-Jul-20,3:30:00 PM,7.69,7.82
02-Jul-20,4:00:00 PM,7.58,7.70
02-Jul-20,4:30:00 PM,7.24,7.34
02-Jul-20,5:00:00 PM,6.91,6.99
02-Jul-20,5:30:00 PM,6.70,6.77
02-Jul-20,6:00:00 PM,6.49,6.54
02-Jul-20,6:30:00 PM,6.02,6.07
02-Jul-20,7:00:00 PM,5.80,5.84
02-Jul-20,7:30:00 PM,5.80,5.84
02-Jul-20,8:00:00 PM,5.91,5.94
02-Jul-20,8:30:00 PM,6.02,6.06
02-Jul-20,9:00:00 PM,5.80,5.85
02-Jul-20,9:30:00 PM,5.63,5.67
02-Jul-20,10:00:00 PM,5.72,5.75
