Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,1.16,1.16
01-Jul-20,12:30:00 AM,1.12,1.12
01-Jul-20,1:00:00 AM,1.19,1.19
01-Jul-20,1:30:00 AM,1.13,1.13
01-Jul-20,2:00:00 AM,1.08,1.08
01-Jul-20,2:30:00 AM,1.08,1.08
01-Jul-20,3:00:00 AM,1.05,1.05
01-Jul-20,3:30:00 AM,1.08,1.08
01-Jul-20,4:00:00 AM,1.06,1.06
01-Jul-20,4:30:00 AM,1.11,1.11
01-Jul-20,5:00:00 AM,1.17,1.17
01-Jul-20,5:30:00 AM,1.34,1.34
01-Jul-20,6:00:00 AM,1.47,1.48
01-Jul-20,6:30:00 AM,1.62,1.63
01-Jul-20,7:00:00 AM,1.58,1.60
01-Jul-20,7:30:00 AM,1.44,1.46
01-Jul-20,8:00:00 AM,1.23,1.25
01-Jul-20,8:30:00 AM,1.06,1.08
01-Jul-20,9:00:00 AM,0.84,0.88
01-Jul-20,9:30:00 AM,0.60,0.67
01-Jul-20,10:00:00 AM,0.42,0.52
01-Jul-20,10:30:00 AM,0.29,0.44
01-Jul-20,11:00:00 AM,0.26,0.45
01-Jul-20,11:30:00 AM,0.23,0.43
01-Jul-20,12:00:00 PM,0.37,0.51
01-Jul-20,12:30:00 PM,0.44,0.57
01-Jul-20,1:00:00 PM,0.39,0.56
01-Jul-20,1:30:00 PM,0.48,0.59
01-Jul-20,2:00:00 PM,0.67,0.74
01-Jul-20,2:30:00 PM,0.69,0.75
01-Jul-20,3:00:00 PM,0.88,0.93
01-Jul-20,3:30:00 PM,1.18,1.21
01-Jul-20,4:00:00 PM,1.31,1.33
01-Jul-20,4:30:00 PM,1.42,1.43
01-Jul-20,5:00:00 PM,1.55,1.57
01-Jul-20,5:30:00 PM,1.66,1.67
01-Jul-20,6:00:00 PM,1.68,1.69
01-Jul-20,6:30:00 PM,1.68,1.69
01-Jul-20,7:00:00 PM,1.61,1.62
01-Jul-20,7:30:00 PM,1.56,1.57
01-Jul-20,8:00:00 PM,1.60,1.61
01-Jul-20,8:30:00 PM,1.65,1.66
01-Jul-20,9:00:00 PM,1.56,1.56
01-Jul-20,9:30:00 PM,1.62,1.63
01-Jul-20,10:00:00 PM,1.49,1.49
01-Jul-20,10:30:00 PM,1.36,1.37
01-Jul-20,11:00:00 PM,1.32,1.33
01-Jul-20,11:30:00 PM,1.30,1.30
02-Jul-20,12:00:00 AM,1.22,1.22
02-Jul-20,12:30:00 AM,1.21,1.21
02-Jul-20,1:00:00 AM,1.22,1.23
02-Jul-20,1:30:00 AM,1.19,1.19
02-Jul-20,2:00:00 AM,1.09,1.09
02-Jul-20,2:30:00 AM,1.04,1.04
02-Jul-20,3:00:00 AM,1.03,1.03
02-Jul-20,3:30:00 AM,1.05,1.06
02-Jul-20,4:00:00 AM,1.05,1.05
02-Jul-20,4:30:00 AM,1.10,1.11
02-Jul-20,5:00:00 AM,1.20,1.20
02-Jul-20,5:30:00 AM,1.36,1.36
02-Jul-20,6:00:00 AM,1.54,1.56
02-Jul-20,6:30:00 AM,1.69,1.71
02-Jul-20,7:00:00 AM,1.77,1.78
02-Jul-20,7:30:00 AM,1.68,1.70
02-Jul-20,8:00:00 AM,1.39,1.41
02-Jul-20,8:30:00 AM,1.14,1.18
02-Jul-20,9:00:00 AM,1.11,1.15
02-Jul-20,9:30:00 AM,0.82,0.88
02-Jul-20,10:00:00 AM,0.70,0.77
02-Jul-20,10:30:00 AM,0.32,0.47
02-Jul-20,11:00:00 AM,0.54,0.63
02-Jul-20,11:30:00 AM,0.35,0.49
02-Jul-20,12:00:00 PM,0.26,0.47
02-Jul-20,12:30:00 PM,0.62,0.70
02-Jul-20,1:00:00 PM,0.37,0.51
02-Jul-20,1:30:00 PM,0.52,0.61
02-Jul-20,2:00:00 PM,0.68,0.76
02-Jul-20,2:30:00 PM,0.91,0.96
02-Jul-20,3:00:00 PM,1.02,1.06
02-Jul-20,3:30:00 PM,1.13,1.16
02-Jul-20,4:00:00 PM,1.25,1.27
02-Jul-20,4:30:00 PM,1.41,1.43
02-Jul-20,5:00:00 PM,1.66,1.68
02-Jul-20,5:30:00 PM,1.75,1.77
02-Jul-20,6:00:00 PM,1.71,1.73
02-Jul-20,6:30:00 PM,1.65,1.66
02-Jul-20,7:00:00 PM,1.58,1.58
02-Jul-20,7:30:00 PM,1.53,1.54
02-Jul-20,8:00:00 PM,1.61,1.62
02-Jul-20,8:30:00 PM,1.72,1.73
02-Jul-20,9:00:00 PM,1.58,1.59
02-Jul-20,9:30:00 PM,1.58,1.59
02-Jul-20,10:00:00 PM,1.45,1.46
02-Jul-20,10:30:00 PM,1.29,1.30
02-Jul-20,11:00:00 PM,1.26,1.26
02-Jul-20,11:30:00 PM,1.29,1.29
03-Jul-20,12:00:00 AM,1.18,1.18
03-Jul-20,12:30:00 AM,1.19,1.20
03-Jul-20,1:00:00 AM,1.19,1.20
03-Jul-20,1:30:00 AM,1.17,1.17
03-Jul-20,2:00:00 AM,1.13,1.13
03-Jul-20,2:30:00 AM,1.09,1.10
03-Jul-20,3:00:00 AM,1.03,1.03
03-Jul-20,3:30:00 AM,1.03,1.03
03-Jul-20,4:00:00 AM,1.03,1.03
03-Jul-20,4:30:00 AM,1.12,1.12
03-Jul-20,5:00:00 AM,1.18,1.18
03-Jul-20,5:30:00 AM,1.31,1.32
03-Jul-20,6:00:00 AM,1.48,1.49
03-Jul-20,6:30:00 AM,1.59,1.60
03-Jul-20,7:00:00 AM,1.73,1.74
03-Jul-20,7:30:00 AM,1.69,1.71
03-Jul-20,8:00:00 AM,1.49,1.50
03-Jul-20,8:30:00 AM,1.25,1.27
03-Jul-20,9:00:00 AM,0.95,0.99
03-Jul-20,9:30:00 AM,0.76,0.83
03-Jul-20,10:00:00 AM,0.59,0.69
03-Jul-20,10:30:00 AM,0.41,0.57
03-Jul-20,11:00:00 AM,0.33,0.53
03-Jul-20,11:30:00 AM,0.28,0.52
03-Jul-20,12:00:00 PM,0.32,0.56
03-Jul-20,12:30:00 PM,0.29,0.52
03-Jul-20,1:00:00 PM,0.35,0.56
03-Jul-20,1:30:00 PM,0.50,0.65
03-Jul-20,2:00:00 PM,0.94,1.00
03-Jul-20,2:30:00 PM,1.28,1.33
03-Jul-20,3:00:00 PM,1.26,1.30
03-Jul-20,3:30:00 PM,1.13,1.17
03-Jul-20,4:00:00 PM,1.23,1.25
03-Jul-20,4:30:00 PM,1.39,1.40
03-Jul-20,5:00:00 PM,1.48,1.50
03-Jul-20,5:30:00 PM,1.56,1.58
03-Jul-20,6:00:00 PM,1.64,1.65
03-Jul-20,6:30:00 PM,1.57,1.58
03-Jul-20,7:00:00 PM,1.51,1.52
03-Jul-20,7:30:00 PM,1.46,1.47
03-Jul-20,8:00:00 PM,1.50,1.51
03-Jul-20,8:30:00 PM,1.57,1.57
03-Jul-20,9:00:00 PM,1.44,1.45
03-Jul-20,9:30:00 PM,1.45,1.46
03-Jul-20,10:00:00 PM,1.32,1.33
03-Jul-20,10:30:00 PM,1.16,1.17
03-Jul-20,11:00:00 PM,1.17,1.17
03-Jul-20,11:30:00 PM,1.17,1.17
04-Jul-20,12:00:00 AM,1.07,1.08
04-Jul-20,12:30:00 AM,1.02,1.02
04-Jul-20,1:00:00 AM,1.02,1.03
04-Jul-20,1:30:00 AM,1.00,1.00
04-Jul-20,2:00:00 AM,0.92,0.92
04-Jul-20,2:30:00 AM,0.93,0.94
04-Jul-20,3:00:00 AM,0.93,0.93
04-Jul-20,3:30:00 AM,1.00,1.01
04-Jul-20,4:00:00 AM,1.02,1.02
04-Jul-20,4:30:00 AM,1.05,1.05
04-Jul-20,5:00:00 AM,1.06,1.06
04-Jul-20,5:30:00 AM,1.19,1.20
04-Jul-20,6:00:00 AM,1.29,1.29
04-Jul-20,6:30:00 AM,1.46,1.46
04-Jul-20,7:00:00 AM,1.53,1.54
04-Jul-20,7:30:00 AM,1.47,1.47
04-Jul-20,8:00:00 AM,1.29,1.30
04-Jul-20,8:30:00 AM,1.04,1.06
04-Jul-20,9:00:00 AM,0.80,0.83
04-Jul-20,9:30:00 AM,0.57,0.62
04-Jul-20,10:00:00 AM,0.33,0.41
04-Jul-20,10:30:00 AM,0.22,0.34
04-Jul-20,11:00:00 AM,0.07,0.28
04-Jul-20,11:30:00 AM,0.00,0.27
04-Jul-20,12:00:00 PM,0.02,0.28
04-Jul-20,12:30:00 PM,0.03,0.26
04-Jul-20,1:00:00 PM,0.07,0.24
04-Jul-20,1:30:00 PM,0.18,0.27
04-Jul-20,2:00:00 PM,0.31,0.37
04-Jul-20,2:30:00 PM,0.53,0.55
04-Jul-20,3:00:00 PM,0.75,0.77
04-Jul-20,3:30:00 PM,0.97,0.98
04-Jul-20,4:00:00 PM,1.25,1.26
04-Jul-20,4:30:00 PM,1.49,1.50
04-Jul-20,5:00:00 PM,1.66,1.67
04-Jul-20,5:30:00 PM,1.81,1.82
04-Jul-20,6:00:00 PM,1.78,1.79
04-Jul-20,6:30:00 PM,1.72,1.72
04-Jul-20,7:00:00 PM,1.60,1.61
04-Jul-20,7:30:00 PM,1.62,1.62
04-Jul-20,8:00:00 PM,1.72,1.72
04-Jul-20,8:30:00 PM,1.78,1.79
04-Jul-20,9:00:00 PM,1.66,1.66
04-Jul-20,9:30:00 PM,1.65,1.66
04-Jul-20,10:00:00 PM,1.51,1.51
04-Jul-20,10:30:00 PM,1.37,1.37
04-Jul-20,11:00:00 PM,1.25,1.25
04-Jul-20,11:30:00 PM,1.15,1.15
05-Jul-20,12:00:00 AM,1.11,1.11
05-Jul-20,12:30:00 AM,1.11,1.11
05-Jul-20,1:00:00 AM,1.08,1.08
05-Jul-20,1:30:00 AM,1.05,1.05
05-Jul-20,2:00:00 AM,1.01,1.01
05-Jul-20,2:30:00 AM,1.00,1.00
05-Jul-20,3:00:00 AM,1.07,1.07
05-Jul-20,3:30:00 AM,1.15,1.15
05-Jul-20,4:00:00 AM,1.13,1.13
