Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,8.46,8.62
01-Jul-20,12:30:00 AM,7.52,7.72
01-Jul-20,1:00:00 AM,6.91,7.09
01-Jul-20,1:30:00 AM,6.43,6.66
01-Jul-20,2:00:00 AM,6.12,6.37
01-Jul-20,2:30:00 AM,5.96,6.18
01-Jul-20,3:00:00 AM,6.10,6.33
01-Jul-20,3:30:00 AM,6.12,6.36
01-Jul-20,4:00:00 AM,6.33,6.55
01-Jul-20,4:30:00 AM,6.67,6.85
01-Jul-20,5:00:00 AM,8.00,8.13
01-Jul-20,5:30:00 AM,8.94,9.05
01-Jul-20,6:00:00 AM,9.67,9.78
01-Jul-20,6:30:00 AM,11.18,11.31
01-Jul-20,7:00:00 AM,12.79,12.88
01-Jul-20,7:30:00 AM,12.97,13.02
01-Jul-20,8:00:00 AM,12.47,12.53
01-Jul-20,8:30:00 AM,10.80,10.85
01-Jul-20,9:00:00 AM,8.60,8.65
01-Jul-20,9:30:00 AM,8.39,8.42
01-Jul-20,10:00:00 AM,6.43,6.47
01-Jul-20,10:30:00 AM,5.00,5.04
01-Jul-20,11:00:00 AM,5.39,5.45
01-Jul-20,11:30:00 AM,5.24,5.28
01-Jul-20,12:00:00 PM,6.09,6.16
01-Jul-20,12:30:00 PM,6.75,6.79
01-Jul-20,1:00:00 PM,8.28,8.33
01-Jul-20,1:30:00 PM,7.91,7.95
01-Jul-20,2:00:00 PM,7.29,7.31
01-Jul-20,2:30:00 PM,9.19,9.23
01-Jul-20,3:00:00 PM,8.93,8.99
01-Jul-20,3:30:00 PM,9.22,9.28
01-Jul-20,4:00:00 PM,10.97,11.03
01-Jul-20,4:30:00 PM,11.94,12.02
01-Jul-20,5:00:00 PM,13.84,13.88
01-Jul-20,5:30:00 PM,15.14,15.16
01-Jul-20,6:00:00 PM,14.94,14.98
01-Jul-20,6:30:00 PM,15.47,15.49
01-Jul-20,7:00:00 PM,14.58,14.61
01-Jul-20,7:30:00 PM,14.46,14.48
01-Jul-20,8:00:00 PM,14.52,14.54
01-Jul-20,8:30:00 PM,13.60,13.63
01-Jul-20,9:00:00 PM,12.84,12.88
01-Jul-20,9:30:00 PM,11.99,12.05
01-Jul-20,10:00:00 PM,11.46,11.54
01-Jul-20,10:30:00 PM,11.97,12.04
01-Jul-20,11:00:00 PM,11.37,11.47
01-Jul-20,11:30:00 PM,9.63,9.75
02-Jul-20,12:00:00 AM,8.52,8.67
02-Jul-20,12:30:00 AM,7.63,7.80
02-Jul-20,1:00:00 AM,7.00,7.19
02-Jul-20,1:30:00 AM,6.56,6.77
02-Jul-20,2:00:00 AM,6.35,6.57
02-Jul-20,2:30:00 AM,6.18,6.39
02-Jul-20,3:00:00 AM,6.19,6.40
02-Jul-20,3:30:00 AM,6.16,6.38
02-Jul-20,4:00:00 AM,6.43,6.63
02-Jul-20,4:30:00 AM,6.74,6.92
02-Jul-20,5:00:00 AM,8.19,8.31
02-Jul-20,5:30:00 AM,9.27,9.37
02-Jul-20,6:00:00 AM,10.17,10.24
02-Jul-20,6:30:00 AM,11.85,11.94
02-Jul-20,7:00:00 AM,12.86,12.91
02-Jul-20,7:30:00 AM,12.57,12.61
02-Jul-20,8:00:00 AM,12.14,12.17
02-Jul-20,8:30:00 AM,10.35,10.40
02-Jul-20,9:00:00 AM,10.32,10.36
02-Jul-20,9:30:00 AM,9.87,9.91
02-Jul-20,10:00:00 AM,6.84,6.90
02-Jul-20,10:30:00 AM,4.00,4.07
02-Jul-20,11:00:00 AM,7.09,7.15
02-Jul-20,11:30:00 AM,5.96,6.01
02-Jul-20,12:00:00 PM,3.48,3.56
02-Jul-20,12:30:00 PM,4.40,4.47
02-Jul-20,1:00:00 PM,4.59,4.64
02-Jul-20,1:30:00 PM,6.41,6.46
02-Jul-20,2:00:00 PM,6.19,6.24
02-Jul-20,2:30:00 PM,6.63,6.69
02-Jul-20,3:00:00 PM,7.67,7.72
02-Jul-20,3:30:00 PM,9.27,9.35
02-Jul-20,4:00:00 PM,10.34,10.42
02-Jul-20,4:30:00 PM,11.71,11.82
02-Jul-20,5:00:00 PM,12.56,12.65
02-Jul-20,5:30:00 PM,13.58,13.62
02-Jul-20,6:00:00 PM,14.29,14.32
02-Jul-20,6:30:00 PM,14.50,14.52
02-Jul-20,7:00:00 PM,14.25,14.27
02-Jul-20,7:30:00 PM,13.57,13.60
02-Jul-20,8:00:00 PM,13.69,13.72
02-Jul-20,8:30:00 PM,12.91,12.96
02-Jul-20,9:00:00 PM,12.43,12.49
02-Jul-20,9:30:00 PM,12.14,12.19
02-Jul-20,10:00:00 PM,11.34,11.42
02-Jul-20,10:30:00 PM,11.54,11.63
02-Jul-20,11:00:00 PM,10.86,10.95
02-Jul-20,11:30:00 PM,9.36,9.46
03-Jul-20,12:00:00 AM,8.35,8.51
03-Jul-20,12:30:00 AM,7.50,7.66
03-Jul-20,1:00:00 AM,6.92,7.09
03-Jul-20,1:30:00 AM,6.40,6.60
03-Jul-20,2:00:00 AM,6.20,6.42
03-Jul-20,2:30:00 AM,6.15,6.35
03-Jul-20,3:00:00 AM,6.16,6.37
03-Jul-20,3:30:00 AM,6.10,6.32
03-Jul-20,4:00:00 AM,6.30,6.52
03-Jul-20,4:30:00 AM,6.92,7.12
03-Jul-20,5:00:00 AM,7.83,7.99
03-Jul-20,5:30:00 AM,8.86,8.98
