Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,3.75,3.79
01-Jul-20,12:30:00 AM,3.61,3.65
01-Jul-20,1:00:00 AM,3.43,3.46
01-Jul-20,1:30:00 AM,3.21,3.23
01-Jul-20,2:00:00 AM,2.97,2.98
01-Jul-20,2:30:00 AM,2.88,2.89
01-Jul-20,3:00:00 AM,2.99,3.01
01-Jul-20,3:30:00 AM,2.78,2.79
01-Jul-20,4:00:00 AM,2.68,2.68
01-Jul-20,4:30:00 AM,2.88,2.89
01-Jul-20,5:00:00 AM,3.27,3.28
01-Jul-20,5:30:00 AM,3.67,3.69
01-Jul-20,6:00:00 AM,3.95,3.97
01-Jul-20,6:30:00 AM,4.15,4.17
01-Jul-20,7:00:00 AM,4.14,4.18
01-Jul-20,7:30:00 AM,4.26,4.31
01-Jul-20,8:00:00 AM,3.99,4.05
01-Jul-20,8:30:00 AM,3.54,3.60
01-Jul-20,9:00:00 AM,3.10,3.17
01-Jul-20,9:30:00 AM,3.06,3.16
01-Jul-20,10:00:00 AM,2.70,2.81
01-Jul-20,10:30:00 AM,2.46,2.57
01-Jul-20,11:00:00 AM,2.45,2.58
01-Jul-20,11:30:00 AM,2.45,2.59
01-Jul-20,12:00:00 PM,2.54,2.65
01-Jul-20,12:30:00 PM,2.68,2.79
01-Jul-20,1:00:00 PM,2.60,2.72
01-Jul-20,1:30:00 PM,2.79,2.90
01-Jul-20,2:00:00 PM,2.80,2.90
01-Jul-20,2:30:00 PM,3.11,3.21
01-Jul-20,3:00:00 PM,3.49,3.59
01-Jul-20,3:30:00 PM,3.87,3.99
01-Jul-20,4:00:00 PM,4.10,4.20
01-Jul-20,4:30:00 PM,4.34,4.43
01-Jul-20,5:00:00 PM,4.67,4.76
01-Jul-20,5:30:00 PM,5.15,5.24
01-Jul-20,6:00:00 PM,5.05,5.13
01-Jul-20,6:30:00 PM,4.94,5.02
01-Jul-20,7:00:00 PM,4.59,4.65
01-Jul-20,7:30:00 PM,4.60,4.65
01-Jul-20,8:00:00 PM,4.87,4.93
01-Jul-20,8:30:00 PM,4.82,4.88
01-Jul-20,9:00:00 PM,4.53,4.58
01-Jul-20,9:30:00 PM,4.41,4.45
01-Jul-20,10:00:00 PM,4.06,4.10
01-Jul-20,10:30:00 PM,3.65,3.68
01-Jul-20,11:00:00 PM,3.48,3.51
01-Jul-20,11:30:00 PM,3.42,3.44
02-Jul-20,12:00:00 AM,3.31,3.33
02-Jul-20,12:30:00 AM,3.13,3.15
02-Jul-20,1:00:00 AM,2.70,2.70
02-Jul-20,1:30:00 AM,2.67,2.67
02-Jul-20,2:00:00 AM,2.48,2.48
02-Jul-20,2:30:00 AM,2.45,2.45
02-Jul-20,3:00:00 AM,2.53,2.53
02-Jul-20,3:30:00 AM,2.40,2.40
02-Jul-20,4:00:00 AM,2.34,2.34
02-Jul-20,4:30:00 AM,2.36,2.36
02-Jul-20,5:00:00 AM,2.71,2.72
02-Jul-20,5:30:00 AM,3.16,3.17
02-Jul-20,6:00:00 AM,3.68,3.69
02-Jul-20,6:30:00 AM,4.11,4.13
02-Jul-20,7:00:00 AM,4.42,4.47
02-Jul-20,7:30:00 AM,4.48,4.55
02-Jul-20,8:00:00 AM,4.27,4.36
02-Jul-20,8:30:00 AM,3.95,4.05
02-Jul-20,9:00:00 AM,3.62,3.72
02-Jul-20,9:30:00 AM,3.31,3.45
02-Jul-20,10:00:00 AM,3.18,3.34
02-Jul-20,10:30:00 AM,3.17,3.34
02-Jul-20,11:00:00 AM,2.82,3.01
02-Jul-20,11:30:00 AM,2.98,3.17
02-Jul-20,12:00:00 PM,2.90,3.09
02-Jul-20,12:30:00 PM,2.58,2.77
02-Jul-20,1:00:00 PM,2.89,3.04
02-Jul-20,1:30:00 PM,3.12,3.24
02-Jul-20,2:00:00 PM,3.18,3.30
02-Jul-20,2:30:00 PM,3.49,3.61
02-Jul-20,3:00:00 PM,3.70,3.81
02-Jul-20,3:30:00 PM,3.99,4.10
02-Jul-20,4:00:00 PM,4.17,4.27
02-Jul-20,4:30:00 PM,4.49,4.59
02-Jul-20,5:00:00 PM,4.82,4.93
02-Jul-20,5:30:00 PM,5.13,5.22
02-Jul-20,6:00:00 PM,5.17,5.26
02-Jul-20,6:30:00 PM,4.99,5.08
02-Jul-20,7:00:00 PM,4.88,4.97
02-Jul-20,7:30:00 PM,4.75,4.83
02-Jul-20,8:00:00 PM,4.86,4.92
02-Jul-20,8:30:00 PM,4.90,4.96
02-Jul-20,9:00:00 PM,4.55,4.59
02-Jul-20,9:30:00 PM,4.38,4.42
02-Jul-20,10:00:00 PM,4.13,4.15
