Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.99,7.00
01-Jul-20,12:30:00 AM,6.57,6.57
01-Jul-20,1:00:00 AM,6.22,6.22
01-Jul-20,1:30:00 AM,6.08,6.08
01-Jul-20,2:00:00 AM,5.86,5.86
01-Jul-20,2:30:00 AM,5.95,5.95
01-Jul-20,3:00:00 AM,6.62,6.62
01-Jul-20,3:30:00 AM,9.30,9.33
01-Jul-20,4:00:00 AM,9.98,10.03
01-Jul-20,4:30:00 AM,8.17,8.18
01-Jul-20,5:00:00 AM,8.18,8.19
01-Jul-20,5:30:00 AM,8.50,8.53
01-Jul-20,6:00:00 AM,8.70,8.72
01-Jul-20,6:30:00 AM,9.35,9.36
01-Jul-20,7:00:00 AM,9.68,9.70
01-Jul-20,7:30:00 AM,9.18,9.21
01-Jul-20,8:00:00 AM,8.45,8.48
01-Jul-20,8:30:00 AM,7.66,7.70
01-Jul-20,9:00:00 AM,6.12,6.15
01-Jul-20,9:30:00 AM,5.13,5.17
01-Jul-20,10:00:00 AM,4.42,4.47
01-Jul-20,10:30:00 AM,4.07,4.15
01-Jul-20,11:00:00 AM,3.68,3.76
01-Jul-20,11:30:00 AM,3.39,3.49
01-Jul-20,12:00:00 PM,3.40,3.51
01-Jul-20,12:30:00 PM,3.44,3.51
01-Jul-20,1:00:00 PM,3.50,3.56
01-Jul-20,1:30:00 PM,3.83,3.88
01-Jul-20,2:00:00 PM,4.20,4.24
01-Jul-20,2:30:00 PM,5.01,5.02
01-Jul-20,3:00:00 PM,5.88,5.90
01-Jul-20,3:30:00 PM,6.31,6.32
01-Jul-20,4:00:00 PM,7.21,7.22
01-Jul-20,4:30:00 PM,7.78,7.78
01-Jul-20,5:00:00 PM,8.66,8.67
01-Jul-20,5:30:00 PM,9.61,9.62
01-Jul-20,6:00:00 PM,9.78,9.79
01-Jul-20,6:30:00 PM,10.01,10.02
01-Jul-20,7:00:00 PM,9.78,9.79
01-Jul-20,7:30:00 PM,9.57,9.57
01-Jul-20,8:00:00 PM,9.77,9.77
01-Jul-20,8:30:00 PM,9.61,9.62
01-Jul-20,9:00:00 PM,9.22,9.22
01-Jul-20,9:30:00 PM,8.73,8.73
01-Jul-20,10:00:00 PM,8.69,8.69
01-Jul-20,10:30:00 PM,8.72,8.72
01-Jul-20,11:00:00 PM,8.10,8.10
01-Jul-20,11:30:00 PM,7.35,7.35
02-Jul-20,12:00:00 AM,6.90,6.90
02-Jul-20,12:30:00 AM,6.53,6.53
02-Jul-20,1:00:00 AM,6.25,6.25
02-Jul-20,1:30:00 AM,6.03,6.03
02-Jul-20,2:00:00 AM,5.82,5.82
02-Jul-20,2:30:00 AM,6.05,6.05
02-Jul-20,3:00:00 AM,6.98,6.99
02-Jul-20,3:30:00 AM,8.57,8.59
02-Jul-20,4:00:00 AM,9.85,9.90
02-Jul-20,4:30:00 AM,8.38,8.39
02-Jul-20,5:00:00 AM,9.05,9.06
02-Jul-20,5:30:00 AM,11.08,11.12
02-Jul-20,6:00:00 AM,11.86,11.93
02-Jul-20,6:30:00 AM,9.09,9.11
02-Jul-20,7:00:00 AM,10.25,10.27
02-Jul-20,7:30:00 AM,10.85,10.89
02-Jul-20,8:00:00 AM,10.69,10.72
02-Jul-20,8:30:00 AM,8.83,8.86
02-Jul-20,9:00:00 AM,9.26,9.32
02-Jul-20,9:30:00 AM,8.04,8.09
02-Jul-20,10:00:00 AM,6.40,6.45
02-Jul-20,10:30:00 AM,4.38,4.44
