Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,7.38,7.39
01-Jul-20,12:30:00 AM,6.88,6.90
01-Jul-20,1:00:00 AM,6.61,6.63
01-Jul-20,1:30:00 AM,6.36,6.38
01-Jul-20,2:00:00 AM,6.21,6.24
01-Jul-20,2:30:00 AM,6.10,6.12
01-Jul-20,3:00:00 AM,6.15,6.17
01-Jul-20,3:30:00 AM,6.27,6.29
01-Jul-20,4:00:00 AM,6.49,6.51
01-Jul-20,4:30:00 AM,6.67,6.68
01-Jul-20,5:00:00 AM,7.30,7.32
01-Jul-20,5:30:00 AM,7.98,7.98
01-Jul-20,6:00:00 AM,8.89,8.89
01-Jul-20,6:30:00 AM,9.69,9.70
01-Jul-20,7:00:00 AM,10.81,10.82
01-Jul-20,7:30:00 AM,11.44,11.44
01-Jul-20,8:00:00 AM,11.68,11.69
01-Jul-20,8:30:00 AM,11.21,11.21
01-Jul-20,9:00:00 AM,10.63,10.63
01-Jul-20,9:30:00 AM,10.59,10.60
01-Jul-20,10:00:00 AM,9.69,9.71
01-Jul-20,10:30:00 AM,9.37,9.38
01-Jul-20,11:00:00 AM,9.08,9.10
01-Jul-20,11:30:00 AM,8.88,8.91
01-Jul-20,12:00:00 PM,8.79,8.82
01-Jul-20,12:30:00 PM,8.90,8.93
01-Jul-20,1:00:00 PM,9.05,9.09
01-Jul-20,1:30:00 PM,10.31,10.33
01-Jul-20,2:00:00 PM,9.61,9.64
01-Jul-20,2:30:00 PM,10.09,10.12
01-Jul-20,3:00:00 PM,10.89,10.91
01-Jul-20,3:30:00 PM,11.17,11.19
01-Jul-20,4:00:00 PM,12.00,12.02
01-Jul-20,4:30:00 PM,13.06,13.07
01-Jul-20,5:00:00 PM,14.28,14.30
01-Jul-20,5:30:00 PM,15.34,15.37
01-Jul-20,6:00:00 PM,15.52,15.54
01-Jul-20,6:30:00 PM,15.38,15.40
01-Jul-20,7:00:00 PM,14.73,14.76
01-Jul-20,7:30:00 PM,14.49,14.51
01-Jul-20,8:00:00 PM,14.05,14.06
01-Jul-20,8:30:00 PM,13.16,13.17
01-Jul-20,9:00:00 PM,12.08,12.09
01-Jul-20,9:30:00 PM,11.04,11.04
01-Jul-20,10:00:00 PM,10.38,10.38
01-Jul-20,10:30:00 PM,10.01,10.01
01-Jul-20,11:00:00 PM,9.10,9.10
01-Jul-20,11:30:00 PM,8.10,8.11
02-Jul-20,12:00:00 AM,7.46,7.47
02-Jul-20,12:30:00 AM,6.93,6.95
02-Jul-20,1:00:00 AM,6.66,6.69
02-Jul-20,1:30:00 AM,6.36,6.39
02-Jul-20,2:00:00 AM,6.25,6.28
02-Jul-20,2:30:00 AM,6.15,6.18
02-Jul-20,3:00:00 AM,6.21,6.23
02-Jul-20,3:30:00 AM,6.17,6.19
02-Jul-20,4:00:00 AM,6.37,6.39
02-Jul-20,4:30:00 AM,6.79,6.80
02-Jul-20,5:00:00 AM,7.29,7.30
02-Jul-20,5:30:00 AM,7.96,7.96
02-Jul-20,6:00:00 AM,8.98,8.98
02-Jul-20,6:30:00 AM,10.48,10.49
