Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,6.63,7.47
01-Jul-20,12:30:00 AM,6.63,7.46
01-Jul-20,1:00:00 AM,6.76,7.62
01-Jul-20,1:30:00 AM,6.66,7.48
01-Jul-20,2:00:00 AM,6.67,7.48
01-Jul-20,2:30:00 AM,6.66,7.46
01-Jul-20,3:00:00 AM,6.67,7.47
01-Jul-20,3:30:00 AM,6.69,7.48
01-Jul-20,4:00:00 AM,6.69,7.49
01-Jul-20,4:30:00 AM,6.85,7.68
01-Jul-20,5:00:00 AM,6.95,7.80
01-Jul-20,5:30:00 AM,7.01,7.84
01-Jul-20,6:00:00 AM,7.05,7.91
01-Jul-20,6:30:00 AM,7.02,7.89
01-Jul-20,7:00:00 AM,6.94,7.80
01-Jul-20,7:30:00 AM,6.94,7.81
01-Jul-20,8:00:00 AM,7.03,7.90
01-Jul-20,8:30:00 AM,6.97,7.87
01-Jul-20,9:00:00 AM,7.00,7.90
01-Jul-20,9:30:00 AM,7.00,7.87
01-Jul-20,10:00:00 AM,6.94,7.81
01-Jul-20,10:30:00 AM,7.07,7.96
01-Jul-20,11:00:00 AM,6.95,7.86
01-Jul-20,11:30:00 AM,7.00,7.91
01-Jul-20,12:00:00 PM,7.08,7.97
01-Jul-20,12:30:00 PM,6.94,7.82
01-Jul-20,1:00:00 PM,6.97,7.88
01-Jul-20,1:30:00 PM,7.03,7.95
01-Jul-20,2:00:00 PM,7.23,8.16
01-Jul-20,2:30:00 PM,7.10,8.00
01-Jul-20,3:00:00 PM,6.97,7.85
01-Jul-20,3:30:00 PM,6.88,7.77
01-Jul-20,4:00:00 PM,6.72,7.56
01-Jul-20,4:30:00 PM,6.77,7.60
01-Jul-20,5:00:00 PM,6.92,7.77
01-Jul-20,5:30:00 PM,6.86,7.71
01-Jul-20,6:00:00 PM,6.87,7.74
01-Jul-20,6:30:00 PM,6.83,7.69
01-Jul-20,7:00:00 PM,6.87,7.73
01-Jul-20,7:30:00 PM,6.83,7.68
01-Jul-20,8:00:00 PM,6.78,7.63
01-Jul-20,8:30:00 PM,6.76,7.59
01-Jul-20,9:00:00 PM,6.88,7.72
01-Jul-20,9:30:00 PM,6.87,7.72
01-Jul-20,10:00:00 PM,6.73,7.55
01-Jul-20,10:30:00 PM,6.65,7.49
01-Jul-20,11:00:00 PM,6.63,7.47
01-Jul-20,11:30:00 PM,6.62,7.45
02-Jul-20,12:00:00 AM,6.63,7.47
02-Jul-20,12:30:00 AM,6.73,7.54
