Date,Time,MW,MVA
01-Jul-20,12:00:00 AM,19.88,20.04
01-Jul-20,12:30:00 AM,19.82,19.99
01-Jul-20,1:00:00 AM,19.74,19.91
01-Jul-20,1:30:00 AM,19.57,19.74
01-Jul-20,2:00:00 AM,19.37,19.56
01-Jul-20,2:30:00 AM,19.46,19.64
01-Jul-20,3:00:00 AM,19.67,19.85
01-Jul-20,3:30:00 AM,19.57,19.75
01-Jul-20,4:00:00 AM,19.56,19.73
01-Jul-20,4:30:00 AM,19.69,19.86
01-Jul-20,5:00:00 AM,20.24,20.40
01-Jul-20,5:30:00 AM,21.11,21.26
01-Jul-20,6:00:00 AM,24.27,24.35
01-Jul-20,6:30:00 AM,26.03,26.09
01-Jul-20,7:00:00 AM,29.43,29.47
01-Jul-20,7:30:00 AM,30.78,30.80
01-Jul-20,8:00:00 AM,32.09,32.10
01-Jul-20,8:30:00 AM,32.49,32.50
01-Jul-20,9:00:00 AM,32.00,32.01
01-Jul-20,9:30:00 AM,31.96,31.97
01-Jul-20,10:00:00 AM,31.93,31.94
01-Jul-20,10:30:00 AM,32.42,32.43
01-Jul-20,11:00:00 AM,32.72,32.73
01-Jul-20,11:30:00 AM,32.86,32.87
01-Jul-20,12:00:00 PM,32.29,32.29
01-Jul-20,12:30:00 PM,32.98,32.98
01-Jul-20,1:00:00 PM,33.65,33.65
01-Jul-20,1:30:00 PM,34.59,34.59
01-Jul-20,2:00:00 PM,34.22,34.22
01-Jul-20,2:30:00 PM,33.77,33.77
01-Jul-20,3:00:00 PM,33.01,33.01
01-Jul-20,3:30:00 PM,32.90,32.90
01-Jul-20,4:00:00 PM,32.32,32.32
01-Jul-20,4:30:00 PM,32.01,32.01
01-Jul-20,5:00:00 PM,30.98,30.99
01-Jul-20,5:30:00 PM,29.19,29.21
01-Jul-20,6:00:00 PM,26.63,26.68
01-Jul-20,6:30:00 PM,25.49,25.56
01-Jul-20,7:00:00 PM,24.55,24.63
01-Jul-20,7:30:00 PM,24.12,24.23
01-Jul-20,8:00:00 PM,23.93,24.04
01-Jul-20,8:30:00 PM,23.23,23.35
01-Jul-20,9:00:00 PM,22.72,22.85
01-Jul-20,9:30:00 PM,22.32,22.45
01-Jul-20,10:00:00 PM,21.71,21.86
01-Jul-20,10:30:00 PM,21.06,21.20
01-Jul-20,11:00:00 PM,20.75,20.90
01-Jul-20,11:30:00 PM,20.46,20.62
02-Jul-20,12:00:00 AM,20.15,20.31
02-Jul-20,12:30:00 AM,20.00,20.18
02-Jul-20,1:00:00 AM,19.87,20.06
02-Jul-20,1:30:00 AM,19.74,19.93
02-Jul-20,2:00:00 AM,19.63,19.82
02-Jul-20,2:30:00 AM,19.51,19.70
02-Jul-20,3:00:00 AM,19.58,19.76
02-Jul-20,3:30:00 AM,20.08,20.26
02-Jul-20,4:00:00 AM,20.42,20.59
02-Jul-20,4:30:00 AM,20.41,20.56
02-Jul-20,5:00:00 AM,20.87,21.03
02-Jul-20,5:30:00 AM,21.74,21.88
02-Jul-20,6:00:00 AM,24.90,24.98
02-Jul-20,6:30:00 AM,26.63,26.70
02-Jul-20,7:00:00 AM,30.08,30.11
02-Jul-20,7:30:00 AM,31.58,31.59
02-Jul-20,8:00:00 AM,32.35,32.35
02-Jul-20,8:30:00 AM,32.87,32.88
02-Jul-20,9:00:00 AM,33.10,33.10
02-Jul-20,9:30:00 AM,33.33,33.33
02-Jul-20,10:00:00 AM,33.28,33.28
02-Jul-20,10:30:00 AM,33.05,33.05
02-Jul-20,11:00:00 AM,33.24,33.24
02-Jul-20,11:30:00 AM,33.47,33.47
02-Jul-20,12:00:00 PM,33.64,33.64
02-Jul-20,12:30:00 PM,33.73,33.73
02-Jul-20,1:00:00 PM,34.33,34.33
02-Jul-20,1:30:00 PM,34.27,34.27
02-Jul-20,2:00:00 PM,33.83,33.83
02-Jul-20,2:30:00 PM,33.58,33.58
02-Jul-20,3:00:00 PM,32.97,32.97
02-Jul-20,3:30:00 PM,32.54,32.54
02-Jul-20,4:00:00 PM,32.12,32.12
02-Jul-20,4:30:00 PM,31.55,31.55
02-Jul-20,5:00:00 PM,30.84,30.84
02-Jul-20,5:30:00 PM,29.45,29.47
02-Jul-20,6:00:00 PM,27.19,27.23
02-Jul-20,6:30:00 PM,25.91,25.98
02-Jul-20,7:00:00 PM,24.87,24.94
02-Jul-20,7:30:00 PM,24.22,24.30
02-Jul-20,8:00:00 PM,23.69,23.80
02-Jul-20,8:30:00 PM,23.50,23.60
02-Jul-20,9:00:00 PM,23.14,23.24
02-Jul-20,9:30:00 PM,22.64,22.75
02-Jul-20,10:00:00 PM,22.16,22.29
02-Jul-20,10:30:00 PM,21.64,21.77
02-Jul-20,11:00:00 PM,21.00,21.16
02-Jul-20,11:30:00 PM,21.06,21.21
03-Jul-20,12:00:00 AM,20.70,20.86
03-Jul-20,12:30:00 AM,20.43,20.57
03-Jul-20,1:00:00 AM,20.16,20.32
03-Jul-20,1:30:00 AM,19.99,20.16
03-Jul-20,2:00:00 AM,19.87,20.06
03-Jul-20,2:30:00 AM,20.04,20.20
03-Jul-20,3:00:00 AM,19.86,20.01
03-Jul-20,3:30:00 AM,20.35,20.50
03-Jul-20,4:00:00 AM,20.30,20.45
03-Jul-20,4:30:00 AM,20.16,20.32
03-Jul-20,5:00:00 AM,20.60,20.75
03-Jul-20,5:30:00 AM,21.33,21.47
03-Jul-20,6:00:00 AM,24.30,24.39
03-Jul-20,6:30:00 AM,25.90,25.97
03-Jul-20,7:00:00 AM,29.38,29.41
03-Jul-20,7:30:00 AM,30.93,30.94
03-Jul-20,8:00:00 AM,31.74,31.75
03-Jul-20,8:30:00 AM,32.16,32.17
03-Jul-20,9:00:00 AM,32.26,32.27
03-Jul-20,9:30:00 AM,32.98,32.99
03-Jul-20,10:00:00 AM,32.92,32.92
03-Jul-20,10:30:00 AM,32.74,32.75
03-Jul-20,11:00:00 AM,32.84,32.84
03-Jul-20,11:30:00 AM,32.99,32.99
03-Jul-20,12:00:00 PM,33.53,33.53
03-Jul-20,12:30:00 PM,33.48,33.48
03-Jul-20,1:00:00 PM,34.21,34.21
03-Jul-20,1:30:00 PM,33.88,33.88
03-Jul-20,2:00:00 PM,33.77,33.77
03-Jul-20,2:30:00 PM,33.20,33.20
03-Jul-20,3:00:00 PM,32.76,32.76
03-Jul-20,3:30:00 PM,32.66,32.66
03-Jul-20,4:00:00 PM,31.98,31.98
03-Jul-20,4:30:00 PM,31.71,31.71
03-Jul-20,5:00:00 PM,30.89,30.89
03-Jul-20,5:30:00 PM,29.48,29.48
03-Jul-20,6:00:00 PM,27.49,27.51
03-Jul-20,6:30:00 PM,26.42,26.46
03-Jul-20,7:00:00 PM,25.37,25.42
03-Jul-20,7:30:00 PM,24.74,24.80
03-Jul-20,8:00:00 PM,24.43,24.49
03-Jul-20,8:30:00 PM,23.95,24.04
03-Jul-20,9:00:00 PM,23.32,23.42
03-Jul-20,9:30:00 PM,22.82,22.91
03-Jul-20,10:00:00 PM,22.18,22.28
03-Jul-20,10:30:00 PM,21.78,21.88
03-Jul-20,11:00:00 PM,21.22,21.34
03-Jul-20,11:30:00 PM,20.88,21.02
04-Jul-20,12:00:00 AM,20.70,20.83
04-Jul-20,12:30:00 AM,20.49,20.63
04-Jul-20,1:00:00 AM,20.31,20.47
04-Jul-20,1:30:00 AM,20.04,20.21
04-Jul-20,2:00:00 AM,19.93,20.09
04-Jul-20,2:30:00 AM,19.68,19.88
04-Jul-20,3:00:00 AM,19.80,19.99
04-Jul-20,3:30:00 AM,19.69,19.86
04-Jul-20,4:00:00 AM,19.79,19.95
04-Jul-20,4:30:00 AM,19.93,20.09
04-Jul-20,5:00:00 AM,20.22,20.37
04-Jul-20,5:30:00 AM,20.04,20.20
04-Jul-20,6:00:00 AM,20.78,20.93
04-Jul-20,6:30:00 AM,21.15,21.30
04-Jul-20,7:00:00 AM,21.58,21.73
04-Jul-20,7:30:00 AM,21.94,22.07
04-Jul-20,8:00:00 AM,22.65,22.78
04-Jul-20,8:30:00 AM,23.36,23.47
04-Jul-20,9:00:00 AM,23.62,23.73
04-Jul-20,9:30:00 AM,23.79,23.89
04-Jul-20,10:00:00 AM,24.00,24.09
04-Jul-20,10:30:00 AM,24.05,24.13
04-Jul-20,11:00:00 AM,24.08,24.16
04-Jul-20,11:30:00 AM,23.85,23.93
04-Jul-20,12:00:00 PM,23.90,23.98
04-Jul-20,12:30:00 PM,23.77,23.86
04-Jul-20,1:00:00 PM,23.75,23.84
04-Jul-20,1:30:00 PM,23.69,23.77
04-Jul-20,2:00:00 PM,23.72,23.80
04-Jul-20,2:30:00 PM,23.54,23.63
04-Jul-20,3:00:00 PM,23.58,23.67
04-Jul-20,3:30:00 PM,23.37,23.46
04-Jul-20,4:00:00 PM,23.22,23.32
04-Jul-20,4:30:00 PM,23.05,23.14
04-Jul-20,5:00:00 PM,23.44,23.53
04-Jul-20,5:30:00 PM,23.00,23.10
04-Jul-20,6:00:00 PM,22.58,22.70
